Year,District,Social Category,Primary School (I-V),Upper Primary School (VI-VIII),Secondary School (IX-X),Higher Secondary School (XI-XII)
2012,Raigad,SC,16424,10784,6601,3680
2012,Raigad,ST,41275,16414,6232,2154
2012,Ratnagiri,Overall,129278,92415,59145,37566
2012,Ratnagiri,General,37515,25707,16475,11439
2012,Ratnagiri,OBC,78982,57399,36961,22351
2012,Ratnagiri,SC,10220,8021,5183,3494
2012,Ratnagiri,ST,2561,1288,526,282
2012,Sangli,Overall,231621,148189,88323,63678
2012,Sangli,General,113218,74719,47031,36674
2012,Sangli,OBC,83328,51956,28986,19428
2012,Sangli,SC,33518,20787,12005,7296
2012,Sangli,ST,1557,727,301,280
2012,Satara,Overall,232522,147220,95101,69667
2012,Satara,General,125964,81851,55110,42472
2012,Satara,OBC,73993,45135,27342,19176
2012,Satara,SC,28992,18646,11668,7485
2012,Satara,ST,3573,1588,981,534
2012,Sindhudurg,Overall,58502,41443,28785,21801
2012,Sindhudurg,General,31991,23253,16489,13167
2012,Sindhudurg,OBC,21765,14833,9962,7016
2012,Sindhudurg,SC,4157,3043,2118,1495
2012,Sindhudurg,ST,589,314,216,123
2012,Solapur,Overall,417199,243391,138584,87691
2012,Solapur,General,173621,103886,62500,41104
2012,Solapur,OBC,162818,94209,52106,33167
2012,Solapur,SC,70359,40418,21635,12483
2012,Solapur,ST,10401,4878,2343,937
2012,Wardha,Overall,99532,65217,42149,29739
2012,Wardha,General,9739,6508,4147,2789
2012,Wardha,OBC,61150,39846,25840,18513
2012,Wardha,SC,15620,10536,7175,5516
2012,Wardha,ST,13023,8327,4987,2921
2012,Washim,Overall,117027,74488,40390,21905
2012,Washim,General,16710,10183,5628,3563
2012,Washim,OBC,65754,42584,23398,12927
2012,Washim,SC,24461,16167,8980,4386
2012,Washim,ST,10102,5554,2384,1029
2012,Yavatmal,Overall,258026,156510,83588,45597
2012,Yavatmal,General,34982,20824,11690,7131
2012,Yavatmal,OBC,139316,84536,46316,25630
2012,Yavatmal,SC,31391,20210,11380,6298
2012,Yavatmal,ST,52337,30940,14202,6538
2013,Ahilyanagar,Overall,413805,253813,152561,110116
2013,Ahilyanagar,General,180709,114095,74245,53923
2013,Ahilyanagar,OBC,126259,77534,46009,35763
2013,Ahilyanagar,SC,57983,36556,20633,13408
2013,Ahilyanagar,ST,48854,25628,11674,7022
2013,Akola,Overall,152362,100795,61889,41152
2013,Akola,General,39779,24161,13540,8630
2013,Akola,OBC,67311,46065,30066,22066
2013,Akola,SC,35423,25042,15555,9107
2013,Akola,ST,9849,5527,2728,1349
2013,Amravati,Overall,235526,152008,98077,61003
2013,Amravati,General,46882,27822,16400,9861
2013,Amravati,OBC,103806,68653,48645,32355
2013,Amravati,SC,38675,27513,19248,12332
2013,Amravati,ST,46163,28020,13784,6455
2013,Beed,Overall,276313,152515,84064,64163
2013,Beed,General,122363,68209,38370,31202
2013,Beed,OBC,105344,58050,32250,23687
2013,Beed,SC,42630,23421,12161,8362
2013,Beed,ST,5976,2835,1283,912
2013,Bhandara,Overall,93806,63325,42720,31861
2013,Bhandara,General,3534,1915,1347,1139
2013,Bhandara,OBC,68256,46296,30879,22958
2013,Bhandara,SC,14632,10356,7389,6011
2013,Bhandara,ST,7384,4758,3105,1753
2013,Buldhana,Overall,242582,149524,87361,52626
2013,Buldhana,General,42214,26488,15473,9336
2013,Buldhana,OBC,136525,83426,50684,32186
2013,Buldhana,SC,48628,32526,18195,9726
2013,Buldhana,ST,15215,7084,3009,1378
2013,Chandrapur,Overall,174393,111887,73176,51844
2013,Chandrapur,General,15781,9340,5898,4007
2013,Chandrapur,OBC,95739,62594,40726,29573
2013,Chandrapur,SC,28654,18598,13096,9998
2013,Chandrapur,ST,34219,21355,13456,8266
2013,Chh. Sambhaji Nagar,Overall,412706,228478,123384,84588
2013,Chh. Sambhaji Nagar,General,210848,114153,62132,42535
2013,Chh. Sambhaji Nagar,OBC,112474,65720,36887,26530
2013,Chh. Sambhaji Nagar,SC,65829,37478,19951,12825
2013,Chh. Sambhaji Nagar,ST,23555,11127,4414,2698
2013,Dharashiv,Overall,144430,86093,48344,30619
2013,Dharashiv,General,71935,43839,25728,16805
2013,Dharashiv,OBC,43737,24867,13424,8428
2013,Dharashiv,SC,23866,15034,8086,4811
