Year,District,Social Category,Primary School (I-V),Upper Primary School (VI-VIII),Secondary School (IX-X),Higher Secondary School (XI-XII)
2015,Dharashiv,SC,21841,14668,8955,5685
2015,Dharashiv,ST,4473,2630,1186,695
2015,Dhule,Overall,210561,120580,68156,47492
2015,Dhule,General,23338,14315,9680,7108
2015,Dhule,OBC,83406,52009,34018,27532
2015,Dhule,SC,12198,8019,5199,3721
2015,Dhule,ST,91619,46237,19259,9131
2015,Gadchiroli,Overall,88544,54365,35694,27193
2015,Gadchiroli,General,7174,5002,3387,2602
2015,Gadchiroli,OBC,33228,20605,14462,11942
2015,Gadchiroli,SC,9086,6066,4374,3811
2015,Gadchiroli,ST,39056,22692,13471,8838
2015,Gondia,Overall,100786,68132,48141,43060
2015,Gondia,General,6227,4220,2679,2553
2015,Gondia,OBC,64122,43294,30552,27169
2015,Gondia,SC,12891,8533,6260,6202
2015,Gondia,ST,17546,12085,8650,7136
2015,Hingoli,Overall,116883,70777,37559,25348
2015,Hingoli,General,45465,26182,14271,10341
2015,Hingoli,OBC,37121,22660,11831,7536
2015,Hingoli,SC,21486,14304,8069,5464
2015,Hingoli,ST,12811,7631,3388,2007
2015,Jalgaon,Overall,399449,241432,142542,92185
2015,Jalgaon,General,68505,46807,28337,25263
2015,Jalgaon,OBC,198782,122748,78126,49837
2015,Jalgaon,SC,38058,24537,15685,8811
2015,Jalgaon,ST,94104,47340,20394,8274
2015,Jalna,Overall,201218,119279,64651,48132
2015,Jalna,General,90587,50792,28388,21222
2015,Jalna,OBC,72982,45327,24155,18021
2015,Jalna,SC,31692,20107,10612,7670
2015,Jalna,ST,5957,3053,1496,1219
2015,Kolhapur,Overall,293650,188212,124996,102952
2015,Kolhapur,General,181406,118343,80262,69184
2015,Kolhapur,OBC,68424,42779,27500,21151
2015,Kolhapur,SC,41776,26173,16783,12176
2015,Kolhapur,ST,2044,917,451,441
2015,Latur,Overall,252428,155636,93899,67766
2015,Latur,General,113855,69498,42130,33031
2015,Latur,OBC,78383,49250,30071,21341
2015,Latur,SC,51710,32518,19070,11669
2015,Latur,ST,8480,4370,2628,1725
2015,Mumbai,Overall,214694,431024,316927,307784
2015,Mumbai,General,193306,362580,253411,244502
2015,Mumbai,OBC,10478,34776,31633,34950
2015,Mumbai,SC,9897,31030,29559,25328
2015,Mumbai,ST,1013,2638,2324,3004
2015,Mumbai Suburban,Overall,712408,125055,26550,0
2015,Mumbai Suburban,General,594282,92077,19420,0
2015,Mumbai Suburban,OBC,53604,12824,2922,0
2015,Mumbai Suburban,SC,58244,18099,3862,0
2015,Mumbai Suburban,ST,6278,2055,346,0
2015,Nagpur,Overall,386982,233023,156226,134197
2015,Nagpur,General,73759,43952,27350,25625
2015,Nagpur,OBC,201450,123854,84872,72239
2015,Nagpur,SC,72429,44171,30495,27257
2015,Nagpur,ST,39344,21046,13509,9076
2015,Nanded,Overall,330849,188129,105270,66483
2015,Nanded,General,113207,61387,35285,24281
2015,Nanded,OBC,120626,69327,37465,22441
2015,Nanded,SC,66483,40816,23085,14132
2015,Nanded,ST,30533,16599,9435,5629
2015,Nandurbar,Overall,173651,91910,48901,31768
2015,Nandurbar,General,12418,7927,4993,3528
2015,Nandurbar,OBC,24158,14966,10078,8146
2015,Nandurbar,SC,4398,2803,1976,1505
2015,Nandurbar,ST,132677,66214,31854,18589
2015,Nashik,Overall,604989,344315,199941,131953
2015,Nashik,General,165488,100709,64691,45069
2015,Nashik,OBC,187804,104787,63767,45024
2015,Nashik,SC,56767,34128,21986,15170
2015,Nashik,ST,194930,104691,49497,26690
2015,Palghar,Overall,357680,203896,102848,66762
2015,Palghar,General,150671,78741,44577,30460
2015,Palghar,OBC,48263,29939,19349,14704
2015,Palghar,SC,10145,6198,3721,2836
2015,Palghar,ST,148601,89018,35201,18762
2015,Parbhani,Overall,196290,115431,63278,42970
2015,Parbhani,General,88939,50108,27507,19039
2015,Parbhani,OBC,70426,42072,23108,15563
2015,Parbhani,SC,30536,19512,10736,6921
2015,Parbhani,ST,6389,3739,1927,1447
2015,Pune,Overall,861649,489121,297625,220803
2015,Pune,General,460978,260753,162773,129060
2015,Pune,OBC,222046,124782,74416,53900
2015,Pune,SC,139924,81761,48690,30437
2015,Pune,ST,38701,21825,11746,7406
2015,Raigad,Overall,234228,138834,86820,62601
2015,Raigad,General,88145,49698,31217,22897
2015,Raigad,OBC,92152,57888,40649,31977
2015,Raigad,SC,16364,9704,6653,4646
2015,Raigad,ST,37567,21544,8301,3081
2015,Ratnagiri,Overall,110039,79772,57293,41420
2015,Ratnagiri,General,30755,21962,15416,11857
2015,Ratnagiri,OBC,68512,50015,36346,25590
2015,Ratnagiri,SC,8413,6493,5061,3741
2015,Ratnagiri,ST,2359,1302,470,232
2015,Sangli,Overall,220616,138920,93711,71636
2015,Sangli,General,106193,67148,47115,37752
2015,Sangli,OBC,81763,50722,32888,24422
2015,Sangli,SC,31089,20293,13292,9255
2015,Sangli,ST,1571,757,416,207
2015,Satara,Overall,217489,140735,95105,76873
2015,Satara,General,114710,75580,52470,43457
2015,Satara,OBC,71582,45436,29836,24029
2015,Satara,SC,27106,17786,11875,8885
2015,Satara,ST,4091,1933,924,502
2015,Sindhudurg,Overall,50084,36533,26832,22908
2015,Sindhudurg,General,26981,20153,14858,12960
2015,Sindhudurg,OBC,19118,13455,9799,8169
2015,Sindhudurg,SC,3428,2601,1965,1621
2015,Sindhudurg,ST,557,324,210,158
2015,Solapur,Overall,393359,237454,147814,95746
2015,Solapur,General,165729,99753,64117,43390
2015,Solapur,OBC,155508,93667,57558,37725
2015,Solapur,SC,63211,39470,23879,13874
2015,Solapur,ST,8911,4564,2260,757
2015,Thane,Overall,753502,421598,245915,166911
2015,Thane,General,453801,245274,142276,103425
2015,Thane,OBC,177080,103412,63574,39649
2015,Thane,SC,73248,44313,26912,16852
2015,Thane,ST,49373,28599,13153,6985
2015,Wardha,Overall,94374,59955,42816,34193
2015,Wardha,General,9137,5493,3686,2854
2015,Wardha,OBC,57847,37250,26803,21610
2015,Wardha,SC,14450,9398,7039,6132
2015,Wardha,ST,12940,7814,5288,3597
2015,Washim,Overall,108655,70033,46382,33004
2015,Washim,General,15755,10159,5960,4068
2015,Washim,OBC,62646,39567,26992,20128
2015,Washim,SC,21142,14900,10464,7254
2015,Washim,ST,9112,5407,2966,1554
2015,Yavatmal,Overall,237570,150624,91721,63765
2015,Yavatmal,General,33249,20432,11867,8025
2015,Yavatmal,OBC,129318,82016,50532,36324
2015,Yavatmal,SC,27733,18332,12114,8622
2015,Yavatmal,ST,47270,29844,17208,10794
2016,Ahilyanagar,Overall,398145,252864,160599,126382
2016,Ahilyanagar,General,175818,109973,73617,58940
2016,Ahilyanagar,OBC,120543,77791,50269,43284
2016,Ahilyanagar,SC,53734,35373,22704,15917
2016,Ahilyanagar,ST,48050,29727,14009,8241
2016,Akola,Overall,148330,94105,65184,52482
2016,Akola,General,39973,24582,15613,11565
2016,Akola,OBC,65554,42191,29681,26350
2016,Akola,SC,33429,22055,16605,12655
2016,Akola,ST,9374,5277,3285,1912
2016,Amravati,Overall,225844,140630,96008,72695
2016,Amravati,General,45442,27566,17148,10903
2016,Amravati,OBC,99817,63266,45029,37237
2016,Amravati,SC,36855,23418,17799,14925
2016,Amravati,ST,43730,26380,16032,9630
2016,Beed,Overall,271893,159463,100254,78989
2016,Beed,General,122304,70433,44535,37237
2016,Beed,OBC,102935,60605,38273,29417
2016,Beed,SC,40142,24605,15474,11075
2016,Beed,ST,6512,3820,1972,1260
2016,Bhandara,Overall,88514,56084,41708,38673
2016,Bhandara,General,3126,1971,1373,1161
2016,Bhandara,OBC,65806,41094,30588,28160
2016,Bhandara,SC,13051,8773,6736,6913
2016,Bhandara,ST,6531,4246,3011,2439
2016,Buldhana,Overall,235536,144907,91706,66107
2016,Buldhana,General,40137,25726,15968,10814
2016,Buldhana,OBC,133743,81865,52230,39308
2016,Buldhana,SC,46314,29338,20057,13725
2016,Buldhana,ST,15342,7978,3451,2260
2016,Chandrapur,Overall,167119,103524,74114,59689
2016,Chandrapur,General,14215,8962,5960,4680
2016,Chandrapur,OBC,93053,57517,41767,33632
2016,Chandrapur,SC,26657,17222,12703,11208
2016,Chandrapur,ST,33194,19823,13684,10169
2016,Chh. Sambhaji Nagar,Overall,432826,248086,145833,120742
2016,Chh. Sambhaji Nagar,General,224898,125704,71771,58950
2016,Chh. Sambhaji Nagar,OBC,116029,68624,42649,37982
2016,Chh. Sambhaji Nagar,SC,68131,40260,24775,19495
2016,Chh. Sambhaji Nagar,ST,23768,13498,6638,4315
2016,Dharashiv,Overall,134890,82756,53952,35632
2016,Dharashiv,General,68022,41487,27505,18628
2016,Dharashiv,OBC,41395,24738,15874,10238
2016,Dharashiv,SC,21085,13970,9292,6008
2016,Dharashiv,ST,4388,2561,1281,758
2016,Dhule,Overall,212289,123296,70721,49699
2016,Dhule,General,22396,14028,8950,7030
2016,Dhule,OBC,85030,52137,34048,29222
2016,Dhule,SC,12235,7928,5360,3836
2016,Dhule,ST,92628,49203,22363,9611
2016,Gadchiroli,Overall,87652,52443,35950,28689
2016,Gadchiroli,General,7029,4737,3498,2768
2016,Gadchiroli,OBC,33489,19872,14341,12470
2016,Gadchiroli,SC,8971,5731,4258,3942
2016,Gadchiroli,ST,38163,22103,13853,9509
2016,Gondia,Overall,100302,65042,47566,44382
2016,Gondia,General,6111,3996,2698,2634
2016,Gondia,OBC,63847,41279,30423,28110
2016,Gondia,SC,12612,8279,6041,6193
2016,Gondia,ST,17732,11488,8404,7445
2016,Hingoli,Overall,113759,68348,40291,27388
2016,Hingoli,General,45103,25570,15231,11041
2016,Hingoli,OBC,36089,21988,12552,8357
2016,Hingoli,SC,20836,13715,8650,5828
2016,Hingoli,ST,11731,7075,3858,2162
2016,Jalgaon,Overall,396413,241933,145765,91659
2016,Jalgaon,General,70523,44752,27112,18594
2016,Jalgaon,OBC,195334,123279,79119,52221
2016,Jalgaon,SC,37046,24112,16267,10888
2016,Jalgaon,ST,93510,49790,23267,9956
2016,Jalna,Overall,201009,118195,70264,53483
2016,Jalna,General,91189,51008,30519,23487
2016,Jalna,OBC,72424,44672,26110,19989
2016,Jalna,SC,31427,19328,11909,8635
2016,Jalna,ST,5969,3187,1726,1372
2016,Kolhapur,Overall,292517,184136,125450,105578
2016,Kolhapur,General,177839,113498,77784,68995
2016,Kolhapur,OBC,70698,43613,29194,22960
2016,Kolhapur,SC,42018,26203,18018,13309
2016,Kolhapur,ST,1962,822,454,314
2016,Latur,Overall,247983,153296,97474,70789
2016,Latur,General,112644,68934,43696,33405
2016,Latur,OBC,77165,48326,30740,22670
2016,Latur,SC,49377,31321,20173,12683
2016,Latur,ST,8797,4715,2865,2031
2016,Mumbai,Overall,221701,430214,318910,311362
2016,Mumbai,General,199009,364687,257108,250007
2016,Mumbai,OBC,11124,33410,30573,34114
2016,Mumbai,SC,10543,29684,29049,24212
2016,Mumbai,ST,1025,2433,2180,3029
2016,Mumbai Suburban,Overall,669735,112349,27965,0
2016,Mumbai Suburban,General,565178,84934,21133,0
2016,Mumbai Suburban,OBC,47856,10500,2771,0
2016,Mumbai Suburban,SC,51385,15012,3736,0
2016,Mumbai Suburban,ST,5316,1903,325,0
2016,Nagpur,Overall,388875,233079,154497,136677
2016,Nagpur,General,74083,45151,27670,26539
2016,Nagpur,OBC,203101,122171,83049,73737
2016,Nagpur,SC,72213,43836,30074,27170
2016,Nagpur,ST,39478,21921,13704,9231
2016,Nanded,Overall,329004,188580,111156,73312
2016,Nanded,General,114365,61745,36952,26613
2016,Nanded,OBC,119484,70349,40111,25279
2016,Nanded,SC,65160,39825,24621,15028
2016,Nanded,ST,29995,16661,9472,6392
2016,Nandurbar,Overall,170560,94754,51992,33204
2016,Nandurbar,General,11659,7592,4787,3698
2016,Nandurbar,OBC,24176,15183,10124,8474
2016,Nandurbar,SC,4566,2863,1967,1595
2016,Nandurbar,ST,130159,69116,35114,19437
2016,Nashik,Overall,608223,349632,203328,135753
2016,Nashik,General,167719,102625,65038,45614
2016,Nashik,OBC,189056,105763,63396,48572
2016,Nashik,SC,56182,33722,21360,13191
2016,Nashik,ST,195266,107522,53534,28376
2016,Palghar,Overall,352802,210365,111051,72455
2016,Palghar,General,153226,82912,46956,32871
2016,Palghar,OBC,48719,29502,19792,15537
2016,Palghar,SC,10560,6687,4261,3960
2016,Palghar,ST,140297,91264,40042,20087
2016,Parbhani,Overall,193392,113530,67350,45522
2016,Parbhani,General,88543,49861,28985,19939
2016,Parbhani,OBC,69184,41212,24835,16590
2016,Parbhani,SC,28987,18715,11577,7269
2016,Parbhani,ST,6678,3742,1953,1724
2016,Pune,Overall,886180,497283,305278,230490
2016,Pune,General,469864,264298,163884,133388
2016,Pune,OBC,230429,128731,78124,57484
2016,Pune,SC,146174,82652,51015,31980
2016,Pune,ST,39713,21602,12255,7638
2016,Raigad,Overall,236887,139401,86526,64250
2016,Raigad,General,92075,51375,31626,24195
2016,Raigad,OBC,90922,55911,39207,31991
2016,Raigad,SC,16929,9803,6505,4854
2016,Raigad,ST,36961,22312,9188,3210
2016,Ratnagiri,Overall,105975,74204,55159,42463
2016,Ratnagiri,General,29131,20837,15366,12517
2016,Ratnagiri,OBC,66577,46148,34638,25936
2016,Ratnagiri,SC,8181,6009,4657,3761
2016,Ratnagiri,ST,2086,1210,498,249
2016,Sangli,Overall,219622,137095,93144,73687
2016,Sangli,General,105235,66122,45856,38543
2016,Sangli,OBC,81766,50441,33314,25259
2016,Sangli,SC,31002,19797,13581,9642
2016,Sangli,ST,1619,735,393,243
2016,Satara,Overall,215712,138112,94098,77594
2016,Satara,General,112240,73551,51195,44275
2016,Satara,OBC,71381,44765,29820,23861
2016,Satara,SC,26918,17441,12157,9012
2016,Satara,ST,5173,2355,926,446
2016,Sindhudurg,Overall,48259,34493,25560,23097
2016,Sindhudurg,General,25797,18705,14174,12735
2016,Sindhudurg,OBC,18528,13004,9382,8572
2016,Sindhudurg,SC,3353,2448,1820,1634
2016,Sindhudurg,ST,581,336,184,156
2016,Solapur,Overall,391637,235066,150918,102211
2016,Solapur,General,163866,97772,64623,46379
2016,Solapur,OBC,155672,93769,59232,39747
2016,Solapur,SC,62376,38844,24598,15210
2016,Solapur,ST,9723,4681,2465,875
2016,Thane,Overall,770750,433638,251067,176994
2016,Thane,General,472290,257675,146856,108570
2016,Thane,OBC,175430,102020,62850,43324
2016,Thane,SC,74098,44897,27294,17771
2016,Thane,ST,48932,29046,14067,7329
2016,Wardha,Overall,93429,58297,42233,35639
2016,Wardha,General,8936,5356,3752,2959
2016,Wardha,OBC,57710,36194,26155,22634
2016,Wardha,SC,14059,9099,6804,6325
2016,Wardha,ST,12724,7648,5522,3721
2016,Washim,Overall,108131,68584,46908,36143
2016,Washim,General,15868,9871,6131,4344
2016,Washim,OBC,62529,39422,27110,22152
2016,Washim,SC,20759,14026,10499,7857
2016,Washim,ST,8975,5265,3168,1790
2016,Yavatmal,Overall,236214,145819,94170,66594
2016,Yavatmal,General,32655,20169,12127,8168
2016,Yavatmal,OBC,130301,79952,51834,38023
2016,Yavatmal,SC,27356,17701,12103,8984
2016,Yavatmal,ST,45902,27997,18106,11419
2017,Ahilyanagar,Overall,396048,243542,163639,128297
2017,Ahilyanagar,General,173754,107007,74552,58699
2017,Ahilyanagar,OBC,120031,74215,51008,44520
2017,Ahilyanagar,SC,53463,33118,22828,16379
2017,Ahilyanagar,ST,48800,29202,15251,8699
2017,Akola,Overall,148983,90501,64223,51339
2017,Akola,General,40853,24123,15668,12551
2017,Akola,OBC,65341,40803,29254,24711
2017,Akola,SC,33417,20606,16146,12254
2017,Akola,ST,9372,4969,3155,1823
2017,Amravati,Overall,224032,136357,93906,68036
2017,Amravati,General,45686,27077,17482,11332
2017,Amravati,OBC,99713,61267,43544,33333
2017,Amravati,SC,36288,22693,16858,13791
2017,Amravati,ST,42345,25320,16022,9580
2017,Beed,Overall,265383,154137,102712,79067
2017,Beed,General,119972,68005,44932,36131
2017,Beed,OBC,100339,59082,39719,30268
2017,Beed,SC,38788,23276,15864,11430
2017,Beed,ST,6284,3774,2197,1238
2017,Bhandara,Overall,87535,55080,40340,36970
2017,Bhandara,General,2988,1907,1413,1148
2017,Bhandara,OBC,65468,40600,29574,27019
2017,Bhandara,SC,12651,8537,6498,6458
2017,Bhandara,ST,6428,4036,2855,2345
2017,Buldhana,Overall,235703,140305,91972,65115
2017,Buldhana,General,41937,25168,16298,10577
2017,Buldhana,OBC,133530,79366,52440,38380
2017,Buldhana,SC,45626,27884,19468,13806
2017,Buldhana,ST,14610,7887,3766,2352
2017,Chandrapur,Overall,164067,101376,72130,58500
2017,Chandrapur,General,13761,8559,6107,4657
2017,Chandrapur,OBC,92169,56609,40464,33408
2017,Chandrapur,SC,26087,16788,12161,10400
2017,Chandrapur,ST,32050,19420,13398,10035
2017,Chh. Sambhaji Nagar,Overall,440823,248279,149235,120999
2017,Chh. Sambhaji Nagar,General,231896,126646,73081,58597
2017,Chh. Sambhaji Nagar,OBC,116495,68047,44092,38529
2017,Chh. Sambhaji Nagar,SC,69274,40151,25297,19634
2017,Chh. Sambhaji Nagar,ST,23158,13435,6765,4239
2017,Dharashiv,Overall,132611,79240,52912,34564
2017,Dharashiv,General,66998,39808,27031,17927
2017,Dharashiv,OBC,40924,23995,15588,9921
2017,Dharashiv,SC,20528,13089,8877,5960
2017,Dharashiv,ST,4161,2348,1416,756
2017,Dhule,Overall,209600,122236,72467,49857
2017,Dhule,General,22309,13218,8460,6698
2017,Dhule,OBC,84052,51698,34377,29327
2017,Dhule,SC,11672,7459,5235,3863
2017,Dhule,ST,91567,49861,24395,9969
2017,Gadchiroli,Overall,85974,50515,35475,27828
2017,Gadchiroli,General,7237,4519,3402,2643
2017,Gadchiroli,OBC,33470,19539,13858,12019
2017,Gadchiroli,SC,8618,5297,4122,3785
2017,Gadchiroli,ST,36649,21160,14093,9381
2017,Gondia,Overall,99595,63140,47273,41976
2017,Gondia,General,5961,3965,2874,2555
2017,Gondia,OBC,63258,39999,30312,26769
2017,Gondia,SC,12291,8102,5802,5715
2017,Gondia,ST,18085,11074,8285,6937
2017,Hingoli,Overall,113054,65462,41780,28304
2017,Hingoli,General,45570,25249,15833,11169
2017,Hingoli,OBC,36063,21171,12957,8643
2017,Hingoli,SC,20238,12776,8841,6089
2017,Hingoli,ST,11183,6266,4149,2403
2017,Jalgaon,Overall,393019,236131,148304,95400
2017,Jalgaon,General,67622,43703,27253,18639
2017,Jalgaon,OBC,196600,119004,80099,56357
2017,Jalgaon,SC,36545,22924,16079,9939
2017,Jalgaon,ST,92252,50500,24873,10465
2017,Jalna,Overall,200428,114440,71912,56346
2017,Jalna,General,91336,50049,31419,24510
2017,Jalna,OBC,72212,42774,26613,21190
2017,Jalna,SC,30906,18533,12112,9135
2017,Jalna,ST,5974,3084,1768,1511
2017,Kolhapur,Overall,290884,180882,124643,106098
2017,Kolhapur,General,177870,112580,77862,70809
2017,Kolhapur,OBC,69576,42240,29080,21688
2017,Kolhapur,SC,41370,25304,17274,13253
2017,Kolhapur,ST,2068,758,427,348
2017,Latur,Overall,241484,151029,97792,71976
2017,Latur,General,110714,68389,43726,34506
2017,Latur,OBC,75149,47192,31135,22302
2017,Latur,SC,47160,30344,20192,13274
2017,Latur,ST,8461,5104,2739,1894
2017,Mumbai,Overall,233219,428417,311253,307194
2017,Mumbai,General,210060,365313,252875,244314
2017,Mumbai,OBC,11208,31823,28737,35820
2017,Mumbai,SC,10858,28913,27449,24711
2017,Mumbai,ST,1093,2368,2192,2349
2017,Mumbai Suburban,Overall,655400,109852,31562,0
2017,Mumbai Suburban,General,557814,86546,24685,0
2017,Mumbai Suburban,OBC,44990,8942,2733,0
2017,Mumbai Suburban,SC,47948,12885,3822,0
2017,Mumbai Suburban,ST,4648,1479,322,0
2017,Nagpur,Overall,386549,231804,152048,132643
2017,Nagpur,General,74548,44742,27478,25699
2017,Nagpur,OBC,202564,121844,81657,71860
2017,Nagpur,SC,71508,43396,29290,25822
2017,Nagpur,ST,37929,21822,13623,9262
2017,Nanded,Overall,325627,184650,113746,76334
2017,Nanded,General,114644,62065,37603,26824
2017,Nanded,OBC,118196,68219,41413,26971
2017,Nanded,SC,64061,37973,25003,16126
2017,Nanded,ST,28726,16393,9727,6413
2017,Nandurbar,Overall,167532,94604,53216,33990
2017,Nandurbar,General,11815,7669,4923,3655
2017,Nandurbar,OBC,23505,14716,9886,8588
2017,Nandurbar,SC,4373,2755,1930,1608
2017,Nandurbar,ST,127839,69464,36477,20139
2017,Nashik,Overall,608165,350191,206699,139638
2017,Nashik,General,167240,100928,63093,46666
2017,Nashik,OBC,192333,107644,65959,49486
2017,Nashik,SC,56456,33504,21472,14059
2017,Nashik,ST,192136,108115,56175,29427
2017,Palghar,Overall,381784,215465,119205,76121
2017,Palghar,General,185178,94099,51943,35251
2017,Palghar,OBC,49907,30000,19881,13675
2017,Palghar,SC,10297,6049,4050,4286
2017,Palghar,ST,136402,85317,43331,22909
2017,Parbhani,Overall,189147,110896,68552,48593
2017,Parbhani,General,87052,49156,29729,20996
2017,Parbhani,OBC,67499,40466,25083,17874
2017,Parbhani,SC,28096,17500,11638,8052
2017,Parbhani,ST,6500,3774,2102,1671
2017,Pune,Overall,919543,505955,309652,241615
2017,Pune,General,487767,268584,165812,136966
2017,Pune,OBC,240924,131288,79800,62455
2017,Pune,SC,150953,84509,51671,33648
2017,Pune,ST,39899,21574,12369,8546
2017,Raigad,Overall,240095,136325,86750,63534
2017,Raigad,General,93711,51544,31718,24638
2017,Raigad,OBC,92256,54052,38346,30737
2017,Raigad,SC,17593,9674,6390,4690
2017,Raigad,ST,36535,21055,10296,3469
2017,Ratnagiri,Overall,101797,70596,51493,42543
2017,Ratnagiri,General,30420,20592,14599,12482
2017,Ratnagiri,OBC,61883,43400,32184,26201
2017,Ratnagiri,SC,7709,5595,4205,3629
2017,Ratnagiri,ST,1785,1009,505,231
2017,Sangli,Overall,219032,133288,91632,73834
2017,Sangli,General,106368,64841,44975,38490
2017,Sangli,OBC,79801,48148,32956,25162
2017,Sangli,SC,30969,19441,13285,9805
2017,Sangli,ST,1894,858,416,377
2017,Satara,Overall,213185,132659,92939,77400
2017,Satara,General,109977,70002,50307,43603
2017,Satara,OBC,71822,43320,29742,24102
2017,Satara,SC,26696,16400,11889,9141
2017,Satara,ST,4690,2937,1001,554
2017,Sindhudurg,Overall,46256,32924,24222,22721
2017,Sindhudurg,General,24673,17793,13254,12023
2017,Sindhudurg,OBC,17797,12506,9114,8892
2017,Sindhudurg,SC,3189,2281,1683,1645
2017,Sindhudurg,ST,597,344,171,161
2017,Solapur,Overall,386568,229524,150032,107361
2017,Solapur,General,163527,95924,63705,48282
2017,Solapur,OBC,152896,91463,59030,42297
2017,Solapur,SC,61283,37686,24733,15922
2017,Solapur,ST,8862,4451,2564,860
2017,Thane,Overall,774112,437358,256766,177464
2017,Thane,General,479225,265784,153703,108831
2017,Thane,OBC,174584,99168,61476,43451
2017,Thane,SC,73169,44046,27004,17651
2017,Thane,ST,47134,28360,14583,7531
2017,Wardha,Overall,92412,56855,40511,34026
2017,Wardha,General,8882,5291,3579,2854
2017,Wardha,OBC,57354,35196,25154,21656
2017,Wardha,SC,13766,8701,6528,5914
2017,Wardha,ST,12410,7667,5250,3602
2017,Washim,Overall,106994,66093,47273,36267
2017,Washim,General,16151,9559,6448,4336
2017,Washim,OBC,61963,38033,26979,22114
2017,Washim,SC,20338,13438,10524,7973
2017,Washim,ST,8542,5063,3322,1844
2017,Yavatmal,Overall,236228,139131,94091,64164
2017,Yavatmal,General,33344,19535,12267,8314
2017,Yavatmal,OBC,129787,76551,51739,36174
2017,Yavatmal,SC,27068,16759,11942,8665
2017,Yavatmal,ST,46029,26286,18143,11011
2018,Ahilyanagar,Overall,391772,240830,160433,129628
2018,Ahilyanagar,General,173688,108319,74093,59544
2018,Ahilyanagar,OBC,115623,72133,48319,44718
2018,Ahilyanagar,SC,52998,32428,22268,16745
2018,Ahilyanagar,ST,49463,27950,15753,8621
2018,Akola,Overall,148005,86866,62327,51565
2018,Akola,General,40567,23257,16073,12077
2018,Akola,OBC,65043,39091,28004,25005
2018,Akola,SC,32896,19607,15054,12435
2018,Akola,ST,9499,4911,3196,2048
2018,Amravati,Overall,218049,132990,91312,68775
2018,Amravati,General,45340,25980,17112,11413
2018,Amravati,OBC,96399,60066,42656,33589
2018,Amravati,SC,35015,22124,15959,13852
2018,Amravati,ST,41295,24820,15585,9921
2018,Beed,Overall,263347,152147,99827,79750
2018,Beed,General,119368,67190,44250,36511
2018,Beed,OBC,99119,58233,37888,30064
2018,Beed,SC,38408,22919,15433,11744
2018,Beed,ST,6452,3805,2256,1431
2018,Bhandara,Overall,86391,54443,38510,36019
2018,Bhandara,General,3192,2167,1586,1395
2018,Bhandara,OBC,64499,39896,28027,26317
2018,Bhandara,SC,12322,8349,6072,6050
2018,Bhandara,ST,6378,4031,2825,2257
2018,Buldhana,Overall,233231,138004,91156,63788
2018,Buldhana,General,42843,25924,17320,11493
2018,Buldhana,OBC,130198,76708,51477,36233
2018,Buldhana,SC,45424,27215,18613,13456
2018,Buldhana,ST,14766,8157,3746,2606
2018,Chandrapur,Overall,160903,99709,69557,57141
2018,Chandrapur,General,13888,8384,5782,4617
2018,Chandrapur,OBC,89703,55316,38839,32348
2018,Chandrapur,SC,25295,16289,11730,10263
2018,Chandrapur,ST,32017,19720,13206,9913
2018,Chh. Sambhaji Nagar,Overall,438760,247337,150231,124164
2018,Chh. Sambhaji Nagar,General,233569,128759,74947,61158
2018,Chh. Sambhaji Nagar,OBC,114187,66066,43404,38140
2018,Chh. Sambhaji Nagar,SC,67201,38946,24939,20098
2018,Chh. Sambhaji Nagar,ST,23803,13566,6941,4768
2018,Dharashiv,Overall,131996,77160,51876,33713
2018,Dharashiv,General,66302,38456,26482,17725
2018,Dharashiv,OBC,41018,23729,15384,9594
2018,Dharashiv,SC,20316,12557,8601,5645
2018,Dharashiv,ST,4360,2418,1409,749
2018,Dhule,Overall,209912,121242,73189,48748
2018,Dhule,General,24457,14767,9850,7862
2018,Dhule,OBC,81130,49081,32548,26595
2018,Dhule,SC,11966,7366,4950,3852
2018,Dhule,ST,92359,50028,25841,10439
2018,Gadchiroli,Overall,84717,49542,34360,26775
2018,Gadchiroli,General,6885,4262,3257,2476
2018,Gadchiroli,OBC,33355,19640,13339,11368
2018,Gadchiroli,SC,8757,5193,4022,3647
2018,Gadchiroli,ST,35720,20447,13742,9284
2018,Gondia,Overall,98081,60948,44650,41061
2018,Gondia,General,6241,3898,2820,2505
2018,Gondia,OBC,62213,38387,28251,26410
2018,Gondia,SC,12054,7864,5644,5395
2018,Gondia,ST,17573,10799,7935,6751
2018,Hingoli,Overall,111536,62479,39987,29145
2018,Hingoli,General,45185,24284,15345,11581
2018,Hingoli,OBC,35104,20240,12643,8805
2018,Hingoli,SC,19882,12012,8132,6167
2018,Hingoli,ST,11365,5943,3867,2592
2018,Jalgaon,Overall,393747,233096,146470,96218
2018,Jalgaon,General,72010,44571,28927,19493
2018,Jalgaon,OBC,191650,113782,76594,55788
2018,Jalgaon,SC,36198,23089,15471,10319
2018,Jalgaon,ST,93889,51654,25478,10618
2018,Jalna,Overall,199244,111740,72270,59451
2018,Jalna,General,93140,50363,32164,26352
2018,Jalna,OBC,69175,40356,26663,21764
2018,Jalna,SC,30772,17808,11650,9765
2018,Jalna,ST,6157,3213,1793,1570
2018,Kolhapur,Overall,288339,177270,120769,108334
2018,Kolhapur,General,177189,110258,75196,71267
2018,Kolhapur,OBC,67750,40637,27691,22116
2018,Kolhapur,SC,41154,25367,17294,14235
