Year,District,Age Group,Gender,Primary,Middle,Matriculation/Secondary,Higher Secondary/ Intermediate/ Pre University/ Senior Secondary,Non technical diploma or certificate not equal to degree,Technical diploma or certificate not equal to degree,Graduate and above
2011,Amravati,12,Female,21820,2218,0,0,0,0,0
2011,Beed,12,Female,18664,1217,0,0,0,0,0
2011,Bhandara,12,Female,8874,559,0,0,0,0,0
2011,Buldhana,12,Female,19290,844,0,0,0,0,0
2011,Chandrapur,12,Female,15213,916,0,0,0,0,0
2011,Chhatrapati Sambhaji Nagar,12,Female,26676,2531,0,0,0,0,0
2011,Dharashiv,12,Female,12109,1041,0,0,0,0,0
2011,Dhule,12,Female,12955,1374,0,0,0,0,0
2011,Gadchiroli,12,Female,8139,394,0,0,0,0,0
2011,Gondia,12,Female,10098,561,0,0,0,0,0
2011,Hingoli,12,Female,8832,619,0,0,0,0,0
2011,Jalgaon,12,Female,27185,2312,0,0,0,0,0
2011,Jalna,12,Female,13840,929,0,0,0,0,0
2011,Kolhapur,12,Female,24451,1785,0,0,0,0,0
2011,Latur,12,Female,18644,1757,0,0,0,0,0
2011,Mumbai City,12,Female,15957,2254,0,0,0,0,0
2011,Mumbai Suburban,12,Female,53748,7322,0,0,0,0,0
2011,Nagpur,12,Female,30574,3323,0,0,0,0,0
2011,Nanded,12,Female,25427,2405,0,0,0,0,0
2011,Nandurbar,12,Female,11035,720,0,0,0,0,0
2011,Nashik,12,Female,44110,3242,0,0,0,0,0
2011,Parbhani,12,Female,14014,1253,0,0,0,0,0
2011,Pune,12,Female,55451,5824,0,0,0,0,0
2011,Raigad,12,Female,16851,2305,0,0,0,0,0
2011,Ratnagiri,12,Female,12732,527,0,0,0,0,0
2011,Sangli,12,Female,18489,1665,0,0,0,0,0
2011,Satara,12,Female,19410,1845,0,0,0,0,0
2011,Sindhudurg,12,Female,5866,220,0,0,0,0,0
2011,Solapur,12,Female,31328,2581,0,0,0,0,0
2011,Thane,12,Female,65181,7878,0,0,0,0,0
2011,Wardha,12,Female,9085,497,0,0,0,0,0
2011,Washim,12,Female,9415,538,0,0,0,0,0
2011,Yavatmal,12,Female,19806,1214,0,0,0,0,0
1991,Ahilyanagar,13,Male,13450,14190,0,0,0,0,0
1991,Amravati,13,Male,10940,7020,0,0,0,0,0
1991,Beed,13,Male,7140,7530,0,0,0,0,0
1991,Buldhana,13,Male,10010,5050,0,0,0,0,0
1991,Chandrapur,13,Male,9210,4000,0,0,0,0,0
1991,Chhatrapati Sambhaji Nagar,13,Male,7930,8320,0,0,0,0,0
1991,Dharashiv,13,Male,4880,5690,0,0,0,0,0
1991,Gadchiroli,13,Male,3600,1310,0,0,0,0,0
1991,Jalgaon,13,Male,12680,13710,0,0,0,0,0
1991,Jalna,13,Male,4920,3970,0,0,0,0,0
1991,Kolhapur,13,Male,12600,14000,0,0,0,0,0
1991,Latur,13,Male,4930,8710,0,0,0,0,0
1991,Nagpur,13,Male,13940,11630,0,0,0,0,0
1991,Nashik,13,Male,14840,17540,0,0,0,0,0
1991,Parbhani,13,Male,7670,7140,0,0,0,0,0
1991,Pune,13,Male,19900,24690,0,0,0,0,0
1991,Raigad,13,Male,8190,8320,0,0,0,0,0
1991,Ratnagiri,13,Male,9270,5190,0,0,0,0,0
1991,Sangli,13,Male,7620,9560,0,0,0,0,0
1991,Satara,13,Male,8550,15820,0,0,0,0,0
1991,Sindhudurg,13,Male,3530,2960,0,0,0,0,0
1991,Solapur,13,Male,11290,12750,0,0,0,0,0
1991,Thane,13,Male,17110,20340,0,0,0,0,0
1991,Wardha,13,Male,5160,3370,0,0,0,0,0
1991,Yavatmal,13,Male,10810,5300,0,0,0,0,0
2001,Ahilyanagar,13,Male,31600,11565,0,0,0,0,0
2001,Akola,13,Male,12986,2789,0,0,0,0,0
2001,Amravati,13,Male,19636,4660,0,0,0,0,0
2001,Beed,13,Male,19354,4803,0,0,0,0,0
2001,Bhandara,13,Male,9395,1848,0,0,0,0,0
2001,Buldhana,13,Male,20131,2956,0,0,0,0,0
2001,Chandrapur,13,Male,16774,2976,0,0,0,0,0
2001,Chhatrapati Sambhaji Nagar,13,Male,24824,7011,0,0,0,0,0
2001,Dharashiv,13,Male,12210,4282,0,0,0,0,0
2001,Dhule,13,Male,12277,3577,0,0,0,0,0
2001,Gadchiroli,13,Male,8405,935,0,0,0,0,0
2001,Gondia,13,Male,10131,1722,0,0,0,0,0
2001,Hingoli,13,Male,8795,1441,0,0,0,0,0
2001,Jalgaon,13,Male,26665,8122,0,0,0,0,0
2001,Jalna,13,Male,13516,2558,0,0,0,0,0
2001,Kolhapur,13,Male,26419,8882,0,0,0,0,0
2001,Latur,13,Male,17000,5247,0,0,0,0,0
2001,Mumbai City,13,Male,17253,7313,0,0,0,0,0
2001,Mumbai Suburban,13,Male,52266,19806,0,0,0,0,0
2001,Nagpur,13,Male,28559,8522,0,0,0,0,0
2001,Nanded,13,Male,21365,6919,0,0,0,0,0
2001,Nandurbar,13,Male,9205,1735,0,0,0,0,0
2001,Nashik,13,Male,37191,11239,0,0,0,0,0
2001,Parbhani,13,Male,12153,3022,0,0,0,0,0
2001,Pune,13,Male,47552,20668,0,0,0,0,0
2001,Raigad,13,Male,14233,5907,0,0,0,0,0
2001,Ratnagiri,13,Male,14157,2448,0,0,0,0,0
2001,Sangli,13,Male,17773,7408,0,0,0,0,0
2001,Satara,13,Male,18406,10748,0,0,0,0,0
2001,Sindhudurg,13,Male,5786,1642,0,0,0,0,0
2001,Solapur,13,Male,29349,10181,0,0,0,0,0
2001,Thane,13,Male,49664,18731,0,0,0,0,0
2001,Wardha,13,Male,9055,2165,0,0,0,0,0
2001,Washim,13,Male,9113,1466,0,0,0,0,0
2001,Yavatmal,13,Male,18998,3436,0,0,0,0,0
2011,Ahilyanagar,13,Male,28652,12865,0,0,0,0,0
2011,Akola,13,Male,13139,3263,0,0,0,0,0
2011,Amravati,13,Male,19253,7580,0,0,0,0,0
2011,Beed,13,Male,19583,4819,0,0,0,0,0
2011,Bhandara,13,Male,8964,2278,0,0,0,0,0
2011,Buldhana,13,Male,20568,3844,0,0,0,0,0
2011,Chandrapur,13,Male,15511,3965,0,0,0,0,0
2011,Chhatrapati Sambhaji Nagar,13,Male,25836,9169,0,0,0,0,0
2011,Dharashiv,13,Male,11384,4297,0,0,0,0,0
2011,Dhule,13,Male,12682,5077,0,0,0,0,0
2011,Gadchiroli,13,Male,8754,1538,0,0,0,0,0
2011,Gondia,13,Male,10108,2499,0,0,0,0,0
2011,Hingoli,13,Male,8887,2287,0,0,0,0,0
2011,Jalgaon,13,Male,26992,10183,0,0,0,0,0
2011,Jalna,13,Male,13961,3509,0,0,0,0,0
2011,Kolhapur,13,Male,26366,7921,0,0,0,0,0
2011,Latur,13,Male,17559,5839,0,0,0,0,0
2011,Mumbai City,13,Male,13441,7491,0,0,0,0,0
2011,Mumbai Suburban,13,Male,47307,24165,0,0,0,0,0
2011,Nagpur,13,Male,26699,11010,0,0,0,0,0
2011,Nanded,13,Male,23334,7736,0,0,0,0,0
2011,Nandurbar,13,Male,11568,3167,0,0,0,0,0
2011,Nashik,13,Male,42455,14385,0,0,0,0,0
2011,Parbhani,13,Male,12971,3640,0,0,0,0,0
2011,Pune,13,Male,50050,22382,0,0,0,0,0
2011,Raigad,13,Male,13899,8134,0,0,0,0,0
2011,Ratnagiri,13,Male,12999,2536,0,0,0,0,0
2011,Sangli,13,Male,17954,7416,0,0,0,0,0
2011,Satara,13,Male,17901,8326,0,0,0,0,0
2011,Sindhudurg,13,Male,6119,1196,0,0,0,0,0
2011,Solapur,13,Male,30310,10206,0,0,0,0,0
2011,Thane,13,Male,57549,26713,0,0,0,0,0
2011,Wardha,13,Male,8938,2209,0,0,0,0,0
2011,Washim,13,Male,9591,2209,0,0,0,0,0
2011,Yavatmal,13,Male,21200,4424,0,0,0,0,0
1991,Ahilyanagar,13,Female,10940,11240,0,0,0,0,0
1991,Amravati,13,Female,9850,8020,0,0,0,0,0
1991,Beed,13,Female,3940,4640,0,0,0,0,0
1991,Buldhana,13,Female,8020,3710,0,0,0,0,0
1991,Chandrapur,13,Female,9170,3870,0,0,0,0,0
1991,Chhatrapati Sambhaji Nagar,13,Female,4850,5590,0,0,0,0,0
1991,Dharashiv,13,Female,3340,3820,0,0,0,0,0
1991,Gadchiroli,13,Female,2490,970,0,0,0,0,0
1991,Jalgaon,13,Female,9310,11020,0,0,0,0,0
1991,Jalna,13,Female,2280,2240,0,0,0,0,0
1991,Kolhapur,13,Female,10370,11100,0,0,0,0,0
1991,Latur,13,Female,4010,5780,0,0,0,0,0
1991,Nagpur,13,Female,13780,14060,0,0,0,0,0
1991,Nashik,13,Female,11750,14220,0,0,0,0,0
1991,Parbhani,13,Female,3950,3830,0,0,0,0,0
1991,Pune,13,Female,16560,22210,0,0,0,0,0
1991,Raigad,13,Female,6270,5620,0,0,0,0,0
1991,Ratnagiri,13,Female,7670,4420,0,0,0,0,0
1991,Sangli,13,Female,6100,8810,0,0,0,0,0
1991,Satara,13,Female,7230,12430,0,0,0,0,0
1991,Sindhudurg,13,Female,3350,2950,0,0,0,0,0
1991,Solapur,13,Female,8530,9450,0,0,0,0,0
1991,Thane,13,Female,14160,18170,0,0,0,0,0
1991,Wardha,13,Female,5160,4180,0,0,0,0,0
1991,Yavatmal,13,Female,8270,4890,0,0,0,0,0
2001,Ahilyanagar,13,Female,27476,10337,0,0,0,0,0
2001,Akola,13,Female,12198,2970,0,0,0,0,0
2001,Amravati,13,Female,18547,5359,0,0,0,0,0
2001,Beed,13,Female,15273,3960,0,0,0,0,0
2001,Bhandara,13,Female,9387,2016,0,0,0,0,0
2001,Buldhana,13,Female,17628,2684,0,0,0,0,0
2001,Chandrapur,13,Female,16354,3252,0,0,0,0,0
2001,Chhatrapati Sambhaji Nagar,13,Female,20863,6105,0,0,0,0,0
2001,Dharashiv,13,Female,10723,3787,0,0,0,0,0
2001,Dhule,13,Female,10104,3229,0,0,0,0,0
2001,Gadchiroli,13,Female,7543,979,0,0,0,0,0
2001,Gondia,13,Female,10070,1869,0,0,0,0,0
2001,Hingoli,13,Female,6808,1099,0,0,0,0,0
2001,Jalgaon,13,Female,22553,7224,0,0,0,0,0
2001,Jalna,13,Female,10199,1854,0,0,0,0,0
2001,Kolhapur,13,Female,23830,8183,0,0,0,0,0
2001,Latur,13,Female,14538,4679,0,0,0,0,0
2001,Mumbai City,13,Female,14971,7352,0,0,0,0,0
2001,Mumbai Suburban,13,Female,45607,20643,0,0,0,0,0
2001,Nagpur,13,Female,27232,9925,0,0,0,0,0
2001,Nanded,13,Female,17255,5958,0,0,0,0,0
2001,Nandurbar,13,Female,6862,1568,0,0,0,0,0
2001,Nashik,13,Female,31879,10747,0,0,0,0,0
2001,Parbhani,13,Female,9657,2580,0,0,0,0,0
2001,Pune,13,Female,42383,20435,0,0,0,0,0
2001,Raigad,13,Female,12947,5307,0,0,0,0,0
2001,Ratnagiri,13,Female,13309,2238,0,0,0,0,0
2001,Sangli,13,Female,15672,7253,0,0,0,0,0
2001,Satara,13,Female,16632,9759,0,0,0,0,0
2001,Sindhudurg,13,Female,5683,1743,0,0,0,0,0
2001,Solapur,13,Female,24519,8652,0,0,0,0,0
2001,Thane,13,Female,42320,18684,0,0,0,0,0
2001,Wardha,13,Female,8670,2549,0,0,0,0,0
2001,Washim,13,Female,7618,1360,0,0,0,0,0
2001,Yavatmal,13,Female,16598,3538,0,0,0,0,0
2011,Ahilyanagar,13,Female,24617,11771,0,0,0,0,0
2011,Akola,13,Female,12189,3491,0,0,0,0,0
2011,Amravati,13,Female,17897,8307,0,0,0,0,0
2011,Beed,13,Female,16814,4411,0,0,0,0,0
2011,Bhandara,13,Female,8416,2400,0,0,0,0,0
2011,Buldhana,13,Female,18533,3697,0,0,0,0,0
2011,Chandrapur,13,Female,14365,4080,0,0,0,0,0
2011,Chhatrapati Sambhaji Nagar,13,Female,22112,8984,0,0,0,0,0
2011,Dharashiv,13,Female,9975,4158,0,0,0,0,0
2011,Dhule,13,Female,10336,4614,0,0,0,0,0
2011,Gadchiroli,13,Female,7985,1494,0,0,0,0,0
2011,Gondia,13,Female,9556,2534,0,0,0,0,0
2011,Hingoli,13,Female,8021,2090,0,0,0,0,0
2011,Jalgaon,13,Female,22808,8905,0,0,0,0,0
2011,Jalna,13,Female,12344,3262,0,0,0,0,0
2011,Kolhapur,13,Female,21726,7156,0,0,0,0,0
2011,Latur,13,Female,15259,5832,0,0,0,0,0
2011,Mumbai City,13,Female,11875,7414,0,0,0,0,0
2011,Mumbai Suburban,13,Female,40714,23947,0,0,0,0,0
2011,Nagpur,13,Female,24835,12152,0,0,0,0,0
2011,Nanded,13,Female,20937,7282,0,0,0,0,0
2011,Nandurbar,13,Female,9855,2685,0,0,0,0,0
2011,Nashik,13,Female,36746,13585,0,0,0,0,0
2011,Parbhani,13,Female,11890,3514,0,0,0,0,0
2011,Pune,13,Female,43420,21595,0,0,0,0,0
2011,Raigad,13,Female,12582,8087,0,0,0,0,0
2011,Ratnagiri,13,Female,12608,2415,0,0,0,0,0
2011,Sangli,13,Female,14455,7102,0,0,0,0,0
2011,Satara,13,Female,15886,7523,0,0,0,0,0
2011,Sindhudurg,13,Female,5745,1195,0,0,0,0,0
2011,Solapur,13,Female,26647,9770,0,0,0,0,0
2011,Thane,13,Female,50248,25776,0,0,0,0,0
2011,Wardha,13,Female,8247,2403,0,0,0,0,0
2011,Washim,13,Female,8756,2092,0,0,0,0,0
2011,Yavatmal,13,Female,19139,4588,0,0,0,0,0
1991,Ahilyanagar,14,Male,7314,22790,890,100,30,0,0
1991,Amravati,14,Male,7750,13410,578,60,0,10,0
1991,Beed,14,Male,3400,11880,550,50,0,10,0
1991,Buldhana,14,Male,6340,10932,190,0,0,0,0
1991,Chandrapur,14,Male,7760,8320,160,0,10,0,0
1991,Chhatrapati Sambhaji Nagar,14,Male,5260,13460,500,80,0,0,0
1991,Dharashiv,14,Male,2730,9020,300,0,0,0,0
1991,Gadchiroli,14,Male,2930,3270,100,0,10,0,0
1991,Jalgaon,14,Male,8100,20810,970,60,20,0,0
1991,Jalna,14,Male,2930,5590,150,0,0,0,0
1991,Kolhapur,14,Male,7330,20990,1200,160,0,20,0
1991,Latur,14,Male,3395,13151,450,20,10,0,0
1991,Nagpur,14,Male,10440,21170,670,100,10,10,0
1991,Nashik,14,Male,9678,24930,1110,160,20,20,0
1991,Parbhani,14,Male,4570,11620,350,60,0,10,0
1991,Pune,14,Male,12550,36720,1720,120,10,50,0
1991,Raigad,14,Male,5970,12180,570,30,20,10,0
1991,Ratnagiri,14,Male,6310,9110,340,10,0,10,0
1991,Sangli,14,Male,4610,13900,780,10,0,40,0
1991,Satara,14,Male,5370,19630,1100,80,30,0,0
1991,Sindhudurg,14,Male,2750,5420,150,0,0,0,0
1991,Solapur,14,Male,7760,20400,730,50,30,0,0
1991,Thane,14,Male,12065,27790,1530,150,10,10,0
1991,Wardha,14,Male,3230,6990,200,30,0,10,0
1991,Yavatmal,14,Male,7980,10760,200,10,0,10,0
2001,Ahilyanagar,14,Male,17473,26974,0,0,0,0,0
2001,Akola,14,Male,9130,8708,0,0,0,0,0
2001,Amravati,14,Male,13566,13563,0,0,0,0,0
2001,Beed,14,Male,10473,14860,0,0,0,0,0
2001,Bhandara,14,Male,5764,6070,0,0,0,0,0
2001,Buldhana,14,Male,12864,12261,0,0,0,0,0
2001,Chandrapur,14,Male,11924,9120,0,0,0,0,0
2001,Chhatrapati Sambhaji Nagar,14,Male,13957,18337,0,0,0,0,0
2001,Dharashiv,14,Male,6204,10385,0,0,0,0,0
2001,Dhule,14,Male,7617,9473,0,0,0,0,0
2001,Gadchiroli,14,Male,5564,4168,0,0,0,0,0
2001,Gondia,14,Male,6225,6285,0,0,0,0,0
2001,Hingoli,14,Male,5657,4855,0,0,0,0,0
2001,Jalgaon,14,Male,16956,21533,0,0,0,0,0
2001,Jalna,14,Male,8621,7752,0,0,0,0,0
2001,Kolhapur,14,Male,13168,23172,0,0,0,0,0
2001,Latur,14,Male,9146,14836,0,0,0,0,0
2001,Mumbai City,14,Male,11652,14902,0,0,0,0,0
2001,Mumbai Suburban,14,Male,34139,43656,0,0,0,0,0
2001,Nagpur,14,Male,19485,21611,0,0,0,0,0
2001,Nanded,14,Male,12270,17139,0,0,0,0,0
2001,Nandurbar,14,Male,5840,5687,0,0,0,0,0
2001,Nashik,14,Male,21913,28984,0,0,0,0,0
2001,Parbhani,14,Male,7535,8329,0,0,0,0,0
2001,Pune,14,Male,26981,43859,0,0,0,0,0
2001,Raigad,14,Male,9226,12336,0,0,0,0,0
2001,Ratnagiri,14,Male,9761,7941,0,0,0,0,0
2001,Sangli,14,Male,9180,15860,0,0,0,0,0
2001,Satara,14,Male,8612,19987,0,0,0,0,0
2001,Sindhudurg,14,Male,3689,4693,0,0,0,0,0
2001,Solapur,14,Male,17010,23014,0,0,0,0,0
2001,Thane,14,Male,31504,39903,0,0,0,0,0
2001,Wardha,14,Male,5723,6602,0,0,0,0,0
2001,Washim,14,Male,5728,5474,0,0,0,0,0
2001,Yavatmal,14,Male,13905,10972,0,0,0,0,0
2011,Ahilyanagar,14,Male,13568,27789,0,0,0,0,0
2011,Akola,14,Male,7000,9859,0,0,0,0,0
2011,Amravati,14,Male,9280,17408,0,0,0,0,0
2011,Beed,14,Male,10316,15228,0,0,0,0,0
2011,Bhandara,14,Male,3378,6986,0,0,0,0,0
2011,Buldhana,14,Male,11334,13731,0,0,0,0,0
2011,Chandrapur,14,Male,7503,12131,0,0,0,0,0
2011,Chhatrapati Sambhaji Nagar,14,Male,12793,22518,0,0,0,0,0
2011,Dharashiv,14,Male,5699,10770,0,0,0,0,0
2011,Dhule,14,Male,6546,10875,0,0,0,0,0
2011,Gadchiroli,14,Male,5043,5300,0,0,0,0,0
2011,Gondia,14,Male,4464,7499,0,0,0,0,0
2011,Hingoli,14,Male,5235,6436,0,0,0,0,0
2011,Jalgaon,14,Male,13787,23079,0,0,0,0,0
2011,Jalna,14,Male,8083,9747,0,0,0,0,0
2011,Kolhapur,14,Male,12288,22616,0,0,0,0,0
2011,Latur,14,Male,9071,15814,0,0,0,0,0
2011,Mumbai City,14,Male,6691,15352,0,0,0,0,0
2011,Mumbai Suburban,14,Male,22708,51745,0,0,0,0,0
2011,Nagpur,14,Male,13026,26272,0,0,0,0,0
2011,Nanded,14,Male,13875,19239,0,0,0,0,0
2011,Nandurbar,14,Male,6975,7641,0,0,0,0,0
2011,Nashik,14,Male,20910,34671,0,0,0,0,0
2011,Parbhani,14,Male,7695,10095,0,0,0,0,0
2011,Pune,14,Male,23963,49873,0,0,0,0,0
2011,Raigad,14,Male,6352,15925,0,0,0,0,0
2011,Ratnagiri,14,Male,6855,9484,0,0,0,0,0
2011,Sangli,14,Male,7980,17999,0,0,0,0,0
2011,Satara,14,Male,7590,19472,0,0,0,0,0
2011,Sindhudurg,14,Male,2744,4731,0,0,0,0,0
2011,Solapur,14,Male,15121,26312,0,0,0,0,0
2011,Thane,14,Male,29615,56235,0,0,0,0,0
2011,Wardha,14,Male,4433,7430,0,0,0,0,0
2011,Washim,14,Male,5541,6615,0,0,0,0,0
2011,Yavatmal,14,Male,13245,13067,0,0,0,0,0
1991,Ahilyanagar,14,Female,7210,14930,970,40,30,20,0
1991,Amravati,14,Female,6290,13850,490,60,0,0,0
1991,Beed,14,Female,2440,6060,280,10,0,0,0
1991,Buldhana,14,Female,4350,6310,150,0,0,10,0
1991,Chandrapur,14,Female,6970,7090,200,0,30,0,0
1991,Chhatrapati Sambhaji Nagar,14,Female,3600,7810,500,20,0,0,0
1991,Dharashiv,14,Female,2394,5270,250,20,0,10,0
1991,Gadchiroli,14,Female,1990,2100,30,20,0,0,0
1991,Jalgaon,14,Female,6470,15540,740,20,10,10,0
1991,Jalna,14,Female,1860,2500,130,0,0,0,0
1991,Kolhapur,14,Female,6240,15830,780,20,20,10,0
1991,Latur,14,Female,2700,7610,560,50,0,0,0
1991,Nagpur,14,Female,9630,21850,1080,80,10,10,0
1991,Nashik,14,Female,7830,20010,1140,50,0,0,0
1991,Parbhani,14,Female,2580,4960,190,10,10,0,0
1991,Pune,14,Female,11150,30650,1620,90,20,10,0
1991,Raigad,14,Female,6160,8760,340,30,20,10,0
1991,Ratnagiri,14,Female,6770,7020,230,10,10,0,0
1991,Sangli,14,Female,4200,10650,600,40,0,0,0
1991,Satara,14,Female,4570,15250,720,30,30,0,0
1991,Sindhudurg,14,Female,3090,5150,260,0,0,0,0
1991,Solapur,14,Female,5510,11340,730,30,10,0,0
1991,Thane,14,Female,9990,22820,1860,110,20,20,0
1991,Wardha,14,Female,3390,7020,290,40,10,0,0
1991,Yavatmal,14,Female,5540,8850,240,0,0,0,0
2001,Ahilyanagar,14,Female,14878,21701,0,0,0,0,0
2001,Akola,14,Female,8134,8443,0,0,0,0,0
2001,Amravati,14,Female,11460,14297,0,0,0,0,0
2001,Beed,14,Female,8062,10460,0,0,0,0,0
2001,Bhandara,14,Female,5586,6218,0,0,0,0,0
2001,Buldhana,14,Female,11074,9168,0,0,0,0,0
2001,Chandrapur,14,Female,11243,9322,0,0,0,0,0
2001,Chhatrapati Sambhaji Nagar,14,Female,11584,14050,0,0,0,0,0
2001,Dharashiv,14,Female,5360,7959,0,0,0,0,0
2001,Dhule,14,Female,6401,7742,0,0,0,0,0
2001,Gadchiroli,14,Female,4872,3618,0,0,0,0,0
2001,Gondia,14,Female,6000,6433,0,0,0,0,0
2001,Hingoli,14,Female,4495,3026,0,0,0,0,0
2001,Jalgaon,14,Female,14385,16870,0,0,0,0,0
2001,Jalna,14,Female,6672,4730,0,0,0,0,0
2001,Kolhapur,14,Female,11713,19767,0,0,0,0,0
2001,Latur,14,Female,8350,11653,0,0,0,0,0
2001,Mumbai City,14,Female,8888,14574,0,0,0,0,0
2001,Mumbai Suburban,14,Female,26865,41228,0,0,0,0,0
2001,Nagpur,14,Female,16236,23298,0,0,0,0,0
2001,Nanded,14,Female,10487,12795,0,0,0,0,0
2001,Nandurbar,14,Female,4196,4185,0,0,0,0,0
2001,Nashik,14,Female,18708,24849,0,0,0,0,0
2001,Parbhani,14,Female,5973,5747,0,0,0,0,0
2001,Pune,14,Female,22333,39198,0,0,0,0,0
2001,Raigad,14,Female,8230,10742,0,0,0,0,0
2001,Ratnagiri,14,Female,9901,6215,0,0,0,0,0
2001,Sangli,14,Female,7690,13723,0,0,0,0,0
2001,Satara,14,Female,7930,16965,0,0,0,0,0
2001,Sindhudurg,14,Female,3460,4488,0,0,0,0,0
2001,Solapur,14,Female,14394,17224,0,0,0,0,0
2001,Thane,14,Female,25181,36323,0,0,0,0,0
2001,Wardha,14,Female,5120,7130,0,0,0,0,0
2001,Washim,14,Female,4824,4069,0,0,0,0,0
2001,Yavatmal,14,Female,11526,9838,0,0,0,0,0
2011,Ahilyanagar,14,Female,11042,24783,0,0,0,0,0
2011,Akola,14,Female,6130,10159,0,0,0,0,0
2011,Amravati,14,Female,7745,17819,0,0,0,0,0
2011,Beed,14,Female,8582,13332,0,0,0,0,0
2011,Bhandara,14,Female,2919,7211,0,0,0,0,0
2011,Buldhana,14,Female,9843,12534,0,0,0,0,0
2011,Chandrapur,14,Female,6620,12286,0,0,0,0,0
2011,Chhatrapati Sambhaji Nagar,14,Female,10651,19965,0,0,0,0,0
2011,Dharashiv,14,Female,4674,9783,0,0,0,0,0
2011,Dhule,14,Female,5393,9169,0,0,0,0,0
2011,Gadchiroli,14,Female,4428,5205,0,0,0,0,0
2011,Gondia,14,Female,4080,7623,0,0,0,0,0
2011,Hingoli,14,Female,4682,5557,0,0,0,0,0
2011,Jalgaon,14,Female,11507,19969,0,0,0,0,0
2011,Jalna,14,Female,6928,8259,0,0,0,0,0
2011,Kolhapur,14,Female,9805,19324,0,0,0,0,0
2011,Latur,14,Female,7623,14513,0,0,0,0,0
2011,Mumbai City,14,Female,5024,14813,0,0,0,0,0
2011,Mumbai Suburban,14,Female,17472,48884,0,0,0,0,0
2011,Nagpur,14,Female,10174,27569,0,0,0,0,0
2011,Nanded,14,Female,12220,17492,0,0,0,0,0
2011,Nandurbar,14,Female,5777,6415,0,0,0,0,0
2011,Nashik,14,Female,17753,31963,0,0,0,0,0
2011,Parbhani,14,Female,6658,8842,0,0,0,0,0
2011,Pune,14,Female,19428,46483,0,0,0,0,0
2011,Raigad,14,Female,5355,14933,0,0,0,0,0
2011,Ratnagiri,14,Female,6617,9070,0,0,0,0,0
2011,Sangli,14,Female,6084,15848,0,0,0,0,0
2011,Satara,14,Female,6295,17108,0,0,0,0,0
2011,Sindhudurg,14,Female,2673,4647,0,0,0,0,0
2011,Solapur,14,Female,12583,23792,0,0,0,0,0
2011,Thane,14,Female,23758,51725,0,0,0,0,0
2011,Wardha,14,Female,3448,7422,0,0,0,0,0
2011,Washim,14,Female,4924,6058,0,0,0,0,0
2011,Yavatmal,14,Female,11473,12697,0,0,0,0,0
2001,Ahilyanagar,15,Male,9599,23212,9127,0,0,0,0
2001,Akola,15,Male,4312,9966,1951,0,0,0,0
2001,Amravati,15,Male,6971,14419,3558,0,0,0,0
2001,Beed,15,Male,5088,14698,3979,0,0,0,0
2001,Bhandara,15,Male,2757,7559,1264,0,0,0,0
2001,Buldhana,15,Male,6554,15043,2502,0,0,0,0
2001,Chandrapur,15,Male,6324,11887,1993,0,0,0,0
2001,Chhatrapati Sambhaji Nagar,15,Male,7467,18079,5277,0,0,0,0
2001,Dharashiv,15,Male,3207,9285,3212,0,0,0,0
2001,Dhule,15,Male,3745,9473,3494,0,0,0,0
2001,Gadchiroli,15,Male,2789,5507,644,0,0,0,0
2001,Gondia,15,Male,2900,7647,1200,0,0,0,0
2001,Hingoli,15,Male,3374,5510,1060,0,0,0,0
2001,Jalgaon,15,Male,9178,20975,7105,0,0,0,0
2001,Jalna,15,Male,5409,8970,1736,0,0,0,0
2001,Kolhapur,15,Male,5894,22136,7022,0,0,0,0
2001,Latur,15,Male,4629,14239,4278,0,0,0,0
2001,Mumbai City,15,Male,8642,15125,5114,0,0,0,0
2001,Mumbai Suburban,15,Male,22875,44231,14119,0,0,0,0
2001,Nagpur,15,Male,10619,23234,5603,0,0,0,0
2001,Nanded,15,Male,7547,15222,6021,0,0,0,0
2001,Nandurbar,15,Male,2872,5994,1535,0,0,0,0
2001,Nashik,15,Male,12465,27300,8793,0,0,0,0
2001,Parbhani,15,Male,4713,8366,2296,0,0,0,0
2001,Pune,15,Male,14902,39585,14705,0,0,0,0
2001,Raigad,15,Male,5491,11505,3809,0,0,0,0
2001,Ratnagiri,15,Male,5110,10279,1475,0,0,0,0
2001,Sangli,15,Male,5180,13852,5778,0,0,0,0
2001,Satara,15,Male,4735,15425,8115,0,0,0,0
2001,Sindhudurg,15,Male,1824,4925,1168,0,0,0,0
2001,Solapur,15,Male,10084,21144,6929,0,0,0,0
2001,Thane,15,Male,20874,38437,13764,0,0,0,0
2001,Wardha,15,Male,2906,7293,1731,0,0,0,0
2001,Washim,15,Male,2918,6552,1207,0,0,0,0
2001,Yavatmal,15,Male,8135,13398,2513,0,0,0,0
2011,Ahilyanagar,15,Male,6598,24462,10748,0,0,0,0
2011,Akola,15,Male,3323,10589,2752,0,0,0,0
2011,Amravati,15,Male,5086,16218,5787,0,0,0,0
2011,Beed,15,Male,4582,17168,4373,0,0,0,0
2011,Bhandara,15,Male,1351,7936,1688,0,0,0,0
2011,Buldhana,15,Male,5012,16247,3081,0,0,0,0
2011,Chandrapur,15,Male,3663,13840,2697,0,0,0,0
2011,Chhatrapati Sambhaji Nagar,15,Male,6488,21348,8035,0,0,0,0
2011,Dharashiv,15,Male,2396,10421,3811,0,0,0,0
