Year,District,Select School Management Type,Social Category,Female,Male
2013,Gondia,Private Unaided,ST,36.0,36.0
2013,Gondia,Private Unaided,ORC,,
2013,Gondia,Private Unaided,Others,,
2013,Gondia,Central Govt,General,1.0,2.0
2013,Gondia,Central Govt,OBC,3.0,10.0
2013,Gondia,Central Govt,SC,4.0,9.0
2013,Gondia,Central Govt,ST,,3.0
2013,Gondia,Central Govt,ORC,,
2013,Gondia,Central Govt,Others,,
2013,Gondia,Local body,General,112.0,157.0
2013,Gondia,Local body,OBC,782.0,2406.0
2013,Gondia,Local body,SC,225.0,605.0
2013,Gondia,Local body,ST,103.0,281.0
2013,Gondia,Local body,ORC,,
2013,Gondia,Local body,Others,,
2013,Gondia,Others,General,65.0,100.0
2013,Gondia,Others,OBC,148.0,683.0
2013,Gondia,Others,SC,61.0,210.0
2013,Gondia,Others,ST,15.0,76.0
2013,Gondia,Others,ORC,,
2013,Gondia,Others,Others,,
2013,Hingoli,Government Aided,General,193.0,798.0
2013,Hingoli,Government Aided,OBC,88.0,512.0
2013,Hingoli,Government Aided,SC,42.0,231.0
2013,Hingoli,Government Aided,ST,30.0,87.0
2013,Hingoli,Government Aided,ORC,,
2013,Hingoli,Government Aided,Others,,
2013,Hingoli,Private Unaided,General,126.0,163.0
2013,Hingoli,Private Unaided,OBC,49.0,86.0
2013,Hingoli,Private Unaided,SC,27.0,34.0
2013,Hingoli,Private Unaided,ST,3.0,18.0
2013,Hingoli,Private Unaided,ORC,,
2013,Hingoli,Private Unaided,Others,,
2013,Hingoli,Central Govt,General,2.0,15.0
2013,Hingoli,Central Govt,OBC,,3.0
2013,Hingoli,Central Govt,SC,,4.0
2013,Hingoli,Central Govt,ST,,
2013,Hingoli,Central Govt,ORC,,
2013,Hingoli,Central Govt,Others,,
2013,Hingoli,Local body,General,512.0,1324.0
2013,Hingoli,Local body,OBC,399.0,1265.0
2013,Hingoli,Local body,SC,103.0,545.0
2013,Hingoli,Local body,ST,54.0,328.0
2013,Hingoli,Local body,ORC,,
2013,Hingoli,Local body,Others,,
2013,Hingoli,Others,General,35.0,274.0
2013,Hingoli,Others,OBC,33.0,178.0
2013,Hingoli,Others,SC,12.0,109.0
2013,Hingoli,Others,ST,7.0,26.0
2013,Hingoli,Others,ORC,,
2013,Hingoli,Others,Others,,
2013,Jalgaon,Government Aided,General,1084.0,3347.0
2013,Jalgaon,Government Aided,OBC,1360.0,3971.0
2013,Jalgaon,Government Aided,SC,348.0,934.0
2013,Jalgaon,Government Aided,ST,205.0,550.0
2013,Jalgaon,Government Aided,ORC,,
2013,Jalgaon,Government Aided,Others,,
2013,Jalgaon,Private Unaided,General,519.0,350.0
2013,Jalgaon,Private Unaided,OBC,586.0,439.0
2013,Jalgaon,Private Unaided,SC,112.0,71.0
2013,Jalgaon,Private Unaided,ST,50.0,42.0
2013,Jalgaon,Private Unaided,ORC,,
2013,Jalgaon,Private Unaided,Others,,
2013,Jalgaon,Central Govt,General,28.0,26.0
2013,Jalgaon,Central Govt,OBC,18.0,20.0
2013,Jalgaon,Central Govt,SC,9.0,10.0
2013,Jalgaon,Central Govt,ST,2.0,6.0
2013,Jalgaon,Central Govt,ORC,,
2013,Jalgaon,Central Govt,Others,,
2013,Jalgaon,Local body,General,1128.0,2132.0
2013,Jalgaon,Local body,OBC,1233.0,2375.0
2013,Jalgaon,Local body,SC,376.0,684.0
2013,Jalgaon,Local body,ST,184.0,469.0
2013,Jalgaon,Local body,ORC,,
2013,Jalgaon,Local body,Others,,
2013,Jalgaon,Others,General,192.0,452.0
2013,Jalgaon,Others,OBC,261.0,549.0
2013,Jalgaon,Others,SC,44.0,120.0
2013,Jalgaon,Others,ST,28.0,76.0
2013,Jalgaon,Others,ORC,,
2013,Jalgaon,Others,Others,,11.0
2013,Jalna,Government Aided,General,461.0,1490.0
2013,Jalna,Government Aided,OBC,180.0,858.0
2013,Jalna,Government Aided,SC,81.0,317.0
2013,Jalna,Government Aided,ST,24.0,125.0
2013,Jalna,Government Aided,ORC,,
2013,Jalna,Government Aided,Others,,
2013,Jalna,Private Unaided,General,347.0,458.0
2013,Jalna,Private Unaided,OBC,127.0,189.0
2013,Jalna,Private Unaided,SC,44.0,96.0
2013,Jalna,Private Unaided,ST,18.0,40.0
2013,Jalna,Private Unaided,ORC,,
2013,Jalna,Private Unaided,Others,,
2013,Jalna,Central Govt,General,4.0,5.0
2013,Jalna,Central Govt,OBC,2.0,4.0
2013,Jalna,Central Govt,SC,2.0,5.0
2013,Jalna,Central Govt,ST,1.0,
2013,Jalna,Central Govt,ORC,,
2013,Jalna,Central Govt,Others,,
2013,Jalna,Local body,General,834.0,2030.0
2013,Jalna,Local body,OBC,616.0,1841.0
2013,Jalna,Local body,SC,229.0,620.0
2013,Jalna,Local body,ST,61.0,279.0
2013,Jalna,Local body,ORC,,
2013,Jalna,Local body,Others,,
2013,Jalna,Others,General,61.0,465.0
2013,Jalna,Others,OBC,34.0,218.0
2013,Jalna,Others,SC,12.0,104.0
2013,Jalna,Others,ST,3.0,25.0
2013,Jalna,Others,ORC,,
2013,Jalna,Others,Others,,
2013,Kolhapur,Government Aided,General,2421.0,3602.0
2013,Kolhapur,Government Aided,OBC,935.0,1579.0
2013,Kolhapur,Government Aided,SC,480.0,943.0
2013,Kolhapur,Government Aided,ST,66.0,202.0
2013,Kolhapur,Government Aided,ORC,,
2013,Kolhapur,Government Aided,Others,,
2013,Kolhapur,Private Unaided,General,608.0,279.0
2013,Kolhapur,Private Unaided,OBC,189.0,113.0
2013,Kolhapur,Private Unaided,SC,72.0,99.0
2013,Kolhapur,Private Unaided,ST,14.0,9.0
2013,Kolhapur,Private Unaided,ORC,,
2013,Kolhapur,Private Unaided,Others,,
2013,Kolhapur,Central Govt,General,6.0,23.0
2013,Kolhapur,Central Govt,OBC,1.0,13.0
2013,Kolhapur,Central Govt,SC,,2.0
2013,Kolhapur,Central Govt,ST,,
2013,Kolhapur,Central Govt,ORC,,
2013,Kolhapur,Central Govt,Others,,
2013,Kolhapur,Local body,General,1766.0,3455.0
2013,Kolhapur,Local body,OBC,1176.0,1872.0
2013,Kolhapur,Local body,SC,481.0,797.0
2013,Kolhapur,Local body,ST,163.0,445.0
2013,Kolhapur,Local body,ORC,,
2013,Kolhapur,Local body,Others,,
2013,Kolhapur,Others,General,531.0,1470.0
2013,Kolhapur,Others,OBC,139.0,428.0
2013,Kolhapur,Others,SC,84.0,254.0
2013,Kolhapur,Others,ST,11.0,16.0
2013,Kolhapur,Others,ORC,,
2013,Kolhapur,Others,Others,,
2013,Latur,Government Aided,General,1166.0,3566.0
2013,Latur,Government Aided,OBC,823.0,2528.0
2013,Latur,Government Aided,SC,231.0,863.0
2013,Latur,Government Aided,ST,70.0,283.0
2013,Latur,Government Aided,ORC,,3.0
2013,Latur,Government Aided,Others,3.0,15.0
2013,Latur,Private Unaided,General,488.0,431.0
2013,Latur,Private Unaided,OBC,177.0,224.0
2013,Latur,Private Unaided,SC,58.0,70.0
2013,Latur,Private Unaided,ST,12.0,25.0
2013,Latur,Private Unaided,ORC,,1.0
2013,Latur,Private Unaided,Others,1.0,4.0
2013,Latur,Central Govt,General,3.0,19.0
2013,Latur,Central Govt,OBC,3.0,13.0
2013,Latur,Central Govt,SC,2.0,7.0
2013,Latur,Central Govt,ST,,2.0
2013,Latur,Central Govt,ORC,,
2013,Latur,Central Govt,Others,,
2013,Latur,Local body,General,665.0,1925.0
2013,Latur,Local body,OBC,764.0,1676.0
2013,Latur,Local body,SC,241.0,606.0
2013,Latur,Local body,ST,114.0,285.0
2013,Latur,Local body,ORC,,2.0
2013,Latur,Local body,Others,4.0,6.0
2013,Latur,Others,General,171.0,886.0
2013,Latur,Others,OBC,77.0,415.0
2013,Latur,Others,SC,26.0,210.0
2013,Latur,Others,ST,10.0,46.0
2013,Latur,Others,ORC,,
2013,Latur,Others,Others,1.0,14.0
2013,Mumbai City,Government Aided,General,8564.0,4247.0
2013,Mumbai City,Government Aided,OBC,1396.0,1445.0
2013,Mumbai City,Government Aided,SC,902.0,603.0
2013,Mumbai City,Government Aided,ST,232.0,238.0
2013,Mumbai City,Government Aided,ORC,,
2013,Mumbai City,Government Aided,Others,,
2013,Mumbai City,Private Unaided,General,9047.0,1871.0
2013,Mumbai City,Private Unaided,OBC,206.0,115.0
2013,Mumbai City,Private Unaided,SC,176.0,90.0
2013,Mumbai City,Private Unaided,ST,23.0,10.0
2013,Mumbai City,Private Unaided,ORC,,
2013,Mumbai City,Private Unaided,Others,,
2013,Mumbai City,Central Govt,General,427.0,136.0
2013,Mumbai City,Central Govt,OBC,15.0,16.0
2013,Mumbai City,Central Govt,SC,21.0,23.0
2013,Mumbai City,Central Govt,ST,11.0,7.0
2013,Mumbai City,Central Govt,ORC,,
2013,Mumbai City,Central Govt,Others,,
2013,Mumbai City,Others,General,2499.0,1748.0
2013,Mumbai City,Others,OBC,199.0,453.0
2013,Mumbai City,Others,SC,156.0,271.0
2013,Mumbai City,Others,ST,19.0,42.0
2013,Mumbai City,Others,ORC,,
2013,Mumbai City,Others,Others,,
2013,Mumbai Suburban,Government Aided,General,2241.0,332.0
2013,Mumbai Suburban,Government Aided,OBC,534.0,116.0
2013,Mumbai Suburban,Government Aided,SC,319.0,51.0
2013,Mumbai Suburban,Government Aided,ST,60.0,16.0
2013,Mumbai Suburban,Government Aided,ORC,,
2013,Mumbai Suburban,Government Aided,Others,67.0,12.0
2013,Mumbai Suburban,Private Unaided,General,5541.0,380.0
2013,Mumbai Suburban,Private Unaided,OBC,308.0,61.0
2013,Mumbai Suburban,Private Unaided,SC,241.0,30.0
2013,Mumbai Suburban,Private Unaided,ST,39.0,14.0
2013,Mumbai Suburban,Private Unaided,ORC,,
2013,Mumbai Suburban,Private Unaided,Others,228.0,21.0
2013,Mumbai Suburban,Central Govt,General,4.0,
2013,Mumbai Suburban,Central Govt,OBC,1.0,2.0
2013,Mumbai Suburban,Central Govt,SC,2.0,
2013,Mumbai Suburban,Central Govt,ST,,
2013,Mumbai Suburban,Central Govt,ORC,,
2013,Mumbai Suburban,Central Govt,Others,,
2013,Mumbai Suburban,Local body,General,4448.0,2409.0
2013,Mumbai Suburban,Local body,OBC,1634.0,1246.0
2013,Mumbai Suburban,Local body,SC,941.0,477.0
2013,Mumbai Suburban,Local body,ST,246.0,259.0
2013,Mumbai Suburban,Local body,ORC,,
2013,Mumbai Suburban,Local body,Others,211.0,110.0
2013,Mumbai Suburban,Others,General,673.0,159.0
2013,Mumbai Suburban,Others,OBC,139.0,101.0
2013,Mumbai Suburban,Others,SC,81.0,39.0
2013,Mumbai Suburban,Others,ST,29.0,28.0
2013,Mumbai Suburban,Others,ORC,,
2013,Mumbai Suburban,Others,Others,60.0,15.0
2013,Nagpur,Government Aided,General,2586.0,1259.0
2013,Nagpur,Government Aided,OBC,3246.0,3964.0
2013,Nagpur,Government Aided,SC,1029.0,1047.0
2013,Nagpur,Government Aided,ST,415.0,393.0
2013,Nagpur,Government Aided,ORC,,
2013,Nagpur,Government Aided,Others,,
2013,Nagpur,Private Unaided,General,3304.0,341.0
2013,Nagpur,Private Unaided,OBC,2186.0,449.0
2013,Nagpur,Private Unaided,SC,822.0,163.0
2013,Nagpur,Private Unaided,ST,228.0,38.0
2013,Nagpur,Private Unaided,ORC,,
2013,Nagpur,Private Unaided,Others,,
2013,Nagpur,Central Govt,General,76.0,36.0
2013,Nagpur,Central Govt,OBC,34.0,26.0
2013,Nagpur,Central Govt,SC,35.0,44.0
2013,Nagpur,Central Govt,ST,9.0,9.0
2013,Nagpur,Central Govt,ORC,,
2013,Nagpur,Central Govt,Others,,
2013,Nagpur,Local body,General,611.0,184.0
2013,Nagpur,Local body,OBC,2568.0,2434.0
2013,Nagpur,Local body,SC,703.0,534.0
2013,Nagpur,Local body,ST,287.0,263.0
2013,Nagpur,Local body,ORC,,
2013,Nagpur,Local body,Others,,
2013,Nagpur,Others,General,650.0,248.0
2013,Nagpur,Others,OBC,732.0,708.0
2013,Nagpur,Others,SC,260.0,262.0
2013,Nagpur,Others,ST,86.0,63.0
2013,Nagpur,Others,ORC,,
2013,Nagpur,Others,Others,,
2013,Nanded,Government Aided,General,1291.0,3465.0
2013,Nanded,Government Aided,OBC,519.0,2192.0
2013,Nanded,Government Aided,SC,256.0,1022.0
2013,Nanded,Government Aided,ST,129.0,400.0
2013,Nanded,Government Aided,ORC,,
2013,Nanded,Government Aided,Others,,
2013,Nanded,Private Unaided,General,581.0,533.0
2013,Nanded,Private Unaided,OBC,149.0,227.0
2013,Nanded,Private Unaided,SC,97.0,146.0
2013,Nanded,Private Unaided,ST,22.0,31.0
2013,Nanded,Private Unaided,ORC,,
2013,Nanded,Private Unaided,Others,,
2013,Nanded,Central Govt,General,10.0,9.0
2013,Nanded,Central Govt,OBC,3.0,11.0
2013,Nanded,Central Govt,SC,4.0,14.0
2013,Nanded,Central Govt,ST,1.0,1.0
2013,Nanded,Central Govt,ORC,,
2013,Nanded,Central Govt,Others,,
2013,Nanded,Local body,General,1292.0,2838.0
2013,Nanded,Local body,OBC,962.0,2505.0
2013,Nanded,Local body,SC,379.0,1029.0
2013,Nanded,Local body,ST,162.0,596.0
2013,Nanded,Local body,ORC,,
2013,Nanded,Local body,Others,,
2013,Nanded,Others,General,184.0,765.0
2013,Nanded,Others,OBC,78.0,497.0
2013,Nanded,Others,SC,52.0,289.0
2013,Nanded,Others,ST,13.0,78.0
2013,Nanded,Others,ORC,,
2013,Nanded,Others,Others,,
2013,Nandurbar,Government Aided,General,232.0,893.0
2013,Nandurbar,Government Aided,OBC,505.0,1571.0
2013,Nandurbar,Government Aided,SC,89.0,309.0
2013,Nandurbar,Government Aided,ST,241.0,538.0
2013,Nandurbar,Government Aided,ORC,,
2013,Nandurbar,Government Aided,Others,,
2013,Nandurbar,Private Unaided,General,145.0,188.0
2013,Nandurbar,Private Unaided,OBC,212.0,401.0
2013,Nandurbar,Private Unaided,SC,29.0,72.0
2013,Nandurbar,Private Unaided,ST,72.0,178.0
2013,Nandurbar,Private Unaided,ORC,,
2013,Nandurbar,Private Unaided,Others,,
2013,Nandurbar,Central Govt,General,2.0,9.0
2013,Nandurbar,Central Govt,OBC,,5.0
2013,Nandurbar,Central Govt,SC,1.0,6.0
2013,Nandurbar,Central Govt,ST,1.0,
2013,Nandurbar,Central Govt,ORC,,
2013,Nandurbar,Central Govt,Others,,1.0
2013,Nandurbar,Local body,General,419.0,763.0
2013,Nandurbar,Local body,OBC,530.0,970.0
2013,Nandurbar,Local body,SC,96.0,292.0
2013,Nandurbar,Local body,ST,194.0,1028.0
2013,Nandurbar,Local body,ORC,,
2013,Nandurbar,Local body,Others,,
2013,Nandurbar,Others,General,28.0,127.0
2013,Nandurbar,Others,OBC,57.0,310.0
2013,Nandurbar,Others,SC,18.0,98.0
2013,Nandurbar,Others,ST,70.0,209.0
2013,Nandurbar,Others,ORC,,
2013,Nandurbar,Others,Others,,
2013,Nashik,Government Aided,General,2769.0,3971.0
2013,Nashik,Government Aided,OBC,1342.0,2490.0
2013,Nashik,Government Aided,SC,422.0,715.0
2013,Nashik,Government Aided,ST,422.0,929.0
2013,Nashik,Government Aided,ORC,,
2013,Nashik,Government Aided,Others,,
2013,Nashik,Private Unaided,General,2064.0,513.0
2013,Nashik,Private Unaided,OBC,563.0,256.0
2013,Nashik,Private Unaided,SC,168.0,72.0
2013,Nashik,Private Unaided,ST,91.0,66.0
2013,Nashik,Private Unaided,ORC,,
2013,Nashik,Private Unaided,Others,,
2013,Nashik,Central Govt,General,60.0,32.0
2013,Nashik,Central Govt,OBC,8.0,13.0
2013,Nashik,Central Govt,SC,8.0,9.0
2013,Nashik,Central Govt,ST,2.0,4.0
2013,Nashik,Central Govt,ORC,,
2013,Nashik,Central Govt,Others,,
2013,Nashik,Local body,General,2358.0,2878.0
2013,Nashik,Local body,OBC,1728.0,2401.0
2013,Nashik,Local body,SC,439.0,684.0
2013,Nashik,Local body,ST,628.0,2168.0
2013,Nashik,Local body,ORC,,
2013,Nashik,Local body,Others,,
2013,Nashik,Others,General,672.0,1231.0
2013,Nashik,Others,OBC,339.0,919.0
2013,Nashik,Others,SC,86.0,233.0
2013,Nashik,Others,ST,90.0,384.0
2013,Nashik,Others,ORC,,
2013,Nashik,Others,Others,,
2013,Parbhani,Government Aided,General,681.0,1379.0
2013,Parbhani,Government Aided,OBC,237.0,1076.0
2013,Parbhani,Government Aided,SC,87.0,391.0
2013,Parbhani,Government Aided,ST,47.0,155.0
2013,Parbhani,Government Aided,ORC,10.0,54.0
2013,Parbhani,Government Aided,Others,12.0,32.0
2013,Parbhani,Private Unaided,General,412.0,484.0
2013,Parbhani,Private Unaided,OBC,177.0,272.0
2013,Parbhani,Private Unaided,SC,54.0,109.0
2013,Parbhani,Private Unaided,ST,18.0,44.0
2013,Parbhani,Private Unaided,ORC,,4.0
2013,Parbhani,Private Unaided,Others,11.0,13.0
2013,Parbhani,Central Govt,General,,3.0
2013,Parbhani,Central Govt,OBC,,8.0
2013,Parbhani,Central Govt,SC,1.0,3.0
2013,Parbhani,Central Govt,ST,,2.0
2013,Parbhani,Central Govt,ORC,,
2013,Parbhani,Central Govt,Others,,
2013,Parbhani,Local body,General,616.0,1479.0
2013,Parbhani,Local body,OBC,584.0,1654.0
2013,Parbhani,Local body,SC,163.0,491.0
2013,Parbhani,Local body,ST,80.0,305.0
2013,Parbhani,Local body,ORC,4.0,12.0
2013,Parbhani,Local body,Others,19.0,40.0
2013,Parbhani,Others,General,177.0,672.0
2013,Parbhani,Others,OBC,50.0,383.0
2013,Parbhani,Others,SC,19.0,168.0
2013,Parbhani,Others,ST,10.0,30.0
2013,Parbhani,Others,ORC,,4.0
2013,Parbhani,Others,Others,6.0,42.0
2013,Pune,Government Aided,General,4447.0,4352.0
2013,Pune,Government Aided,OBC,2382.0,3289.0
2013,Pune,Government Aided,SC,1092.0,1337.0
2013,Pune,Government Aided,ST,522.0,588.0
2013,Pune,Government Aided,ORC,,
2013,Pune,Government Aided,Others,214.0,113.0
2013,Pune,Private Unaided,General,9729.0,1264.0
2013,Pune,Private Unaided,OBC,1559.0,435.0
2013,Pune,Private Unaided,SC,674.0,204.0
2013,Pune,Private Unaided,ST,190.0,68.0
2013,Pune,Private Unaided,ORC,,
2013,Pune,Private Unaided,Others,394.0,43.0
2013,Pune,Central Govt,General,271.0,80.0
2013,Pune,Central Govt,OBC,36.0,31.0
2013,Pune,Central Govt,SC,30.0,42.0
2013,Pune,Central Govt,ST,6.0,1.0
2013,Pune,Central Govt,ORC,,
2013,Pune,Central Govt,Others,,1.0
2013,Pune,Local body,General,4761.0,3156.0
2013,Pune,Local body,OBC,3043.0,2273.0
2013,Pune,Local body,SC,1036.0,955.0
2013,Pune,Local body,ST,355.0,803.0
2013,Pune,Local body,ORC,,
2013,Pune,Local body,Others,101.0,37.0
2013,Pune,Others,General,2514.0,1455.0
2013,Pune,Others,OBC,710.0,758.0
2013,Pune,Others,SC,284.0,335.0
2013,Pune,Others,ST,104.0,105.0
2013,Pune,Others,ORC,,
2013,Pune,Others,Others,92.0,25.0
2013,Raigad,Government Aided,General,774.0,1162.0
2013,Raigad,Government Aided,OBC,914.0,1470.0
2013,Raigad,Government Aided,SC,222.0,381.0
2013,Raigad,Government Aided,ST,73.0,248.0
2013,Raigad,Government Aided,ORC,,
2013,Raigad,Government Aided,Others,,
2013,Raigad,Private Unaided,General,2010.0,300.0
2013,Raigad,Private Unaided,OBC,848.0,263.0
2013,Raigad,Private Unaided,SC,151.0,55.0
2013,Raigad,Private Unaided,ST,47.0,18.0
2013,Raigad,Private Unaided,ORC,,
2013,Raigad,Private Unaided,Others,,
2013,Raigad,Central Govt,General,51.0,30.0
2013,Raigad,Central Govt,OBC,4.0,5.0
2013,Raigad,Central Govt,SC,9.0,10.0
2013,Raigad,Central Govt,ST,,1.0
2013,Raigad,Central Govt,ORC,,
2013,Raigad,Central Govt,Others,,
2013,Raigad,Local body,General,1025.0,1144.0
2013,Raigad,Local body,OBC,1989.0,2552.0
2013,Raigad,Local body,SC,417.0,522.0
2013,Raigad,Local body,ST,166.0,537.0
2013,Raigad,Local body,ORC,,
2013,Raigad,Local body,Others,,
2013,Raigad,Others,General,410.0,272.0
2013,Raigad,Others,OBC,412.0,389.0
2013,Raigad,Others,SC,80.0,99.0
2013,Raigad,Others,ST,30.0,54.0
2013,Raigad,Others,ORC,,
2013,Raigad,Others,Others,,
2013,Ratnagiri,Government Aided,General,455.0,948.0
2013,Ratnagiri,Government Aided,OBC,296.0,759.0
2013,Ratnagiri,Government Aided,SC,100.0,291.0
2013,Ratnagiri,Government Aided,ST,29.0,113.0
2013,Ratnagiri,Government Aided,ORC,,
2013,Ratnagiri,Government Aided,Others,25.0,49.0
2013,Ratnagiri,Private Unaided,General,389.0,92.0
2013,Ratnagiri,Private Unaided,OBC,165.0,84.0
2013,Ratnagiri,Private Unaided,SC,34.0,22.0
2013,Ratnagiri,Private Unaided,ST,5.0,4.0
2013,Ratnagiri,Private Unaided,ORC,,
2013,Ratnagiri,Private Unaided,Others,13.0,
2013,Ratnagiri,Central Govt,General,9.0,5.0
2013,Ratnagiri,Central Govt,OBC,12.0,3.0
2013,Ratnagiri,Central Govt,SC,4.0,6.0
2013,Ratnagiri,Central Govt,ST,1.0,1.0
2013,Ratnagiri,Central Govt,ORC,,
2013,Ratnagiri,Central Govt,Others,,
2013,Ratnagiri,Local body,General,1577.0,1745.0
2013,Ratnagiri,Local body,OBC,1233.0,2187.0
2013,Ratnagiri,Local body,SC,410.0,765.0
2013,Ratnagiri,Local body,ST,133.0,385.0
2013,Ratnagiri,Local body,ORC,,
2013,Ratnagiri,Local body,Others,15.0,7.0
2013,Ratnagiri,Others,General,278.0,521.0
2013,Ratnagiri,Others,OBC,142.0,339.0
2013,Ratnagiri,Others,SC,54.0,146.0
2013,Ratnagiri,Others,ST,6.0,33.0
2013,Ratnagiri,Others,ORC,,
2013,Ratnagiri,Others,Others,5.0,22.0
2013,Sangli,Government Aided,General,1643.0,2766.0
2013,Sangli,Government Aided,OBC,794.0,1772.0
2013,Sangli,Government Aided,SC,348.0,762.0
2013,Sangli,Government Aided,ST,84.0,268.0
2013,Sangli,Government Aided,ORC,,
2013,Sangli,Government Aided,Others,,
2013,Sangli,Private Unaided,General,655.0,213.0
2013,Sangli,Private Unaided,OBC,177.0,115.0
2013,Sangli,Private Unaided,SC,83.0,61.0
2013,Sangli,Private Unaided,ST,6.0,10.0
2013,Sangli,Private Unaided,ORC,,
2013,Sangli,Private Unaided,Others,,
2013,Sangli,Central Govt,General,1.0,7.0
2013,Sangli,Central Govt,OBC,,8.0
2013,Sangli,Central Govt,SC,1.0,4.0
2013,Sangli,Central Govt,ST,,
2013,Sangli,Central Govt,ORC,,
2013,Sangli,Central Govt,Others,,
2013,Sangli,Local body,General,1612.0,1398.0
2013,Sangli,Local body,OBC,983.0,1435.0
2013,Sangli,Local body,SC,370.0,603.0
2013,Sangli,Local body,ST,122.0,257.0
2013,Sangli,Local body,ORC,,
2013,Sangli,Local body,Others,,
2013,Sangli,Others,General,441.0,651.0
2013,Sangli,Others,OBC,148.0,304.0
2013,Sangli,Others,SC,68.0,123.0
2013,Sangli,Others,ST,5.0,20.0
2013,Sangli,Others,ORC,,
2013,Sangli,Others,Others,,
2013,Satara,Government Aided,General,1406.0,2467.0
2013,Satara,Government Aided,OBC,766.0,1825.0
2013,Satara,Government Aided,SC,320.0,667.0
2013,Satara,Government Aided,ST,116.0,361.0
2013,Satara,Government Aided,ORC,,
2013,Satara,Government Aided,Others,,
2013,Satara,Private Unaided,General,966.0,293.0
2013,Satara,Private Unaided,OBC,332.0,153.0
2013,Satara,Private Unaided,SC,114.0,74.0
2013,Satara,Private Unaided,ST,21.0,20.0
2013,Satara,Private Unaided,ORC,,
2013,Satara,Private Unaided,Others,,
2013,Satara,Central Govt,General,7.0,33.0
2013,Satara,Central Govt,OBC,2.0,6.0
2013,Satara,Central Govt,SC,,6.0
2013,Satara,Central Govt,ST,,
2013,Satara,Central Govt,ORC,,
2013,Satara,Central Govt,Others,,1.0
2013,Satara,Local body,General,2119.0,2167.0
2013,Satara,Local body,OBC,1460.0,1615.0
2013,Satara,Local body,SC,538.0,721.0
2013,Satara,Local body,ST,181.0,443.0
2013,Satara,Local body,ORC,,
2013,Satara,Local body,Others,,
2013,Satara,Others,General,537.0,769.0
2013,Satara,Others,OBC,169.0,435.0
2013,Satara,Others,SC,83.0,182.0
2013,Satara,Others,ST,14.0,52.0
2013,Satara,Others,ORC,,
2013,Satara,Others,Others,,
2013,Sindhudurg,Government Aided,General,380.0,755.0
2013,Sindhudurg,Government Aided,OBC,203.0,448.0
2013,Sindhudurg,Government Aided,SC,94.0,212.0
2013,Sindhudurg,Government Aided,ST,21.0,77.0
2013,Sindhudurg,Government Aided,ORC,,
2013,Sindhudurg,Government Aided,Others,,
2013,Sindhudurg,Private Unaided,General,222.0,61.0
2013,Sindhudurg,Private Unaided,OBC,75.0,30.0
2013,Sindhudurg,Private Unaided,SC,11.0,10.0
2013,Sindhudurg,Private Unaided,ST,4.0,4.0
2013,Sindhudurg,Private Unaided,ORC,,
2013,Sindhudurg,Private Unaided,Others,1.0,
2013,Sindhudurg,Central Govt,General,3.0,7.0
2013,Sindhudurg,Central Govt,OBC,2.0,4.0
2013,Sindhudurg,Central Govt,SC,,3.0
2013,Sindhudurg,Central Govt,ST,,1.0
2013,Sindhudurg,Central Govt,ORC,,
2013,Sindhudurg,Central Govt,Others,,
2013,Sindhudurg,Local body,General,1124.0,859.0
2013,Sindhudurg,Local body,OBC,702.0,765.0
2013,Sindhudurg,Local body,SC,210.0,304.0
2013,Sindhudurg,Local body,ST,83.0,188.0
2013,Sindhudurg,Local body,ORC,,
2013,Sindhudurg,Local body,Others,,
2013,Sindhudurg,Others,General,114.0,256.0
2013,Sindhudurg,Others,OBC,52.0,108.0
2013,Sindhudurg,Others,SC,24.0,52.0
2013,Sindhudurg,Others,ST,6.0,15.0
2013,Sindhudurg,Others,ORC,,
2013,Sindhudurg,Others,Others,,1.0
2013,Solapur,Government Aided,General,2225.0,5177.0
2013,Solapur,Government Aided,OBC,1273.0,3153.0
2013,Solapur,Government Aided,SC,431.0,1200.0
2013,Solapur,Government Aided,ST,145.0,313.0
2013,Solapur,Government Aided,ORC,,
2013,Solapur,Government Aided,Others,83.0,62.0
2013,Solapur,Private Unaided,General,800.0,635.0
2013,Solapur,Private Unaided,OBC,414.0,365.0
2013,Solapur,Private Unaided,SC,132.0,138.0
2013,Solapur,Private Unaided,ST,58.0,60.0
2013,Solapur,Private Unaided,ORC,,
2013,Solapur,Private Unaided,Others,98.0,24.0
2013,Solapur,Central Govt,General,15.0,25.0
2013,Solapur,Central Govt,OBC,4.0,14.0
2013,Solapur,Central Govt,SC,2.0,8.0
2013,Solapur,Central Govt,ST,,
2013,Solapur,Central Govt,ORC,,
2013,Solapur,Central Govt,Others,,
2013,Solapur,Local body,General,1837.0,3140.0
2013,Solapur,Local body,OBC,1375.0,2643.0
2013,Solapur,Local body,SC,456.0,1015.0
2013,Solapur,Local body,ST,145.0,505.0
2013,Solapur,Local body,ORC,,
2013,Solapur,Local body,Others,7.0,14.0
2013,Solapur,Others,General,266.0,897.0
2013,Solapur,Others,OBC,132.0,486.0
2013,Solapur,Others,SC,48.0,184.0
2013,Solapur,Others,ST,5.0,48.0
2013,Solapur,Others,ORC,,
2013,Solapur,Others,Others,10.0,9.0
2013,Wardha,Government Aided,General,184.0,256.0
2013,Wardha,Government Aided,OBC,812.0,1743.0
2013,Wardha,Government Aided,SC,179.0,331.0
2013,Wardha,Government Aided,ST,85.0,129.0
