Year,District,Taluka,Kharif,Rabi
2019,Ahilyanagar,Kopargaon,10397.0,20257.0
2019,Ahilyanagar,Rahata,8930.0,22687.0
2019,Ahilyanagar,Srirampur,9158.0,23658.0
2019,Ahilyanagar,Nevasa,11430.0,37263.0
2019,Ahilyanagar,Shevgaon,10890.0,24726.0
2019,Ahilyanagar,Pathardi,10114.0,16753.0
2019,Ahilyanagar,Nagar,44838.0,17611.0
2019,Ahilyanagar,Rahuri,11345.0,25675.0
2019,Ahilyanagar,Parner,8424.0,19537.0
2019,Ahilyanagar,Srigonda,9042.0,32864.0
2019,Ahilyanagar,Karjat,9358.0,17785.0
2019,Ahilyanagar,Jamkhed,8807.0,11746.0
2020,Ahilyanagar,Akole,7804.0,14255.0
2020,Ahilyanagar,Sangamner,14113.0,33934.0
2020,Ahilyanagar,Kopargaon,9252.0,18590.0
2020,Ahilyanagar,Rahata,10000.0,15883.0
2020,Ahilyanagar,Srirampur,12065.0,18829.0
2020,Ahilyanagar,Nevasa,21664.0,39853.0
2020,Ahilyanagar,Shevgaon,16512.0,25228.0
2020,Ahilyanagar,Pathardi,10822.0,13069.0
2020,Ahilyanagar,Nagar,13034.0,29097.0
2020,Ahilyanagar,Rahuri,11508.0,24081.0
2020,Ahilyanagar,Parner,8818.0,26191.0
2020,Ahilyanagar,Srigonda,16343.0,32696.0
2020,Ahilyanagar,Karjat,11718.0,17626.0
2020,Ahilyanagar,Jamkhed,10776.0,14705.0
2021,Ahilyanagar,Akole,13919.0,16920.0
2021,Ahilyanagar,Sangamner,23391.0,25774.0
2021,Ahilyanagar,Kopargaon,14789.0,19752.0
2021,Ahilyanagar,Rahata,15691.0,18461.0
2021,Ahilyanagar,Srirampur,16846.0,17983.0
2021,Ahilyanagar,Nevasa,36274.0,27410.0
2021,Ahilyanagar,Shevgaon,22316.0,20890.0
2021,Ahilyanagar,Pathardi,14380.0,18980.0
2021,Ahilyanagar,Nagar,24678.0,22108.0
2021,Ahilyanagar,Rahuri,20425.0,20740.0
2021,Ahilyanagar,Parner,13799.0,20343.0
2021,Ahilyanagar,Srigonda,25828.0,23752.0
2021,Ahilyanagar,Karjat,20112.0,22543.0
2021,Ahilyanagar,Jamkhed,14954.0,15763.0
2012,Akola,Telhara,10344.0,8787.0
2012,Akola,Akot,11399.0,14454.0
2012,Akola,Balapur,10759.0,5513.0
2012,Akola,Akola,15473.0,16934.0
2012,Akola,Murtijapur,9997.0,7834.0
2012,Akola,Patur,9083.0,9906.0
2012,Akola,Barshitakali,8654.0,8630.0
2013,Akola,Telhara,8576.0,7523.0
2013,Akola,Akot,9442.0,11857.0
2013,Akola,Balapur,8237.0,5623.0
2013,Akola,Akola,12420.0,11605.0
2013,Akola,Murtijapur,9016.0,6667.0
2013,Akola,Patur,8485.0,7677.0
2013,Akola,Barshitakali,7953.0,6981.0
2014,Akola,Telhara,7926.0,7528.0
2014,Akola,Akot,8706.0,9767.0
2014,Akola,Balapur,7623.0,3292.0
2014,Akola,Akola,11551.0,14890.0
2014,Akola,Murtijapur,9049.0,7284.0
2014,Akola,Patur,7943.0,7013.0
2014,Akola,Barshitakali,7914.0,5790.0
2015,Akola,Telhara,7528.0,15454.0
2015,Akola,Akot,9767.0,18473.0
2015,Akola,Balapur,3292.0,10915.0
2015,Akola,Akola,14890.0,26441.0
2015,Akola,Murtijapur,7284.0,16333.0
2015,Akola,Patur,7013.0,14956.0
2015,Akola,Barshitakali,5790.0,13704.0
2016,Akola,Telhara,6603.0,3865.0
2016,Akola,Akot,9473.0,8534.0
2016,Akola,Balapur,8154.0,2517.0
2016,Akola,Akola,12206.0,10764.0
2016,Akola,Murtijapur,7806.0,3674.0
2016,Akola,Patur,5581.0,3865.0
2016,Akola,Barshitakali,6142.0,3149.0
2017,Akola,Telhara,7802.0,3272.0
2017,Akola,Akot,8868.0,5769.0
2017,Akola,Balapur,6784.0,2055.0
2017,Akola,Akola,15346.0,6857.0
2017,Akola,Murtijapur,7458.0,2912.0
2017,Akola,Patur,6256.0,2714.0
2017,Akola,Barshitakali,5697.0,2505.0
2018,Akola,Telhara,6829.0,4080.0
2018,Akola,Akot,9151.0,6159.0
2018,Akola,Balapur,7930.0,4071.0
2018,Akola,Akola,12823.0,9130.0
2018,Akola,Murtijapur,7702.0,5202.0
2018,Akola,Patur,5740.0,5260.0
2018,Akola,Barshitakali,6439.0,4665.0
2019,Akola,Telhara,6906.0,6766.0
2019,Akola,Akot,9843.0,10417.0
2019,Akola,Balapur,8305.0,4492.0
2019,Akola,Akola,12779.0,9315.0
2019,Akola,Murtijapur,6384.0,7149.0
2019,Akola,Patur,6231.0,4058.0
2019,Akola,Barshitakali,6968.0,3491.0
2020,Akola,Telhara,11142.0,7778.0
2020,Akola,Akot,14458.0,5235.0
2020,Akola,Balapur,13117.0,4628.0
2020,Akola,Akola,18534.0,8303.0
2020,Akola,Murtijapur,12622.0,7714.0
2020,Akola,Patur,8957.0,3468.0
2020,Akola,Barshitakali,11497.0,3745.0
2021,Akola,Telhara,8421.0,6695.0
2021,Akola,Akot,10701.0,5875.0
2021,Akola,Balapur,9564.0,6606.0
2021,Akola,Akola,17952.0,13086.0
2021,Akola,Murtijapur,11237.0,9596.0
2021,Akola,Patur,6618.0,4137.0
2021,Akola,Barshitakali,10599.0,5578.0
