Year,District,Taluka,Total Irrigation Wells,Wells In Use With Diesel Pump,Wells In Use With Electric Pump,Irrigation Wells Not in Use
2018,Ahilyanagar,Akole,3660,430.0,2648.0,582
2018,Ahilyanagar,Sangamner,14129,150.0,12997.0,982
2018,Ahilyanagar,Kopargaon,4647,0.0,4400.0,247
2018,Ahilyanagar,Rahata,16541,0.0,12239.0,4302
2018,Ahilyanagar,Srirampur,10316,0.0,9366.0,950
2018,Ahilyanagar,Nevasa,11603,0.0,9972.0,1631
2018,Ahilyanagar,Shevgaon,7021,102.0,5814.0,1105
2018,Ahilyanagar,Pathardi,10735,166.0,9676.0,893
2018,Ahilyanagar,Nagar,19504,50.0,17383.0,2071
2018,Ahilyanagar,Rahuri,22254,71.0,19041.0,3142
2018,Ahilyanagar,Parner,18263,92.0,14511.0,3660
2018,Ahilyanagar,Srigonda,8006,288.0,6205.0,1513
2018,Ahilyanagar,Karjat,14559,110.0,11792.0,2657
2018,Ahilyanagar,Jamkhed,6023,51.0,4783.0,1189
2019,Ahilyanagar,Akole,3660,430.0,2648.0,582
2019,Ahilyanagar,Sangamner,14129,150.0,12997.0,982
2019,Ahilyanagar,Kopargaon,4647,0.0,4400.0,247
2019,Ahilyanagar,Rahata,16541,0.0,12239.0,4302
2019,Ahilyanagar,Srirampur,10316,0.0,9366.0,950
2019,Ahilyanagar,Nevasa,11603,0.0,9972.0,1631
2019,Ahilyanagar,Shevgaon,7021,102.0,5814.0,1105
2019,Ahilyanagar,Pathardi,10735,166.0,9676.0,893
2019,Ahilyanagar,Nagar,19504,50.0,17383.0,2071
2019,Ahilyanagar,Rahuri,22254,71.0,19041.0,3142
2019,Ahilyanagar,Parner,18263,92.0,14511.0,3660
2019,Ahilyanagar,Srigonda,8006,288.0,6205.0,1513
2019,Ahilyanagar,Karjat,14559,110.0,11792.0,2657
2019,Ahilyanagar,Jamkhed,6023,51.0,4783.0,1189
2020,Ahilyanagar,Akole,3660,430.0,18545.0,582
2020,Ahilyanagar,Sangamner,14129,150.0,39302.0,982
2020,Ahilyanagar,Kopargaon,4647,0.0,17573.0,247
2020,Ahilyanagar,Rahata,16541,0.0,31956.0,4302
2020,Ahilyanagar,Srirampur,10316,0.0,17419.0,950
2020,Ahilyanagar,Nevasa,11603,0.0,37990.0,1631
2020,Ahilyanagar,Shevgaon,7021,102.0,27337.0,1105
2020,Ahilyanagar,Pathardi,10735,166.0,23200.0,893
2020,Ahilyanagar,Nagar,19504,50.0,24088.0,2071
2020,Ahilyanagar,Rahuri,22254,71.0,30393.0,3142
2020,Ahilyanagar,Parner,18263,92.0,29734.0,3660
2020,Ahilyanagar,Srigonda,8006,288.0,38738.0,1513
2020,Ahilyanagar,Karjat,14559,110.0,25924.0,2657
2020,Ahilyanagar,Jamkhed,6023,51.0,14016.0,1189
2021,Ahilyanagar,Akole,3660,430.0,19237.0,582
2021,Ahilyanagar,Sangamner,14129,150.0,40180.0,982
2021,Ahilyanagar,Kopargaon,4647,0.0,17922.0,247
2021,Ahilyanagar,Rahata,16541,0.0,32547.0,4302
2021,Ahilyanagar,Srirampur,10316,0.0,17761.0,950
2021,Ahilyanagar,Nevasa,11603,0.0,39222.0,1631
2021,Ahilyanagar,Shevgaon,7021,102.0,28574.0,1105
2021,Ahilyanagar,Pathardi,10735,166.0,23556.0,893
2021,Ahilyanagar,Nagar,19504,50.0,24780.0,2071
2021,Ahilyanagar,Rahuri,22254,71.0,31147.0,3142
2021,Ahilyanagar,Parner,18263,92.0,30059.0,3660
2021,Ahilyanagar,Srigonda,8006,288.0,39344.0,1513
2021,Ahilyanagar,Karjat,14559,110.0,27579.0,2657
2021,Ahilyanagar,Jamkhed,6023,51.0,14215.0,1189
2012,Akola,Telhara,1832,50.0,0.0,80
2012,Akola,Akot,4407,29.0,0.0,448
2012,Akola,Balapur,1085,52.0,0.0,350
2012,Akola,Akola,1010,88.0,0.0,131
2012,Akola,Murtijapur,1811,42.0,0.0,180
2012,Akola,Patur,4112,74.0,0.0,1512
2012,Akola,Barshitakali,1584,49.0,0.0,34
2013,Akola,Telhara,4790,0.0,4490.0,300
2013,Akola,Akot,1692,15.0,1321.0,356
2013,Akola,Balapur,3250,190.0,2155.0,905
2013,Akola,Akola,2333,26.0,1356.0,951
2013,Akola,Murtijapur,4070,79.0,3377.0,614
2013,Akola,Patur,7429,151.0,5282.0,1996
2013,Akola,Barshitakali,2119,19.0,1685.0,415
2014,Akola,Telhara,4164,0.0,3859.0,305
2014,Akola,Akot,2941,8.0,1811.0,1122
2014,Akola,Balapur,3195,165.0,2095.0,935
2014,Akola,Akola,2369,26.0,1460.0,883
2014,Akola,Murtijapur,3021,104.0,2559.0,358
2014,Akola,Patur,6322,125.0,5007.0,1190
2014,Akola,Barshitakali,2119,19.0,1685.0,415
2015,Akola,Telhara,4068,5225.0,51993.0,10.04
2015,Akola,Akot,13055,16382.0,67767.0,24.17
2015,Akola,Balapur,2095,6180.0,60186.0,10.26
2015,Akola,Akola,2478,7395.0,98098.0,7 .53
2015,Akola,Murtijapur,3400,3107.0,52199.0,5.95
2015,Akola,Patur,1968,5601.0,41602.0,13.46
2015,Akola,Barshitakali,337,2348.0,57148.0,4 .10
2016,Akola,Telhara,4164,0.0,3873.0,291
2016,Akola,Akot,2941,20.0,1886.0,1035
2016,Akola,Balapur,3195,165.0,2095.0,935
2016,Akola,Akola,2369,26.0,1460.0,883
2016,Akola,Murtijapur,4070,115.0,3520.0,441
2016,Akola,Patur,6322,125.0,4999.0,1198
2016,Akola,Barshitakali,2119,19.0,2075.0,25
2017,Akola,Telhara,1226,0.0,933.0,293
2017,Akola,Akot,3277,20.0,2136.0,1121
2017,Akola,Balapur,3195,165.0,2095.0,935
2017,Akola,Akola,1554,26.0,1460.0,68
2017,Akola,Murtijapur,3505,112.0,2600.0,793
2017,Akola,Patur,6548,130.0,5220.0,1198
2017,Akola,Barshitakali,2406,165.0,2075.0,166
2018,Akola,Telhara,3863,0.0,933.0,293
2018,Akola,Akot,4043,51.0,2136.0,1121
2018,Akola,Balapur,3345,240.0,2290.0,935
2018,Akola,Akola,2383,27.0,1475.0,68
2018,Akola,Murtijapur,3807,167.0,2763.0,793
2018,Akola,Patur,7699,175.0,5521.0,1198
2018,Akola,Barshitakali,2119,240.0,2282.0,166
2019,Akola,Telhara,3863,0.0,933.0,293
2019,Akola,Akot,4043,51.0,2136.0,1121
2019,Akola,Balapur,3345,240.0,2290.0,935
2019,Akola,Akola,2383,27.0,1475.0,68
2019,Akola,Murtijapur,3807,167.0,2763.0,793
2019,Akola,Patur,7699,175.0,5521.0,1198
2019,Akola,Barshitakali,2119,240.0,2282.0,166
2020,Akola,Telhara,3863,0.0,933.0,304
2020,Akola,Akot,4043,51.0,2135.0,1254
2020,Akola,Balapur,3345,239.0,2290.0,816
2020,Akola,Akola,2383,27.0,1475.0,79
2020,Akola,Murtijapur,3807,167.0,2761.0,793
2020,Akola,Patur,7699,173.0,5519.0,1186
2020,Akola,Barshitakali,2119,240.0,2274.0,157
2021,Akola,Telhara,3863,0.0,933.0,160
2021,Akola,Akot,4043,51.0,2135.0,1131
2021,Akola,Balapur,3345,239.0,2290.0,353
2021,Akola,Akola,2383,30.0,1475.0,20
2021,Akola,Murtijapur,3800,167.0,2765.0,1260
2021,Akola,Patur,7699,173.0,5519.0,835
2021,Akola,Barshitakali,2119,240.0,2274.0,1139
2012,Amravati,Dharani,132,8.0,15.0,80
2012,Amravati,Chikhraldara,90,465.0,428.0,24
2012,Amravati,Anjangaon Su,1723,0.0,1723.0,47
2012,Amravati,Achalpur,8115,0.0,3580.0,1302
2012,Amravati,Chandurbazar,6371,5022.0,5721.0,709
2012,Amravati,Morshi,10920,15.0,10604.0,699
2012,Amravati,Warud,20206,7.0,0.0,2380
2012,Amravati,Tivas,3624,36.0,3630.0,361
2012,Amravati,Amravati,3374,0.0,3331.0,993
2012,Amravati,Bhatkuli,0,4.0,200.0,0
2012,Amravati,Daryapur,0,0.0,0.0,0
2012,Amravati,Nandgaon Kh,3252,15.0,2455.0,0
2012,Amravati,Chandur Railway,2935,0.0,2810.0,776
2012,Amravati,Dhamangaon Re,2308,55.0,711.0,297
2013,Amravati,Dharani,132,8.0,15.0,80
2013,Amravati,Chikhraldara,90,465.0,428.0,24
2013,Amravati,Anjangaon Su,1723,0.0,1723.0,47
2013,Amravati,Achalpur,8115,0.0,3580.0,1302
2013,Amravati,Chandurbazar,6371,5022.0,5721.0,709
2013,Amravati,Morshi,10920,15.0,10604.0,699
2013,Amravati,Warud,20206,7.0,0.0,2380
2013,Amravati,Tivas,3624,36.0,3630.0,361
2013,Amravati,Amravati,3374,0.0,3331.0,993
2013,Amravati,Bhatkuli,0,4.0,200.0,0
2013,Amravati,Daryapur,0,0.0,0.0,0
