Year,District,Taluka,Ponds or Village Lakes,Storage Dams,Irrigation Wells,Diesel Pumps,Electric Pumps
2017,Ahilyanagar,Nagar,111.0,32,120.0,0,0.0
2017,Ahilyanagar,Rahuri,38.0,10,43.0,1,6270.0
2017,Ahilyanagar,Parner,131.0,19,126.0,0,675.0
2017,Ahilyanagar,Srigonda,98.0,13,79.0,0,0.0
2017,Ahilyanagar,Karjat,106.0,30,101.0,0,0.0
2017,Ahilyanagar,Jamkhed,56.0,14,74.0,0,0.0
2018,Ahilyanagar,Akole,45.0,256,1775.0,0,2257.0
2018,Ahilyanagar,Sangamner,88.0,109,7000.0,0,1611.0
2018,Ahilyanagar,Kopargaon,31.0,67,0.0,0,0.0
2018,Ahilyanagar,Rahata,0.0,29,4942.0,0,35.0
2018,Ahilyanagar,Srirampur,12.0,50,9795.0,0,394.0
2018,Ahilyanagar,Nevasa,10.0,97,2350.0,0,358.0
2018,Ahilyanagar,Shevgaon,36.0,74,0.0,0,0.0
2018,Ahilyanagar,Pathardi,76.0,157,495.0,0,386.0
2018,Ahilyanagar,Nagar,111.0,124,0.0,0,0.0
2018,Ahilyanagar,Rahuri,38.0,45,6270.0,0,115.0
2018,Ahilyanagar,Parner,131.0,135,675.0,0,250.0
2018,Ahilyanagar,Srigonda,98.0,83,0.0,0,0.0
2018,Ahilyanagar,Karjat,106.0,108,0.0,0,0.0
2018,Ahilyanagar,Jamkhed,56.0,75,0.0,0,0.0
2019,Ahilyanagar,Akole,45.0,240,1775.0,0,2257.0
2019,Ahilyanagar,Sangamner,88.0,113,7000.0,0,1611.0
2019,Ahilyanagar,Kopargaon,31.0,67,0.0,0,0.0
2019,Ahilyanagar,Rahata,0.0,29,4942.0,0,35.0
2019,Ahilyanagar,Srirampur,12.0,52,9795.0,0,394.0
2019,Ahilyanagar,Nevasa,10.0,100,2350.0,0,358.0
2019,Ahilyanagar,Shevgaon,36.0,78,0.0,0,0.0
2019,Ahilyanagar,Pathardi,76.0,169,495.0,0,386.0
2019,Ahilyanagar,Nagar,111.0,133,0.0,0,0.0
2019,Ahilyanagar,Rahuri,38.0,45,6270.0,0,115.0
2019,Ahilyanagar,Parner,131.0,143,675.0,0,250.0
2019,Ahilyanagar,Srigonda,98.0,86,0.0,0,0.0
2019,Ahilyanagar,Karjat,106.0,123,0.0,0,0.0
2019,Ahilyanagar,Jamkhed,56.0,78,0.0,0,0.0
2020,Ahilyanagar,Akole,45.0,240,1775.0,0,2257.0
2020,Ahilyanagar,Sangamner,88.0,116,7000.0,0,1611.0
2020,Ahilyanagar,Kopargaon,31.0,67,0.0,0,0.0
2020,Ahilyanagar,Rahata,0.0,29,4942.0,0,35.0
2020,Ahilyanagar,Srirampur,12.0,55,9795.0,0,394.0
2020,Ahilyanagar,Nevasa,10.0,101,2350.0,0,358.0
2020,Ahilyanagar,Shevgaon,36.0,81,0.0,0,0.0
2020,Ahilyanagar,Pathardi,76.0,174,495.0,0,386.0
2020,Ahilyanagar,Nagar,111.0,140,0.0,0,0.0
2020,Ahilyanagar,Rahuri,38.0,45,6270.0,0,115.0
2020,Ahilyanagar,Parner,131.0,150,675.0,0,250.0
2020,Ahilyanagar,Srigonda,98.0,89,0.0,0,0.0
2020,Ahilyanagar,Karjat,106.0,126,0.0,0,0.0
2020,Ahilyanagar,Jamkhed,56.0,78,0.0,0,0.0
2021,Ahilyanagar,Akole,45.0,240,1775.0,0,2257.0
2021,Ahilyanagar,Sangamner,88.0,116,7000.0,0,1611.0
2021,Ahilyanagar,Kopargaon,31.0,67,0.0,0,0.0
2021,Ahilyanagar,Rahata,0.0,29,4942.0,0,35.0
2021,Ahilyanagar,Srirampur,12.0,55,9795.0,0,394.0
2021,Ahilyanagar,Nevasa,10.0,101,2350.0,0,358.0
2021,Ahilyanagar,Shevgaon,36.0,81,0.0,0,0.0
2021,Ahilyanagar,Pathardi,76.0,174,495.0,0,386.0
2021,Ahilyanagar,Nagar,111.0,140,0.0,0,0.0
2021,Ahilyanagar,Rahuri,38.0,45,6270.0,0,115.0
2021,Ahilyanagar,Parner,131.0,150,675.0,0,250.0
2021,Ahilyanagar,Srigonda,98.0,89,0.0,0,0.0
2021,Ahilyanagar,Karjat,106.0,126,0.0,0,0.0
2021,Ahilyanagar,Jamkhed,56.0,78,0.0,0,0.0
2012,Akola,Telhara,3.0,0,5711.0,50,9067.0
2012,Akola,Akot,7.0,3,1026.0,29,7667.0
2012,Akola,Balapur,5.0,0,1158.0,52,4387.0
2012,Akola,Akola,2.0,0,1709.0,88,4031.0
2012,Akola,Murtijapur,6.0,0,2246.0,42,4066.0
2012,Akola,Patur,11.0,0,2684.0,74,5855.0
2012,Akola,Barshitakali,25.0,0,1550.0,49,6686.0
2013,Akola,Telhara,3.0,0,5711.0,50,9968.0
2013,Akola,Akot,7.0,3,1073.0,29,7881.0
2013,Akola,Balapur,5.0,0,1361.0,52,4813.0
2013,Akola,Akola,2.0,0,1839.0,88,4297.0
2013,Akola,Murtijapur,6.0,0,2459.0,42,4307.0
2013,Akola,Patur,11.0,0,2744.0,74,6248.0
2013,Akola,Barshitakali,25.0,0,1550.0,49,6903.0
2014,Akola,Telhara,3.0,0,4164.0,0,3859.0
2014,Akola,Akot,7.0,3,2941.0,8,1811.0
2014,Akola,Balapur,5.0,0,3195.0,165,2095.0
2014,Akola,Akola,2.0,0,2369.0,26,1460.0
2014,Akola,Murtijapur,6.0,0,3021.0,104,2559.0
2014,Akola,Patur,11.0,0,6322.0,125,5007.0
2014,Akola,Barshitakali,25.0,0,2119.0,19,1685.0
2015,Akola,Telhara,3.0,0,0.0,0,4164.0
2015,Akola,Akot,7.0,9,3.0,0,2941.0
2015,Akola,Balapur,5.0,11,0.0,0,3195.0
2015,Akola,Akola,2.0,9,0.0,0,2369.0
2015,Akola,Murtijapur,6.0,63,0.0,0,3021.0
2015,Akola,Patur,11.0,85,0.0,0,6322.0
2015,Akola,Barshitakali,25.0,32,0.0,0,2119.0
2016,Akola,Telhara,3.0,0,4164.0,0,3859.0
2016,Akola,Akot,7.0,6,2941.0,20,1790.0
2016,Akola,Balapur,1.0,12,3195.0,165,2095.0
2016,Akola,Akola,1.0,15,2369.0,26,1460.0
2016,Akola,Murtijapur,3.0,27,4070.0,109,2600.0
2016,Akola,Patur,9.0,0,6322.0,125,5220.0
2016,Akola,Barshitakali,17.0,11,2119.0,19,1685.0
2017,Akola,Telhara,6.0,13,1226.0,0,933.0
2017,Akola,Akot,7.0,21,3277.0,20,2136.0
2017,Akola,Balapur,3.0,14,3195.0,165,2095.0
2017,Akola,Akola,3.0,19,1554.0,26,1460.0
2017,Akola,Murtijapur,1.0,18,3505.0,112,2600.0
2017,Akola,Patur,9.0,18,6548.0,130,5220.0
2017,Akola,Barshitakali,17.0,8,2406.0,165,2075.0
2018,Akola,Telhara,40.0,0,3863.0,0,933.0
2018,Akola,Akot,26.0,15,4043.0,51,2136.0
2018,Akola,Balapur,25.0,28,3345.0,240,2290.0
2018,Akola,Akola,35.0,79,2383.0,27,1475.0
2018,Akola,Murtijapur,30.0,29,3807.0,167,2763.0
2018,Akola,Patur,28.0,31,7699.0,175,5521.0
2018,Akola,Barshitakali,38.0,39,2119.0,240,2282.0
2019,Akola,Telhara,3.0,0,3863.0,0,933.0
2019,Akola,Akot,0.0,15,4043.0,51,2136.0
2019,Akola,Balapur,4.0,28,3345.0,240,2290.0
2019,Akola,Akola,2.0,79,2383.0,27,1475.0
2019,Akola,Murtijapur,4.0,29,3807.0,167,2763.0
2019,Akola,Patur,0.0,31,7699.0,175,5521.0
2019,Akola,Barshitakali,3.0,39,2119.0,240,2282.0
2020,Akola,Telhara,38.0,0,3863.0,0,933.0
2020,Akola,Akot,27.0,15,4043.0,51,2135.0
2020,Akola,Balapur,20.0,28,3345.0,239,2290.0
2020,Akola,Akola,33.0,79,2383.0,27,1475.0
2020,Akola,Murtijapur,26.0,29,3807.0,167,2761.0
2020,Akola,Patur,28.0,31,7699.0,173,5519.0
2020,Akola,Barshitakali,38.0,39,2119.0,240,2274.0
2021,Akola,Telhara,38.0,0,3863.0,0,933.0
2021,Akola,Akot,26.0,16,4043.0,51,2135.0
2021,Akola,Balapur,20.0,28,3345.0,239,2290.0
2021,Akola,Akola,33.0,79,2383.0,30,1475.0
2021,Akola,Murtijapur,26.0,29,3800.0,167,2765.0
2021,Akola,Patur,28.0,31,7699.0,173,5519.0
2021,Akola,Barshitakali,38.0,40,2119.0,240,2274.0
2012,Amravati,Dharani,15.0,143,132.0,8,15.0
2012,Amravati,Chikhraldara,28.0,182,90.0,465,428.0
2012,Amravati,Anjangaon Su,1.0,3,1723.0,0,1723.0
2012,Amravati,Achalpur,11.0,54,8115.0,0,3580.0
2012,Amravati,Chandurbazar,4.0,40,6371.0,5022,5721.0
2012,Amravati,Morshi,4.0,62,10920.0,15,10604.0
2012,Amravati,Warud,15.0,56,20206.0,7,0.0
2012,Amravati,Tivas,9.0,39,3624.0,36,3630.0
2012,Amravati,Amravati,9.0,24,3374.0,0,3331.0
2012,Amravati,Bhatkuli,,17,0.0,4,200.0
2012,Amravati,Daryapur,1.0,26,0.0,0,0.0
2012,Amravati,Nandgaon Kh,9.0,53,3252.0,15,2455.0
2012,Amravati,Chandur Railway,3.0,101,2935.0,0,2810.0
2012,Amravati,Dhamangaon Re,2.0,7,2308.0,55,711.0
2013,Amravati,Dharani,14.0,0,466.0,,228.0
2013,Amravati,Chikhraldara,12.0,2,139.0,,
2013,Amravati,Anjangaon Su,1.0,4,1728.0,,921.0
2013,Amravati,Achalpur,8.0,9,668.0,,307.0
2013,Amravati,Chandurbazar,6.0,2,201.0,,
2013,Amravati,Morshi,4.0,3,401.0,,
2013,Amravati,Warud,13.0,2,1459.0,,90.0
2013,Amravati,Tivas,7.0,2,591.0,,84.0
2013,Amravati,Amravati,8.0,0,694.0,,125.0
2013,Amravati,Bhatkuli,0.0,2,358.0,,
2013,Amravati,Daryapur,1.0,4,48.0,,
2013,Amravati,Nandgaon Kh,4.0,1,1157.0,,131.0
2013,Amravati,Chandur Railway,4.0,1,915.0,,174.0
2013,Amravati,Dhamangaon Re,1.0,0,539.0,,
2014,Amravati,Dharani,14.0,0,171.0,,
2014,Amravati,Chikhraldara,12.0,2,148.0,,
2014,Amravati,Anjangaon Su,1.0,6,465.0,,
2014,Amravati,Achalpur,8.0,8,362.0,,
2014,Amravati,Chandurbazar,6.0,2,209.0,,
2014,Amravati,Morshi,4.0,0,208.0,,
2014,Amravati,Warud,13.0,0,0.0,,
2014,Amravati,Tivas,7.0,0,509.0,,
2014,Amravati,Amravati,8.0,0,528.0,,
2014,Amravati,Bhatkuli,0.0,2,388.0,,
2014,Amravati,Daryapur,1.0,7,85.0,,
2014,Amravati,Nandgaon Kh,4.0,0,1062.0,,
2014,Amravati,Chandur Railway,4.0,0,739.0,,
2014,Amravati,Dhamangaon Re,1.0,0,606.0,,
2015,Amravati,Dharani,15.0,2,282.0,,3080.0
2015,Amravati,Chikhraldara,12.0,7,163.0,,2626.0
2015,Amravati,Anjangaon Su,1.0,7,471.0,,11030.0
2015,Amravati,Achalpur,7.0,8,407.0,,16602.0
2015,Amravati,Chandurbazar,6.0,2,212.0,,7400.0
2015,Amravati,Morshi,4.0,2,228.0,,13510.0
2015,Amravati,Warud,8.0,0,0.0,,20121.0
2015,Amravati,Tivas,6.0,0,615.0,,7330.0
2015,Amravati,Amravati,8.0,0,573.0,,6912.0
2015,Amravati,Bhatkuli,0.0,2,420.0,,1672.0
2015,Amravati,Daryapur,1.0,7,186.0,,3257.0
2015,Amravati,Nandgaon Kh,5.0,0,1066.0,,10394.0
2015,Amravati,Chandur Railway,4.0,0,896.0,,5930.0
2015,Amravati,Dhamangaon Re,1.0,0,741.0,,8071.0
2016,Amravati,Dharani,15.0,3,388.0,,4236.0
2016,Amravati,Chikhraldara,12.0,7,204.0,,1010.0
2016,Amravati,Anjangaon Su,1.0,7,473.0,,10325.0
2016,Amravati,Achalpur,7.0,8,455.0,,15882.0
2016,Amravati,Chandurbazar,6.0,2,300.0,,15860.0
2016,Amravati,Morshi,4.0,2,270.0,,16196.0
2016,Amravati,Warud,8.0,1,0.0,,23897.0
2016,Amravati,Tivas,6.0,0,731.0,,11077.0
2016,Amravati,Amravati,8.0,0,643.0,,10404.0
2016,Amravati,Bhatkuli,0.0,2,477.0,,2819.0
2016,Amravati,Daryapur,1.0,7,210.0,,3470.0
2016,Amravati,Nandgaon Kh,5.0,0,1090.0,,10701.0
2016,Amravati,Chandur Railway,4.0,0,1002.0,,4990.0
2016,Amravati,Dhamangaon Re,1.0,0,795.0,,8867.0
2017,Amravati,Dharani,17.0,3,792.0,,4524.0
2017,Amravati,Chikhraldara,29.0,8,383.0,,1035.0
2017,Amravati,Anjangaon Su,1.0,9,638.0,,10651.0
2017,Amravati,Achalpur,12.0,9,487.0,,16165.0
2017,Amravati,Chandurbazar,10.0,5,399.0,,15993.0
2017,Amravati,Morshi,7.0,2,407.0,,16624.0
2017,Amravati,Warud,16.0,1,0.0,,24213.0
2017,Amravati,Tivas,14.0,1,995.0,,11186.0
2017,Amravati,Amravati,8.0,0,881.0,,10498.0
2017,Amravati,Bhatkuli,0.0,2,553.0,,2943.0
2017,Amravati,Daryapur,1.0,7,301.0,,3852.0
2017,Amravati,Nandgaon Kh,11.0,0,1224.0,,10840.0
2017,Amravati,Chandur Railway,5.0,2,1112.0,,5079.0
2017,Amravati,Dhamangaon Re,1.0,1,954.0,,9175.0
2018,Amravati,Dharani,19.0,8,807.0,,3764.0
2018,Amravati,Chikhraldara,94.0,11,406.0,,2782.0
2018,Amravati,Anjangaon Su,2.0,10,638.0,,12170.0
2018,Amravati,Achalpur,22.0,9,487.0,,18355.0
2018,Amravati,Chandurbazar,28.0,8,396.0,,8371.0
2018,Amravati,Morshi,10.0,1,407.0,,14706.0
2018,Amravati,Warud,19.0,3,0.0,,21181.0
2018,Amravati,Tivas,16.0,1,1008.0,,7819.0
2018,Amravati,Amravati,8.0,0,881.0,,7771.0
2018,Amravati,Bhatkuli,0.0,2,568.0,,2207.0
2018,Amravati,Daryapur,3.0,7,301.0,,5023.0
2018,Amravati,Nandgaon Kh,12.0,0,1224.0,,11493.0
2018,Amravati,Chandur Railway,11.0,2,1112.0,,6585.0
2018,Amravati,Dhamangaon Re,2.0,0,954.0,,9204.0
2019,Amravati,Dharani,19.0,20,807.0,,3790.0
2019,Amravati,Chikhraldara,94.0,14,406.0,,2831.0
2019,Amravati,Anjangaon Su,2.0,10,638.0,,12435.0
2019,Amravati,Achalpur,22.0,10,487.0,,18593.0
2019,Amravati,Chandurbazar,28.0,8,396.0,,8496.0
2019,Amravati,Morshi,10.0,1,407.0,,14922.0
2019,Amravati,Warud,20.0,4,0.0,,21363.0
2019,Amravati,Tivas,16.0,1,1008.0,,8000.0
2019,Amravati,Amravati,8.0,0,881.0,,7796.0
2019,Amravati,Bhatkuli,0.0,2,568.0,,2307.0
2019,Amravati,Daryapur,3.0,7,301.0,,5253.0
2019,Amravati,Nandgaon Kh,12.0,0,1224.0,,11726.0
2019,Amravati,Chandur Railway,11.0,3,1112.0,,6712.0
2019,Amravati,Dhamangaon Re,2.0,2,954.0,,9448.0
2020,Amravati,Dharani,72.0,23,1041.0,,3851.0
2020,Amravati,Chikhraldara,256.0,19,406.0,,2846.0
2020,Amravati,Anjangaon Su,4.0,10,748.0,,12556.0
2020,Amravati,Achalpur,57.0,10,4713.0,,18805.0
2020,Amravati,Chandurbazar,55.0,10,1650.0,,8664.0
2020,Amravati,Morshi,21.0,1,502.0,,15000.0
2020,Amravati,Warud,28.0,4,642.0,,21491.0
2020,Amravati,Tivas,22.0,1,1195.0,,8084.0
2020,Amravati,Amravati,13.0,0,1041.0,,7837.0
2020,Amravati,Bhatkuli,10.0,2,568.0,,2333.0
2020,Amravati,Daryapur,21.0,7,301.0,,5300.0
2020,Amravati,Nandgaon Kh,15.0,0,1257.0,,11860.0
2020,Amravati,Chandur Railway,18.0,3,1176.0,,6758.0
2020,Amravati,Dhamangaon Re,2.0,3,954.0,,9563.0
2021,Amravati,Dharani,72.0,26,1171.0,,4272.0
2021,Amravati,Chikhraldara,256.0,21,406.0,,3044.0
2021,Amravati,Anjangaon Su,4.0,10,1388.0,,12895.0
2021,Amravati,Achalpur,57.0,9,3488.0,,19333.0
2021,Amravati,Chandurbazar,55.0,9,1925.0,,9284.0
2021,Amravati,Morshi,21.0,1,502.0,,15827.0
2021,Amravati,Warud,26.0,5,118.0,,24189.0
2021,Amravati,Tivas,22.0,1,1008.0,,8498.0
2021,Amravati,Amravati,12.0,0,881.0,,9708.0
2021,Amravati,Bhatkuli,9.0,2,568.0,,2838.0
2021,Amravati,Daryapur,18.0,7,301.0,,5948.0
2021,Amravati,Nandgaon Kh,14.0,0,1254.0,,12864.0
2021,Amravati,Chandur Railway,16.0,3,1118.0,,7628.0
2021,Amravati,Dhamangaon Re,2.0,2,954.0,,10387.0
2013,Beed,Ashti,44.0,0,119.0,115,400.0
2013,Beed,Patoda,43.0,0,59.0,70,2600.0
2013,Beed,Shirur Kasar,40.0,0,71.0,0,400.0
2013,Beed,Gevrai,4.0,0,0.0,25,500.0
2013,Beed,Majalgaon,12.0,0,60.0,23,2394.0
2013,Beed,Wadwani,12.0,0,45.0,105,510.0
2013,Beed,Beed,42.0,0,178.0,355,7500.0
2013,Beed,Cage,110.0,0,111.0,272,3210.0
2013,Beed,Dharur,94.0,0,23.0,30,1500.0
2013,Beed,Parli,55.0,0,73.0,0,980.0
2013,Beed,Ambajogai,68.0,0,56.0,25,9880.0
2014,Beed,Ashti,44.0,0,119.0,115,400.0
2014,Beed,Patoda,43.0,0,59.0,70,2600.0
2014,Beed,Shirur Kasar,40.0,0,71.0,0,400.0
2014,Beed,Gevrai,4.0,0,0.0,25,500.0
2014,Beed,Majalgaon,12.0,0,60.0,23,2394.0
2014,Beed,Wadwani,12.0,0,45.0,105,510.0
2014,Beed,Beed,42.0,0,178.0,355,7500.0
2014,Beed,Cage,110.0,0,111.0,272,3210.0
2014,Beed,Dharur,94.0,0,23.0,30,1500.0
2014,Beed,Parli,55.0,0,73.0,0,980.0
2014,Beed,Ambajogai,68.0,0,56.0,25,9880.0
2015,Beed,Ashti,312.0,0,119.0,115,400.0
2015,Beed,Patoda,180.0,0,59.0,70,2600.0
2015,Beed,Shirur Kasar,142.0,0,71.0,0,400.0
2015,Beed,Gevrai,73.0,0,0.0,25,500.0
2015,Beed,Majalgaon,21.0,0,60.0,23,2394.0
2015,Beed,Wadwani,34.0,0,45.0,105,510.0
2015,Beed,Beed,158.0,0,178.0,355,7500.0
2015,Beed,Cage,72.0,0,111.0,272,3210.0
2015,Beed,Dharur,36.0,0,23.0,30,1500.0
2015,Beed,Parli,29.0,0,73.0,0,980.0
2015,Beed,Ambajogai,30.0,0,56.0,25,9880.0
2016,Beed,Ashti,312.0,0,15343.0,0,0.0
2016,Beed,Patoda,180.0,0,4206.0,0,0.0
2016,Beed,Shirur Kasar,142.0,0,3135.0,0,0.0
2016,Beed,Gevrai,73.0,0,8113.0,0,0.0
2016,Beed,Majalgaon,21.0,0,6663.0,0,0.0
2016,Beed,Wadwani,34.0,0,934.0,0,0.0
2016,Beed,Beed,158.0,0,7918.0,0,0.0
2016,Beed,Cage,73.0,0,8552.0,0,0.0
2016,Beed,Dharur,36.0,0,2705.0,0,0.0
2016,Beed,Parli,29.0,0,7529.0,0,0.0
2016,Beed,Ambajogai,30.0,0,8665.0,0,0.0
2017,Beed,Ashti,483.0,229,26876.0,51,26876.0
2017,Beed,Patoda,325.0,174,6510.0,17,6510.0
2017,Beed,Shirur Kasar,68.0,187,7467.0,0,7467.0
2017,Beed,Gevrai,194.0,200,25046.0,25,25046.0
2017,Beed,Majalgaon,10.0,129,26300.0,31,26300.0
2017,Beed,Wadwani,35.0,74,2970.0,21,2970.0
2017,Beed,Beed,117.0,348,14663.0,16,14663.0
2017,Beed,Cage,115.0,208,23420.0,24,23420.0
2017,Beed,Dharur,44.0,109,4506.0,15,4506.0
2017,Beed,Parli,92.0,270,11220.0,27,11220.0
2017,Beed,Ambajogai,102.0,235,22751.0,59,22751.0
2018,Beed,Ashti,794.0,7,904.0,3,19258.0
2018,Beed,Patoda,503.0,6,810.0,32,7457.0
2018,Beed,Shirur Kasar,210.0,1,162.0,3,9953.0
2018,Beed,Gevrai,265.0,0,942.0,7,25107.0
2018,Beed,Majalgaon,31.0,0,806.0,3,11276.0
2018,Beed,Wadwani,69.0,0,466.0,2,13398.0
2018,Beed,Beed,270.0,1,1246.0,3,25670.0
2018,Beed,Cage,188.0,0,908.0,20,19855.0
2018,Beed,Dharur,80.0,0,257.0,1,10190.0
2018,Beed,Parli,121.0,1,775.0,2,13776.0
2018,Beed,Ambajogai,137.0,1,591.0,4,15064.0
2019,Beed,Ashti,795.0,8,819.0,0,19658.0
2019,Beed,Patoda,505.0,5,772.0,0,7553.0
2019,Beed,Shirur Kasar,210.0,3,132.0,0,9998.0
2019,Beed,Gevrai,267.0,0,914.0,0,25607.0
2019,Beed,Majalgaon,31.0,0,806.0,0,11312.0
2019,Beed,Wadwani,69.0,0,460.0,0,13456.0
2019,Beed,Beed,276.0,5,1151.0,0,25780.0
2019,Beed,Cage,188.0,0,908.0,0,19952.0
2019,Beed,Dharur,80.0,0,257.0,0,10253.0
2019,Beed,Parli,121.0,0,775.0,0,13801.0
2019,Beed,Ambajogai,138.0,0,591.0,0,15065.0
2020,Beed,Ashti,795.0,0,819.0,0,19770.0
2020,Beed,Patoda,505.0,0,772.0,0,7552.0
2020,Beed,Shirur Kasar,210.0,0,132.0,0,10220.0
2020,Beed,Gevrai,267.0,0,914.0,0,25656.0
2020,Beed,Majalgaon,31.0,0,806.0,0,11358.0
2020,Beed,Wadwani,69.0,0,460.0,0,13542.0
2020,Beed,Beed,276.0,0,1151.0,0,25918.0
2020,Beed,Cage,188.0,0,908.0,0,20464.0
2020,Beed,Dharur,80.0,0,257.0,0,10379.0
2020,Beed,Parli,121.0,0,775.0,0,13861.0
