Year,District,Taluka,Size Class,Irrigated Area,Unirrigated Area,Gross Cropped Area,Share of Cropped Area Irrigated,Share of Total Land Holdings Cropped,Unnamed: 9,Total Holding Number,Total Holding Area
2000,Pune,Purandar,Semimedium (2 to 4 ha),1928,22408,24336,7.922419460881,0.9065,,9806,26846
2000,Pune,Shirur,Semimedium (2 to 4 ha),13180,32861,46040,28.627280625543,1.1495,,14659,40052
2000,Pune,Vehli,Semimedium (2 to 4 ha),26,5927,5953,0.4367545775239375,0.834,,2374,7138
2010,Pune,Ambegaon(Ghodegaon),Semimedium (2 to 4 ha),4402,19308,23710,18.56600590468157,1.2629,,6873,18774
2010,Pune,Baramati,Semimedium (2 to 4 ha),1549,25136,26685,5.804759228030728,0.9943,,10122,26837
2010,Pune,Bhor,Semimedium (2 to 4 ha),1178,7600,8778,13.41991341991342,0.7815,,4101,11232
2010,Pune,Daund,Semimedium (2 to 4 ha),18902,7671,26573,71.13235238776201,0.9704,,10255,27384
2010,Pune,Indapur,Semimedium (2 to 4 ha),19695,13342,33037,59.61497714683537,0.9319,,13312,35450
2010,Pune,Junnar,Semimedium (2 to 4 ha),7515,23406,30921,24.30387115552537,1.2059,,9462,25641
2010,Pune,Khed(Rajgurunagar),Semimedium (2 to 4 ha),0,28660,28660,0.0,1.1294,,9172,25376
2010,Pune,Maval(Vadgaon),Semimedium (2 to 4 ha),3027,8890,11917,25.40068809264077,0.8145,,5238,14631
2010,Pune,Mulashi(Paud),Semimedium (2 to 4 ha),670,9290,9960,6.726907630522089,0.9059,,3981,10995
2010,Pune,Pune (Haveli),Semimedium (2 to 4 ha),5761,12396,18157,31.72880982541169,1.3746,,4901,13209
2010,Pune,Pune City,Semimedium (2 to 4 ha),42,0,42,100.0,0.9767,,15,43
2010,Pune,Purandar(Saswad),Semimedium (2 to 4 ha),1829,22053,23882,7.658487563855624,1.0632,,8247,22463
2010,Pune,Shirur(Ghodnadi),Semimedium (2 to 4 ha),30556,40893,71449,42.76616887570155,1.8251,,14535,39149
2010,Pune,Velha,Semimedium (2 to 4 ha),60,11365,11425,0.5251641137855579,1.5653,,2630,7299
2015,Pune,Ambegaon,Semimedium (2 to 4 ha),6794,18409,25202,26.95817792238711,1.2614,,7061,19980
2015,Pune,Baramati,Semimedium (2 to 4 ha),2024,29938,31961,6.332718000062576,1.1044,,10862,28939
2015,Pune,Bhor,Semimedium (2 to 4 ha),2609,7465,10074,25.89835219376613,0.802,,4725,12561
2015,Pune,Daund,Semimedium (2 to 4 ha),22781,9759,32539,70.01137097022036,1.1909,,10829,27324
2015,Pune,Haveli,Semimedium (2 to 4 ha),7768,11796,19564,39.70558168063791,1.5134,,5391,12927
2015,Pune,Indapur,Semimedium (2 to 4 ha),24199,16090,40289,60.06354091687557,1.1676,,13588,34507
2015,Pune,Junnar,Semimedium (2 to 4 ha),7670,23129,30799,24.90340595473879,1.2514,,9052,24611
2015,Pune,Khed,Semimedium (2 to 4 ha),0,29746,29746,0.0,1.1929,,9528,24935
2015,Pune,Mawal,Semimedium (2 to 4 ha),3267,9654,12921,25.28442071047133,0.8996,,5493,14363
2015,Pune,Mulshi,Semimedium (2 to 4 ha),949,10879,11828,8.02333446060196,0.9661,,4964,12243
2015,Pune,Pune City,Semimedium (2 to 4 ha),0,0,0,,,,0,0
2015,Pune,Purandhar,Semimedium (2 to 4 ha),2423,23559,25982,9.325687014086675,1.1176,,8885,23248
2015,Pune,Shirur,Semimedium (2 to 4 ha),30076,41180,71256,42.20837543505108,1.8529,,15475,38456
2015,Pune,Velhe,Semimedium (2 to 4 ha),67,10762,10828,0.6187661618027337,1.5416,,2678,7024
1995,Pune,Ambegaon,Medium (4 to 10 ha),1784,17397,19181,9.300870653250612,1.0138,,3215,18920
1995,Pune,Baramati,Medium (4 to 10 ha),8605,16233,24838,34.64449633625895,0.8261,,5152,30067
1995,Pune,Bhor,Medium (4 to 10 ha),77,13622,13699,0.5620848237097598,0.8325,,2675,16456
1995,Pune,Dhond,Medium (4 to 10 ha),4128,7673,11801,34.98008643335311,0.6562,,3111,17983
1995,Pune,Haveli (Pune ),Medium (4 to 10 ha),3674,7511,11185,32.84756370138579,0.7009,,2755,15959
1995,Pune,Indapur,Medium (4 to 10 ha),9730,13849,23579,41.26553288943551,0.8799,,4586,26798
1995,Pune,Junnar,Medium (4 to 10 ha),5841,15647,21488,27.18261355174981,0.9047,,3950,23751
1995,Pune,Khed,Medium (4 to 10 ha),2303,26209,28512,8.077300785634119,1.0678,,4572,26701
1995,Pune,Mawal,Medium (4 to 10 ha),44,19561,19605,0.2244325427186942,0.9393,,3445,20871
1995,Pune,Mulshi (Paud),Medium (4 to 10 ha),988,15475,16463,6.001336329952013,0.8416,,3265,19561
1995,Pune,Pune City,Medium (4 to 10 ha),0,0,0,,,,0,0
1995,Pune,Purandhar,Medium (4 to 10 ha),5328,14940,20268,26.28774422735346,0.8965,,3654,22608
1995,Pune,Sirur,Medium (4 to 10 ha),8312,48855,57167,14.53985691045533,1.323,,7192,43210
1995,Pune,Velhe,Medium (4 to 10 ha),66,9157,9223,0.7156022986013227,0.8347,,1791,11050
2000,Pune,Ambegaon,Medium (4 to 10 ha),2384,11216,13600,17.52941176470588,0.8422,,2841,16148
2000,Pune,Baramati,Medium (4 to 10 ha),7350,13683,21033,34.94508629296819,0.9167,,4073,22944
2000,Pune,Bhor,Medium (4 to 10 ha),208,11246,11454,1.815959490134451,0.7917,,2404,14468
2000,Pune,Daund,Medium (4 to 10 ha),5989,4074,10063,59.51505515253901,0.7549,,2286,13331
