Year,District,Taluka,Select Type of Police Establishment,Number
2020,Amravati,Morshi,Police Stations,2
2020,Amravati,Warud,Police Stations,3
2020,Amravati,Tivas,Police Stations,2
2020,Amravati,Amravati,Police Stations,13
2020,Amravati,Bhatkuli,Police Stations,2
2020,Amravati,Daryapur,Police Stations,3
2020,Amravati,Nandgaon Kh,Police Stations,2
2020,Amravati,Chandur Railway,Police Stations,1
2020,Amravati,Dhamangaon Re,Police Stations,3
2021,Amravati,Dharani,Police Stations,1
2021,Amravati,Chikhraldara,Police Stations,1
2021,Amravati,Anjangaon Su,Police Stations,2
2021,Amravati,Achalpur,Police Stations,4
2021,Amravati,Chandurbazar,Police Stations,4
2021,Amravati,Morshi,Police Stations,2
2021,Amravati,Warud,Police Stations,3
2021,Amravati,Tivas,Police Stations,2
2021,Amravati,Amravati,Police Stations,13
2021,Amravati,Bhatkuli,Police Stations,2
2021,Amravati,Daryapur,Police Stations,3
2021,Amravati,Nandgaon Kh,Police Stations,2
2021,Amravati,Chandur Railway,Police Stations,1
2021,Amravati,Dhamangaon Re,Police Stations,3
2018,Beed,Ashti,Police Stations,2
2018,Beed,Patoda,Police Stations,2
2018,Beed,Shirur Kasar,Police Stations,1
2018,Beed,Gevrai,Police Stations,3
2018,Beed,Majalgaon,Police Stations,3
2018,Beed,Wadwani,Police Stations,1
2018,Beed,Beed,Police Stations,6
2018,Beed,Cage,Police Stations,2
2018,Beed,Dharur,Police Stations,1
2018,Beed,Parli,Police Stations,4
2018,Beed,Ambajogai,Police Stations,3
2019,Beed,Ashti,Police Stations,2
2019,Beed,Patoda,Police Stations,2
2019,Beed,Shirur Kasar,Police Stations,1
2019,Beed,Gevrai,Police Stations,3
2019,Beed,Majalgaon,Police Stations,3
2019,Beed,Wadwani,Police Stations,1
2019,Beed,Beed,Police Stations,6
2019,Beed,Cage,Police Stations,2
2019,Beed,Dharur,Police Stations,1
2019,Beed,Parli,Police Stations,4
2019,Beed,Ambajogai,Police Stations,3
2020,Beed,Ashti,Police Stations,3
2020,Beed,Patoda,Police Stations,1
2020,Beed,Shirur Kasar,Police Stations,1
2020,Beed,Gevrai,Police Stations,3
2020,Beed,Majalgaon,Police Stations,3
2020,Beed,Wadwani,Police Stations,1
2020,Beed,Beed,Police Stations,6
2020,Beed,Cage,Police Stations,2
2020,Beed,Dharur,Police Stations,1
2020,Beed,Parli,Police Stations,4
2020,Beed,Ambajogai,Police Stations,3
2021,Beed,Ashti,Police Stations,3
2021,Beed,Patoda,Police Stations,1
2021,Beed,Shirur Kasar,Police Stations,1
2021,Beed,Gevrai,Police Stations,3
2021,Beed,Majalgaon,Police Stations,3
2021,Beed,Wadwani,Police Stations,1
2021,Beed,Beed,Police Stations,5
2021,Beed,Cage,Police Stations,3
2021,Beed,Dharur,Police Stations,1
2021,Beed,Parli,Police Stations,4
2021,Beed,Ambajogai,Police Stations,3
2018,Bhandara,Tumsar,Police Stations,3
2018,Bhandara,Mohadi,Police Stations,4
2018,Bhandara,Bhandara,Police Stations,3
2018,Bhandara,Sakoli,Police Stations,2
2018,Bhandara,Lakhani,Police Stations,1
2018,Bhandara,Pavani,Police Stations,3
2018,Bhandara,Lakhandur,Police Stations,1
2019,Bhandara,Tumsar,Police Stations,3
2019,Bhandara,Mohadi,Police Stations,3
2019,Bhandara,Bhandara,Police Stations,4
2019,Bhandara,Sakoli,Police Stations,1
2019,Bhandara,Lakhani,Police Stations,2
2019,Bhandara,Pavani,Police Stations,2
2019,Bhandara,Lakhandur,Police Stations,2
2020,Bhandara,Tumsar,Police Stations,3
2020,Bhandara,Mohadi,Police Stations,4
2020,Bhandara,Bhandara,Police Stations,3
