Year,District,Taluka,Select Type of Police Establishment,Number
2019,Nagpur,Ramtech,Police Stations,2
2019,Nagpur,Mauda,Police Stations,2
2019,Nagpur,Kamathi,Police Stations,2
2019,Nagpur,Nagpur (Gra),Police Stations,1
2019,Nagpur,Nagpur (Sh),Police Stations,30
2019,Nagpur,Hingana,Police Stations,2
2019,Nagpur,Umred,Police Stations,2
2019,Nagpur,Kuhi,Police Stations,2
2019,Nagpur,Bhiwapur,Police Stations,1
2020,Nagpur,Narkhed,Police Stations,2
2020,Nagpur,Katol,Police Stations,2
2020,Nagpur,Kalameshwar,Police Stations,1
2020,Nagpur,Sawner,Police Stations,4
2020,Nagpur,Parashivani,Police Stations,2
2020,Nagpur,Ramtech,Police Stations,2
2020,Nagpur,Mauda,Police Stations,2
2020,Nagpur,Kamathi,Police Stations,2
2020,Nagpur,Nagpur (Gra),Police Stations,1
2020,Nagpur,Nagpur (Sh),Police Stations,30
2020,Nagpur,Hingana,Police Stations,2
2020,Nagpur,Umred,Police Stations,2
2020,Nagpur,Kuhi,Police Stations,2
2020,Nagpur,Bhiwapur,Police Stations,1
2021,Nagpur,Narkhed,Police Stations,2
2021,Nagpur,Katol,Police Stations,2
2021,Nagpur,Kalameshwar,Police Stations,1
2021,Nagpur,Sawner,Police Stations,4
2021,Nagpur,Parashivani,Police Stations,2
2021,Nagpur,Ramtech,Police Stations,2
2021,Nagpur,Mauda,Police Stations,2
2021,Nagpur,Kamathi,Police Stations,2
2021,Nagpur,Nagpur (Gra),Police Stations,1
2021,Nagpur,Nagpur (Sh),Police Stations,30
2021,Nagpur,Hingana,Police Stations,2
2021,Nagpur,Umred,Police Stations,2
2021,Nagpur,Kuhi,Police Stations,2
2021,Nagpur,Bhiwapur,Police Stations,1
2018,Nanded,Mahur,Police Stations,2
2018,Nanded,Kinvat,Police Stations,3
2018,Nanded,Himalay Nagar,Police Stations,1
2018,Nanded,Hadgaon,Police Stations,3
2018,Nanded,Andhrapur,Police Stations,1
2018,Nanded,Nanded,Police Stations,7
2018,Nanded,Mudkhed,Police Stations,2
2018,Nanded,Bhokar,Police Stations,1
2018,Nanded,Umari,Police Stations,1
2018,Nanded,Dharmabad,Police Stations,1
2018,Nanded,Biloli,Police Stations,3
2018,Nanded,Naygaon,Police Stations,2
2018,Nanded,Loha,Police Stations,3
2018,Nanded,Kandhar,Police Stations,2
2018,Nanded,Mukhed,Police Stations,2
2018,Nanded,Deglur,Police Stations,2
2019,Nanded,Mahur,Police Stations,2
2019,Nanded,Kinvat,Police Stations,3
2019,Nanded,Himalay Nagar,Police Stations,1
2019,Nanded,Hadgaon,Police Stations,3
2019,Nanded,Andhrapur,Police Stations,1
2019,Nanded,Nanded,Police Stations,7
2019,Nanded,Mudkhed,Police Stations,2
2019,Nanded,Bhokar,Police Stations,1
2019,Nanded,Umari,Police Stations,1
2019,Nanded,Dharmabad,Police Stations,1
2019,Nanded,Biloli,Police Stations,3
2019,Nanded,Naygaon,Police Stations,2
2019,Nanded,Loha,Police Stations,3
2019,Nanded,Kandhar,Police Stations,2
2019,Nanded,Mukhed,Police Stations,2
2019,Nanded,Deglur,Police Stations,2
2020,Nanded,Mahur,Police Stations,2
2020,Nanded,Kinvat,Police Stations,3
2020,Nanded,Himalay Nagar,Police Stations,1
2020,Nanded,Hadgaon,Police Stations,3
2020,Nanded,Andhrapur,Police Stations,1
2020,Nanded,Nanded,Police Stations,7
2020,Nanded,Mudkhed,Police Stations,2
2020,Nanded,Bhokar,Police Stations,1
2020,Nanded,Umari,Police Stations,1
2020,Nanded,Dharmabad,Police Stations,1
2020,Nanded,Biloli,Police Stations,3
2020,Nanded,Naygaon,Police Stations,2
2020,Nanded,Loha,Police Stations,3
2020,Nanded,Kandhar,Police Stations,2
2020,Nanded,Mukhed,Police Stations,2
2020,Nanded,Deglur,Police Stations,2
2021,Nanded,Mahur,Police Stations,2
2021,Nanded,Kinvat,Police Stations,3
2021,Nanded,Himalay Nagar,Police Stations,1
2021,Nanded,Hadgaon,Police Stations,3
2021,Nanded,Andhrapur,Police Stations,1
2021,Nanded,Nanded,Police Stations,7
2021,Nanded,Mudkhed,Police Stations,2
2021,Nanded,Bhokar,Police Stations,1
2021,Nanded,Umari,Police Stations,1
2021,Nanded,Dharmabad,Police Stations,1
2021,Nanded,Biloli,Police Stations,3
2021,Nanded,Naygaon,Police Stations,2
2021,Nanded,Loha,Police Stations,3
2021,Nanded,Kandhar,Police Stations,2
2021,Nanded,Mukhed,Police Stations,2
2021,Nanded,Deglur,Police Stations,2
2018,Nandurbar,Akkalkuva,Police Stations,2
2018,Nandurbar,Akrani,Police Stations,1
2018,Nandurbar,Taloda,Police Stations,1
2018,Nandurbar,Shahada,Police Stations,3
2018,Nandurbar,Nandurbar,Police Stations,3
2018,Nandurbar,Navapur,Police Stations,2
2019,Nandurbar,Akkalkuva,Police Stations,2
2019,Nandurbar,Akrani,Police Stations,1
2019,Nandurbar,Taloda,Police Stations,1
2019,Nandurbar,Shahada,Police Stations,3
2019,Nandurbar,Nandurbar,Police Stations,3
2019,Nandurbar,Navapur,Police Stations,2
2020,Nandurbar,Akkalkuva,Police Stations,2
2020,Nandurbar,Akrani,Police Stations,1
2020,Nandurbar,Taloda,Police Stations,1
2020,Nandurbar,Shahada,Police Stations,3
2020,Nandurbar,Nandurbar,Police Stations,3
2020,Nandurbar,Navapur,Police Stations,2
2021,Nandurbar,Akkalkuva,Police Stations,
2021,Nandurbar,Akrani,Police Stations,
2021,Nandurbar,Taloda,Police Stations,
2021,Nandurbar,Shahada,Police Stations,
2021,Nandurbar,Nandurbar,Police Stations,
2021,Nandurbar,Navapur,Police Stations,
2018,Nashik,Surgana,Police Stations,2
2018,Nashik,Kalwan,Police Stations,2
2018,Nashik,Devala,Police Stations,1
2018,Nashik,Baglan,Police Stations,2
2018,Nashik,Malegaon,Police Stations,9
2018,Nashik,Nandgaon,Police Stations,3
2018,Nashik,Chandwad,Police Stations,2
2018,Nashik,Dindori,Police Stations,2
2018,Nashik,Peth,Police Stations,1
2018,Nashik,Trimbak,Police Stations,2
2018,Nashik,Nashik,Police Stations,1
2018,Nashik,Igatpuri,Police Stations,3
2018,Nashik,Sinner,Police Stations,2
2018,Nashik,Nifad,Police Stations,6
2018,Nashik,Yewala,Police Stations,2
2019,Nashik,Surgana,Police Stations,1
2019,Nashik,Kalwan,Police Stations,2
2019,Nashik,Devala,Police Stations,
2019,Nashik,Baglan,Police Stations,2
2019,Nashik,Malegaon,Police Stations,10
2019,Nashik,Nandgaon,Police Stations,2
2019,Nashik,Chandwad,Police Stations,2
2019,Nashik,Dindori,Police Stations,2
2019,Nashik,Peth,Police Stations,1
2019,Nashik,Trimbak,Police Stations,1
2019,Nashik,Nashik,Police Stations,15
2019,Nashik,Igatpuri,Police Stations,3
2019,Nashik,Sinner,Police Stations,2
2019,Nashik,Nifad,Police Stations,5
2019,Nashik,Yewala,Police Stations,2
2020,Nashik,Surgana,Police Stations,2
2020,Nashik,Kalwan,Police Stations,2
2020,Nashik,Devala,Police Stations,1
2020,Nashik,Baglan,Police Stations,2
2020,Nashik,Malegaon,Police Stations,10
2020,Nashik,Nandgaon,Police Stations,3
2020,Nashik,Chandwad,Police Stations,2
2020,Nashik,Dindori,Police Stations,2
2020,Nashik,Peth,Police Stations,1
2020,Nashik,Trimbak,Police Stations,2
2020,Nashik,Nashik,Police Stations,14
2020,Nashik,Igatpuri,Police Stations,3
2020,Nashik,Sinner,Police Stations,3
2020,Nashik,Nifad,Police Stations,5
2020,Nashik,Yewala,Police Stations,2
2021,Nashik,Surgana,Police Stations,2
2021,Nashik,Kalwan,Police Stations,2
2021,Nashik,Devala,Police Stations,1
2021,Nashik,Baglan,Police Stations,2
2021,Nashik,Malegaon,Police Stations,10
2021,Nashik,Nandgaon,Police Stations,2
2021,Nashik,Chandwad,Police Stations,2
2021,Nashik,Dindori,Police Stations,2
2021,Nashik,Peth,Police Stations,1
2021,Nashik,Trimbak,Police Stations,2
2021,Nashik,Nashik,Police Stations,14
2021,Nashik,Igatpuri,Police Stations,3
2021,Nashik,Sinner,Police Stations,3
2021,Nashik,Nifad,Police Stations,5
2021,Nashik,Yewala,Police Stations,2
2018,Dharashiv,Paranda,Police Stations,2
2018,Dharashiv,Bhum,Police Stations,1
2018,Dharashiv,Washi,Police Stations,1
2018,Dharashiv,Kalamb,Police Stations,3
2018,Dharashiv,Dharashiv,Police Stations,5
2018,Dharashiv,Tuljapur,Police Stations,3
2018,Dharashiv,Lohara,Police Stations,1
2018,Dharashiv,Umaraga,Police Stations,2
2019,Dharashiv,Paranda,Police Stations,2
2019,Dharashiv,Bhum,Police Stations,1
2019,Dharashiv,Washi,Police Stations,1
2019,Dharashiv,Kalamb,Police Stations,3
2019,Dharashiv,Dharashiv,Police Stations,5
2019,Dharashiv,Tuljapur,Police Stations,3
2019,Dharashiv,Lohara,Police Stations,1
2019,Dharashiv,Umaraga,Police Stations,2
2020,Dharashiv,Paranda,Police Stations,2
2020,Dharashiv,Bhum,Police Stations,1
2020,Dharashiv,Washi,Police Stations,1
2020,Dharashiv,Kalamb,Police Stations,3
2020,Dharashiv,Dharashiv,Police Stations,5
2020,Dharashiv,Tuljapur,Police Stations,3
2020,Dharashiv,Lohara,Police Stations,1
2020,Dharashiv,Umaraga,Police Stations,2
2021,Dharashiv,Paranda,Police Stations,2
2021,Dharashiv,Bhum,Police Stations,1
2021,Dharashiv,Washi,Police Stations,1
2021,Dharashiv,Kalamb,Police Stations,3
2021,Dharashiv,Dharashiv,Police Stations,5
2021,Dharashiv,Tuljapur,Police Stations,3
2021,Dharashiv,Lohara,Police Stations,1
2021,Dharashiv,Umaraga,Police Stations,2
2018,Palghar,Talasari,Police Stations,1
2018,Palghar,Dahanu,Police Stations,4
2018,Palghar,Vikramgad,Police Stations,1
2018,Palghar,Javhar,Police Stations,1
2018,Palghar,Mokhada,Police Stations,1
2018,Palghar,Wada,Police Stations,1
2018,Palghar,Palghar,Police Stations,7
2018,Palghar,Vasai,Police Stations,7
2019,Palghar,Talasari,Police Stations,1
2019,Palghar,Dahanu,Police Stations,4
2019,Palghar,Vikramgad,Police Stations,1
2019,Palghar,Javhar,Police Stations,1
2019,Palghar,Mokhada,Police Stations,1
2019,Palghar,Wada,Police Stations,1
2019,Palghar,Palghar,Police Stations,7
2019,Palghar,Vasai,Police Stations,7
2020,Palghar,Talasari,Police Stations,1
2020,Palghar,Dahanu,Police Stations,5
2020,Palghar,Vikramgad,Police Stations,1
2020,Palghar,Javhar,Police Stations,1
2020,Palghar,Mokhada,Police Stations,1
2020,Palghar,Wada,Police Stations,1
2020,Palghar,Palghar,Police Stations,6
2020,Palghar,Vasai,Police Stations,7
2021,Palghar,Talasari,Police Stations,1
2021,Palghar,Dahanu,Police Stations,4
2021,Palghar,Vikramgad,Police Stations,1
2021,Palghar,Javhar,Police Stations,1
2021,Palghar,Mokhada,Police Stations,1
2021,Palghar,Wada,Police Stations,1
2021,Palghar,Palghar,Police Stations,7
2021,Palghar,Vasai,Police Stations,8
2018,Parbhani,Selu,Police Stations,1
2018,Parbhani,Jintur,Police Stations,4
2018,Parbhani,Parbhani,Police Stations,6
2018,Parbhani,Manvat,Police Stations,1
2018,Parbhani,Pathari,Police Stations,1
2018,Parbhani,Sonpeth,Police Stations,1
2018,Parbhani,Gangakhed,Police Stations,2
2018,Parbhani,Palam,Police Stations,1
2018,Parbhani,Purna,Police Stations,2
2019,Parbhani,Selu,Police Stations,1
2019,Parbhani,Jintur,Police Stations,4
2019,Parbhani,Parbhani,Police Stations,5
2019,Parbhani,Manvat,Police Stations,1
2019,Parbhani,Pathari,Police Stations,1
2019,Parbhani,Sonpeth,Police Stations,1
2019,Parbhani,Gangakhed,Police Stations,2
2019,Parbhani,Palam,Police Stations,1
2019,Parbhani,Purna,Police Stations,3
2020,Parbhani,Selu,Police Stations,1
2020,Parbhani,Jintur,Police Stations,4
2020,Parbhani,Parbhani,Police Stations,6
2020,Parbhani,Manvat,Police Stations,1
2020,Parbhani,Pathari,Police Stations,1
2020,Parbhani,Sonpeth,Police Stations,1
2020,Parbhani,Gangakhed,Police Stations,2
2020,Parbhani,Palam,Police Stations,1
2020,Parbhani,Purna,Police Stations,2
2021,Parbhani,Selu,Police Stations,1
2021,Parbhani,Jintur,Police Stations,4
2021,Parbhani,Parbhani,Police Stations,6
2021,Parbhani,Manvat,Police Stations,1
2021,Parbhani,Pathari,Police Stations,1
2021,Parbhani,Sonpeth,Police Stations,1
2021,Parbhani,Gangakhed,Police Stations,2
2021,Parbhani,Palam,Police Stations,1
2021,Parbhani,Purna,Police Stations,2
2018,Pune,Junnar,Police Stations,4
2018,Pune,Aambegaon,Police Stations,2
2018,Pune,Shirur,Police Stations,3
2018,Pune,Khed,Police Stations,1
2018,Pune,Maval,Police Stations,4
2018,Pune,Mulashi,Police Stations,1
2018,Pune,Haveli,Police Stations,3
2018,Pune,Pune City,Police Stations,31
2018,Pune,Daund,Police Stations,2
2018,Pune,Purandar,Police Stations,2
2018,Pune,Welhe,Police Stations,1
2018,Pune,Bhor,Police Stations,2
2018,Pune,Baramati,Police Stations,3
2018,Pune,Indapur,Police Stations,3
2019,Pune,Junnar,Police Stations,4
2019,Pune,Aambegaon,Police Stations,2
2019,Pune,Shirur,Police Stations,3
2019,Pune,Khed,Police Stations,1
2019,Pune,Maval,Police Stations,4
2019,Pune,Mulashi,Police Stations,1
2019,Pune,Haveli,Police Stations,18
2019,Pune,Pune City,Police Stations,30
2019,Pune,Daund,Police Stations,2
2019,Pune,Purandar,Police Stations,2
2019,Pune,Welhe,Police Stations,1
2019,Pune,Bhor,Police Stations,2
2019,Pune,Baramati,Police Stations,3
2019,Pune,Indapur,Police Stations,3
2020,Pune,Junnar,Police Stations,1
2020,Pune,Aambegaon,Police Stations,1
2020,Pune,Shirur,Police Stations,1
2020,Pune,Khed,Police Stations,1
2020,Pune,Maval,Police Stations,1
2020,Pune,Mulashi,Police Stations,1
2020,Pune,Haveli,Police Stations,1
2020,Pune,Pune City,Police Stations,30
2020,Pune,Daund,Police Stations,1
2020,Pune,Purandar,Police Stations,1
2020,Pune,Welhe,Police Stations,1
2020,Pune,Bhor,Police Stations,1
2020,Pune,Baramati,Police Stations,1
2020,Pune,Indapur,Police Stations,1
2021,Pune,Junnar,Police Stations,1
2021,Pune,Aambegaon,Police Stations,1
2021,Pune,Shirur,Police Stations,1
2021,Pune,Khed,Police Stations,1
2021,Pune,Maval,Police Stations,1
2021,Pune,Mulashi,Police Stations,1
2021,Pune,Haveli,Police Stations,22
2021,Pune,Pune City,Police Stations,32
2021,Pune,Daund,Police Stations,1
2021,Pune,Purandar,Police Stations,1
2021,Pune,Welhe,Police Stations,1
2021,Pune,Bhor,Police Stations,1
2021,Pune,Baramati,Police Stations,1
2021,Pune,Indapur,Police Stations,1
2018,Raigad,Uran,Police Stations,3
2018,Raigad,Panwel,Police Stations,3
2018,Raigad,Karjat,Police Stations,3
2018,Raigad,Khalapur,Police Stations,3
2018,Raigad,Pen,Police Stations,4
2018,Raigad,Alibag,Police Stations,3
2018,Raigad,Murud,Police Stations,1
2018,Raigad,Roha,Police Stations,3
2018,Raigad,Sudhagad,Police Stations,1
2018,Raigad,Mangaon,Police Stations,2
2018,Raigad,Tala,Police Stations,1
2018,Raigad,Shreevardhan,Police Stations,2
2018,Raigad,Mhasala,Police Stations,1
2018,Raigad,Mahad,Police Stations,3
2018,Raigad,Poladpur,Police Stations,1
2019,Raigad,Uran,Police Stations,3
2019,Raigad,Panwel,Police Stations,7
2019,Raigad,Karjat,Police Stations,3
2019,Raigad,Khalapur,Police Stations,3
2019,Raigad,Pen,Police Stations,4
2019,Raigad,Alibag,Police Stations,3
2019,Raigad,Murud,Police Stations,1
2019,Raigad,Roha,Police Stations,3
2019,Raigad,Sudhagad,Police Stations,1
2019,Raigad,Mangaon,Police Stations,2
2019,Raigad,Tala,Police Stations,1
2019,Raigad,Shreevardhan,Police Stations,2
2019,Raigad,Mhasala,Police Stations,1
2019,Raigad,Mahad,Police Stations,3
2019,Raigad,Poladpur,Police Stations,1
2020,Raigad,Uran,Police Stations,3
2020,Raigad,Panwel,Police Stations,7
2020,Raigad,Karjat,Police Stations,3
2020,Raigad,Khalapur,Police Stations,3
2020,Raigad,Pen,Police Stations,4
2020,Raigad,Alibag,Police Stations,3
2020,Raigad,Murud,Police Stations,1
2020,Raigad,Roha,Police Stations,3
2020,Raigad,Sudhagad,Police Stations,1
2020,Raigad,Mangaon,Police Stations,2
2020,Raigad,Tala,Police Stations,1
2020,Raigad,Shreevardhan,Police Stations,2
2020,Raigad,Mhasala,Police Stations,1
2020,Raigad,Mahad,Police Stations,3
2020,Raigad,Poladpur,Police Stations,1
2021,Raigad,Uran,Police Stations,3
2021,Raigad,Panwel,Police Stations,7
2021,Raigad,Karjat,Police Stations,3
2021,Raigad,Khalapur,Police Stations,3
2021,Raigad,Pen,Police Stations,4
2021,Raigad,Alibag,Police Stations,3
2021,Raigad,Murud,Police Stations,1
2021,Raigad,Roha,Police Stations,3
2021,Raigad,Sudhagad,Police Stations,1
2021,Raigad,Mangaon,Police Stations,2
2021,Raigad,Tala,Police Stations,1
2021,Raigad,Shreevardhan,Police Stations,2
2021,Raigad,Mhasala,Police Stations,1
2021,Raigad,Mahad,Police Stations,3
2021,Raigad,Poladpur,Police Stations,1
2018,Ratnagiri,Mandangad,Police Stations,2
2018,Ratnagiri,Dapoli,Police Stations,2
2018,Ratnagiri,Khed,Police Stations,1
2018,Ratnagiri,Chiplun,Police Stations,3
2018,Ratnagiri,Guhagar,Police Stations,1
2018,Ratnagiri,Ratnagiri,Police Stations,4
2018,Ratnagiri,Sangameshwar,Police Stations,2
2018,Ratnagiri,Lanja,Police Stations,1
2018,Ratnagiri,Rajapur,Police Stations,2
2019,Ratnagiri,Mandangad,Police Stations,2
2019,Ratnagiri,Dapoli,Police Stations,2
2019,Ratnagiri,Khed,Police Stations,1
2019,Ratnagiri,Chiplun,Police Stations,3
2019,Ratnagiri,Guhagar,Police Stations,1
2019,Ratnagiri,Ratnagiri,Police Stations,4
2019,Ratnagiri,Sangameshwar,Police Stations,2
2019,Ratnagiri,Lanja,Police Stations,1
2019,Ratnagiri,Rajapur,Police Stations,2
2020,Ratnagiri,Mandangad,Police Stations,
2020,Ratnagiri,Dapoli,Police Stations,
2020,Ratnagiri,Khed,Police Stations,
2020,Ratnagiri,Chiplun,Police Stations,
2020,Ratnagiri,Guhagar,Police Stations,
2020,Ratnagiri,Ratnagiri,Police Stations,
2020,Ratnagiri,Sangameshwar,Police Stations,
2020,Ratnagiri,Lanja,Police Stations,
2020,Ratnagiri,Rajapur,Police Stations,
2021,Ratnagiri,Mandangad,Police Stations,2
2021,Ratnagiri,Dapoli,Police Stations,2
2021,Ratnagiri,Khed,Police Stations,1
2021,Ratnagiri,Chiplun,Police Stations,3
2021,Ratnagiri,Guhagar,Police Stations,1
2021,Ratnagiri,Ratnagiri,Police Stations,4
2021,Ratnagiri,Sangameshwar,Police Stations,2
2021,Ratnagiri,Lanja,Police Stations,1
2021,Ratnagiri,Rajapur,Police Stations,2
2018,Sangli,Shirala,Police Stations,2
2018,Sangli,Valava,Police Stations,4
2018,Sangli,Palus,Police Stations,3
2018,Sangli,Kadegaon,Police Stations,2
2018,Sangli,Khanapur,Police Stations,1
2018,Sangli,Aatpadi,Police Stations,1
2018,Sangli,Tasgaon,Police Stations,1
2018,Sangli,Miraj,Police Stations,8
2018,Sangli,Ku. Mahakal,Police Stations,1
2018,Sangli,Jat,Police Stations,2
2019,Sangli,Shirala,Police Stations,2
2019,Sangli,Valava,Police Stations,4
2019,Sangli,Palus,Police Stations,3
2019,Sangli,Kadegaon,Police Stations,2
2019,Sangli,Khanapur,Police Stations,1
2019,Sangli,Aatpadi,Police Stations,1
2019,Sangli,Tasgaon,Police Stations,1
2019,Sangli,Miraj,Police Stations,9
2019,Sangli,Ku. Mahakal,Police Stations,1
2019,Sangli,Jat,Police Stations,2
2020,Sangli,Shirala,Police Stations,2
2020,Sangli,Valava,Police Stations,4
2020,Sangli,Palus,Police Stations,3
2020,Sangli,Kadegaon,Police Stations,2
2020,Sangli,Khanapur,Police Stations,1
2020,Sangli,Aatpadi,Police Stations,1
2020,Sangli,Tasgaon,Police Stations,1
2020,Sangli,Miraj,Police Stations,9
2020,Sangli,Ku. Mahakal,Police Stations,1
2020,Sangli,Jat,Police Stations,2
2021,Sangli,Shirala,Police Stations,2
2021,Sangli,Valava,Police Stations,4
2021,Sangli,Palus,Police Stations,3
2021,Sangli,Kadegaon,Police Stations,2
2021,Sangli,Khanapur,Police Stations,1
2021,Sangli,Aatpadi,Police Stations,1
2021,Sangli,Tasgaon,Police Stations,1
2021,Sangli,Miraj,Police Stations,9
2021,Sangli,Ku. Mahakal,Police Stations,1
2021,Sangli,Jat,Police Stations,2
2018,Satara,Mahableshwar,Police Stations,2
2018,Satara,Vai,Police Stations,2
2018,Satara,Khandala,Police Stations,3
2018,Satara,Faltan,Police Stations,2
2018,Satara,Man,Police Stations,2
2018,Satara,Khatav,Police Stations,3
2018,Satara,Koregaon,Police Stations,3
2018,Satara,Satara,Police Stations,5
2018,Satara,Javali,Police Stations,1
2018,Satara,Patan,Police Stations,4
2018,Satara,Karad,Police Stations,3
2019,Satara,Mahableshwar,Police Stations,2
2019,Satara,Vai,Police Stations,2
2019,Satara,Khandala,Police Stations,3
2019,Satara,Faltan,Police Stations,2
2019,Satara,Man,Police Stations,2
2019,Satara,Khatav,Police Stations,3
2019,Satara,Koregaon,Police Stations,3
2019,Satara,Satara,Police Stations,5
2019,Satara,Javali,Police Stations,1
2019,Satara,Patan,Police Stations,4
2019,Satara,Karad,Police Stations,3
2020,Satara,Mahableshwar,Police Stations,2
2020,Satara,Vai,Police Stations,2
2020,Satara,Khandala,Police Stations,3
2020,Satara,Faltan,Police Stations,2
2020,Satara,Man,Police Stations,2
2020,Satara,Khatav,Police Stations,3
2020,Satara,Koregaon,Police Stations,3
2020,Satara,Satara,Police Stations,19
2020,Satara,Javali,Police Stations,1
2020,Satara,Patan,Police Stations,3
2020,Satara,Karad,Police Stations,4
2021,Satara,Mahableshwar,Police Stations,2
2021,Satara,Vai,Police Stations,2
2021,Satara,Khandala,Police Stations,3
2021,Satara,Faltan,Police Stations,2
2021,Satara,Man,Police Stations,2
2021,Satara,Khatav,Police Stations,3
2021,Satara,Koregaon,Police Stations,3
2021,Satara,Satara,Police Stations,5
2021,Satara,Javali,Police Stations,1
2021,Satara,Patan,Police Stations,4
2021,Satara,Karad,Police Stations,4
2018,Sindhudurg,Devgad,Police Stations,2
2018,Sindhudurg,Vaibhavwadi,Police Stations,1
2018,Sindhudurg,Kankavali,Police Stations,1
2018,Sindhudurg,Malvan,Police Stations,2
2018,Sindhudurg,Vengurla,Police Stations,2
2018,Sindhudurg,Kudal,Police Stations,2
2018,Sindhudurg,Sawantwadi,Police Stations,2
2018,Sindhudurg,Dodamarg,Police Stations,1
2019,Sindhudurg,Devgad,Police Stations,2
2019,Sindhudurg,Vaibhavwadi,Police Stations,1
2019,Sindhudurg,Kankawali,Police Stations,1
2019,Sindhudurg,Malwan,Police Stations,2
2019,Sindhudurg,Vengurli,Police Stations,2
2019,Sindhudurg,Kulad,Police Stations,2
2019,Sindhudurg,Savantwadi,Police Stations,2
2019,Sindhudurg,Dodamarg,Police Stations,1
2020,Sindhudurg,Devgad,Police Stations,2
2020,Sindhudurg,Vaibhavwadi,Police Stations,1
2020,Sindhudurg,Kankawali,Police Stations,1
2020,Sindhudurg,Malwan,Police Stations,2
2020,Sindhudurg,Vengurli,Police Stations,2
2020,Sindhudurg,Kulad,Police Stations,2
2020,Sindhudurg,Savantwadi,Police Stations,2
2020,Sindhudurg,Dodamarg,Police Stations,1
2021,Sindhudurg,Devgad,Police Stations,2
2021,Sindhudurg,Vaibhavwadi,Police Stations,1
2021,Sindhudurg,Kankawali,Police Stations,1
2021,Sindhudurg,Malwan,Police Stations,2
2021,Sindhudurg,Vengurli,Police Stations,2
2021,Sindhudurg,Kulad,Police Stations,2
2021,Sindhudurg,Savantwadi,Police Stations,2
2021,Sindhudurg,Dodamarg,Police Stations,1
2018,Thane,Thane,Police Stations,51
2018,Thane,Bhivandi,Police Stations,3
2018,Thane,Shahapur,Police Stations,4
2018,Thane,Kalyan,Police Stations,2
2018,Thane,Ulhasnagar,Police Stations,3
2018,Thane,Ambarnath,Police Stations,
2018,Thane,Murbad,Police Stations,3
2019,Thane,Thane,Police Stations,29
2019,Thane,Bhivandi,Police Stations,7
2019,Thane,Shahapur,Police Stations,2
2019,Thane,Kalyan,Police Stations,2
2019,Thane,Ulhasnagar,Police Stations,3
2019,Thane,Ambarnath,Police Stations,5
2019,Thane,Murbad,Police Stations,2
2020,Thane,Thane,Police Stations,23
2020,Thane,Bhivandi,Police Stations,9
2020,Thane,Shahapur,Police Stations,4
2020,Thane,Kalyan,Police Stations,9
2020,Thane,Ulhasnagar,Police Stations,3
2020,Thane,Ambarnath,Police Stations,5
2020,Thane,Murbad,Police Stations,3
2021,Thane,Thane,Police Stations,23
2021,Thane,Bhivandi,Police Stations,9
2021,Thane,Shahapur,Police Stations,3
2021,Thane,Kalyan,Police Stations,8
2021,Thane,Ulhasnagar,Police Stations,7
2021,Thane,Ambarnath,Police Stations,1
2021,Thane,Murbad,Police Stations,4
2018,Wardha,Ashti,Police Stations,1
2018,Wardha,Karanja,Police Stations,1
2018,Wardha,Aarvi,Police Stations,2
2018,Wardha,Selu,Police Stations,3
2018,Wardha,Wardha,Police Stations,4
2018,Wardha,Devali,Police Stations,3
2018,Wardha,Hinganghat,Police Stations,3
2018,Wardha,Samudrapur,Police Stations,2
2019,Wardha,Ashti,Police Stations,2
2019,Wardha,Karanja,Police Stations,1
2019,Wardha,Aarvi,Police Stations,2
2019,Wardha,Selu,Police Stations,3
2019,Wardha,Wardha,Police Stations,4
2019,Wardha,Devali,Police Stations,2
2019,Wardha,Hinganghat,Police Stations,3
2019,Wardha,Samudrapur,Police Stations,2
2020,Wardha,Ashti,Police Stations,2
2020,Wardha,Karanja,Police Stations,1
2020,Wardha,Aarvi,Police Stations,2
2020,Wardha,Selu,Police Stations,3
2020,Wardha,Wardha,Police Stations,4
2020,Wardha,Devali,Police Stations,2
2020,Wardha,Hinganghat,Police Stations,3
2020,Wardha,Samudrapur,Police Stations,2
2021,Wardha,Ashti,Police Stations,2
2021,Wardha,Karanja,Police Stations,1
2021,Wardha,Aarvi,Police Stations,2
2021,Wardha,Selu,Police Stations,3
2021,Wardha,Wardha,Police Stations,4
2021,Wardha,Devali,Police Stations,2
2021,Wardha,Hinganghat,Police Stations,3
2021,Wardha,Samudrapur,Police Stations,2
2018,Washim,Malegaon,Police Stations,
2018,Washim,Mangrulpir,Police Stations,
2018,Washim,Karanja,Police Stations,
2018,Washim,Manora,Police Stations,
2018,Washim,Washim,Police Stations,
2018,Washim,Resod,Police Stations,
2019,Washim,Malegaon,Police Stations,2
2019,Washim,Mangrulpir,Police Stations,3
2019,Washim,Karanja,Police Stations,2
2019,Washim,Manora,Police Stations,2
2019,Washim,Washim,Police Stations,2
2019,Washim,Resod,Police Stations,2
2020,Washim,Malegaon,Police Stations,3
2020,Washim,Mangrulpir,Police Stations,2
2020,Washim,Karanja,Police Stations,3
2020,Washim,Manora,Police Stations,1
2020,Washim,Washim,Police Stations,3
2020,Washim,Resod,Police Stations,1
2021,Washim,Malegaon,Police Stations,3
2021,Washim,Mangrulpir,Police Stations,2
2021,Washim,Karanja,Police Stations,3
2021,Washim,Manora,Police Stations,1
2021,Washim,Washim,Police Stations,3
2021,Washim,Resod,Police Stations,1
