District,Year,Type of Court,Regular,Miscellaneous,All Appeal Cases
Chandrapur,2012,District Magistrate And Executive Magistrate,,,
Chandrapur,2012,Family Court,,,
Chandrapur,2012,Industrial Court,79.0,,79.0
Chandrapur,2012,Labor Court,,,
Chandrapur,2012,Public Court,16.0,,16.0
Chandrapur,2013,Civil Court*,281.0,256.0,537.0
Chandrapur,2013,Consumer Forum,23.0,,23.0
Chandrapur,2013,Criminal Court*,94.0,26.0,12.0
Chandrapur,2013,District Magistrate And Executive Magistrate,,,
Chandrapur,2013,"Family Court
",,,
Chandrapur,2013,Industrial Court,93.0,,93.0
Chandrapur,2013,Labor Court,,,
Chandrapur,2013,Public Court,2.0,,2.0
Chandrapur,2014,Civil Court,121.0,137.0,258.0
Chandrapur,2014,Consumer Forum,26.0,,26.0
Chandrapur,2014,Criminal Court,124.0,122.0,246.0
Chandrapur,2014,District Magistrate And Executive Magistrate,,,
Chandrapur,2014,"Family Court
",,,
Chandrapur,2014,Industrial Court,,,
Chandrapur,2014,Labor Court,,,
Chandrapur,2014,Public Court,,,
Chandrapur,2015,Civil Court,24.0,233.0,473.0
Chandrapur,2015,Consumer Forum,,,
Chandrapur,2015,Criminal Court,288.0,12.0,48.0
Chandrapur,2015,District Magistrate And Executive Magistrate,,,
Chandrapur,2015,"Family Court
",,,
Chandrapur,2015,Industrial Court,29.0,,29.0
Chandrapur,2015,Labor Court,,,
Chandrapur,2015,Public Court,12.0,,12.0
Chandrapur,2016,Civil Court,346.0,232.0,578.0
Chandrapur,2016,Consumer Forum,,,
Chandrapur,2016,Criminal Court,513.0,147.0,66.0
Chandrapur,2016,District Magistrate And Executive Magistrate,,,
Chandrapur,2016,Family Court,,,
Chandrapur,2016,Industrial Court,73.0,,73.0
Chandrapur,2016,Labor Court,,,
Chandrapur,2016,Public Court,79.0,,79.0
Chandrapur,2017,Civil Court,378.0,15.0,528.0
Chandrapur,2017,Consumer Forum,,,
Chandrapur,2017,Criminal Court,253.0,11.0,354.0
Chandrapur,2017,District Magistrate And Executive Magistrate,,,
Chandrapur,2017,"Family Court
",,,
Chandrapur,2017,Industrial Court,139.0,,139.0
Chandrapur,2017,Labor Court,,,
Chandrapur,2017,Public Court,44.0,,44.0
Chandrapur,2018,Civil Court,226.0,156.0,382.0
Chandrapur,2018,Consumer Forum,,,
Chandrapur,2018,Criminal Court,263.0,12.0,383.0
Chandrapur,2018,District Magistrate And Executive Magistrate,349.0,,349.0
Chandrapur,2018,"Family Court
",,,
Chandrapur,2018,Industrial Court,76.0,,76.0
Chandrapur,2018,Labor Court,,,
Chandrapur,2018,Public Court,35.0,,35.0
Chandrapur,2019,Civil Court,169.0,16.0,275.0
Chandrapur,2019,Consumer Forum,,,
Chandrapur,2019,Criminal Court,252.0,88.0,34.0
Chandrapur,2019,District Magistrate And Executive Magistrate,195.0,,195.0
Chandrapur,2019,"Family Court
",,,
Chandrapur,2019,Industrial Court,18.0,,18.0
Chandrapur,2019,Labor Court,,,
Chandrapur,2019,Public Court,,,
Chandrapur,2020,Civil Court,61.0,43.0,14.0
Chandrapur,2020,Consumer Forum,,,
Chandrapur,2020,Criminal Court,83.0,19.0,12.0
Chandrapur,2020,District Magistrate And Executive Magistrate,339.0,,339.0
Chandrapur,2020,"Family Court
",,,
Chandrapur,2020,Industrial Court,,,
Chandrapur,2020,Labor Court,,,
Chandrapur,2020,Public Court,,,
Chandrapur,2021,Civil Court,116.0,85.0,21.0
Chandrapur,2021,Consumer Forum,,,
Chandrapur,2021,Criminal Court,156.0,77.0,233.0
Chandrapur,2021,District Magistrate And Executive Magistrate,353.0,,353.0
Chandrapur,2021,"Family Court
",,,
Chandrapur,2021,Industrial Court,,,
Chandrapur,2021,Labor Court,,,
Chandrapur,2021,Public Court,6.0,,6.0
Gadchiroli,2006,Civil Court,17.0,22.0,372.0
Gadchiroli,2006,Consumer Forum,,,
Gadchiroli,2006,Criminal Court,275.0,288.0,563.0
Gadchiroli,2006,District Magistrate And Executive Magistrate,,,
Gadchiroli,2006,Family Court,,55.0,55.0
Gadchiroli,2006,Industrial Court,,,
Gadchiroli,2006,Labor Court,,,
Gadchiroli,2006,Public Court,2.0,,2.0
Gadchiroli,2008,Civil Court,12.0,135.0,237.0
Gadchiroli,2008,Consumer Forum,,,
Gadchiroli,2008,Criminal Court,9.0,361.0,451.0
Gadchiroli,2008,District Magistrate And Executive Magistrate,21.0,,21.0
Gadchiroli,2008,Family Court,,52.0,52.0
Gadchiroli,2008,Industrial Court,,,
Gadchiroli,2008,Labor Court,,,
Gadchiroli,2008,Public Court,,,
Gadchiroli,2009,Civil Court,327.0,344.0,671.0
Gadchiroli,2009,Consumer Forum,598.0,936.0,1534.0
Gadchiroli,2009,Criminal Court,247.0,51.0,748.0
Gadchiroli,2009,District Magistrate And Executive Magistrate,24.0,,24.0
Gadchiroli,2009,Family Court,,91.0,91.0
Gadchiroli,2009,Industrial Court,,,
Gadchiroli,2009,Labor Court,,,
Gadchiroli,2009,Public Court,,,
Gadchiroli,2010,Civil Court,19.0,71.0,18.0
Gadchiroli,2010,Consumer Forum,56.0,847.0,1353.0
Gadchiroli,2010,Criminal Court,157.0,3.0,457.0
Gadchiroli,2010,District Magistrate And Executive Magistrate,19.0,,19.0
Gadchiroli,2010,Family Court,,79.0,79.0
Gadchiroli,2010,Industrial Court,,,
Gadchiroli,2010,Labor Court,,,
Gadchiroli,2010,Public Court,,,
Gadchiroli,2011,Civil Court,42.0,258.0,3.0
Gadchiroli,2011,Consumer Forum,,,
Gadchiroli,2011,Criminal Court,13.0,1122.0,1252.0
Gadchiroli,2011,District Magistrate And Executive Magistrate,,,
Gadchiroli,2011,Family Court,,65.0,65.0
Gadchiroli,2011,Industrial Court,,,
Gadchiroli,2011,Labor Court,,,
Gadchiroli,2011,Public Court,,,
Gadchiroli,2012,Civil Court,14.0,129.0,233.0
Gadchiroli,2012,Consumer Forum,,,
Gadchiroli,2012,Criminal Court,21.0,4.0,61.0
Gadchiroli,2012,District Magistrate And Executive Magistrate,,,
Gadchiroli,2012,Family Court,,65.0,65.0
Gadchiroli,2012,Industrial Court,,,
Gadchiroli,2012,Labor Court,,,
Gadchiroli,2012,Public Court,,,
Gadchiroli,2013,Civil Court,173.0,1.0,273.0
Gadchiroli,2013,Consumer Forum,,,
Gadchiroli,2013,Criminal Court,212.0,476.0,688.0
Gadchiroli,2013,District Magistrate And Executive Magistrate,,,
Gadchiroli,2013,"Family Court
",,57.0,57.0
Gadchiroli,2013,Industrial Court,,,
Gadchiroli,2013,Labor Court,,,
Gadchiroli,2013,Public Court,,,
Gadchiroli,2014,Civil Court,49.0,33.0,82.0
Gadchiroli,2014,Consumer Forum,,,
Gadchiroli,2014,Criminal Court,7.0,67.0,137.0
Gadchiroli,2014,District Magistrate And Executive Magistrate,,,
Gadchiroli,2014,"Family Court
",,57.0,57.0
Gadchiroli,2014,Industrial Court,,,
Gadchiroli,2014,Labor Court,,,
Gadchiroli,2014,Public Court,,,
Gadchiroli,2015,Civil Court,54.0,15.0,69.0
Gadchiroli,2015,Consumer Forum,,,
Gadchiroli,2015,Criminal Court,35.0,29.0,64.0
Gadchiroli,2015,District Magistrate And Executive Magistrate,,,
Gadchiroli,2015,"Family Court
",,24.0,24.0
Gadchiroli,2015,Industrial Court,,,
Gadchiroli,2015,Labor Court,,,
Gadchiroli,2015,Public Court,,,
Gadchiroli,2016,Civil Court,6.0,15.0,75.0
Gadchiroli,2016,Consumer Forum,,,
Gadchiroli,2016,Criminal Court,4.0,23.0,63.0
Gadchiroli,2016,District Magistrate And Executive Magistrate,,,
Gadchiroli,2016,Family Court,,,
Gadchiroli,2016,Industrial Court,,,
Gadchiroli,2016,Labor Court,,,
Gadchiroli,2016,Public Court,,,
Gadchiroli,2017,Civil Court,89.0,39.0,128.0
Gadchiroli,2017,Consumer Forum,2.0,,2.0
Gadchiroli,2017,Criminal Court,93.0,66.0,159.0
Gadchiroli,2017,District Magistrate And Executive Magistrate,48.0,,48.0
Gadchiroli,2017,"Family Court
",,,
Gadchiroli,2017,Industrial Court,,,
Gadchiroli,2017,Labor Court,,,
Gadchiroli,2017,Public Court,,,
Gadchiroli,2018,Civil Court,6.0,17.0,77.0
Gadchiroli,2018,Consumer Forum,2.0,,2.0
Gadchiroli,2018,Criminal Court,51.0,56.0,17.0
Gadchiroli,2018,District Magistrate And Executive Magistrate,86.0,,86.0
Gadchiroli,2018,"Family Court
",,,
Gadchiroli,2018,Industrial Court,,,
Gadchiroli,2018,Labor Court,,,
Gadchiroli,2018,Public Court,,,
Gadchiroli,2019,Civil Court,43.0,5.0,48.0
Gadchiroli,2019,Consumer Forum,,,
Gadchiroli,2019,Criminal Court,42.0,1.0,43.0
Gadchiroli,2019,District Magistrate And Executive Magistrate,122.0,17.0,229.0
Gadchiroli,2019,"Family Court
",,,
Gadchiroli,2019,Industrial Court,,,
Gadchiroli,2019,Labor Court,,,
Gadchiroli,2019,Public Court,,,
Gadchiroli,2020,Civil Court,51.0,22.0,73.0
Gadchiroli,2020,Consumer Forum,,,
Gadchiroli,2020,Criminal Court,27.0,2.0,29.0
Gadchiroli,2020,District Magistrate And Executive Magistrate,11.0,4.0,114.0
Gadchiroli,2020,"Family Court
",,,
Gadchiroli,2020,Industrial Court,,,
Gadchiroli,2020,Labor Court,,,
Gadchiroli,2020,Public Court,,,
Gadchiroli,2021,Civil Court,36.0,41.0,77.0
Gadchiroli,2021,Consumer Forum,,,
Gadchiroli,2021,Criminal Court,28.0,24.0,52.0
Gadchiroli,2021,District Magistrate And Executive Magistrate,17.0,,17.0
Gadchiroli,2021,"Family Court
",,,
Gadchiroli,2021,Industrial Court,,,
Gadchiroli,2021,Labor Court,,,
Gadchiroli,2021,Public Court,,,
Gondia,2012,Civil Court,49.0,29.0,78.0
Gondia,2012,Consumer Forum,73.0,11.0,84.0
Gondia,2012,Criminal Court,36.0,47.0,83.0
Gondia,2012,District Magistrate And Executive Magistrate,,,
Gondia,2012,Family Court,,,
Gondia,2012,Industrial Court,,,
Gondia,2012,Labor Court,,,
Gondia,2012,Public Court,8.0,4.0,12.0
Gondia,2013,Civil Court,41.0,25.0,66.0
Gondia,2013,Consumer Forum,73.0,,73.0
Gondia,2013,Criminal Court,44.0,4.0,84.0
Gondia,2013,District Magistrate And Executive Magistrate,,,
Gondia,2013,"Family Court
",,,
Gondia,2013,Industrial Court,7.0,,7.0
Gondia,2013,Labor Court,,,
Gondia,2013,Public Court,,,
Gondia,2014,Civil Court,85.0,45.0,13.0
Gondia,2014,Consumer Forum,,71.0,71.0
Gondia,2014,Criminal Court,377.0,71.0,448.0
Gondia,2014,District Magistrate And Executive Magistrate,,,
Gondia,2014,"Family Court
",,,
Gondia,2014,Industrial Court,258.0,,258.0
Gondia,2014,Labor Court,,,
Gondia,2014,Public Court,,,
Gondia,2015,Civil Court,21.0,11.0,32.0
Gondia,2015,Consumer Forum,,45.0,45.0
Gondia,2015,Criminal Court,27.0,65.0,92.0
Gondia,2015,District Magistrate And Executive Magistrate,,,
Gondia,2015,"Family Court
",,,
Gondia,2015,Industrial Court,162.0,,162.0
Gondia,2015,Labor Court,,,
Gondia,2015,Public Court,,,
Gondia,2016,Civil Court,78.0,29.0,17.0
Gondia,2016,Consumer Forum,,73.0,73.0
Gondia,2016,Criminal Court,41.0,91.0,132.0
Gondia,2016,District Magistrate And Executive Magistrate,,,
Gondia,2016,Family Court,,,
Gondia,2016,Industrial Court,154.0,2.0,156.0
Gondia,2016,Labor Court,,,
Gondia,2016,Public Court,288.0,647.0,935.0
Gondia,2017,Civil Court,323.0,161.0,484.0
Gondia,2017,Consumer Forum,,73.0,73.0
Gondia,2017,Criminal Court,421.0,21.0,631.0
Gondia,2017,District Magistrate And Executive Magistrate,78.0,,78.0
Gondia,2017,"Family Court
",,,
Gondia,2017,Industrial Court,85.0,,85.0
Gondia,2017,Labor Court,,,
Gondia,2017,Public Court,164.0,784.0,948.0
Gondia,2018,Civil Court,159.0,6.0,219.0
Gondia,2018,Consumer Forum,,,
Gondia,2018,Criminal Court,237.0,44.0,641.0
Gondia,2018,District Magistrate And Executive Magistrate,78.0,,78.0
Gondia,2018,"Family Court
",,,
Gondia,2018,Industrial Court,57.0,,57.0
Gondia,2018,Labor Court,,,
Gondia,2018,Public Court,,494.0,494.0
Gondia,2019,Civil Court,211.0,87.0,298.0
Gondia,2019,Consumer Forum,,,
Gondia,2019,Criminal Court,24.0,348.0,552.0
Gondia,2019,District Magistrate And Executive Magistrate,181.0,,181.0
Gondia,2019,"Family Court
",,,
Gondia,2019,Industrial Court,93.0,4.0,97.0
Gondia,2019,Labor Court,,,
Gondia,2019,Public Court,,1329.0,1329.0
Gondia,2020,Civil Court,82.0,38.0,12.0
Gondia,2020,Consumer Forum,,,
Gondia,2020,Criminal Court,16.0,378.0,484.0
Gondia,2020,District Magistrate And Executive Magistrate,18.0,,18.0
Gondia,2020,"Family Court
",,,
Gondia,2020,Industrial Court,15.0,,15.0
Gondia,2020,Labor Court,,,
Gondia,2020,Public Court,,79.0,79.0
Gondia,2021,Civil Court,22.0,115.0,335.0
Gondia,2021,Consumer Forum,,,
Gondia,2021,Criminal Court,471.0,427.0,898.0
Gondia,2021,District Magistrate And Executive Magistrate,312.0,,312.0
Gondia,2021,"Family Court
",,,
Gondia,2021,Industrial Court,24.0,4.0,28.0
Gondia,2021,Labor Court,,,
Gondia,2021,Public Court,,62.0,62.0
Hingoli,2012,Civil Court,425.0,88.0,513.0
Hingoli,2012,Consumer Forum,5.0,19.0,24.0
Hingoli,2012,Criminal Court,138.0,542.0,68.0
Hingoli,2012,District Magistrate And Executive Magistrate,24.0,15.0,39.0
Hingoli,2012,Family Court,,,
Hingoli,2012,Industrial Court,,,
Hingoli,2012,Labor Court,,,
Hingoli,2012,Public Court,,,
Hingoli,2013,Civil Court,361.0,8.0,441.0
Hingoli,2013,Consumer Forum,,,
Hingoli,2013,Criminal Court,138.0,227.0,365.0
Hingoli,2013,District Magistrate And Executive Magistrate,,,
Hingoli,2013,Family Court,,,
Hingoli,2013,Industrial Court,,,
Hingoli,2013,Labor Court,,,
Hingoli,2013,Public Court,,,
Hingoli,2014,Civil Court,,,
Hingoli,2014,Consumer Forum,,,
Hingoli,2014,Criminal Court,,,
Hingoli,2014,District Magistrate And Executive Magistrate,2657.0,,2657.0
Hingoli,2014,Family Court,,,
Hingoli,2014,Industrial Court,,,
Hingoli,2014,Labor Court,,,
Hingoli,2014,Public Court,,,
Hingoli,2015,Civil Court,887.0,37.0,1257.0
Hingoli,2015,Consumer Forum,,,
Hingoli,2015,Criminal Court,221.0,42.0,641.0
Hingoli,2015,District Magistrate And Executive Magistrate,,,
Hingoli,2015,Family Court,,,
Hingoli,2015,Industrial Court,,,
Hingoli,2015,Labor Court,,,
Hingoli,2015,Public Court,112.0,71.0,183.0
Hingoli,2016,Civil Court,189.0,,189.0
Hingoli,2016,Consumer Forum,,,
Hingoli,2016,Criminal Court,56.0,14.0,7.0
Hingoli,2016,District Magistrate And Executive Magistrate,,,
Hingoli,2016,Family Court,,,
Hingoli,2016,Industrial Court,,,
Hingoli,2016,Labor Court,,,
Hingoli,2016,Public Court,2.0,,2.0
Hingoli,2017,Civil Court,169.0,,169.0
Hingoli,2017,Consumer Forum,,,
Hingoli,2017,Criminal Court,139.0,38.0,177.0
Hingoli,2017,District Magistrate And Executive Magistrate,,,
Hingoli,2017,Family Court,,,
Hingoli,2017,Industrial Court,,,
Hingoli,2017,Labor Court,,,
Hingoli,2017,Public Court,65.0,3.0,68.0
Hingoli,2018,Civil Court,289.0,589.0,878.0
Hingoli,2018,Consumer Forum,23.0,,23.0
Hingoli,2018,Criminal Court,57.0,236.0,293.0
Hingoli,2018,District Magistrate And Executive Magistrate,,,
Hingoli,2018,Family Court,,,
Hingoli,2018,Industrial Court,,,
Hingoli,2018,Labor Court,,,
Hingoli,2018,Public Court,,,
Hingoli,2019,Civil Court,98.0,5.0,148.0
Hingoli,2019,Consumer Forum,17.0,,17.0
Hingoli,2019,Criminal Court,31.0,7.0,38.0
Hingoli,2019,District Magistrate And Executive Magistrate,,,
Hingoli,2019,Family Court,,,
Hingoli,2019,Industrial Court,,,
Hingoli,2019,Labor Court,,,
Hingoli,2019,Public Court,,,
Hingoli,2020,Civil Court,38.0,2.0,4.0
Hingoli,2020,Consumer Forum,35.0,,35.0
Hingoli,2020,Criminal Court,19.0,6.0,25.0
Hingoli,2020,District Magistrate And Executive Magistrate,,,
Hingoli,2020,Family Court,,,
Hingoli,2020,Industrial Court,,,
Hingoli,2020,Labor Court,,,
Hingoli,2020,Public Court,,,
Hingoli,2021,Civil Court,177.0,98.0,275.0
Hingoli,2021,Consumer Forum,,,
Hingoli,2021,Criminal Court,127.0,183.0,31.0
Hingoli,2021,District Magistrate And Executive Magistrate,,,
Hingoli,2021,Family Court,,,
Hingoli,2021,Industrial Court,,,
Hingoli,2021,Labor Court,,,
Hingoli,2021,Public Court,,,
Jalgaon,2009,Civil Court,227.0,58.0,285.0
Jalgaon,2009,Consumer Forum,1988.0,,1988.0
Jalgaon,2009,Criminal Court,223.0,376.0,3929.0
Jalgaon,2009,District Magistrate And Executive Magistrate,,,
Jalgaon,2009,Family Court,,,
Jalgaon,2009,Industrial Court,33.0,33.0,363.0
Jalgaon,2009,Labor Court,,,
Jalgaon,2009,Public Court,,,
Jalgaon,2010,Civil Court,227.0,58.0,285.0
Jalgaon,2010,Consumer Forum,1988.0,,1988.0
Jalgaon,2010,Criminal Court,223.0,76.0,929.0
Jalgaon,2010,District Magistrate And Executive Magistrate,,,
Jalgaon,2010,Family Court,,,
Jalgaon,2010,Industrial Court,33.0,,33.0
Jalgaon,2010,Labor Court,,,
Jalgaon,2010,Public Court,,,
Jalgaon,2011,Civil Court,318.0,14.0,458.0
Jalgaon,2011,Consumer Forum,2549.0,,2549.0
Jalgaon,2011,Criminal Court,236.0,466.0,72.0
Jalgaon,2011,District Magistrate And Executive Magistrate,,,
Jalgaon,2011,Family Court,,,
Jalgaon,2011,Industrial Court,28.0,,28.0
Jalgaon,2011,Labor Court,,,
Jalgaon,2011,Public Court,,,
Jalgaon,2012,Civil Court,138.0,12.0,114.0
Jalgaon,2012,Consumer Forum,,,
Jalgaon,2012,Criminal Court,119.0,183.0,32.0
Jalgaon,2012,District Magistrate And Executive Magistrate,,,
Jalgaon,2012,Family Court,,,
Jalgaon,2012,Industrial Court,61.0,,61.0
Jalgaon,2012,Labor Court,,,
Jalgaon,2012,Public Court,,,
Jalgaon,2013,Civil Court,643.0,1577.0,222.0
Jalgaon,2013,Consumer Forum,,,
Jalgaon,2013,Criminal Court,15.0,328.0,3385.0
Jalgaon,2013,District Magistrate And Executive Magistrate,,1.0,1.0
Jalgaon,2013,Family Court,,,
Jalgaon,2013,Industrial Court,44.0,,44.0
Jalgaon,2013,Labor Court,,,
Jalgaon,2013,Public Court,,,
Jalgaon,2014,Civil Court,252.0,595.0,847.0
Jalgaon,2014,Consumer Forum,68.0,298.0,96.0
Jalgaon,2014,Criminal Court,,,
Jalgaon,2014,District Magistrate And Executive Magistrate,,,
Jalgaon,2014,Family Court,,,
Jalgaon,2014,Industrial Court,,,
Jalgaon,2014,Labor Court,51.0,,51.0
Jalgaon,2014,Public Court,,,
Jalgaon,2015,Civil Court,215.0,464.0,679.0
Jalgaon,2015,Consumer Forum,342.0,142.0,484.0
Jalgaon,2015,Criminal Court,,,
Jalgaon,2015,District Magistrate And Executive Magistrate,,,
Jalgaon,2015,Family Court,,,
Jalgaon,2015,Industrial Court,,,
Jalgaon,2015,Labor Court,75.0,,75.0
Jalgaon,2015,Public Court,,,
Jalgaon,2016,Civil Court,223.0,318.0,541.0
Jalgaon,2016,Consumer Forum,,,
Jalgaon,2016,Criminal Court,,,
Jalgaon,2016,District Magistrate And Executive Magistrate,,,
Jalgaon,2016,Family Court,,,
Jalgaon,2016,Industrial Court,16.0,,16.0
Jalgaon,2016,Labor Court,,,
Jalgaon,2016,Public Court,,,
Jalgaon,2017,Civil Court,1375.0,337.0,1712.0
Jalgaon,2017,Consumer Forum,,,
Jalgaon,2017,Criminal Court,184.0,248.0,432.0
Jalgaon,2017,District Magistrate And Executive Magistrate,,,
Jalgaon,2017,Family Court,,,
Jalgaon,2017,Industrial Court,9.0,,9.0
Jalgaon,2017,Labor Court,,,
Jalgaon,2017,Public Court,,,
Jalgaon,2018,Civil Court,16.0,123.0,1183.0
Jalgaon,2018,Consumer Forum,,,
Jalgaon,2018,Criminal Court,217.0,458.0,675.0
Jalgaon,2018,District Magistrate And Executive Magistrate,249.0,,249.0
Jalgaon,2018,Family Court,,,
Jalgaon,2018,Industrial Court,23.0,,23.0
Jalgaon,2018,Labor Court,,,
Jalgaon,2018,Public Court,,,
Jalgaon,2019,Civil Court,971.0,116.0,187.0
Jalgaon,2019,Consumer Forum,,,
Jalgaon,2019,Criminal Court,225.0,443.0,668.0
Jalgaon,2019,District Magistrate And Executive Magistrate,493.0,922.0,515.0
Jalgaon,2019,Family Court,,,
Jalgaon,2019,Industrial Court,25.0,8.0,33.0
Jalgaon,2019,Labor Court,,,
Jalgaon,2019,Public Court,,,
Jalgaon,2020,Civil Court,763.0,522.0,1285.0
Jalgaon,2020,Consumer Forum,,,
Jalgaon,2020,Criminal Court,2258.0,12.0,3278.0
Jalgaon,2020,District Magistrate And Executive Magistrate,544.0,,544.0
Jalgaon,2020,Family Court,,,
Jalgaon,2020,Industrial Court,5.0,,5.0
Jalgaon,2020,Labor Court,,,
Jalgaon,2020,Public Court,,,
Jalgaon,2021,Civil Court,448.0,5211.0,9619.0
Jalgaon,2021,Consumer Forum,,,
Jalgaon,2021,Criminal Court,512.0,612.0,11222.0
Jalgaon,2021,District Magistrate And Executive Magistrate,1295.0,,1295.0
Jalgaon,2021,Family Court,,,
Jalgaon,2021,Industrial Court,17.0,,17.0
Jalgaon,2021,Labor Court,,,
Jalgaon,2021,Public Court,,,
Jalna,2013,Civil Court,232.0,97.0,329.0
Jalna,2013,Consumer Forum,,,
Jalna,2013,Criminal Court,38.0,55.0,93.0
Jalna,2013,District Magistrate And Executive Magistrate,,,
Jalna,2013,"Family Court
",,,
Jalna,2013,Industrial Court,,,
Jalna,2013,Labor Court,,,
Jalna,2013,Public Court,,,
Jalna,2014,Civil Court,28.0,91.0,299.0
Jalna,2014,Consumer Forum,,,
Jalna,2014,Criminal Court,44.0,95.0,139.0
Jalna,2014,District Magistrate And Executive Magistrate,,,
Jalna,2014,"Family Court
",,,
Jalna,2014,Industrial Court,149.0,,149.0
Jalna,2014,Labor Court,,,
Jalna,2014,Public Court,,,
Jalna,2015,Civil Court,28.0,91.0,299.0
Jalna,2015,Consumer Forum,,,
Jalna,2015,Criminal Court,88.0,95.0,183.0
Jalna,2015,District Magistrate And Executive Magistrate,,,
Jalna,2015,"Family Court
",,,
Jalna,2015,Industrial Court,64.0,,64.0
Jalna,2015,Labor Court,,,
Jalna,2015,Public Court,,,
Jalna,2016,Civil Court,115.0,14.0,219.0
Jalna,2016,Consumer Forum,,,
Jalna,2016,Criminal Court,57.0,137.0,194.0
Jalna,2016,District Magistrate And Executive Magistrate,,,
Jalna,2016,Family Court,,,
Jalna,2016,Industrial Court,11.0,,11.0
Jalna,2016,Labor Court,,,
Jalna,2016,Public Court,,,
Jalna,2017,Civil Court,5.0,154.0,159.0
Jalna,2017,Consumer Forum,,,
Jalna,2017,Criminal Court,83.0,98.0,181.0
Jalna,2017,District Magistrate And Executive Magistrate,,,
Jalna,2017,"Family Court
",,,
Jalna,2017,Industrial Court,135.0,38.0,173.0
Jalna,2017,Labor Court,,,
Jalna,2017,Public Court,,51.0,51.0
Jalna,2018,Civil Court,168.0,72.0,24.0
Jalna,2018,Consumer Forum,,,
Jalna,2018,Criminal Court,168.0,233.0,41.0
Jalna,2018,District Magistrate And Executive Magistrate,,,
Jalna,2018,"Family Court
",,,
Jalna,2018,Industrial Court,12.0,2.0,14.0
Jalna,2018,Labor Court,,,
Jalna,2018,Public Court,7.0,38.0,18.0
Jalna,2019,Civil Court,12.0,6.0,18.0
Jalna,2019,Consumer Forum,,,
Jalna,2019,Criminal Court,55.0,78.0,133.0
Jalna,2019,District Magistrate And Executive Magistrate,,,
Jalna,2019,"Family Court
",,,
Jalna,2019,Industrial Court,3.0,,3.0
Jalna,2019,Labor Court,,,
Jalna,2019,Public Court,54.0,39.0,93.0
Jalna,2020,Civil Court,39.0,43.0,82.0
Jalna,2020,Consumer Forum,,,
Jalna,2020,Criminal Court,31.0,37.0,68.0
Jalna,2020,District Magistrate And Executive Magistrate,,,
Jalna,2020,"Family Court
",,,
Jalna,2020,Industrial Court,23.0,,23.0
Jalna,2020,Labor Court,,,
Jalna,2020,Public Court,13.0,23.0,36.0
Jalna,2021,Civil Court,88.0,37.0,125.0
Jalna,2021,Consumer Forum,,,
Jalna,2021,Criminal Court,187.0,114.0,31.0
Jalna,2021,District Magistrate And Executive Magistrate,,,
Jalna,2021,"Family Court
",,,
Jalna,2021,Industrial Court,2.0,,2.0
Jalna,2021,Labor Court,,,
Jalna,2021,Public Court,23.0,,23.0
Mumbai,2013,Civil Court,94.0,97.0,191.0
Mumbai,2013,Consumer Forum,,,
Mumbai,2013,Cooperative Court,59.0,91.0,681.0
Mumbai,2013,Court Of Chief Judicial Magistrate,,,
Mumbai,2013,Criminal Court,12.0,,12.0
Mumbai,2013,"Family Court
",,,
Mumbai,2013,Industrial Court,215.0,,215.0
Mumbai,2013,Labor Court,,,
Mumbai,2013,Public Court,,,
Mumbai,2013,Small Causes Court,948.0,435.0,1383.0
Mumbai,2014,Civil Court,85.0,,85.0
Mumbai,2014,Consumer Forum,,,
Mumbai,2014,Cooperative Court,193.0,276.0,469.0
Mumbai,2014,Court Of Chief Judicial Magistrate,,,
Mumbai,2014,Criminal Court,91.0,,91.0
Mumbai,2014,Family Court,,,
Mumbai,2014,Industrial Court,38.0,,38.0
Mumbai,2014,Labor Court,,,
Mumbai,2014,Public Court,,,
Mumbai,2014,Small Causes Court,962.0,473.0,1435.0
Mumbai,2015,Civil Court,,152.0,152.0
Mumbai,2015,Consumer Forum,,,
Mumbai,2015,Cooperative Court,211.0,184.0,395.0
Mumbai,2015,Court Of Chief Judicial Magistrate,,,
Mumbai,2015,Criminal Court,1387.0,,1387.0
Mumbai,2015,Family Court,,,
Mumbai,2015,Industrial Court,,,
Mumbai,2015,Labor Court,352.0,,352.0
Mumbai,2015,Public Court,,,
Mumbai,2015,Small Causes Court,883.0,417.0,13.0
Mumbai,2016,Civil Court,,168.0,168.0
Mumbai,2016,Consumer Forum,,,
Mumbai,2016,Cooperative Court,942.0,373.0,1315.0
Mumbai,2016,Court Of Chief Judicial Magistrate,,,
Mumbai,2016,Criminal Court,1615.0,,1615.0
Mumbai,2016,Family Court,,,
Mumbai,2016,Industrial Court,,,
Mumbai,2016,Labor Court,14.0,,14.0
Mumbai,2016,Public Court,,,
Mumbai,2016,Small Causes Court,159.0,155.0,314.0
Mumbai,2017,Civil Court,,,
Mumbai,2017,Consumer Forum,,,
Mumbai,2017,Cooperative Court,8.0,51.0,131.0
Mumbai,2017,Court Of Chief Judicial Magistrate,,,
Mumbai,2017,Criminal Court,935.0,,935.0
Mumbai,2017,"Family Court
",,,
Mumbai,2017,Industrial Court,272.0,,272.0
Mumbai,2017,Labor Court,,,
Mumbai,2017,Public Court,,,
Mumbai,2017,Small Causes Court,24.0,173.0,413.0
Mumbai,2018,Civil Court,,,
Mumbai,2018,Consumer Forum,,,
Mumbai,2018,Court Of Chief Judicial Magistrate,,,
Mumbai,2018,Criminal Court,131.0,,131.0
Mumbai,2018,Industrial Court,256.0,,256.0
Mumbai,2018,Labor Court,,,
