District,Year,Type of Court,Regular,Miscellaneous,All Appeal Cases
Akola,2012,Civil Court,84.0,597.0,681.0
Akola,2012,Consumer Forum,,,
Akola,2012,Criminal Court,21.0,1126.0,1327.0
Akola,2012,District Magistrate And Executive Magistrate,,,
Akola,2012,Family Court,,,
Akola,2012,Industrial Court,,,
Akola,2012,Labor Court,,,
Akola,2012,Public Court,19.0,,19.0
Akola,2013,Civil Court,18.0,61.0,718.0
Akola,2013,Consumer Forum,,,
Akola,2013,Criminal Court,41.0,1697.0,1738.0
Akola,2013,District Magistrate And Executive Magistrate,,,
Akola,2013,"Family Court
",,,
Akola,2013,Industrial Court,91.0,,91.0
Akola,2013,Labor Court,1.0,2.0,12.0
Akola,2013,Public Court,19.0,,19.0
Akola,2014,Civil Court,583.0,38.0,891.0
Akola,2014,Consumer Forum,,,
Akola,2014,Criminal Court,615.0,1389.0,24.0
Akola,2014,District Magistrate And Executive Magistrate,,,
Akola,2014,"Family Court
",,,
Akola,2014,Industrial Court,,,
Akola,2014,Labor Court,81.0,1.0,82.0
Akola,2014,Public Court,53.0,,53.0
Akola,2015,Civil Court,247.0,847.0,194.0
Akola,2015,Consumer Forum,,,
Akola,2015,Criminal Court,165.0,1612.0,1777.0
Akola,2015,District Magistrate And Executive Magistrate,658.0,63.0,721.0
Akola,2015,"Family Court
",,,
Akola,2015,Industrial Court,153.0,,153.0
Akola,2015,Labor Court,2.0,,2.0
Akola,2015,Public Court,,,
Akola,2016,Civil Court,974.0,1949.0,2923.0
Akola,2016,Consumer Forum,,,
Akola,2016,Criminal Court,591.0,2146.0,2737.0
Akola,2016,District Magistrate And Executive Magistrate,438.0,26.0,644.0
Akola,2016,Family Court,,,
Akola,2016,Industrial Court,26.0,,26.0
Akola,2016,Labor Court,15.0,2.0,17.0
Akola,2016,Public Court,,,
Akola,2017,Civil Court,831.0,1927.0,2758.0
Akola,2017,Consumer Forum,,,
Akola,2017,Criminal Court,1431.0,1411.0,2842.0
Akola,2017,District Magistrate And Executive Magistrate,894.0,,894.0
Akola,2017,"Family Court
",,,
Akola,2017,Industrial Court,91.0,79.0,17.0
Akola,2017,Labor Court,24.0,1.0,25.0
Akola,2017,Public Court,,,
Akola,2018,Civil Court,732.0,1458.0,219.0
Akola,2018,Consumer Forum,,,
Akola,2018,Criminal Court,2376.0,587.0,2963.0
Akola,2018,District Magistrate And Executive Magistrate,695.0,,695.0
Akola,2018,"Family Court
",,,
Akola,2018,Industrial Court,58.0,,58.0
Akola,2018,Labor Court,,,
Akola,2018,Public Court,,,
Akola,2019,Civil Court,732.0,1458.0,219.0
Akola,2019,Consumer Forum,,,
Akola,2019,Criminal Court,2449.0,532.0,2981.0
Akola,2019,District Magistrate And Executive Magistrate,85.0,,85.0
Akola,2019,"Family Court
",,,
Akola,2019,Industrial Court,84.0,,84.0
Akola,2019,Labor Court,,,
Akola,2019,Public Court,,35.0,35.0
Akola,2020,Civil Court,718.0,1733.0,2451.0
Akola,2020,Consumer Forum,,,
Akola,2020,Criminal Court,2927.0,171.0,398.0
Akola,2020,District Magistrate And Executive Magistrate,694.0,,694.0
Akola,2020,"Family Court
",,,
Akola,2020,Industrial Court,23.0,,23.0
Akola,2020,Labor Court,,,
Akola,2020,Public Court,,42.0,42.0
Akola,2021,Civil Court,11.0,37.0,147.0
Akola,2021,Consumer Forum,,,
Akola,2021,Criminal Court,,,
Akola,2021,District Magistrate And Executive Magistrate,93.0,22.0,115.0
Akola,2021,"Family Court
",,,
Akola,2021,Industrial Court,42.0,1.0,43.0
Akola,2021,Labor Court,,,
Akola,2021,Public Court,,,
Amravati,2006,Civil Court,151.0,825.0,2335.0
Amravati,2006,Consumer Forum,,,
Amravati,2006,Criminal Court,171.0,1472.0,2543.0
Amravati,2006,District Magistrate And Executive Magistrate,,,
Amravati,2006,Family Court,,,
Amravati,2006,Industrial Court,178.0,,178.0
Amravati,2006,Labor Court,,,
Amravati,2006,Public Court,5.0,,5.0
Amravati,2008,Civil Court,1334.0,675.0,29.0
Amravati,2008,Consumer Forum,,,
Amravati,2008,Criminal Court,1182.0,1649.0,2831.0
Amravati,2008,District Magistrate And Executive Magistrate,,,
Amravati,2008,Family Court,,,
Amravati,2008,Industrial Court,29.0,,29.0
Amravati,2008,Labor Court,,,
Amravati,2008,Public Court,129.0,,129.0
Amravati,2009,Civil Court,145.0,783.0,1828.0
Amravati,2009,Consumer Forum,,,
Amravati,2009,Criminal Court,862.0,146.0,2268.0
Amravati,2009,District Magistrate And Executive Magistrate,,,
Amravati,2009,Family Court,,,
Amravati,2009,Industrial Court,21.0,,21.0
Amravati,2009,Labor Court,,,
Amravati,2009,Public Court,11.0,,11.0
Amravati,2010,Civil Court,795.0,947.0,1742.0
Amravati,2010,Consumer Forum,,,
Amravati,2010,Criminal Court,295.0,1813.0,218.0
Amravati,2010,District Magistrate And Executive Magistrate,,,
Amravati,2010,Family Court,,,
Amravati,2010,Industrial Court,249.0,,249.0
Amravati,2010,Labor Court,,,
