Year,District,Taluka,Establishment,Number of Officers/Employees
2021,Ahilyanagar,Pathardi,Police Stations,71
2021,Ahilyanagar,Nagar,Police Stations,291
2021,Ahilyanagar,Rahuri,Police Stations,81
2021,Ahilyanagar,Parner,Police Stations,226
2021,Ahilyanagar,Srigonda,Police Stations,116
2021,Ahilyanagar,Karjat,Police Stations,58
2021,Ahilyanagar,Jamkhed,Police Stations,64
2018,Akola,Telhara,Police Stations,86
2018,Akola,Akot,Police Stations,185
2018,Akola,Balapur,Police Stations,124
2018,Akola,Akola,Police Stations,655
2018,Akola,Murtijapur,Police Stations,270
2018,Akola,Patur,Police Stations,103
2018,Akola,Barshitakali,Police Stations,56
2019,Akola,Telhara,Police Stations,53
2019,Akola,Akot,Police Stations,222
2019,Akola,Balapur,Police Stations,134
2019,Akola,Akola,Police Stations,1281
2019,Akola,Murtijapur,Police Stations,226
2019,Akola,Patur,Police Stations,53
2019,Akola,Barshitakali,Police Stations,62
2020,Akola,Telhara,Police Stations,87
2020,Akola,Akot,Police Stations,140
2020,Akola,Balapur,Police Stations,119
2020,Akola,Akola,Police Stations,812
2020,Akola,Murtijapur,Police Stations,260
2020,Akola,Patur,Police Stations,109
2020,Akola,Barshitakali,Police Stations,106
2021,Akola,Telhara,Police Stations,91
2021,Akola,Akot,Police Stations,134
2021,Akola,Balapur,Police Stations,122
2021,Akola,Akola,Police Stations,740
2021,Akola,Murtijapur,Police Stations,148
2021,Akola,Patur,Police Stations,102
2021,Akola,Barshitakali,Police Stations,102
2018,Amravati,Dharani,Police Stations,63
2018,Amravati,Chikhraldara,Police Stations,58
2018,Amravati,Anjangaon Su,Police Stations,98
2018,Amravati,Achalpur,Police Stations,231
2018,Amravati,Chandurbazar,Police Stations,192
2018,Amravati,Morshi,Police Stations,124
2018,Amravati,Warud,Police Stations,162
2018,Amravati,Tivas,Police Stations,60
2018,Amravati,Amravati,Police Stations,1949
2018,Amravati,Bhatkuli,Police Stations,93
2018,Amravati,Daryapur,Police Stations,142
2018,Amravati,Nandgaon Kh,Police Stations,174
2018,Amravati,Chandur Railway,Police Stations,99
2018,Amravati,Dhamangaon Re,Police Stations,94
2019,Amravati,Dharani,Police Stations,61
2019,Amravati,Chikhraldara,Police Stations,62
2019,Amravati,Anjangaon Su,Police Stations,133
2019,Amravati,Achalpur,Police Stations,261
2019,Amravati,Chandurbazar,Police Stations,232
2019,Amravati,Morshi,Police Stations,133
2019,Amravati,Warud,Police Stations,177
2019,Amravati,Tivas,Police Stations,96
2019,Amravati,Amravati,Police Stations,1221
2019,Amravati,Bhatkuli,Police Stations,77
2019,Amravati,Daryapur,Police Stations,150
2019,Amravati,Nandgaon Kh,Police Stations,171
2019,Amravati,Chandur Railway,Police Stations,96
2019,Amravati,Dhamangaon Re,Police Stations,85
2020,Amravati,Dharani,Police Stations,61
2020,Amravati,Chikhraldara,Police Stations,62
2020,Amravati,Anjangaon Su,Police Stations,133
2020,Amravati,Achalpur,Police Stations,261
2020,Amravati,Chandurbazar,Police Stations,232
2020,Amravati,Morshi,Police Stations,133
2020,Amravati,Warud,Police Stations,177
2020,Amravati,Tivas,Police Stations,96
2020,Amravati,Amravati,Police Stations,2271
2020,Amravati,Bhatkuli,Police Stations,74
2020,Amravati,Daryapur,Police Stations,150
2020,Amravati,Nandgaon Kh,Police Stations,124
2020,Amravati,Chandur Railway,Police Stations,59
2020,Amravati,Dhamangaon Re,Police Stations,122
2021,Amravati,Dharani,Police Stations,61
2021,Amravati,Chikhraldara,Police Stations,62
2021,Amravati,Anjangaon Su,Police Stations,133
2021,Amravati,Achalpur,Police Stations,261
2021,Amravati,Chandurbazar,Police Stations,232
2021,Amravati,Morshi,Police Stations,133
2021,Amravati,Warud,Police Stations,177
2021,Amravati,Tivas,Police Stations,96
2021,Amravati,Amravati,Police Stations,2019
2021,Amravati,Bhatkuli,Police Stations,86
2021,Amravati,Daryapur,Police Stations,150
2021,Amravati,Nandgaon Kh,Police Stations,124
2021,Amravati,Chandur Railway,Police Stations,59
2021,Amravati,Dhamangaon Re,Police Stations,122
2018,Beed,Ashti,Police Stations,92
2018,Beed,Patoda,Police Stations,61
2018,Beed,Shirur Kasar,Police Stations,35
2018,Beed,Gevrai,Police Stations,156
2018,Beed,Majalgaon,Police Stations,127
2018,Beed,Wadwani,Police Stations,37
2018,Beed,Beed,Police Stations,1276
2018,Beed,Cage,Police Stations,102
2018,Beed,Dharur,Police Stations,46
2018,Beed,Parli,Police Stations,194
2018,Beed,Ambajogai,Police Stations,168
2019,Beed,Ashti,Police Stations,83
2019,Beed,Patoda,Police Stations,83
2019,Beed,Shirur Kasar,Police Stations,36
2019,Beed,Gevrai,Police Stations,134
2019,Beed,Majalgaon,Police Stations,122
2019,Beed,Wadwani,Police Stations,36
2019,Beed,Beed,Police Stations,1274
2019,Beed,Cage,Police Stations,89
2019,Beed,Dharur,Police Stations,40
2019,Beed,Parli,Police Stations,192
2019,Beed,Ambajogai,Police Stations,162
2020,Beed,Ashti,Police Stations,116
2020,Beed,Patoda,Police Stations,52
2020,Beed,Shirur Kasar,Police Stations,36
2020,Beed,Gevrai,Police Stations,149
2020,Beed,Majalgaon,Police Stations,117
2020,Beed,Wadwani,Police Stations,40
2020,Beed,Beed,Police Stations,1381
2020,Beed,Cage,Police Stations,101
2020,Beed,Dharur,Police Stations,42
2020,Beed,Parli,Police Stations,187
2020,Beed,Ambajogai,Police Stations,176
2021,Beed,Ashti,Police Stations,137
2021,Beed,Patoda,Police Stations,41
2021,Beed,Shirur Kasar,Police Stations,47
2021,Beed,Gevrai,Police Stations,172
2021,Beed,Majalgaon,Police Stations,136
2021,Beed,Wadwani,Police Stations,41
2021,Beed,Beed,Police Stations,1072
2021,Beed,Cage,Police Stations,148
2021,Beed,Dharur,Police Stations,38
2021,Beed,Parli,Police Stations,193
2021,Beed,Ambajogai,Police Stations,161
2018,Bhandara,Tumsar,Police Stations,165
2018,Bhandara,Mohadi,Police Stations,127
2018,Bhandara,Bhandara,Police Stations,202
2018,Bhandara,Sakoli,Police Stations,100
2018,Bhandara,Lakhani,Police Stations,63
2018,Bhandara,Pavani,Police Stations,101
2018,Bhandara,Lakhandur,Police Stations,42
2019,Bhandara,Tumsar,Police Stations,123
2019,Bhandara,Mohadi,Police Stations,98
2019,Bhandara,Bhandara,Police Stations,248
2019,Bhandara,Sakoli,Police Stations,73
2019,Bhandara,Lakhani,Police Stations,80
2019,Bhandara,Pavani,Police Stations,76
2019,Bhandara,Lakhandur,Police Stations,69
2020,Bhandara,Tumsar,Police Stations,133
2020,Bhandara,Mohadi,Police Stations,149
2020,Bhandara,Bhandara,Police Stations,210
2020,Bhandara,Sakoli,Police Stations,81
2020,Bhandara,Lakhani,Police Stations,81
2020,Bhandara,Pavani,Police Stations,83
2020,Bhandara,Lakhandur,Police Stations,79
2021,Bhandara,Tumsar,Police Stations,144
2021,Bhandara,Mohadi,Police Stations,142
2021,Bhandara,Bhandara,Police Stations,199
2021,Bhandara,Sakoli,Police Stations,84
2021,Bhandara,Lakhani,Police Stations,73
2021,Bhandara,Pavani,Police Stations,90
2021,Bhandara,Lakhandur,Police Stations,74
2018,Buldhana,Jalgaon Jamod,Police Stations,70
2018,Buldhana,Sangrampur,Police Stations,95
2018,Buldhana,Shegaon,Police Stations,173
2018,Buldhana,Nandura,Police Stations,80
2018,Buldhana,Malkapur,Police Stations,149
2018,Buldhana,Motala,Police Stations,75
2018,Buldhana,Khamgaon,Police Stations,304
2018,Buldhana,Mehkar,Police Stations,183
2018,Buldhana,Chikhali,Police Stations,177
2018,Buldhana,Buldhana,Police Stations,200
2018,Buldhana,Deulgaon Raja,Police Stations,106
2018,Buldhana,Sindkhed Raja,Police Stations,82
2018,Buldhana,Lonar,Police Stations,81
2019,Buldhana,Jalgaon Jamod,Police Stations,73
2019,Buldhana,Sangrampur,Police Stations,134
2019,Buldhana,Shegaon,Police Stations,181
2019,Buldhana,Nandura,Police Stations,98
2019,Buldhana,Malkapur,Police Stations,200
2019,Buldhana,Motala,Police Stations,74
2019,Buldhana,Khamgaon,Police Stations,361
2019,Buldhana,Mehkar,Police Stations,146
2019,Buldhana,Chikhali,Police Stations,140
2019,Buldhana,Buldhana,Police Stations,233
2019,Buldhana,Deulgaon Raja,Police Stations,98
2019,Buldhana,Sindkhed Raja,Police Stations,60
2019,Buldhana,Lonar,Police Stations,111
2020,Buldhana,Jalgaon Jamod,Police Stations,65
2020,Buldhana,Sangrampur,Police Stations,72
2020,Buldhana,Shegaon,Police Stations,137
2020,Buldhana,Nandura,Police Stations,103
2020,Buldhana,Malkapur,Police Stations,205
2020,Buldhana,Motala,Police Stations,74
2020,Buldhana,Khamgaon,Police Stations,361
2020,Buldhana,Mehkar,Police Stations,146
2020,Buldhana,Chikhali,Police Stations,140
2020,Buldhana,Buldhana,Police Stations,233
2020,Buldhana,Deulgaon Raja,Police Stations,98
2020,Buldhana,Sindkhed Raja,Police Stations,60
2020,Buldhana,Lonar,Police Stations,111
2021,Buldhana,Jalgaon Jamod,Police Stations,68
2021,Buldhana,Sangrampur,Police Stations,72
2021,Buldhana,Shegaon,Police Stations,173
2021,Buldhana,Nandura,Police Stations,77
2021,Buldhana,Malkapur,Police Stations,153
2021,Buldhana,Motala,Police Stations,26
2021,Buldhana,Khamgaon,Police Stations,244
2021,Buldhana,Mehkar,Police Stations,180
2021,Buldhana,Chikhali,Police Stations,174
2021,Buldhana,Buldhana,Police Stations,256
2021,Buldhana,Deulgaon Raja,Police Stations,147
2021,Buldhana,Sindkhed Raja,Police Stations,46
2021,Buldhana,Lonar,Police Stations,84
2018,Chandrapur,Varora,Police Stations,111
2018,Chandrapur,Chimur,Police Stations,78
2018,Chandrapur,Nagbhid,Police Stations,125
2018,Chandrapur,Bramhapuri,Police Stations,58
2018,Chandrapur,Savali,Police Stations,92
2018,Chandrapur,Sindevahi,Police Stations,33
2018,Chandrapur,Bhadravati,Police Stations,95
2018,Chandrapur,Chandrapur,Police Stations,1436
2018,Chandrapur,Mul,Police Stations,99
2018,Chandrapur,Ponbhurna,Police Stations,38
2018,Chandrapur,Ballarpur,Police Stations,180
2018,Chandrapur,Korpana,Police Stations,345
2018,Chandrapur,Rajura,Police Stations,264
2018,Chandrapur,Gondpipari,Police Stations,169
2018,Chandrapur,Jivati,Police Stations,17
2019,Chandrapur,Varora,Police Stations,147
2019,Chandrapur,Chimur,Police Stations,110
2019,Chandrapur,Nagbhid,Police Stations,112
2019,Chandrapur,Bramhapuri,Police Stations,84
2019,Chandrapur,Savali,Police Stations,73
2019,Chandrapur,Sindevahi,Police Stations,46
2019,Chandrapur,Bhadravati,Police Stations,118
2019,Chandrapur,Chandrapur,Police Stations,1501
2019,Chandrapur,Mul,Police Stations,76
2019,Chandrapur,Ponbhurna,Police Stations,38
2019,Chandrapur,Ballarpur,Police Stations,138
2019,Chandrapur,Korpana,Police Stations,100
2019,Chandrapur,Rajura,Police Stations,153
2019,Chandrapur,Gondpipari,Police Stations,92
2019,Chandrapur,Jivati,Police Stations,167
2020,Chandrapur,Varora,Police Stations,150
2020,Chandrapur,Chimur,Police Stations,106
2020,Chandrapur,Nagbhid,Police Stations,104
2020,Chandrapur,Bramhapuri,Police Stations,80
2020,Chandrapur,Savali,Police Stations,40
2020,Chandrapur,Sindevahi,Police Stations,74
2020,Chandrapur,Bhadravati,Police Stations,110
2020,Chandrapur,Chandrapur,Police Stations,1231
2020,Chandrapur,Mul,Police Stations,77
2020,Chandrapur,Ponbhurna,Police Stations,33
2020,Chandrapur,Ballarpur,Police Stations,130
2020,Chandrapur,Korpana,Police Stations,100
2020,Chandrapur,Rajura,Police Stations,135
2020,Chandrapur,Gondpipari,Police Stations,101
2020,Chandrapur,Jivati,Police Stations,140
2021,Chandrapur,Varora,Police Stations,150
2021,Chandrapur,Chimur,Police Stations,106
2021,Chandrapur,Nagbhid,Police Stations,104
2021,Chandrapur,Bramhapuri,Police Stations,80
2021,Chandrapur,Savali,Police Stations,40
2021,Chandrapur,Sindevahi,Police Stations,74
2021,Chandrapur,Bhadravati,Police Stations,110
2021,Chandrapur,Chandrapur,Police Stations,1231
2021,Chandrapur,Mul,Police Stations,77
2021,Chandrapur,Ponbhurna,Police Stations,33
2021,Chandrapur,Ballarpur,Police Stations,130
2021,Chandrapur,Korpana,Police Stations,100
2021,Chandrapur,Rajura,Police Stations,135
2021,Chandrapur,Gondpipari,Police Stations,101
2021,Chandrapur,Jivati,Police Stations,140
2018,Dhule,Shirpur,Police Stations,209
2018,Dhule,Shindkheda,Police Stations,176
2018,Dhule,Sakri,Police Stations,170
2018,Dhule,Dhule,Police Stations,1275
2019,Dhule,Shirpur,Police Stations,208
2019,Dhule,Shindkheda,Police Stations,182
2019,Dhule,Sakri,Police Stations,165
2019,Dhule,Dhule,Police Stations,548
2020,Dhule,Shirpur,Police Stations,208
2020,Dhule,Shindkheda,Police Stations,182
2020,Dhule,Sakri,Police Stations,165
2020,Dhule,Dhule,Police Stations,548
2021,Dhule,Shirpur,Police Stations,183
2021,Dhule,Shindkheda,Police Stations,145
2021,Dhule,Sakri,Police Stations,153
2021,Dhule,Dhule,Police Stations,523
2018,Gadchiroli,Desaiganj,Police Stations,49
2018,Gadchiroli,Aarmori,Police Stations,51
2018,Gadchiroli,Kurkheda,Police Stations,94
2018,Gadchiroli,Korachi,Police Stations,59
2018,Gadchiroli,Dhanora,Police Stations,29
2018,Gadchiroli,Gadchiroli,Police Stations,68
2018,Gadchiroli,Chomoshi,Police Stations,99
2018,Gadchiroli,Mulchera,Police Stations,47
2018,Gadchiroli,Etapalli,Police Stations,85
2018,Gadchiroli,Bhamragad,Police Stations,42
2018,Gadchiroli,Aheri,Police Stations,45
2018,Gadchiroli,Sironcha,Police Stations,81
2019,Gadchiroli,Desaiganj,Police Stations,52
2019,Gadchiroli,Aarmori,Police Stations,54
2019,Gadchiroli,Kurkheda,Police Stations,105
2019,Gadchiroli,Korachi,Police Stations,67
2019,Gadchiroli,Dhanora,Police Stations,36
2019,Gadchiroli,Gadchiroli,Police Stations,91
2019,Gadchiroli,Chomoshi,Police Stations,103
2019,Gadchiroli,Mulchera,Police Stations,53
2019,Gadchiroli,Etapalli,Police Stations,101
2019,Gadchiroli,Bhamragad,Police Stations,46
2019,Gadchiroli,Aheri,Police Stations,57
2019,Gadchiroli,Sironcha,Police Stations,96
2020,Gadchiroli,Desaiganj,Police Stations,55
2020,Gadchiroli,Aarmori,Police Stations,55
2020,Gadchiroli,Kurkheda,Police Stations,107
2020,Gadchiroli,Korachi,Police Stations,61
2020,Gadchiroli,Dhanora,Police Stations,35
2020,Gadchiroli,Gadchiroli,Police Stations,86
2020,Gadchiroli,Chomoshi,Police Stations,110
2020,Gadchiroli,Mulchera,Police Stations,55
2020,Gadchiroli,Etapalli,Police Stations,106
2020,Gadchiroli,Bhamragad,Police Stations,44
2020,Gadchiroli,Aheri,Police Stations,60
2020,Gadchiroli,Sironcha,Police Stations,87
2021,Gadchiroli,Desaiganj,Police Stations,55
2021,Gadchiroli,Aarmori,Police Stations,54
2021,Gadchiroli,Kurkheda,Police Stations,114
2021,Gadchiroli,Korachi,Police Stations,63
2021,Gadchiroli,Dhanora,Police Stations,96
2021,Gadchiroli,Gadchiroli,Police Stations,90
2021,Gadchiroli,Chomoshi,Police Stations,51
2021,Gadchiroli,Mulchera,Police Stations,54
2021,Gadchiroli,Etapalli,Police Stations,61
2021,Gadchiroli,Bhamragad,Police Stations,45
2021,Gadchiroli,Aheri,Police Stations,104
2021,Gadchiroli,Sironcha,Police Stations,89
2018,Gondia,Tiroda,Police Stations,137
2018,Gondia,Goregaon,Police Stations,51
2018,Gondia,Gondia,Police Stations,351
2018,Gondia,Aamgaon,Police Stations,63
2018,Gondia,Salekasa,Police Stations,68
2018,Gondia,Sadak Arjuni,Police Stations,67
2018,Gondia,Arjuni Morgaon,Police Stations,117
2018,Gondia,Devari,Police Stations,90
2019,Gondia,Tiroda,Police Stations,139
2019,Gondia,Goregaon,Police Stations,55
2019,Gondia,Gondia,Police Stations,344
2019,Gondia,Aamgaon,Police Stations,63
2019,Gondia,Salekasa,Police Stations,78
2019,Gondia,Sa/Arguni,Police Stations,62
2019,Gondia,Arguni/Mor,Police Stations,134
2019,Gondia,Devari,Police Stations,151
2020,Gondia,Tiroda,Police Stations,124
2020,Gondia,Goregaon,Police Stations,59
2020,Gondia,Gondia,Police Stations,389
2020,Gondia,Aamgaon,Police Stations,65
2020,Gondia,Salekasa,Police Stations,66
2020,Gondia,Sa/Arguni,Police Stations,54
2020,Gondia,Arguni/Mor,Police Stations,122
2020,Gondia,Devari,Police Stations,113
2021,Gondia,Tiroda,Police Stations,117
2021,Gondia,Goregaon,Police Stations,57
2021,Gondia,Gondia,Police Stations,354
2021,Gondia,Aamgaon,Police Stations,50
2021,Gondia,Salekasa,Police Stations,67
2021,Gondia,Sa/Arguni,Police Stations,58
2021,Gondia,Arguni/Mor,Police Stations,151
2021,Gondia,Devari,Police Stations,131
2018,Hingoli,Sengaon,Police Stations,89
2018,Hingoli,Hingoli,Police Stations,658
2018,Hingoli,Aundha Na,Police Stations,53
2018,Hingoli,Kalamanuri,Police Stations,120
2018,Hingoli,Vasamat,Police Stations,177
2019,Hingoli,Sengaon,Police Stations,97
2019,Hingoli,Hingoli,Police Stations,665
2019,Hingoli,Aundha Na,Police Stations,54
2019,Hingoli,Kalamanuri,Police Stations,126
2019,Hingoli,Vasamat,Police Stations,193
2020,Hingoli,Sengaon,Police Stations,97
2020,Hingoli,Hingoli,Police Stations,665
2020,Hingoli,Aundha Na,Police Stations,54
2020,Hingoli,Kalamanuri,Police Stations,126
2020,Hingoli,Vasamat,Police Stations,193
2021,Hingoli,Sengaon,Police Stations,112
2021,Hingoli,Hingoli,Police Stations,672
2021,Hingoli,Aundha Na,Police Stations,59
2021,Hingoli,Kalamanuri,Police Stations,129
2021,Hingoli,Vasamat,Police Stations,220
2018,Jalna,Bhokardan,Police Stations,
2018,Jalna,Jaffrabad,Police Stations,
2018,Jalna,Jalna,Police Stations,
2018,Jalna,Badnapur,Police Stations,
2018,Jalna,Ambad,Police Stations,
2018,Jalna,Ghansawangi,Police Stations,
2018,Jalna,Partur,Police Stations,
2018,Jalna,Mantha,Police Stations,
2019,Jalna,Bhokardan,Police Stations,91
2019,Jalna,Jaffrabad,Police Stations,73
2019,Jalna,Jalna,Police Stations,1245
2019,Jalna,Badnapur,Police Stations,49
2019,Jalna,Ambad,Police Stations,91
2019,Jalna,Ghansawangi,Police Stations,55
2019,Jalna,Partur,Police Stations,86
2019,Jalna,Mantha,Police Stations,32
2020,Jalna,Bhokardan,Police Stations,85
2020,Jalna,Jaffrabad,Police Stations,73
2020,Jalna,Jalna,Police Stations,1100
2020,Jalna,Badnapur,Police Stations,43
2020,Jalna,Ambad,Police Stations,90
2020,Jalna,Ghansawangi,Police Stations,42
2020,Jalna,Partur,Police Stations,65
2020,Jalna,Mantha,Police Stations,36
2021,Jalna,Bhokardan,Police Stations,85
2021,Jalna,Jaffrabad,Police Stations,73
2021,Jalna,Jalna,Police Stations,1111
2021,Jalna,Badnapur,Police Stations,44
2021,Jalna,Ambad,Police Stations,88
2021,Jalna,Ghansawangi,Police Stations,43
2021,Jalna,Partur,Police Stations,67
2021,Jalna,Mantha,Police Stations,37
2018,Kolhapur,Shahuwadi,Police Stations,32
2018,Kolhapur,Panhala,Police Stations,89
2018,Kolhapur,Hatkanangale,Police Stations,329
2018,Kolhapur,Shirol,Police Stations,156
2018,Kolhapur,Karveer,Police Stations,1795
2018,Kolhapur,Gaganbavada,Police Stations,32
2018,Kolhapur,Radhanagari,Police Stations,33
2018,Kolhapur,Kagal,Police Stations,77
2018,Kolhapur,Bhudargad,Police Stations,33
2018,Kolhapur,Ajara,Police Stations,33
2018,Kolhapur,Gadhinglaj,Police Stations,89
2018,Kolhapur,Chandgad,Police Stations,52
2019,Kolhapur,Shahuwadi,Police Stations,40
2019,Kolhapur,Panhala,Police Stations,118
2019,Kolhapur,Hatkanangale,Police Stations,362
2019,Kolhapur,Shirol,Police Stations,134
2019,Kolhapur,Karveer,Police Stations,1887
2019,Kolhapur,Gaganbavada,Police Stations,29
2019,Kolhapur,Radhanagari,Police Stations,37
2019,Kolhapur,Kagal,Police Stations,86
2019,Kolhapur,Bhudargad,Police Stations,37
2019,Kolhapur,Ajara,Police Stations,37
2019,Kolhapur,Gadhinglaj,Police Stations,93
2019,Kolhapur,Chandgad,Police Stations,52
2020,Kolhapur,Shahuwadi,Police Stations,59
2020,Kolhapur,Panhala,Police Stations,116
2020,Kolhapur,Hatkanangale,Police Stations,342
2020,Kolhapur,Shirol,Police Stations,145
2020,Kolhapur,Karveer,Police Stations,1889
2020,Kolhapur,Gaganbavada,Police Stations,35
2020,Kolhapur,Radhanagari,Police Stations,38
2020,Kolhapur,Kagal,Police Stations,86
2020,Kolhapur,Bhudargad,Police Stations,49
2020,Kolhapur,Ajara,Police Stations,34
2020,Kolhapur,Gadhinglaj,Police Stations,90
2020,Kolhapur,Chandgad,Police Stations,40
2021,Kolhapur,Shahuwadi,Police Stations,66
2021,Kolhapur,Panhala,Police Stations,115
2021,Kolhapur,Hatkanangale,Police Stations,361
2021,Kolhapur,Shirol,Police Stations,145
2021,Kolhapur,Karveer,Police Stations,1946
2021,Kolhapur,Gaganbavada,Police Stations,31
2021,Kolhapur,Radhanagari,Police Stations,42
2021,Kolhapur,Kagal,Police Stations,85
2021,Kolhapur,Bhudargad,Police Stations,41
2021,Kolhapur,Ajara,Police Stations,35
2021,Kolhapur,Gadhinglaj,Police Stations,84
2021,Kolhapur,Chandgad,Police Stations,37
2018,Latur,Latur,Police Stations,1199
2018,Latur,Renapur,Police Stations,40
2018,Latur,Ahamadpur,Police Stations,124
2018,Latur,Jalkot,Police Stations,55
2018,Latur,Chakur,Police Stations,38
2018,Latur,Shirur-Anantpal,Police Stations,62
2018,Latur,Aosa,Police Stations,128
2018,Latur,Nilanga,Police Stations,145
2018,Latur,Devani,Police Stations,41
2018,Latur,Udgir,Police Stations,200
2019,Latur,Latur,Police Stations,1253
2019,Latur,Renapur,Police Stations,48
2019,Latur,Ahamadpur,Police Stations,73
2019,Latur,Jalkot,Police Stations,28
2019,Latur,Chakur,Police Stations,66
2019,Latur,Shirur-Anantpal,Police Stations,42
2019,Latur,Aosa,Police Stations,141
2019,Latur,Nilanga,Police Stations,130
2019,Latur,Devani,Police Stations,43
2019,Latur,Udgir,Police Stations,140
2020,Latur,Latur,Police Stations,1213
2020,Latur,Renapur,Police Stations,44
2020,Latur,Ahamadpur,Police Stations,89
2020,Latur,Jalkot,Police Stations,30
2020,Latur,Chakur,Police Stations,64
2020,Latur,Shirur-Anantpal,Police Stations,37
2020,Latur,Aosa,Police Stations,128
2020,Latur,Nilanga,Police Stations,118
2020,Latur,Devani,Police Stations,37
2020,Latur,Udgir,Police Stations,162
2021,Latur,Latur,Police Stations,1169
2021,Latur,Renapur,Police Stations,44
2021,Latur,Ahamadpur,Police Stations,128
2021,Latur,Jalkot,Police Stations,53
2021,Latur,Chakur,Police Stations,32
2021,Latur,Shirur-Anantpal,Police Stations,58
2021,Latur,Aosa,Police Stations,128
2021,Latur,Nilanga,Police Stations,141
2021,Latur,Devani,Police Stations,39
2021,Latur,Udgir,Police Stations,254
2018,Mumbai City,Mumbai City,Police Stations,40337
2019,Mumbai City,Mumbai City,Police Stations,41382
2020,Mumbai City,Mumbai City,Police Stations,40037
2021,Mumbai City,Mumbai City,Police Stations,37430
2018,Mumbai Suburban,Adheri,Police Stations,
2018,Mumbai Suburban,Borivali,Police Stations,
2018,Mumbai Suburban,Kurla,Police Stations,
2019,Mumbai Suburban,Adheri,Police Stations,
2019,Mumbai Suburban,Borivali,Police Stations,
2019,Mumbai Suburban,Kurla,Police Stations,
2020,Mumbai Suburban,Adheri,Police Stations,
2020,Mumbai Suburban,Borivali,Police Stations,
2020,Mumbai Suburban,Kurla,Police Stations,
2021,Mumbai Suburban,Adheri,Police Stations,
2021,Mumbai Suburban,Borivali,Police Stations,
2021,Mumbai Suburban,Kurla,Police Stations,
2018,Nagpur,Narkhed,Police Stations,106
2018,Nagpur,Katol,Police Stations,128
2018,Nagpur,Kalameshwar,Police Stations,83
2018,Nagpur,Sawner,Police Stations,228
2018,Nagpur,Parashivani,Police Stations,122
2018,Nagpur,Ramtech,Police Stations,126
2018,Nagpur,Mauda,Police Stations,95
2018,Nagpur,Kamathi,Police Stations,270
2018,Nagpur,Nagpur (Gra),Police Stations,62
2018,Nagpur,Nagpur (Sh),Police Stations,3640
2018,Nagpur,Hingana,Police Stations,109
2018,Nagpur,Umred,Police Stations,115
2018,Nagpur,Kuhi,Police Stations,82
2018,Nagpur,Bhiwapur,Police Stations,43
2019,Nagpur,Narkhed,Police Stations,104
2019,Nagpur,Katol,Police Stations,125
2019,Nagpur,Kalameshwar,Police Stations,86
2019,Nagpur,Sawner,Police Stations,226
2019,Nagpur,Parashivani,Police Stations,119
2019,Nagpur,Ramtech,Police Stations,124
2019,Nagpur,Mauda,Police Stations,93
2019,Nagpur,Kamathi,Police Stations,270
2019,Nagpur,Nagpur (Gra),Police Stations,61
2019,Nagpur,Nagpur (Sh),Police Stations,3973
2019,Nagpur,Hingana,Police Stations,109
2019,Nagpur,Umred,Police Stations,114
2019,Nagpur,Kuhi,Police Stations,77
2019,Nagpur,Bhiwapur,Police Stations,43
2020,Nagpur,Narkhed,Police Stations,134
2020,Nagpur,Katol,Police Stations,132
2020,Nagpur,Kalameshwar,Police Stations,77
2020,Nagpur,Sawner,Police Stations,229
2020,Nagpur,Parashivani,Police Stations,111
2020,Nagpur,Ramtech,Police Stations,142
2020,Nagpur,Mauda,Police Stations,98
2020,Nagpur,Kamathi,Police Stations,270
2020,Nagpur,Nagpur (Gra),Police Stations,51
2020,Nagpur,Nagpur (Sh),Police Stations,3973
2020,Nagpur,Hingana,Police Stations,139
2020,Nagpur,Umred,Police Stations,136
2020,Nagpur,Kuhi,Police Stations,88
2020,Nagpur,Bhiwapur,Police Stations,58
2021,Nagpur,Narkhed,Police Stations,106
2021,Nagpur,Katol,Police Stations,113
2021,Nagpur,Kalameshwar,Police Stations,71
2021,Nagpur,Sawner,Police Stations,228
2021,Nagpur,Parashivani,Police Stations,122
2021,Nagpur,Ramtech,Police Stations,121
2021,Nagpur,Mauda,Police Stations,91
2021,Nagpur,Kamathi,Police Stations,270
2021,Nagpur,Nagpur (Gra),Police Stations,47
2021,Nagpur,Nagpur (Sh),Police Stations,3973
2021,Nagpur,Hingana,Police Stations,103
2021,Nagpur,Umred,Police Stations,104
2021,Nagpur,Kuhi,Police Stations,75
2021,Nagpur,Bhiwapur,Police Stations,51
2018,Nanded,Mahur,Police Stations,71
2018,Nanded,Kinvat,Police Stations,152
2018,Nanded,Himalay Nagar,Police Stations,42
2018,Nanded,Hadgaon,Police Stations,127
2018,Nanded,Andhrapur,Police Stations,65
2018,Nanded,Nanded,Police Stations,2591
2018,Nanded,Mudkhed,Police Stations,84
2018,Nanded,Bhokar,Police Stations,84
2018,Nanded,Umari,Police Stations,46
2018,Nanded,Dharmabad,Police Stations,79
2018,Nanded,Biloli,Police Stations,105
2018,Nanded,Naygaon,Police Stations,76
2018,Nanded,Loha,Police Stations,135
2018,Nanded,Kandhar,Police Stations,125
2018,Nanded,Mukhed,Police Stations,113
2018,Nanded,Deglur,Police Stations,126
2019,Nanded,Mahur,Police Stations,71
2019,Nanded,Kinvat,Police Stations,167
2019,Nanded,Himalay Nagar,Police Stations,34
2019,Nanded,Hadgaon,Police Stations,104
2019,Nanded,Andhrapur,Police Stations,84
2019,Nanded,Nanded,Police Stations,2181
