District,Year,Select Offense,Cases
Sindhudurg,2021,Credit Card/Debit Card Fraud,1
Sindhudurg,2021,ATM Fraud,0
Sindhudurg,2021,Online Banking Fraud,2
Sindhudurg,2021,OTP Frauds,2
Sindhudurg,2021,Other Frauds,0
Total,2021,Credit Card/Debit Card Fraud,162
Total,2021,ATM Fraud,104
Total,2021,Online Banking Fraud,624
Total,2021,OTP Frauds,149
Total,2021,Other Frauds,639
Wardha,2021,Credit Card/Debit Card Fraud,1
Wardha,2021,ATM Fraud,1
Wardha,2021,Online Banking Fraud,8
Wardha,2021,OTP Frauds,6
Wardha,2021,Other Frauds,0
Washim,2021,Credit Card/Debit Card Fraud,1
Washim,2021,ATM Fraud,0
Washim,2021,Online Banking Fraud,2
Washim,2021,OTP Frauds,1
Washim,2021,Other Frauds,0
Yavatmal,2021,Credit Card/Debit Card Fraud,0
Yavatmal,2021,ATM Fraud,1
Yavatmal,2021,Online Banking Fraud,3
Yavatmal,2021,OTP Frauds,0
Yavatmal,2021,Other Frauds,2
Amravati,2017,Credit Card/Debit Card Fraud,6
Amravati,2017,ATM Fraud,40
Amravati,2017,Online Banking Fraud,6
Amravati,2017,OTP Frauds,0
Amravati,2017,Other Frauds,3
Chh. Sambhaji Nagar,2017,Credit Card/Debit Card Fraud,0
Chh. Sambhaji Nagar,2017,ATM Fraud,70
Chh. Sambhaji Nagar,2017,Online Banking Fraud,46
Chh. Sambhaji Nagar,2017,OTP Frauds,9
Chh. Sambhaji Nagar,2017,Other Frauds,3
Nashik,2017,Credit Card/Debit Card Fraud,1
Nashik,2017,ATM Fraud,12
Nashik,2017,Online Banking Fraud,24
Nashik,2017,OTP Frauds,9
Nashik,2017,Other Frauds,0
Solapur,2017,Credit Card/Debit Card Fraud,0
Solapur,2017,ATM Fraud,0
Solapur,2017,Online Banking Fraud,0
Solapur,2017,OTP Frauds,0
Solapur,2017,Other Frauds,0
Thane,2017,Credit Card/Debit Card Fraud,16
Thane,2017,ATM Fraud,73
Thane,2017,Online Banking Fraud,16
Thane,2017,OTP Frauds,3
Thane,2017,Other Frauds,20
Amravati,2018,Credit Card/Debit Card Fraud,7
Amravati,2018,ATM Fraud,12
Amravati,2018,Online Banking Fraud,20
Amravati,2018,OTP Frauds,4
Amravati,2018,Other Frauds,6
Nashik,2018,Credit Card/Debit Card Fraud,0
Nashik,2018,ATM Fraud,3
Nashik,2018,Online Banking Fraud,17
Nashik,2018,OTP Frauds,4
Nashik,2018,Other Frauds,6
Solapur,2018,Credit Card/Debit Card Fraud,3
Solapur,2018,ATM Fraud,2
Solapur,2018,Online Banking Fraud,1
Solapur,2018,OTP Frauds,1
Solapur,2018,Other Frauds,0
Thane,2018,Credit Card/Debit Card Fraud,9
Thane,2018,ATM Fraud,12
Thane,2018,Online Banking Fraud,15
Thane,2018,OTP Frauds,0
Thane,2018,Other Frauds,19
Amravati,2019,Credit Card/Debit Card Fraud,7
Amravati,2019,ATM Fraud,2
Amravati,2019,Online Banking Fraud,15
Amravati,2019,OTP Frauds,4
Amravati,2019,Other Frauds,15
Nashik,2019,Credit Card/Debit Card Fraud,0
Nashik,2019,ATM Fraud,4
Nashik,2019,Online Banking Fraud,53
Nashik,2019,OTP Frauds,2
Nashik,2019,Other Frauds,0
Solapur,2019,Credit Card/Debit Card Fraud,4
Solapur,2019,ATM Fraud,10
Solapur,2019,Online Banking Fraud,17
Solapur,2019,OTP Frauds,6
Solapur,2019,Other Frauds,1
Thane,2019,Credit Card/Debit Card Fraud,1
Thane,2019,ATM Fraud,10
Thane,2019,Online Banking Fraud,26
Thane,2019,OTP Frauds,3
Thane,2019,Other Frauds,15
Amravati,2020,Credit Card/Debit Card Fraud,16
Amravati,2020,ATM Fraud,4
Amravati,2020,Online Banking Fraud,93
Amravati,2020,OTP Frauds,4
Amravati,2020,Other Frauds,10
Nashik,2020,Credit Card/Debit Card Fraud,1
Nashik,2020,ATM Fraud,0
Nashik,2020,Online Banking Fraud,8
Nashik,2020,OTP Frauds,0
Nashik,2020,Other Frauds,0
Solapur,2020,Credit Card/Debit Card Fraud,4
Solapur,2020,ATM Fraud,2
Solapur,2020,Online Banking Fraud,4
Solapur,2020,OTP Frauds,4
Solapur,2020,Other Frauds,1
Amravati,2021,Credit Card/Debit Card Fraud,11
Amravati,2021,ATM Fraud,10
Amravati,2021,Online Banking Fraud,5
Amravati,2021,OTP Frauds,0
Amravati,2021,Other Frauds,26
Nashik,2021,Credit Card/Debit Card Fraud,0
Nashik,2021,ATM Fraud,0
Nashik,2021,Online Banking Fraud,0
Nashik,2021,OTP Frauds,0
Nashik,2021,Other Frauds,0
Solapur,2021,Credit Card/Debit Card Fraud,0
Solapur,2021,ATM Fraud,1
Solapur,2021,Online Banking Fraud,5
Solapur,2021,OTP Frauds,3
Solapur,2021,Other Frauds,0
Mumbai,2017,Credit Card/Debit Card Fraud,81
Mumbai,2017,ATM Fraud,196
Mumbai,2017,Online Banking Fraud,52
Mumbai,2017,OTP Frauds,20
Mumbai,2017,Other Frauds,116
Nagpur,2017,Credit Card/Debit Card Fraud,2
Nagpur,2017,ATM Fraud,11
Nagpur,2017,Online Banking Fraud,13
Nagpur,2017,OTP Frauds,2
Nagpur,2017,Other Frauds,1
Pune,2017,Credit Card/Debit Card Fraud,28
Pune,2017,ATM Fraud,45
Pune,2017,Online Banking Fraud,140
Pune,2017,OTP Frauds,10
Pune,2017,Other Frauds,47
Chh. Sambhaji Nagar,2018,Credit Card/Debit Card Fraud,0
Chh. Sambhaji Nagar,2018,ATM Fraud,21
Chh. Sambhaji Nagar,2018,Online Banking Fraud,20
Chh. Sambhaji Nagar,2018,OTP Frauds,9
Chh. Sambhaji Nagar,2018,Other Frauds,0
Mumbai,2018,Credit Card/Debit Card Fraud,79
Mumbai,2018,ATM Fraud,105
Mumbai,2018,Online Banking Fraud,80
Mumbai,2018,OTP Frauds,8
Mumbai,2018,Other Frauds,92
Nagpur,2018,Credit Card/Debit Card Fraud,1
Nagpur,2018,ATM Fraud,7
Nagpur,2018,Online Banking Fraud,19
Nagpur,2018,OTP Frauds,4
Nagpur,2018,Other Frauds,0
Chh. Sambhaji Nagar,2019,Credit Card/Debit Card Fraud,1
Chh. Sambhaji Nagar,2019,ATM Fraud,5
Chh. Sambhaji Nagar,2019,Online Banking Fraud,15
Chh. Sambhaji Nagar,2019,OTP Frauds,6
Chh. Sambhaji Nagar,2019,Other Frauds,3
Mumbai,2019,Credit Card/Debit Card Fraud,100
Mumbai,2019,ATM Fraud,276
Mumbai,2019,Online Banking Fraud,248
Mumbai,2019,OTP Frauds,37
Mumbai,2019,Other Frauds,217
Nagpur,2019,Credit Card/Debit Card Fraud,2
Nagpur,2019,ATM Fraud,10
Nagpur,2019,Online Banking Fraud,13
Nagpur,2019,OTP Frauds,1
Nagpur,2019,Other Frauds,2
Chh. Sambhaji Nagar,2020,Credit Card/Debit Card Fraud,0
Chh. Sambhaji Nagar,2020,ATM Fraud,5
Chh. Sambhaji Nagar,2020,Online Banking Fraud,19
Chh. Sambhaji Nagar,2020,OTP Frauds,5
Chh. Sambhaji Nagar,2020,Other Frauds,1
Mumbai,2020,Credit Card/Debit Card Fraud,105
Mumbai,2020,ATM Fraud,181
Mumbai,2020,Online Banking Fraud,381
Mumbai,2020,OTP Frauds,112
Mumbai,2020,Other Frauds,267
Nagpur,2020,Credit Card/Debit Card Fraud,0
Nagpur,2020,ATM Fraud,1
Nagpur,2020,Online Banking Fraud,8
Nagpur,2020,OTP Frauds,1
Nagpur,2020,Other Frauds,4
Thane,2020,Credit Card/Debit Card Fraud,11
Thane,2020,ATM Fraud,4
Thane,2020,Online Banking Fraud,34
Thane,2020,OTP Frauds,7
Thane,2020,Other Frauds,45
Chh. Sambhaji Nagar,2021,Credit Card/Debit Card Fraud,2
Chh. Sambhaji Nagar,2021,ATM Fraud,3
Chh. Sambhaji Nagar,2021,Online Banking Fraud,13
Chh. Sambhaji Nagar,2021,OTP Frauds,1
Chh. Sambhaji Nagar,2021,Other Frauds,5
Mumbai,2021,Credit Card/Debit Card Fraud,74
Mumbai,2021,ATM Fraud,24
Mumbai,2021,Online Banking Fraud,276
Mumbai,2021,OTP Frauds,72
Mumbai,2021,Other Frauds,426
Nagpur,2021,Credit Card/Debit Card Fraud,0
Nagpur,2021,ATM Fraud,3
Nagpur,2021,Online Banking Fraud,15
Nagpur,2021,OTP Frauds,4
Nagpur,2021,Other Frauds,5
Thane,2021,Credit Card/Debit Card Fraud,5
Thane,2021,ATM Fraud,4
Thane,2021,Online Banking Fraud,41
Thane,2021,OTP Frauds,1
Thane,2021,Other Frauds,21
Pune,2018,Credit Card/Debit Card Fraud,7
Pune,2018,ATM Fraud,15
Pune,2018,Online Banking Fraud,65
Pune,2018,OTP Frauds,2
Pune,2018,Other Frauds,34
Pune,2019,Credit Card/Debit Card Fraud,13
Pune,2019,ATM Fraud,32
Pune,2019,Online Banking Fraud,56
Pune,2019,OTP Frauds,1
Pune,2019,Other Frauds,85
Pune,2020,Credit Card/Debit Card Fraud,14
Pune,2020,ATM Fraud,37
Pune,2020,Online Banking Fraud,76
Pune,2020,OTP Frauds,22
Pune,2020,Other Frauds,44
Pune,2021,Credit Card/Debit Card Fraud,6
Pune,2021,ATM Fraud,10
Pune,2021,Online Banking Fraud,45
Pune,2021,OTP Frauds,3
Pune,2021,Other Frauds,84
Ahilyanagar,2022,Credit Card/Debit Card Fraud,5
Ahilyanagar,2022,ATM Fraud,1
Ahilyanagar,2022,Online Banking Fraud,9
Ahilyanagar,2022,OTP Frauds,12
Ahilyanagar,2022,Other Frauds,21
Akola,2022,Credit Card/Debit Card Fraud,1
Akola,2022,ATM Fraud,0
Akola,2022,Online Banking Fraud,0
Akola,2022,OTP Frauds,0
Akola,2022,Other Frauds,5
Amravati,2022,Credit Card/Debit Card Fraud,12
Amravati,2022,ATM Fraud,4
Amravati,2022,Online Banking Fraud,13
Amravati,2022,OTP Frauds,6
Amravati,2022,Other Frauds,32
Beed,2022,Credit Card/Debit Card Fraud,0
Beed,2022,ATM Fraud,0
Beed,2022,Online Banking Fraud,90
Beed,2022,OTP Frauds,0
Beed,2022,Other Frauds,0
Bhandara,2022,Credit Card/Debit Card Fraud,0
Bhandara,2022,ATM Fraud,0
Bhandara,2022,Online Banking Fraud,11
Bhandara,2022,OTP Frauds,0
Bhandara,2022,Other Frauds,0
Buldhana,2022,Credit Card/Debit Card Fraud,9
Buldhana,2022,ATM Fraud,0
Buldhana,2022,Online Banking Fraud,4
Buldhana,2022,OTP Frauds,9
Buldhana,2022,Other Frauds,10
Chandrapur,2022,Credit Card/Debit Card Fraud,9
Chandrapur,2022,ATM Fraud,3
Chandrapur,2022,Online Banking Fraud,29
Chandrapur,2022,OTP Frauds,0
Chandrapur,2022,Other Frauds,5
Chh. Sambhaji Nagar,2022,Credit Card/Debit Card Fraud,8
Chh. Sambhaji Nagar,2022,ATM Fraud,0
Chh. Sambhaji Nagar,2022,Online Banking Fraud,12
Chh. Sambhaji Nagar,2022,OTP Frauds,0
Chh. Sambhaji Nagar,2022,Other Frauds,6
Dharashiv,2022,Credit Card/Debit Card Fraud,1
Dharashiv,2022,ATM Fraud,1
Dharashiv,2022,Online Banking Fraud,2
Dharashiv,2022,OTP Frauds,2
Dharashiv,2022,Other Frauds,0
Dhule,2022,Credit Card/Debit Card Fraud,0
Dhule,2022,ATM Fraud,0
Dhule,2022,Online Banking Fraud,0
Dhule,2022,OTP Frauds,0
Dhule,2022,Other Frauds,0
Gadchiroli,2022,Credit Card/Debit Card Fraud,0
Gadchiroli,2022,ATM Fraud,1
Gadchiroli,2022,Online Banking Fraud,3
Gadchiroli,2022,OTP Frauds,1
Gadchiroli,2022,Other Frauds,0
Gondia,2022,Credit Card/Debit Card Fraud,0
Gondia,2022,ATM Fraud,0
Gondia,2022,Online Banking Fraud,0
Gondia,2022,OTP Frauds,0
Gondia,2022,Other Frauds,0
Hingoli,2022,Credit Card/Debit Card Fraud,1
Hingoli,2022,ATM Fraud,0
Hingoli,2022,Online Banking Fraud,0
Hingoli,2022,OTP Frauds,0
Hingoli,2022,Other Frauds,0
Jalgaon,2022,Credit Card/Debit Card Fraud,5
Jalgaon,2022,ATM Fraud,3
Jalgaon,2022,Online Banking Fraud,3
Jalgaon,2022,OTP Frauds,7
Jalgaon,2022,Other Frauds,1
Jalna,2022,Credit Card/Debit Card Fraud,2
Jalna,2022,ATM Fraud,1
Jalna,2022,Online Banking Fraud,5
Jalna,2022,OTP Frauds,1
Jalna,2022,Other Frauds,0
Kolhapur,2022,Credit Card/Debit Card Fraud,3
Kolhapur,2022,ATM Fraud,2
Kolhapur,2022,Online Banking Fraud,8
Kolhapur,2022,OTP Frauds,6
Kolhapur,2022,Other Frauds,5
Latur,2022,Credit Card/Debit Card Fraud,8
Latur,2022,ATM Fraud,1
Latur,2022,Online Banking Fraud,3
Latur,2022,OTP Frauds,3
Latur,2022,Other Frauds,8
Mumbai,2022,Credit Card/Debit Card Fraud,130
Mumbai,2022,ATM Fraud,93
Mumbai,2022,Online Banking Fraud,439
Mumbai,2022,OTP Frauds,81
Mumbai,2022,Other Frauds,427
Nagpur,2022,Credit Card/Debit Card Fraud,8
Nagpur,2022,ATM Fraud,1
Nagpur,2022,Online Banking Fraud,9
Nagpur,2022,OTP Frauds,0
Nagpur,2022,Other Frauds,22
Nanded,2022,Credit Card/Debit Card Fraud,1
Nanded,2022,ATM Fraud,0
Nanded,2022,Online Banking Fraud,7
Nanded,2022,OTP Frauds,2
Nanded,2022,Other Frauds,1
Nandurbar,2022,Credit Card/Debit Card Fraud,0
Nandurbar,2022,ATM Fraud,0
Nandurbar,2022,Online Banking Fraud,3
Nandurbar,2022,OTP Frauds,0
Nandurbar,2022,Other Frauds,3
Nashik,2022,Credit Card/Debit Card Fraud,4
Nashik,2022,ATM Fraud,1
Nashik,2022,Online Banking Fraud,9
Nashik,2022,OTP Frauds,4
Nashik,2022,Other Frauds,4
Palghar,2022,Credit Card/Debit Card Fraud,0
Palghar,2022,ATM Fraud,0
Palghar,2022,Online Banking Fraud,2
Palghar,2022,OTP Frauds,0
Palghar,2022,Other Frauds,1
Parbhani,2022,Credit Card/Debit Card Fraud,2
Parbhani,2022,ATM Fraud,1
Parbhani,2022,Online Banking Fraud,0
Parbhani,2022,OTP Frauds,1
Parbhani,2022,Other Frauds,5
Pune,2022,Credit Card/Debit Card Fraud,37
Pune,2022,ATM Fraud,21
Pune,2022,Online Banking Fraud,129
Pune,2022,OTP Frauds,29
Pune,2022,Other Frauds,44
Raigad,2022,Credit Card/Debit Card Fraud,2
Raigad,2022,ATM Fraud,2
Raigad,2022,Online Banking Fraud,24
Raigad,2022,OTP Frauds,0
Raigad,2022,Other Frauds,0
Ratnagiri,2022,Credit Card/Debit Card Fraud,4
Ratnagiri,2022,ATM Fraud,2
Ratnagiri,2022,Online Banking Fraud,14
Ratnagiri,2022,OTP Frauds,13
Ratnagiri,2022,Other Frauds,5
Sangli,2022,Credit Card/Debit Card Fraud,2
Sangli,2022,ATM Fraud,1
Sangli,2022,Online Banking Fraud,9
Sangli,2022,OTP Frauds,2
Sangli,2022,Other Frauds,6
Satara,2022,Credit Card/Debit Card Fraud,0
Satara,2022,ATM Fraud,0
Satara,2022,Online Banking Fraud,0
Satara,2022,OTP Frauds,1
Satara,2022,Other Frauds,14
Sindhudurg,2022,Credit Card/Debit Card Fraud,1
Sindhudurg,2022,ATM Fraud,0
Sindhudurg,2022,Online Banking Fraud,0
Sindhudurg,2022,OTP Frauds,0
Sindhudurg,2022,Other Frauds,9
Solapur,2022,Credit Card/Debit Card Fraud,6
Solapur,2022,ATM Fraud,3
Solapur,2022,Online Banking Fraud,2
Solapur,2022,OTP Frauds,4
Solapur,2022,Other Frauds,5
Thane,2022,Credit Card/Debit Card Fraud,13
Thane,2022,ATM Fraud,2
Thane,2022,Online Banking Fraud,63
Thane,2022,OTP Frauds,9
Thane,2022,Other Frauds,33
Wardha,2022,Credit Card/Debit Card Fraud,1
Wardha,2022,ATM Fraud,0
Wardha,2022,Online Banking Fraud,3
Wardha,2022,OTP Frauds,2
Wardha,2022,Other Frauds,4
Washim,2022,Credit Card/Debit Card Fraud,0
Washim,2022,ATM Fraud,0
Washim,2022,Online Banking Fraud,4
Washim,2022,OTP Frauds,0
Washim,2022,Other Frauds,0
Yavatmal,2022,Credit Card/Debit Card Fraud,0
Yavatmal,2022,ATM Fraud,0
Yavatmal,2022,Online Banking Fraud,0
Yavatmal,2022,OTP Frauds,0
Yavatmal,2022,Other Frauds,3
