District,Year,Type of Court,Functioning Courts
Akola,2012,Criminal Court,31.0
Akola,2012,District Magistrate And Executive Magistrate,7.0
Akola,2012,Family Court,1.0
Akola,2012,Industrial Court,1.0
Akola,2012,Labor Court,1.0
Akola,2012,Public Court,
Akola,2013,Civil Court,34.0
Akola,2013,Consumer Forum,1.0
Akola,2013,Criminal Court,31.0
Akola,2013,District Magistrate And Executive Magistrate,7.0
Akola,2013,"Family Court
",1.0
Akola,2013,Industrial Court,1.0
Akola,2013,Labor Court,1.0
Akola,2013,Public Court,
Akola,2014,Civil Court,31.0
Akola,2014,Consumer Forum,1.0
Akola,2014,Criminal Court,33.0
Akola,2014,District Magistrate And Executive Magistrate,7.0
Akola,2014,"Family Court
",1.0
Akola,2014,Industrial Court,1.0
Akola,2014,Labor Court,1.0
Akola,2014,Public Court,
Akola,2015,Civil Court,35.0
Akola,2015,Consumer Forum,1.0
Akola,2015,Criminal Court,3.0
Akola,2015,District Magistrate And Executive Magistrate,7.0
Akola,2015,"Family Court
",1.0
Akola,2015,Industrial Court,1.0
Akola,2015,Labor Court,1.0
Akola,2015,Public Court,
Akola,2016,Civil Court,4.0
Akola,2016,Consumer Forum,1.0
Akola,2016,Criminal Court,34.0
Akola,2016,District Magistrate And Executive Magistrate,7.0
Akola,2016,Family Court,1.0
Akola,2016,Industrial Court,1.0
Akola,2016,Labor Court,1.0
Akola,2016,Public Court,
Akola,2017,Civil Court,43.0
Akola,2017,Consumer Forum,1.0
Akola,2017,Criminal Court,42.0
Akola,2017,District Magistrate And Executive Magistrate,7.0
Akola,2017,"Family Court
",1.0
Akola,2017,Industrial Court,1.0
Akola,2017,Labor Court,1.0
Akola,2017,Public Court,
Akola,2018,Civil Court,43.0
Akola,2018,Consumer Forum,1.0
Akola,2018,Criminal Court,42.0
Akola,2018,District Magistrate And Executive Magistrate,7.0
Akola,2018,"Family Court
",1.0
Akola,2018,Industrial Court,1.0
Akola,2018,Labor Court,1.0
Akola,2018,Public Court,
Akola,2019,Civil Court,43.0
Akola,2019,Consumer Forum,1.0
Akola,2019,Criminal Court,42.0
Akola,2019,District Magistrate And Executive Magistrate,7.0
Akola,2019,"Family Court
",1.0
