District,Year,Type of Court,Functioning Courts
Gadchiroli,2011,Family Court,
Gadchiroli,2011,Industrial Court,
Gadchiroli,2011,Labor Court,
Gadchiroli,2011,Public Court,
Gadchiroli,2012,Civil Court,1.0
Gadchiroli,2012,Consumer Forum,1.0
Gadchiroli,2012,Criminal Court,13.0
Gadchiroli,2012,District Magistrate And Executive Magistrate,19.0
Gadchiroli,2012,Family Court,
Gadchiroli,2012,Industrial Court,
Gadchiroli,2012,Labor Court,
Gadchiroli,2012,Public Court,
Gadchiroli,2013,Civil Court,1.0
Gadchiroli,2013,Consumer Forum,1.0
Gadchiroli,2013,Criminal Court,15.0
Gadchiroli,2013,District Magistrate And Executive Magistrate,19.0
Gadchiroli,2013,"Family Court
",
Gadchiroli,2013,Industrial Court,
Gadchiroli,2013,Labor Court,
Gadchiroli,2013,Public Court,
Gadchiroli,2014,Civil Court,1.0
Gadchiroli,2014,Consumer Forum,1.0
Gadchiroli,2014,Criminal Court,15.0
Gadchiroli,2014,District Magistrate And Executive Magistrate,19.0
Gadchiroli,2014,"Family Court
",
Gadchiroli,2014,Industrial Court,
Gadchiroli,2014,Labor Court,
Gadchiroli,2014,Public Court,
Gadchiroli,2015,Civil Court,1.0
Gadchiroli,2015,Consumer Forum,1.0
Gadchiroli,2015,Criminal Court,16.0
Gadchiroli,2015,District Magistrate And Executive Magistrate,19.0
Gadchiroli,2015,"Family Court
",
Gadchiroli,2015,Industrial Court,
Gadchiroli,2015,Labor Court,
Gadchiroli,2015,Public Court,
Gadchiroli,2016,Civil Court,1.0
Gadchiroli,2016,Consumer Forum,1.0
Gadchiroli,2016,Criminal Court,16.0
Gadchiroli,2016,District Magistrate And Executive Magistrate,19.0
Gadchiroli,2016,Family Court,
Gadchiroli,2016,Industrial Court,
Gadchiroli,2016,Labor Court,
Gadchiroli,2016,Public Court,
Gadchiroli,2017,Civil Court,1.0
Gadchiroli,2017,Consumer Forum,1.0
Gadchiroli,2017,Criminal Court,16.0
Gadchiroli,2017,District Magistrate And Executive Magistrate,19.0
Gadchiroli,2017,"Family Court
",
Gadchiroli,2017,Industrial Court,
Gadchiroli,2017,Labor Court,
Gadchiroli,2017,Public Court,
Gadchiroli,2018,Civil Court,16.0
Gadchiroli,2018,Consumer Forum,1.0
Gadchiroli,2018,Criminal Court,
Gadchiroli,2018,District Magistrate And Executive Magistrate,19.0
Gadchiroli,2018,"Family Court
",
Gadchiroli,2018,Industrial Court,
Gadchiroli,2018,Labor Court,
Gadchiroli,2018,Public Court,
Gadchiroli,2019,Civil Court,19.0
Gadchiroli,2019,Consumer Forum,1.0
Gadchiroli,2019,Criminal Court,
Gadchiroli,2019,District Magistrate And Executive Magistrate,19.0
Gadchiroli,2019,"Family Court
",
Gadchiroli,2019,Industrial Court,
Gadchiroli,2019,Labor Court,
Gadchiroli,2019,Public Court,
Gadchiroli,2020,Civil Court,19.0
Gadchiroli,2020,Consumer Forum,1.0
Gadchiroli,2020,Criminal Court,
Gadchiroli,2020,District Magistrate And Executive Magistrate,19.0
Gadchiroli,2020,"Family Court
",
Gadchiroli,2020,Industrial Court,
Gadchiroli,2020,Labor Court,
Gadchiroli,2020,Public Court,
Gadchiroli,2021,Civil Court,19.0
Gadchiroli,2021,Consumer Forum,1.0
Gadchiroli,2021,Criminal Court,
Gadchiroli,2021,District Magistrate And Executive Magistrate,19.0
Gadchiroli,2021,"Family Court
",
Gadchiroli,2021,Industrial Court,
Gadchiroli,2021,Labor Court,
Gadchiroli,2021,Public Court,
Gondia,2012,Civil Court,1.0
Gondia,2012,Consumer Forum,1.0
Gondia,2012,Criminal Court,18.0
Gondia,2012,District Magistrate And Executive Magistrate,22.0
Gondia,2012,Family Court,
Gondia,2012,Industrial Court,1.0
Gondia,2012,Labor Court,1.0
Gondia,2012,Public Court,
Gondia,2013,Civil Court,1.0
Gondia,2013,Consumer Forum,1.0
Gondia,2013,Criminal Court,18.0
Gondia,2013,District Magistrate And Executive Magistrate,22.0
Gondia,2013,"Family Court
",
Gondia,2013,Industrial Court,1.0
Gondia,2013,Labor Court,1.0
Gondia,2013,Public Court,
Gondia,2014,Civil Court,1.0
Gondia,2014,Consumer Forum,1.0
Gondia,2014,Criminal Court,14.0
Gondia,2014,District Magistrate And Executive Magistrate,13.0
Gondia,2014,"Family Court
",
Gondia,2014,Industrial Court,1.0
Gondia,2014,Labor Court,1.0
Gondia,2014,Public Court,
Gondia,2015,Civil Court,12.0
Gondia,2015,Consumer Forum,1.0
Gondia,2015,Criminal Court,2.0
Gondia,2015,District Magistrate And Executive Magistrate,15.0
Gondia,2015,"Family Court
",
Gondia,2015,Industrial Court,1.0
Gondia,2015,Labor Court,1.0
Gondia,2015,Public Court,
Gondia,2016,Civil Court,2.0
Gondia,2016,Consumer Forum,1.0
Gondia,2016,Criminal Court,3.0
Gondia,2016,District Magistrate And Executive Magistrate,15.0
Gondia,2016,Family Court,
Gondia,2016,Industrial Court,1.0
Gondia,2016,Labor Court,1.0
Gondia,2016,Public Court,
Gondia,2017,Civil Court,19.0
Gondia,2017,Consumer Forum,1.0
Gondia,2017,Criminal Court,3.0
Gondia,2017,District Magistrate And Executive Magistrate,16.0
Gondia,2017,"Family Court
",
Gondia,2017,Industrial Court,1.0
Gondia,2017,Labor Court,1.0
Gondia,2017,Public Court,
Gondia,2018,Civil Court,21.0
Gondia,2018,Consumer Forum,1.0
Gondia,2018,Criminal Court,2.0
Gondia,2018,District Magistrate And Executive Magistrate,17.0
Gondia,2018,"Family Court
",
Gondia,2018,Industrial Court,1.0
Gondia,2018,Labor Court,1.0
Gondia,2018,Public Court,
Gondia,2019,Civil Court,21.0
Gondia,2019,Consumer Forum,1.0
Gondia,2019,Criminal Court,2.0
Gondia,2019,District Magistrate And Executive Magistrate,17.0
Gondia,2019,"Family Court
",
Gondia,2019,Industrial Court,1.0
Gondia,2019,Labor Court,1.0
Gondia,2019,Public Court,
Gondia,2020,Civil Court,2.0
Gondia,2020,Consumer Forum,1.0
Gondia,2020,Criminal Court,2.0
Gondia,2020,District Magistrate And Executive Magistrate,17.0
Gondia,2020,"Family Court
",
Gondia,2020,Industrial Court,1.0
Gondia,2020,Labor Court,1.0
Gondia,2020,Public Court,
Gondia,2021,Civil Court,19.0
Gondia,2021,Consumer Forum,1.0
Gondia,2021,Criminal Court,2.0
Gondia,2021,District Magistrate And Executive Magistrate,17.0
Gondia,2021,"Family Court
",
Gondia,2021,Industrial Court,1.0
Gondia,2021,Labor Court,1.0
Gondia,2021,Public Court,
Hingoli,2012,Civil Court,5.0
Hingoli,2012,Consumer Forum,1.0
Hingoli,2012,Criminal Court,5.0
Hingoli,2012,District Magistrate And Executive Magistrate,1.0
Hingoli,2012,Family Court,
Hingoli,2012,Industrial Court,
Hingoli,2012,Labor Court,
Hingoli,2012,Public Court,
Hingoli,2013,Civil Court,15.0
Hingoli,2013,Consumer Forum,1.0
Hingoli,2013,Criminal Court,13.0
Hingoli,2013,District Magistrate And Executive Magistrate,1.0
Hingoli,2013,Family Court,
Hingoli,2013,Industrial Court,
Hingoli,2013,Labor Court,
Hingoli,2013,Public Court,
Hingoli,2014,Civil Court,5.0
Hingoli,2014,Consumer Forum,1.0
Hingoli,2014,Criminal Court,5.0
Hingoli,2014,District Magistrate And Executive Magistrate,1.0
Hingoli,2014,Family Court,
Hingoli,2014,Industrial Court,
Hingoli,2014,Labor Court,
Hingoli,2014,Public Court,
Hingoli,2015,Civil Court,5.0
Hingoli,2015,Consumer Forum,1.0
Hingoli,2015,Criminal Court,5.0
Hingoli,2015,District Magistrate And Executive Magistrate,1.0
Hingoli,2015,Family Court,
Hingoli,2015,Industrial Court,
Hingoli,2015,Labor Court,
Hingoli,2015,Public Court,
Hingoli,2016,Civil Court,5.0
Hingoli,2016,Consumer Forum,1.0
Hingoli,2016,Criminal Court,5.0
Hingoli,2016,District Magistrate And Executive Magistrate,1.0
Hingoli,2016,Family Court,
Hingoli,2016,Industrial Court,
Hingoli,2016,Labor Court,
Hingoli,2016,Public Court,
Hingoli,2017,Civil Court,5.0
Hingoli,2017,Consumer Forum,1.0
Hingoli,2017,Criminal Court,5.0
Hingoli,2017,District Magistrate And Executive Magistrate,1.0
Hingoli,2017,Family Court,
Hingoli,2017,Industrial Court,
Hingoli,2017,Labor Court,
Hingoli,2017,Public Court,
Hingoli,2018,Civil Court,5.0
Hingoli,2018,Consumer Forum,1.0
Hingoli,2018,Criminal Court,5.0
Hingoli,2018,District Magistrate And Executive Magistrate,1.0
Hingoli,2018,Family Court,
Hingoli,2018,Industrial Court,
Hingoli,2018,Labor Court,
Hingoli,2018,Public Court,
Hingoli,2019,Civil Court,2.0
Hingoli,2019,Consumer Forum,1.0
Hingoli,2019,Criminal Court,2.0
Hingoli,2019,District Magistrate And Executive Magistrate,1.0
Hingoli,2019,Family Court,
Hingoli,2019,Industrial Court,
Hingoli,2019,Labor Court,
Hingoli,2019,Public Court,
Hingoli,2020,Civil Court,2.0
Hingoli,2020,Consumer Forum,1.0
Hingoli,2020,Criminal Court,2.0
Hingoli,2020,District Magistrate And Executive Magistrate,1.0
Hingoli,2020,Family Court,
Hingoli,2020,Industrial Court,
Hingoli,2020,Labor Court,
Hingoli,2020,Public Court,
Hingoli,2021,Civil Court,2.0
Hingoli,2021,Consumer Forum,1.0
Hingoli,2021,Criminal Court,2.0
Hingoli,2021,District Magistrate And Executive Magistrate,1.0
Hingoli,2021,Family Court,
Hingoli,2021,Industrial Court,
Hingoli,2021,Labor Court,
Hingoli,2021,Public Court,
Jalgaon,2009,Civil Court,55.0
Jalgaon,2009,Consumer Forum,1.0
Jalgaon,2009,Criminal Court,56.0
Jalgaon,2009,District Magistrate And Executive Magistrate,15.0
Jalgaon,2009,Family Court,
Jalgaon,2009,Industrial Court,1.0
Jalgaon,2009,Labor Court,1.0
Jalgaon,2009,Public Court,
Jalgaon,2010,Civil Court,55.0
Jalgaon,2010,Consumer Forum,1.0
Jalgaon,2010,Criminal Court,56.0
Jalgaon,2010,District Magistrate And Executive Magistrate,15.0
Jalgaon,2010,Family Court,
Jalgaon,2010,Industrial Court,1.0
Jalgaon,2010,Labor Court,1.0
Jalgaon,2010,Public Court,
Jalgaon,2011,Civil Court,56.0
Jalgaon,2011,Consumer Forum,1.0
Jalgaon,2011,Criminal Court,56.0
Jalgaon,2011,District Magistrate And Executive Magistrate,1.0
Jalgaon,2011,Family Court,1.0
Jalgaon,2011,Industrial Court,1.0
Jalgaon,2011,Labor Court,1.0
Jalgaon,2011,Public Court,
Jalgaon,2012,Civil Court,7.0
Jalgaon,2012,Consumer Forum,1.0
Jalgaon,2012,Criminal Court,43.0
Jalgaon,2012,District Magistrate And Executive Magistrate,21.0
Jalgaon,2012,Family Court,1.0
Jalgaon,2012,Industrial Court,1.0
Jalgaon,2012,Labor Court,1.0
Jalgaon,2012,Public Court,
Jalgaon,2013,Civil Court,8.0
Jalgaon,2013,Consumer Forum,3.0
Jalgaon,2013,Criminal Court,44.0
Jalgaon,2013,District Magistrate And Executive Magistrate,1.0
Jalgaon,2013,Family Court,1.0
Jalgaon,2013,Industrial Court,1.0
Jalgaon,2013,Labor Court,1.0
Jalgaon,2013,Public Court,
Jalgaon,2014,Civil Court,43.0
Jalgaon,2014,Consumer Forum,9.0
Jalgaon,2014,Criminal Court,
Jalgaon,2014,District Magistrate And Executive Magistrate,1.0
Jalgaon,2014,Family Court,22.0
Jalgaon,2014,Industrial Court,1.0
Jalgaon,2014,Labor Court,1.0
Jalgaon,2014,Public Court,1.0
Jalgaon,2015,Civil Court,51.0
Jalgaon,2015,Consumer Forum,1.0
Jalgaon,2015,Criminal Court,
Jalgaon,2015,District Magistrate And Executive Magistrate,1.0
Jalgaon,2015,Family Court,22.0
Jalgaon,2015,Industrial Court,
Jalgaon,2015,Labor Court,1.0
Jalgaon,2015,Public Court,1.0
Jalgaon,2016,Civil Court,57.0
Jalgaon,2016,Consumer Forum,1.0
Jalgaon,2016,Criminal Court,
Jalgaon,2016,District Magistrate And Executive Magistrate,22.0
Jalgaon,2016,Family Court,1.0
Jalgaon,2016,Industrial Court,1.0
Jalgaon,2016,Labor Court,1.0
Jalgaon,2016,Public Court,
Jalgaon,2017,Civil Court,13.0
Jalgaon,2017,Consumer Forum,1.0
Jalgaon,2017,Criminal Court,57.0
Jalgaon,2017,District Magistrate And Executive Magistrate,23.0
Jalgaon,2017,Family Court,1.0
Jalgaon,2017,Industrial Court,1.0
Jalgaon,2017,Labor Court,1.0
Jalgaon,2017,Public Court,
Jalgaon,2018,Civil Court,12.0
Jalgaon,2018,Consumer Forum,1.0
Jalgaon,2018,Criminal Court,55.0
Jalgaon,2018,District Magistrate And Executive Magistrate,23.0
Jalgaon,2018,Family Court,1.0
Jalgaon,2018,Industrial Court,1.0
Jalgaon,2018,Labor Court,1.0
Jalgaon,2018,Public Court,
Jalgaon,2019,Civil Court,12.0
Jalgaon,2019,Consumer Forum,1.0
Jalgaon,2019,Criminal Court,55.0
Jalgaon,2019,District Magistrate And Executive Magistrate,23.0
Jalgaon,2019,Family Court,1.0
Jalgaon,2019,Industrial Court,1.0
Jalgaon,2019,Labor Court,1.0
Jalgaon,2019,Public Court,
Jalgaon,2020,Civil Court,12.0
Jalgaon,2020,Consumer Forum,1.0
Jalgaon,2020,Criminal Court,55.0
Jalgaon,2020,District Magistrate And Executive Magistrate,24.0
Jalgaon,2020,Family Court,1.0
Jalgaon,2020,Industrial Court,1.0
Jalgaon,2020,Labor Court,1.0
Jalgaon,2020,Public Court,
Jalgaon,2021,Civil Court,1.0
Jalgaon,2021,Consumer Forum,1.0
Jalgaon,2021,Criminal Court,46.0
Jalgaon,2021,District Magistrate And Executive Magistrate,24.0
Jalgaon,2021,Family Court,1.0
Jalgaon,2021,Industrial Court,1.0
Jalgaon,2021,Labor Court,1.0
Jalgaon,2021,Public Court,1.0
Jalna,2013,Civil Court,27.0
Jalna,2013,Consumer Forum,1.0
Jalna,2013,Criminal Court,1.0
Jalna,2013,District Magistrate And Executive Magistrate,
Jalna,2013,"Family Court
",
Jalna,2013,Industrial Court,1.0
Jalna,2013,Labor Court,1.0
Jalna,2013,Public Court,
Jalna,2014,Civil Court,32.0
Jalna,2014,Consumer Forum,1.0
Jalna,2014,Criminal Court,1.0
Jalna,2014,District Magistrate And Executive Magistrate,
Jalna,2014,"Family Court
",
Jalna,2014,Industrial Court,1.0
Jalna,2014,Labor Court,1.0
Jalna,2014,Public Court,
Jalna,2015,Civil Court,32.0
Jalna,2015,Consumer Forum,1.0
Jalna,2015,Criminal Court,1.0
Jalna,2015,District Magistrate And Executive Magistrate,
Jalna,2015,"Family Court
",
Jalna,2015,Industrial Court,1.0
Jalna,2015,Labor Court,1.0
Jalna,2015,Public Court,
Jalna,2016,Civil Court,34.0
Jalna,2016,Consumer Forum,133.0
Jalna,2016,Criminal Court,1.0
Jalna,2016,District Magistrate And Executive Magistrate,
Jalna,2016,Family Court,
Jalna,2016,Industrial Court,1.0
Jalna,2016,Labor Court,1.0
Jalna,2016,Public Court,
Jalna,2017,Civil Court,35.0
Jalna,2017,Consumer Forum,1.0
Jalna,2017,Criminal Court,27.0
Jalna,2017,District Magistrate And Executive Magistrate,
Jalna,2017,"Family Court
",
Jalna,2017,Industrial Court,1.0
Jalna,2017,Labor Court,1.0
Jalna,2017,Public Court,
Jalna,2018,Civil Court,39.0
Jalna,2018,Consumer Forum,1.0
Jalna,2018,Criminal Court,
Jalna,2018,District Magistrate And Executive Magistrate,35.0
Jalna,2018,"Family Court
",1.0
Jalna,2018,Industrial Court,1.0
Jalna,2018,Labor Court,1.0
Jalna,2018,Public Court,1.0
Jalna,2019,Civil Court,37.0
Jalna,2019,Consumer Forum,1.0
Jalna,2019,Criminal Court,
Jalna,2019,District Magistrate And Executive Magistrate,36.0
Jalna,2019,"Family Court
",1.0
Jalna,2019,Industrial Court,1.0
Jalna,2019,Labor Court,1.0
Jalna,2019,Public Court,1.0
Jalna,2020,Civil Court,34.0
Jalna,2020,Consumer Forum,1.0
Jalna,2020,Criminal Court,
Jalna,2020,District Magistrate And Executive Magistrate,36.0
Jalna,2020,"Family Court
",1.0
Jalna,2020,Industrial Court,1.0
Jalna,2020,Labor Court,1.0
Jalna,2020,Public Court,1.0
Jalna,2021,Civil Court,36.0
Jalna,2021,Consumer Forum,1.0
Jalna,2021,Criminal Court,1.0
Jalna,2021,District Magistrate And Executive Magistrate,14.0
Jalna,2021,"Family Court
",1.0
Jalna,2021,Industrial Court,1.0
Jalna,2021,Labor Court,1.0
Jalna,2021,Public Court,4.0
Mumbai,2013,Civil Court,26.0
Mumbai,2013,Consumer Forum,
Mumbai,2013,Cooperative Court,6.0
Mumbai,2013,Court Of Chief Judicial Magistrate,74.0
Mumbai,2013,Criminal Court,33.0
Mumbai,2013,"Family Court
",7.0
Mumbai,2013,Industrial Court,5.0
Mumbai,2013,Labor Court,9.0
Mumbai,2013,Public Court,
Mumbai,2013,Small Causes Court,41.0
Mumbai,2014,Civil Court,57.0
Mumbai,2014,Consumer Forum,2.0
Mumbai,2014,Cooperative Court,6.0
Mumbai,2014,Court Of Chief Judicial Magistrate,4.0
Mumbai,2014,Criminal Court,
Mumbai,2014,Family Court,7.0
Mumbai,2014,Industrial Court,5.0
Mumbai,2014,Labor Court,9.0
Mumbai,2014,Public Court,
Mumbai,2014,Small Causes Court,24.0
Mumbai,2015,Civil Court,67.0
Mumbai,2015,Consumer Forum,2.0
Mumbai,2015,Cooperative Court,6.0
Mumbai,2015,Court Of Chief Judicial Magistrate,73.0
Mumbai,2015,Criminal Court,
Mumbai,2015,Family Court,7.0
Mumbai,2015,Industrial Court,5.0
Mumbai,2015,Labor Court,3.0
Mumbai,2015,Public Court,
Mumbai,2015,Small Causes Court,42.0
Mumbai,2016,Civil Court,67.0
Mumbai,2016,Consumer Forum,2.0
Mumbai,2016,Cooperative Court,41.0
Mumbai,2016,Court Of Chief Judicial Magistrate,74.0
Mumbai,2016,Criminal Court,
Mumbai,2016,Family Court,7.0
Mumbai,2016,Industrial Court,4.0
Mumbai,2016,Labor Court,11.0
Mumbai,2016,Public Court,
Mumbai,2016,Small Causes Court,4.0
Mumbai,2017,Civil Court,54.0
Mumbai,2017,Consumer Forum,2.0
Mumbai,2017,Cooperative Court,3.0
Mumbai,2017,Court Of Chief Judicial Magistrate,29.0
Mumbai,2017,Criminal Court,
Mumbai,2017,"Family Court
",7.0
Mumbai,2017,Industrial Court,4.0
Mumbai,2017,Labor Court,6.0
Mumbai,2017,Public Court,
Mumbai,2017,Small Causes Court,7.0
Mumbai,2018,Civil Court,73.0
Mumbai,2018,Consumer Forum,2.0
Mumbai,2018,Court Of Chief Judicial Magistrate,29.0
Mumbai,2018,Criminal Court,
Mumbai,2018,Industrial Court,
Mumbai,2018,Labor Court,
Mumbai,2018,Public Court,
Mumbai,2019,Civil Court,68.0
Mumbai,2019,Consumer Forum,2.0
Mumbai,2019,Court Of Chief Judicial Magistrate,37.0
Mumbai,2019,Criminal Court,
Mumbai,2019,"Family Court
",
Mumbai,2019,Industrial Court,
Mumbai,2019,Labor Court,
Mumbai,2019,Public Court,
Mumbai,2020,Civil Court,58.0
Mumbai,2020,Consumer Forum,2.0
Mumbai,2020,Court Of Chief Judicial Magistrate,37.0
Mumbai,2020,Criminal Court,58.0
Mumbai,2020,"Family Court
",
Mumbai,2020,Industrial Court,
Mumbai,2020,Labor Court,
Mumbai,2020,Public Court,
Mumbai,2021,Civil Court,84.0
Mumbai,2021,Consumer Forum,2.0
Mumbai,2021,Court Of Chief Judicial Magistrate,36.0
Mumbai,2021,Criminal Court,
Mumbai,2021,"Family Court
",7.0
Mumbai,2021,Industrial Court,9.0
Mumbai,2021,Labor Court,11.0
Mumbai,2021,Public Court,
Mumbai Suburban,2016,Civil Court,12.0
Mumbai Suburban,2016,Consumer Forum,2.0
Mumbai Suburban,2016,Cooperative Court,
Mumbai Suburban,2016,Criminal Court,
Mumbai Suburban,2016,District Magistrate And Executive Magistrate,38.0
Mumbai Suburban,2016,Family Court,7.0
Mumbai Suburban,2016,Industrial Court,4.0
Mumbai Suburban,2016,Labor Court,11.0
Mumbai Suburban,2016,Public Court,
Mumbai Suburban,2016,Small Causes Court,48.0
Mumbai Suburban,2017,Civil Court,12.0
Mumbai Suburban,2017,Consumer Forum,2.0
Mumbai Suburban,2017,Cooperative Court,
Mumbai Suburban,2017,Criminal Court,
Mumbai Suburban,2017,District Magistrate And Executive Magistrate,37.0
Mumbai Suburban,2017,"Family Court
",7.0
Mumbai Suburban,2017,Industrial Court,7.0
Mumbai Suburban,2017,Labor Court,1.0
Mumbai Suburban,2017,Public Court,
Mumbai Suburban,2017,Small Causes Court,11.0
Mumbai Suburban,2018,Civil Court,11.0
Mumbai Suburban,2018,Consumer Forum,2.0
Mumbai Suburban,2018,Criminal Court,
Mumbai Suburban,2018,District Magistrate And Executive Magistrate,33.0
Mumbai Suburban,2018,"Family Court
",7.0
Mumbai Suburban,2018,Industrial Court,7.0
Mumbai Suburban,2018,Labor Court,11.0
Mumbai Suburban,2018,Public Court,
Mumbai Suburban,2019,Civil Court,14.0
Mumbai Suburban,2019,Consumer Forum,2.0
Mumbai Suburban,2019,Criminal Court,
Mumbai Suburban,2019,District Magistrate And Executive Magistrate,38.0
Mumbai Suburban,2019,"Family Court
",7.0
Mumbai Suburban,2019,Industrial Court,9.0
Mumbai Suburban,2019,Labor Court,11.0
Mumbai Suburban,2019,Public Court,
Mumbai Suburban,2020,Civil Court,15.0
Mumbai Suburban,2020,Consumer Forum,2.0
Mumbai Suburban,2020,Criminal Court,
Mumbai Suburban,2020,District Magistrate And Executive Magistrate,38.0
Mumbai Suburban,2020,"Family Court
",7.0
Mumbai Suburban,2020,Industrial Court,9.0
Mumbai Suburban,2020,Labor Court,11.0
Mumbai Suburban,2020,Public Court,
Mumbai Suburban,2021,Civil Court,15.0
Mumbai Suburban,2021,Consumer Forum,2.0
Mumbai Suburban,2021,Criminal Court,
Mumbai Suburban,2021,District Magistrate And Executive Magistrate,38.0
Mumbai Suburban,2021,"Family Court
",7.0
Mumbai Suburban,2021,Industrial Court,9.0
Mumbai Suburban,2021,Labor Court,11.0
Mumbai Suburban,2021,Public Court,
Nagpur,2012,Civil Court,18.0
Nagpur,2012,Consumer Forum,3.0
Nagpur,2012,Criminal Court,79.0
Nagpur,2012,District Magistrate And Executive Magistrate,2.0
Nagpur,2012,Family Court,4.0
Nagpur,2012,Industrial Court,4.0
Nagpur,2012,Labor Court,4.0
Nagpur,2012,Public Court,1.0
Nagpur,2012,Small Cause Court,2.0
Nagpur,2013,Civil Court,18.0
Nagpur,2013,Consumer Forum,3.0
Nagpur,2013,Criminal Court,79.0
Nagpur,2013,District Magistrate And Executive Magistrate,2.0
Nagpur,2013,"Family Court
",4.0
Nagpur,2013,Industrial Court,4.0
Nagpur,2013,Labor Court,4.0
Nagpur,2013,Public Court,1.0
Nagpur,2013,Small Cause Court,2.0
Nagpur,2014,Civil Court,18.0
Nagpur,2014,Consumer Forum,4.0
Nagpur,2014,Criminal Court,79.0
Nagpur,2014,District Magistrate And Executive Magistrate,2.0
Nagpur,2014,"Family Court
",4.0
Nagpur,2014,Industrial Court,4.0
Nagpur,2014,Labor Court,4.0
Nagpur,2014,Public Court,1.0
Nagpur,2014,Small Cause Court,3.0
Nagpur,2015,Civil Court,2.0
Nagpur,2015,Consumer Forum,2.0
Nagpur,2015,Criminal Court,76.0
Nagpur,2015,District Magistrate And Executive Magistrate,2.0
Nagpur,2015,"Family Court
",4.0
Nagpur,2015,Industrial Court,4.0
Nagpur,2015,Labor Court,4.0
Nagpur,2015,Public Court,1.0
Nagpur,2015,Small Cause Court,3.0
Nagpur,2016,Civil Court,22.0
Nagpur,2016,Consumer Forum,3.0
Nagpur,2016,Criminal Court,8.0
Nagpur,2016,District Magistrate And Executive Magistrate,2.0
Nagpur,2016,Family Court,4.0
Nagpur,2016,Industrial Court,5.0
Nagpur,2016,Labor Court,4.0
Nagpur,2016,Public Court,1.0
Nagpur,2016,Small Cause Court,3.0
Nagpur,2017,Civil Court,22.0
Nagpur,2017,Consumer Forum,4.0
Nagpur,2017,Criminal Court,8.0
Nagpur,2017,District Magistrate And Executive Magistrate,2.0
Nagpur,2017,"Family Court
",4.0
Nagpur,2017,Industrial Court,5.0
Nagpur,2017,Labor Court,4.0
Nagpur,2017,Public Court,1.0
Nagpur,2017,Small Cause Court,3.0
Nagpur,2018,Civil Court,3.0
Nagpur,2018,Consumer Forum,4.0
Nagpur,2018,Criminal Court,71.0
Nagpur,2018,District Magistrate And Executive Magistrate,22.0
Nagpur,2018,"Family Court
",4.0
Nagpur,2018,Industrial Court,5.0
Nagpur,2018,Labor Court,4.0
Nagpur,2018,Public Court,3.0
Nagpur,2018,Small Cause Court,
Nagpur,2019,Civil Court,25.0
Nagpur,2019,Consumer Forum,4.0
Nagpur,2019,Criminal Court,72.0
Nagpur,2019,District Magistrate And Executive Magistrate,22.0
Nagpur,2019,"Family Court
",4.0
Nagpur,2019,Industrial Court,5.0
Nagpur,2019,Labor Court,4.0
Nagpur,2019,Public Court,3.0
Nagpur,2019,Small Cause Court,
Nagpur,2020,Civil Court,25.0
Nagpur,2020,Consumer Forum,4.0
Nagpur,2020,Criminal Court,75.0
Nagpur,2020,District Magistrate And Executive Magistrate,22.0
Nagpur,2020,"Family Court
",4.0
Nagpur,2020,Industrial Court,5.0
Nagpur,2020,Labor Court,4.0
Nagpur,2020,Public Court,3.0
Nagpur,2021,Civil Court,29.0
Nagpur,2021,Consumer Forum,4.0
Nagpur,2021,Criminal Court,71.0
Nagpur,2021,District Magistrate And Executive Magistrate,83.0
Nagpur,2021,"Family Court
",4.0
Nagpur,2021,Industrial Court,5.0
Nagpur,2021,Labor Court,4.0
Nagpur,2021,Public Court,2.0
Nanded,2014,Civil Court,43.0
Nanded,2014,Consumer Forum,1.0
Nanded,2014,Criminal Court,4.0
Nanded,2014,District Magistrate And Executive Magistrate,25.0
Nanded,2014,"Family Court
",
Nanded,2014,Industrial Court,
Nanded,2014,Labor Court,1.0
Nanded,2014,Public Court,1.0
Nanded,2015,Civil Court,51.0
Nanded,2015,Consumer Forum,1.0
Nanded,2015,Criminal Court,51.0
Nanded,2015,District Magistrate And Executive Magistrate,25.0
Nanded,2015,"Family Court
",
Nanded,2015,Industrial Court,
Nanded,2015,Labor Court,1.0
Nanded,2015,Public Court,1.0
Nanded,2016,Civil Court,53.0
Nanded,2016,Consumer Forum,1.0
Nanded,2016,Criminal Court,53.0
Nanded,2016,District Magistrate And Executive Magistrate,3.0
Nanded,2016,Family Court,
Nanded,2016,Industrial Court,
Nanded,2016,Labor Court,1.0
Nanded,2016,Public Court,1.0
Nanded,2017,Civil Court,52.0
Nanded,2017,Consumer Forum,1.0
Nanded,2017,Criminal Court,49.0
Nanded,2017,District Magistrate And Executive Magistrate,3.0
Nanded,2017,"Family Court
",
Nanded,2017,Industrial Court,
Nanded,2017,Labor Court,1.0
Nanded,2017,Public Court,1.0
Nanded,2018,Civil Court,56.0
Nanded,2018,Consumer Forum,1.0
Nanded,2018,Criminal Court,1.0
Nanded,2018,District Magistrate And Executive Magistrate,3.0
Nanded,2018,"Family Court
",1.0
Nanded,2018,Industrial Court,
Nanded,2018,Labor Court,1.0
Nanded,2018,Public Court,1.0
Nanded,2019,Civil Court,56.0
Nanded,2019,Consumer Forum,1.0
Nanded,2019,Criminal Court,1.0
Nanded,2019,District Magistrate And Executive Magistrate,3.0
Nanded,2019,"Family Court
",1.0
Nanded,2019,Industrial Court,
Nanded,2019,Labor Court,1.0
Nanded,2019,Public Court,1.0
Nanded,2020,Civil Court,56.0
Nanded,2020,Consumer Forum,1.0
