District,Year,Type of Court,Number of Functioning courts,Total Cases,Approved Judge Posts,Judge Positions Filled,Number of Regular Original Cases,Number of Miscellaneous Original Cases,Number of Regular Appeal Cases,Number of Miscellaneous Appeal Cases
Ahilyanagar,2021,Customer Forum,1,1666,3,3,1423,243,,
Akola,2012,Civil Court,32,3135,32,32,869,1585,84,597
Akola,2012,Criminal Court,31,15150,31,31,2848,10975,201,1126
Akola,2012,Public Court,0,4668,0,0,0,4649,19,0
Akola,2012,Labor Court,1,1251,1,1,62,268,0,0
Akola,2012,Industrial Court,1,99,1,1,66,33,0,0
Akola,2012,Family Court,1,345,1,1,341,4,0,0
Akola,2012,District Magistrate And Executive Magistrate,7,6882,28,28,0,6882,0,0
Akola,2012,Customer Forum,1,79,3,3,63,16,0,0
Akola,2013,Civil Court,34,4243,34,34,1024,2501,108,610
Akola,2013,Criminal Court,31,20186,31,31,2874,15574,41,1697
Akola,2013,Public Court,0,4668,0,0,0,4649,19,0
Akola,2013,Labor Court,1,1055,1,1,100,25,10,2
Akola,2013,Industrial Court,1,247,1,1,131,25,91,0
Akola,2013,Family Court,1,478,1,1,471,7,0,0
Akola,2013,District Magistrate And Executive Magistrate,7,2866,28,28,0,2866,0,0
Akola,2013,Customer Forum,1,141,3,3,120,21,0,0
Akola,2014,Civil Court,31,5014,31,31,3103,1020,583,308
Akola,2014,Criminal Court,33,17402,33,33,12561,2837,615,1389
Akola,2014,Public Court,0,6699,0,0,2519,4127,53,0
Akola,2014,Labor Court,1,550,1,1,393,75,81,1
Akola,2014,Industrial Court,1,321,1,1,189,132,0,0
Akola,2014,Family Court,1,535,1,1,497,38,0,0
Akola,2014,District Magistrate And Executive Magistrate,7,2753,28,28,0,2753,0,0
Akola,2014,Customer Forum,1,352,3,3,290,62,0,0
Akola,2015,Civil Court,,,,,,,,
Akola,2015,Criminal Court,,,,,,,,
Akola,2015,Public Court,,,,,,,,
Akola,2015,Labor Court,,,,,,,,
Akola,2015,Industrial Court,,,,,,,,
Akola,2015,Family Court,,,,,,,,
Akola,2015,District Magistrate And Executive Magistrate,,,,,,,,
Akola,2015,Customer Forum,,,,,,,,
Akola,2016,Civil Court,40,15963,40,40,5551,7489,974,1949
Akola,2016,Criminal Court,34,46659,34,34,12915,31007,591,2146
Akola,2016,Public Court,0,2791,0,0,398,2321,0,0
Akola,2016,Labor Court,1,912,1,1,259,636,15,2
Akola,2016,Industrial Court,1,70,1,1,25,19,26,0
Akola,2016,Family Court,1,690,1,1,686,4,0,0
Akola,2016,District Magistrate And Executive Magistrate,7,2408,20,20,1461,303,438,206
Akola,2016,Customer Forum,1,256,1,1,189,67,0,0
Akola,2017,Civil Court,43,16018,43,43,5602,7658,831,1927
Akola,2017,Criminal Court,42,47650,42,42,12811,31997,1431,1411
Akola,2017,Public Court,0,3336,0,0,759,2519,0,0
Akola,2017,Labor Court,1,791,1,1,298,66,24,1
Akola,2017,Industrial Court,1,277,1,1,77,30,91,79
Akola,2017,Family Court,1,811,1,1,802,9,0,0
Akola,2017,District Magistrate And Executive Magistrate,7,2908,20,20,2014,0,894,0
Akola,2017,Customer Forum,1,421,1,1,321,100,0,0
Akola,2018,Civil Court,43,16805,43,43,11863,2752,732,1458
Akola,2018,Criminal Court,42,52520,34,42,18284,31273,2376,587
Akola,2018,Public Court,0,2964,0,0,2400,564,0,0
Akola,2018,Labor Court,1,361,1,1,247,114,0,0
Akola,2018,Industrial Court,1,200,1,1,125,17,58,0
Akola,2018,Family Court,1,971,1,1,964,7,0,0
Akola,2018,District Magistrate And Executive Magistrate,7,2703,20,20,2008,0,695,0
