District,Year,Type of Court,Number of Functioning courts,Total Cases,Approved Judge Posts,Judge Positions Filled,Number of Regular Original Cases,Number of Miscellaneous Original Cases,Number of Regular Appeal Cases,Number of Miscellaneous Appeal Cases
Buldhana,2017,Industrial Court,1,103,1,1,53,17,18,15
Buldhana,2017,Family Court, , , , , , , , 
Buldhana,2017,District Magistrate And Executive Magistrate,21,8202,21,21,0,8202,0,0
Buldhana,2017,Customer Forum,1,431,3,3,401,30, , 
Buldhana,2018,Civil Court,37,1756,37,37,284,884,97,491
Buldhana,2018,Criminal Court,33,1911,33,33,254,1237,72,348
Buldhana,2018,Public Court, ,534, , , , , , 
Buldhana,2018,Labor Court,1,349,1,1,323,26,,
Buldhana,2018,Industrial Court,1,65,1,1,62,1,2,0
Buldhana,2018,Family Court,1,62,1,1,62, , , 
Buldhana,2018,District Magistrate And Executive Magistrate,21,8876,21,0,0,8876,0,0
Buldhana,2018,Customer Forum,1,317,3,3,301,16, , 
Buldhana,2019,Civil Court,37,19251,37,37,2766,10430,1185,4870
Buldhana,2019,Criminal Court,33,62571,33,33,12137,46103,576,3755
Buldhana,2019,Public Court,,,,,,,,
Buldhana,2019,Labor Court,1,323,1,1,103,47,0,0
Buldhana,2019,Industrial Court,1,84,1,1,30,15,39,0
Buldhana,2019,Family Court,1,241,1,1,239,2,0,0
Buldhana,2019,District Magistrate And Executive Magistrate,21,7925,21,0,0,7925,0,0
Buldhana,2019,Customer Forum,1,386,3,3,348,38,0,0
Buldhana,2020,Civil Court,39,21828,39,39,3249,12156,1287,5136
Buldhana,2020,Criminal Court,34,82515,34,34,17802,59940,764,4009
Buldhana,2020,Public Court,1,29290,1,1,4565,24725,0,0
Buldhana,2020,Labor Court,1,52,1,1,31,21,0,0
Buldhana,2020,Industrial Court,1,28,1,1,11,2,14,1
Buldhana,2020,Family Court,1,218,1,1,213,5,0,0
Buldhana,2020,District Magistrate And Executive Magistrate,21,6761,21,20,0,6761,0,0
Buldhana,2020,Customer Forum,1,74,3,3,61,13,0,0
Buldhana,2021,Civil Court,39,22985,39,39,8171,8358,1282,5174
Buldhana,2021,Criminal Court,36,85286,35,35,23842,56543,938,3963
Buldhana,2021,Public Court,0,35681,0,0,3535,32146,0,0
Buldhana,2021,Labor Court,1,318,1,1,118,38,0,0
Buldhana,2021,Industrial Court,1,49,1,1,42,0,7,0
Buldhana,2021,Family Court,1,649,1,1,415,14,0,0
Buldhana,2021,District Magistrate And Executive Magistrate,21,7541,21,21,0,7541,0,0
Buldhana,2021,Customer Forum,1,251,3,3,224,27,0,0
Chandrapur,2012,Civil Court,36,2627,4(32) ,4(31) ,579,1413,334,301
Chandrapur,2012,Criminal Court,33,21438,1(32) ,1(31) ,6221,13852,1086,279
Chandrapur,2012,Public Court,0,5814,0,0,5664,134,16,0
Chandrapur,2012,Labor Court,1,350,1,1,317,33,0,0
Chandrapur,2012,Industrial Court,1,348,1,1,238,31,79,0
Chandrapur,2012,Family Court,,,,,,,,
Chandrapur,2012,District Magistrate And Executive Magistrate,,,,,,,,
Chandrapur,2012,Customer Forum,1,232,1, ,211,0,21,0
Chandrapur,2013,Civil Court,35,2417,4 (31),4 (30),554,1326,281,256
Chandrapur,2013,Criminal Court,32,16265,1(31),1(30),5696,9369,940,260
Chandrapur,2013,Public Court,0,5824,0,0,5674,130,20,0
Chandrapur,2013,Labor Court,1,148,1,1,118,30,0,0
Chandrapur,2013,Industrial Court,1,249,1,1,133,23,93,0
Chandrapur,2013,Family Court,,,,,,,,
Chandrapur,2013,District Magistrate And Executive Magistrate,,,,,,,,
Chandrapur,2013,Customer Forum,1,279,12,9,256,0,23,0
Chandrapur,2014,Civil Court,36,3746,4(32) ,4(31) ,1121,2367,121,137
Chandrapur,2014,Criminal Court,33,16261,1(32) ,1(31) ,6583,9432,124,122
Chandrapur,2014,Public Court,0,1591,0,0,843,748,0,0
Chandrapur,2014,Labor Court,1,369,1,1,311,58,0,0
Chandrapur,2014,Industrial Court,1,191,1,0,113,78,0,0
Chandrapur,2014,Family Court,,,,,,,,
Chandrapur,2014,District Magistrate And Executive Magistrate,,,,,,,,
Chandrapur,2014,Customer Forum,1,282,12,10,256,0,26,0
Chandrapur,2015,Civil Court,36,3421,4(32),4(31),970,1978,240,233
Chandrapur,2015,Criminal Court,33,15795,1(32),1(31),5195,10192,288,120
Chandrapur,2015,Public Court,0,1102,0,0,538,462,102,0
Chandrapur,2015,Labor Court,1,323,1,1,307,16,0,0
Chandrapur,2015,Industrial Court,1,56,1,1,16,11,29,0
Chandrapur,2015,Family Court,,,,,,,,
Chandrapur,2015,District Magistrate And Executive Magistrate,,,,,,,,
Chandrapur,2015,Customer Forum,1,305,1,1,238,67,0,0
Chandrapur,2016,Civil Court,46,4004,7(39),7(38),1187,2239,346,232
Chandrapur,2016,Criminal Court,40,17967,1(39),1(38),6480,10827,513,147
Chandrapur,2016,Public Court,0,983,0,0,559,345,79,0
Chandrapur,2016,Labor Court,1,298,1,1,233,65,0,0
Chandrapur,2016,Industrial Court,1,100,1,0,22,5,73,0
Chandrapur,2016,Family Court,,,,,,,,
Chandrapur,2016,District Magistrate And Executive Magistrate,,,,,,,,
Chandrapur,2016,Customer Forum,1,142,3,2,21,0,0,0
Chandrapur,2017,Civil Court,43,3685,5 (38),5 (37),1082,2075,378,150
Chandrapur,2017,Criminal Court,39,22171,1(38),1(37),8602,13215,253,101
Chandrapur,2017,Public Court,0,1482,0,0,789,649,44,0
Chandrapur,2017,Labor Court,1,402,1,1,327,75,0,0
Chandrapur,2017,Industrial Court,1,244,1,1,82,23,139,0
Chandrapur,2017,Family Court,,,,,,,,
Chandrapur,2017,District Magistrate And Executive Magistrate,,,,,,,,
Chandrapur,2017,Customer Forum,1,419,3,3,184,235,0,0
Chandrapur,2018,Civil Court,38,3178,4(34),4(33),852,1944,226,156
Chandrapur,2018,Criminal Court,34,22370,1(33),1(33),8858,13129,263,120
Chandrapur,2018,Public Court,0,1203,0,0,42,1126,35,0
Chandrapur,2018,Labor Court,1,151,1,1,141,10,0,0
Chandrapur,2018,Industrial Court,1,225,1,1,133,16,76,0
Chandrapur,2018,Family Court,0,0,0,0,0,0,0,0
Chandrapur,2018,District Magistrate And Executive Magistrate,26,6618,26,24,6269,0,349,0
Chandrapur,2018,Customer Forum,1,452,3,3,306,146,0,0
Chandrapur,2019,Civil Court,38,3136,7 (31),7 (31),776,2085,169,106
Chandrapur,2019,Criminal Court,31,19577,1 (30),1 (30),8396,10841,252,88
Chandrapur,2019,Public Court,0,891,0,0,0,891,0,0
Chandrapur,2019,Labor Court,1,187,1,1,151,36,0,0
Chandrapur,2019,Industrial Court,1,110,1,0,92,0,18,0
Chandrapur,2019,Family Court,0,0,0,0,0,0,0,0
Chandrapur,2019,District Magistrate And Executive Magistrate,26,7234,26,24,7039,0,195,0
Chandrapur,2019,Customer Forum,1,427,3,3,287,140,0,0
Chandrapur,2020,Civil Court,41,1976,7 (33),7 (32),420,1452,61,43
Chandrapur,2020,Criminal Court,34,9804,1 (33),1 (32),3701,6001,83,19
Chandrapur,2020,Public Court,0,225,0,0,0,225,0,0
Chandrapur,2020,Labor Court,1,27,1,1,25,2,0,0
Chandrapur,2020,Industrial Court,1,4,1,0,4,0,0,0
Chandrapur,2020,Family Court,0,0,0,0,0,0,0,0
Chandrapur,2020,District Magistrate And Executive Magistrate,26,6677,26,24,6338,0,339,0
Chandrapur,2020,Customer Forum,1,584,3,3,436,148,0,0
Chandrapur,2021,Civil Court,40,4179,7 (33),7 (32),885,3093,116,85
Chandrapur,2021,Criminal Court,35,19850,2 (33),2 (32),6709,12908,156,77
Chandrapur,2021,Public Court,0,4219,0,0,175,3984,60,0
Chandrapur,2021,Labor Court,1,171,1,1,146,25,0,0
Chandrapur,2021,Industrial Court,1,14,1,0,14,0,0,0
Chandrapur,2021,Family Court,0,0,0,0,0,0,0,0
Chandrapur,2021,District Magistrate And Executive Magistrate,26,7639,26,25,7286,0,353,0
Chandrapur,2021,Customer Forum,1,723,3,3,575,148,0,0
Dhule,2012,Civil Court,39,16904,39,39,2551,1403,1005,351
Dhule,2012,Criminal Court,39,30971,39,39,13061,8051,407,1007
Dhule,2012,Public Court,,,,,,,,
Dhule,2012,Labor Court,1,262,1,1,226,36,0,0
Dhule,2012,Industrial Court,1,29,1,1,6,12,11,0
Dhule,2012,Family Court,0,0,0,0,0,0,0,0
Dhule,2012,District Magistrate And Executive Magistrate,,,,,,,,
Dhule,2012,Customer Forum,1,221,1,1,221,38,0,0
Dhule,2013,Civil Court,23,12379,23,23,8472,2551,1005,351
Dhule,2013,Criminal Court,23,20973,23,23,10370,9058,407,1138
Dhule,2013,Public Court,,,,,,,,
Dhule,2013,Labor Court,1,36,1,1,24,12,0,0
Dhule,2013,Industrial Court,1,191,1,1,85,50,56,0
Dhule,2013,Family Court,0,0,0,0,0,0,0,0
Dhule,2013,District Magistrate And Executive Magistrate,8,224,8,8,25,0,199,0
Dhule,2013,Customer Forum,1,218,1,1,113,105,0,0
Dhule,2014,Civil Court,22,12561,22,22,4943,1461,4863,1294
Dhule,2014,Criminal Court,22,20482,22,22,16537,1800,975,1170
Dhule,2014,Public Court,,,,,,,,
Dhule,2014,Labor Court,1,191,1,1,157,34,0,0
Dhule,2014,Industrial Court,1,115,1,1,79,18,18,0
Dhule,2014,Family Court,0,0,0,0,0,0,0,0
Dhule,2014,District Magistrate And Executive Magistrate,8,663,8,8,162,0,501,0
Dhule,2014,Customer Forum,1,191,1,1,157,34,0,0
Dhule,2015,Civil Court,25,12755,25,25,3326,2549,3690,3190
Dhule,2015,Criminal Court,25,21472,25,25,17014,1106,2012,1340
Dhule,2015,Public Court,,,,,,,,
Dhule,2015,Labor Court,1,842,1,1,842,0,0,0
Dhule,2015,Industrial Court,1,115,1,0,79,18,18,0
Dhule,2015,Family Court,0,0,0,0,0,0,0,0
Dhule,2015,District Magistrate And Executive Magistrate,8,439,8,8,439,0,0,0
Dhule,2015,Customer Forum,1,229,1,1,175,54,0,0
Dhule,2016,Civil Court,24,6666,24,24,1233,4133,728,572
Dhule,2016,Criminal Court,24,17751,24,24,5269,11640,454,388
Dhule,2016,Public Court,,,,,,,,
Dhule,2016,Labor Court,1,364,1,1,222,142,0,0
Dhule,2016,Industrial Court,1,105,1,0,58,28,19,0
Dhule,2016,Family Court,0,0,0,0,0,0,0,0
Dhule,2016,District Magistrate And Executive Magistrate,,,,,,,,
Dhule,2016,Customer Forum,1,241,1,1,166,75,0,0
Dhule,2017,Civil Court,25,4075,25,25,774,1636,323,1342
Dhule,2017,Criminal Court,25,12877,25,25,1504,9638,301,1434
Dhule,2017,Public Court,,,,,,,,
Dhule,2017,Labor Court,1,544,1,1,544,0,0,0
Dhule,2017,Industrial Court,1,145,1,1,73,53,19,0
Dhule,2017,Family Court,0,0,0,0,0,0,0,0
Dhule,2017,District Magistrate And Executive Magistrate,11,651,11,11,0,0,651,0
Dhule,2017,Customer Forum,1,235,3,3,169,66,0,0
Dhule,2018,Civil Court,26,5881,26,26,842,2915,428,1696
Dhule,2018,Criminal Court,22,11218,22,22,1617,8051,253,1297
Dhule,2018,Public Court,0,0,0,0,0,0,0,0
Dhule,2018,Labor Court,1,550,1,1,507,43,0,0
Dhule,2018,Industrial Court,1,109,1,1,32,30,33,0
Dhule,2018,Family Court,1,941,1,1,386,555,0,0
Dhule,2018,District Magistrate And Executive Magistrate,11,526,11,11,0,0,526,0
Dhule,2018,Customer Forum,1,293,3,3,181,112,0,0
Dhule,2019,Civil Court,24,5997,24,24,652,3143,112,2090
Dhule,2019,Criminal Court,21,10015,21,21,1377,7027,63,1548
Dhule,2019,Public Court,0,0,0,0,0,0,0,0
Dhule,2019,Labor Court,1,547,1,1,501,46,0,0
Dhule,2019,Industrial Court,1,275,1,1,221,29,21,4
Dhule,2019,Family Court,1,1109,1,1,786,318,5,0
Dhule,2019,District Magistrate And Executive Magistrate,11,433,11,11,0,0,433,0
Dhule,2019,Customer Forum,1,254,3,3,186,68,0,0
Dhule,2020,Civil Court,22,3072,22,22,357,1832,93,790
Dhule,2020,Criminal Court,20,4354,20,20,313,2698,101,1242
Dhule,2020,Public Court,0,0,0,0,0,0,0,0
Dhule,2020,Labor Court,1,564,1,1,564,0,0,0
Dhule,2020,Industrial Court,1,160,1,0,105,39,16,0
Dhule,2020,Family Court,1,941,1,1,386,555,0,0
Dhule,2020,District Magistrate And Executive Magistrate,11,498,11,11,498,0,498,0
Dhule,2020,Customer Forum,1,169,3,2,160,9,0,0
Dhule,2021,Civil Court,27,6513,27,27,671,4277,157,1408
Dhule,2021,Criminal Court,22,10671,22,22,1017,11783,1347,524
Dhule,2021,Public Court,0,0,0,0,0,0,0,0
Dhule,2021,Labor Court,1,440,1,1,440,0,0,0
Dhule,2021,Industrial Court,1,180,1,0,105,96,16,0
Dhule,2021,Family Court,1,941,1,1,386,555,0,0
Dhule,2021,District Magistrate And Executive Magistrate,11,1150,11,11,0,0,1150,0
Dhule,2021,Customer Forum,1,133,3,2,115,18,0,0
Gadchiroli,2012,Civil Court,1,599,1,1,160,206,104,129
Gadchiroli,2012,Criminal Court,13,6703,13,9,1100,4993,210,400
Gadchiroli,2012,Public Court, ,1180, , ,1180, , , 
Gadchiroli,2012,Labor Court, ,0, , , , , , 
Gadchiroli,2012,Industrial Court, ,0, , , , , , 
Gadchiroli,2012,Family Court, ,168, , , ,103, ,65
Gadchiroli,2012,District Magistrate And Executive Magistrate,19,1090,19,19,1090, , , 
Gadchiroli,2012,Customer Forum,1,5,1, ,2,3, , 
Gadchiroli,2013,Civil Court,1,677,1,1,198,206,173,100
Gadchiroli,2013,Criminal Court,15,4853,15,9,835,3330,212,476
Gadchiroli,2013,Public Court, ,512, , ,512,0,0,0
Gadchiroli,2013,Labor Court, ,0, , ,0,0,0,0
Gadchiroli,2013,Industrial Court, ,0, , ,0,0,0,0
Gadchiroli,2013,Family Court, ,155, , ,0,98,0,57
Gadchiroli,2013,District Magistrate And Executive Magistrate,19,1124,19,19,1124,0,0,0
Gadchiroli,2013,Customer Forum,1,33,1, ,27,6,0,0
Gadchiroli,2014,Civil Court,1,794,1,1,167,545,49,33
Gadchiroli,2014,Criminal Court,15,5372,15,9,982,4253,70,67
Gadchiroli,2014,Public Court, ,1884, , ,1884,0,0,0
Gadchiroli,2014,Labor Court, ,0, , ,0,0,0,0
Gadchiroli,2014,Industrial Court, ,0, , ,0,0,0,0
Gadchiroli,2014,Family Court, ,155, , ,0,98,0,57
Gadchiroli,2014,District Magistrate And Executive Magistrate,19,1555,19,19,1555,0,0,0
Gadchiroli,2014,Customer Forum,1,18,3,2,12,6,0,0
Gadchiroli,2015,Civil Court,1,846,1,1,302,475,54,15
Gadchiroli,2015,Criminal Court,16,8047,16,13,842,7141,35,29
Gadchiroli,2015,Public Court, ,526, , ,526,0,0,0
Gadchiroli,2015,Labor Court, ,0, , ,0,0,0,0
Gadchiroli,2015,Industrial Court, ,0, , ,0,0,0,0
Gadchiroli,2015,Family Court, ,151, , ,0,127,0,24
Gadchiroli,2015,District Magistrate And Executive Magistrate,19,2016,19,19,2016,0,0,0
Gadchiroli,2015,Customer Forum,1,53,3,2,45,8,0,0
Gadchiroli,2016,Civil Court,1,885,1,1,253,557,60,15
Gadchiroli,2016,Criminal Court,16,6772,16,14,688,6021,40,23
Gadchiroli,2016,Public Court, ,2010, , ,2010,0,0,0
Gadchiroli,2016,Labor Court, ,0, , ,0,0,0,0
Gadchiroli,2016,Industrial Court, ,0, , ,0,0,0,0
Gadchiroli,2016,Family Court,,,,,,,,
Gadchiroli,2016,District Magistrate And Executive Magistrate,19,731,19,19,731,0,0,0
Gadchiroli,2016,Customer Forum,1,69,3,2,51,18,0,0
Gadchiroli,2017,Civil Court,1,1328,1,1,460,740,89,39
Gadchiroli,2017,Criminal Court,16,6159,16,11,4115,1885,93,66
Gadchiroli,2017,Public Court, ,2675, , ,143,0,0,0
Gadchiroli,2017,Labor Court, ,0, , ,0,0,0,0
Gadchiroli,2017,Industrial Court, ,0, , ,0,0,0,0
Gadchiroli,2017,Family Court, ,0, , ,0,0,0,0
Gadchiroli,2017,District Magistrate And Executive Magistrate,19,1310,19,17,1310,0,48,0
Gadchiroli,2017,Customer Forum,1,34,3,2,19,15,2,0
Gadchiroli,2018,Civil Court,16,1287,16,12,398,812,60,17
Gadchiroli,2018,Criminal Court,,6309,,,759,5443,51,56
Gadchiroli,2018,Public Court, ,326, , ,97,229,0,0
Gadchiroli,2018,Labor Court, , , , , , , , 
Gadchiroli,2018,Industrial Court, , , , , , , , 
Gadchiroli,2018,Family Court, , , , , , , , 
Gadchiroli,2018,District Magistrate And Executive Magistrate,19,5320,19,19,1619,3615,86,0
Gadchiroli,2018,Customer Forum,1,51,3,1,42,7,2,0
Gadchiroli,2019,Civil Court,19,786,19,14,162,551,51,22
Gadchiroli,2019,Criminal Court,,3088,,,2098,961,27,2
Gadchiroli,2019,Public Court,,443,,,30,0,0,0
Gadchiroli,2019,Labor Court,,,,,,,,
Gadchiroli,2019,Industrial Court,,,,,,,,
Gadchiroli,2019,Family Court,,,,,,,,
Gadchiroli,2019,District Magistrate And Executive Magistrate,19,40611,19,19,5018,35485,110,4
Gadchiroli,2019,Customer Forum,1,12,3,1,10,2,0,0
Gadchiroli,2020,Civil Court,19,786,19,14,162,551,51,22
Gadchiroli,2020,Criminal Court,,3088,,,2098,961,27,2
Gadchiroli,2020,Public Court,,443,,,30,,,
Gadchiroli,2020,Labor Court,,,,,,,,
Gadchiroli,2020,Industrial Court,,,,,,,,
Gadchiroli,2020,Family Court,,,,,,,,
Gadchiroli,2020,District Magistrate And Executive Magistrate,19,40611,19,19,5018,35479,110,4
Gadchiroli,2020,Customer Forum,1,12,3,1,10,2,0,0
Gadchiroli,2021,Civil Court,19,1352,19,14,416,859,36,41
Gadchiroli,2021,Criminal Court,,4371,,,2391,1928,28,24
Gadchiroli,2021,Public Court,,3915,,,1256,,,
Gadchiroli,2021,Labor Court,,,,,,,,
Gadchiroli,2021,Industrial Court,,,,,,,,
Gadchiroli,2021,Family Court,,,,,,,,
Gadchiroli,2021,District Magistrate And Executive Magistrate,19,40093,19,19,4799,35187,107,0
Gadchiroli,2021,Customer Forum,1,48,3,1,43,5,0,0
Gondia,2012,Civil Court,1,1195,1,1,848,269,49,29
Gondia,2012,Criminal Court,18,10699,18,18,9495,1121,36,47
Gondia,2012,Public Court,,1451,,,829,610,8,4
Gondia,2012,Labor Court,1,290,1,1,244,46,0,0
Gondia,2012,Industrial Court,1,636,1,1,636,0,0,0
Gondia,2012,Family Court,,,,,,,,
Gondia,2012,District Magistrate And Executive Magistrate,22,427,,,,427,,
Gondia,2012,Customer Forum,1,156,0,1,61,11,73,11
Gondia,2013,Civil Court,1,1332,1,1,765,501,41,25
Gondia,2013,Criminal Court,18,9509,18,18,8237,1188,44,40
Gondia,2013,Public Court,,,,,,,,
Gondia,2013,Labor Court,1,366,11,11,281,85,,
Gondia,2013,Industrial Court,1,310,1,1,240,,70,
Gondia,2013,Family Court,,,,,,,,
Gondia,2013,District Magistrate And Executive Magistrate,22,427,,,..,427,,
Gondia,2013,Customer Forum,1,239,3,3,78,88,73,
Gondia,2014,Civil Court,1,1547,1,1,791,626,85,45
Gondia,2014,Criminal Court,14,1459,12,14,760,251,377,71
Gondia,2014,Public Court,0,1095,0,0,367,728,0,0
Gondia,2014,Labor Court,1,128,1,1,22,106,0,0
Gondia,2014,Industrial Court,1,768,0,1,356,154,258,0
Gondia,2014,Family Court,0,0,0,0,0,0,0,0
Gondia,2014,District Magistrate And Executive Magistrate,13,734,26,36,0,734,0,0
Gondia,2014,Customer Forum,1,231,0,1,129,31,0,71
Gondia,2015,Civil Court,12,1142,11,12,714,396,21,11
Gondia,2015,Criminal Court,2,6161,2,2,4521,1548,27,65
Gondia,2015,Public Court,0,576,0,0,199,377,0,0
Gondia,2015,Labor Court,1,76,1,1,41,35,0,0
Gondia,2015,Industrial Court,1,864,1,1,486,216,162,0
Gondia,2015,Family Court,0,0,0,0,0,0,0,0
Gondia,2015,District Magistrate And Executive Magistrate,15,554,28,28,0,554,0,0
Gondia,2015,Customer Forum,1,345,1,3,186,114,0,45
Gondia,2016,Civil Court,20,1295,20,20,715,473,78,29
Gondia,2016,Criminal Court,3,6214,3,3,3976,2106,41,91
Gondia,2016,Public Court,0,1019,0,0,32,52,288,647
Gondia,2016,Labor Court,1,216,1,1,160,56,0,0
Gondia,2016,Industrial Court,1,407,1,1,188,63,154,2
Gondia,2016,Family Court,0,0,0,0,0,0,0,0
Gondia,2016,District Magistrate And Executive Magistrate,15,635,30,30,0,635,0,0
Gondia,2016,Customer Forum,1,355,1,3,168,114,0,73
Gondia,2017,Civil Court,19,1793,19,19,873,436,323,161
Gondia,2017,Criminal Court,3,8754,3,3,5415,2708,421,210
Gondia,2017,Public Court,0,1050,0,0,84,18,164,784
Gondia,2017,Labor Court,1,146,0,1,94,52,0,0
Gondia,2017,Industrial Court,1,272,1,1,173,14,85,0
Gondia,2017,Family Court,0,0,0,0,0,0,0,0
Gondia,2017,District Magistrate And Executive Magistrate,16,1186,16,16,0,1108,78,0
Gondia,2017,Customer Forum,1,387,3,3,200,114,0,73
Gondia,2018,Civil Court,21,1268,21,21,728,321,159,60
Gondia,2018,Criminal Court,2,9142,2,2,6686,1815,237,404
Gondia,2018,Public Court,,1280,,,263,523,,494
Gondia,2018,Labor Court,1,129,1,1,77,52,,
Gondia,2018,Industrial Court,1,194,1,1,122,15,57,0
Gondia,2018,Family Court,,,,,,,,
Gondia,2018,District Magistrate And Executive Magistrate,17,1202,17,17,0,1124,78,0
Gondia,2018,Customer Forum,1,161,2,3,161,0,,
Gondia,2019,Civil Court,21,1477,21,21,733,446,211,87
Gondia,2019,Criminal Court,2,9014,2,2,6425,2037,204,348
Gondia,2019,Public Court,,1828,,,168,331,0,1329
Gondia,2019,Labor Court,1,289,1,1,257,32,,
Gondia,2019,Industrial Court,1,196,1,1,85,14,93,4
Gondia,2019,Family Court,,,,,,,,
Gondia,2019,District Magistrate And Executive Magistrate,17,1095,17,17,0,914,181,0
Gondia,2019,Customer Forum,1,244,3,2,116,128,,
Gondia,2020,Civil Court,20,660,20,20,257,283,82,38
Gondia,2020,Criminal Court,2,4079,2,2,2008,1587,106,378
Gondia,2020,Public Court,,268,,,27,162,0,79
Gondia,2020,Labor Court,1,121,1,1,96,25,,
Gondia,2020,Industrial Court,1,27,1,1,11,1,15,0
Gondia,2020,Family Court,,,,,,,,
Gondia,2020,District Magistrate And Executive Magistrate,17,995,17,17,0,815,180,0
Gondia,2020,Customer Forum,1,173,3,1,173,0,,
Gondia,2021,Civil Court,19,2128,19,19,952,841,220,115
Gondia,2021,Criminal Court,2,12606,2,2,9643,2065,471,427
Gondia,2021,Public Court,,487,,,82,343,0,62
Gondia,2021,Labor Court,1,117,1,1,70,47,,
Gondia,2021,Industrial Court,1,99,1,1,52,19,24,4
Gondia,2021,Family Court,,0,,,,,,
Gondia,2021,District Magistrate And Executive Magistrate,17,1212,17,16,0,900,312,0
Gondia,2021,Customer Forum,1,208,3,2,170,38,,
Hingoli,2012,Civil Court,5,4522,5,5,854,3155,425,88
Hingoli,2012,Criminal Court,5,12413,5,5,10459,1274,138,542
Hingoli,2012,Customer Forum,1,323,1,1,284,15,5,19
Hingoli,2012,District Magistrate And Executive Magistrate,1,311,1,1,197,75,24,15
Hingoli,2012,Family Court,,,,,,,,
Hingoli,2012,Industrial Court,,,,,,,,
Hingoli,2012,Labor Court,,,,,,,,
Hingoli,2012,Public Court,,542,,,531,11,0,0
Hingoli,2013,Civil Court,,,,,,,,
Hingoli,2013,Criminal Court,,,,,,,,
Hingoli,2013,Customer Forum,,,,,,,,
Hingoli,2013,District Magistrate And Executive Magistrate,,,,,,,,
Hingoli,2013,Family Court,,,,,,,,
Hingoli,2013,Industrial Court,,,,,,,,
Hingoli,2013,Labor Court,,,,,,,,
Hingoli,2013,Public Court,,,,,,,,
Hingoli,2014,Civil Court,5,,5,5,,,,
Hingoli,2014,Criminal Court,5,,5,5,,,,
Hingoli,2014,Customer Forum,1,37,1,1,37,0,,
Hingoli,2014,District Magistrate And Executive Magistrate,1,247,1,1,1420,,2657,
Hingoli,2014,Family Court,,,,,,,,
Hingoli,2014,Industrial Court,,,,,,,,
Hingoli,2014,Labor Court,,,,,,,,
Hingoli,2014,Public Court,,,,,,,,
Hingoli,2015,Civil Court,5,2575,5,5,772,546,887,370
Hingoli,2015,Criminal Court,5,4286,5,5,1331,2314,221,420
Hingoli,2015,Customer Forum,1,37,1,1,37,0,,
Hingoli,2015,District Magistrate And Executive Magistrate,10,1478,15,10,1478,,,
Hingoli,2015,Family Court,,,,,,,,
Hingoli,2015,Industrial Court,,,,,,,,
Hingoli,2015,Labor Court,,,,,,,,
Hingoli,2015,Public Court,,632,,,392,57,112,71
Hingoli,2016,Civil Court,,,,,,,,
Hingoli,2016,Criminal Court,,,,,,,,
Hingoli,2016,Customer Forum,,,,,,,,
Hingoli,2016,District Magistrate And Executive Magistrate,,,,,,,,
Hingoli,2016,Family Court,,,,,,,,
Hingoli,2016,Industrial Court,,,,,,,,
Hingoli,2016,Labor Court,,,,,,,,
Hingoli,2016,Public Court,,,,,,,,
Hingoli,2017,Civil Court,5,1734,5,5,1038,527,169,0
Hingoli,2017,Criminal Court,5,6128,5,5,2204,3747,139,38
Hingoli,2017,Customer Forum,1,72,3,2,69,3,,
Hingoli,2017,District Magistrate And Executive Magistrate,10,2066,15,10,2066,,,
Hingoli,2017,Family Court,,,,,,,,
Hingoli,2017,Industrial Court,,,,,,,,
Hingoli,2017,Labor Court,,,,,,,,
Hingoli,2017,Public Court,,635,,,459,108,65,3
Hingoli,2018,Civil Court,5,1100,5,5,111,111,289,589
Hingoli,2018,Criminal Court,5,783,5,5,59,431,57,236
Hingoli,2018,Customer Forum,1,682,3,1,659,,23,
Hingoli,2018,District Magistrate And Executive Magistrate,10,3384,15,10,1692,1692,,
Hingoli,2018,Family Court,,,,,,,,
Hingoli,2018,Industrial Court,,,,,,,,
Hingoli,2018,Labor Court,,,,,,,,
Hingoli,2018,Public Court,,,,,,,,
Hingoli,2019,Civil Court,20,2443,20,20,802,1493,98,50
Hingoli,2019,Criminal Court,20,6398,20,20,2038,4322,31,7
Hingoli,2019,Customer Forum,1,251,3,1,234,,17,
Hingoli,2019,District Magistrate And Executive Magistrate,10,3004,15,10,1692,1312,,
Hingoli,2019,Family Court,,,,,,,,
Hingoli,2019,Industrial Court,,,,,,,,
Hingoli,2019,Labor Court,,,,,,,,
Hingoli,2019,Public Court,,402,,,188,214,0,0
Hingoli,2020,Civil Court,20,1339,20,20,316,983,38,2
Hingoli,2020,Criminal Court,20,2432,20,20,321,2086,19,6
Hingoli,2020,Customer Forum,1,1174,3,1,1139,0,35,0
Hingoli,2020,District Magistrate And Executive Magistrate,10,1203,15,10,1203,0,0,0
Hingoli,2020,Family Court,0,0,0,0,0,0,0,0
Hingoli,2020,Industrial Court,0,0,0,0,0,0,0,0
Hingoli,2020,Labor Court,0,0,0,0,0,0,0,0
Hingoli,2020,Public Court,0,66,0,0,46,20,0,0
Hingoli,2021,Civil Court,20,3144,20,20,1142,1727,177,98
Hingoli,2021,Criminal Court,20,6231,20,20,1819,4102,127,183
Hingoli,2021,Customer Forum,1,383,3,1,383,0,0,0
Hingoli,2021,District Magistrate And Executive Magistrate,10,1322,15,10,1322,0,0,0
Hingoli,2021,Family Court,0,0,0,0,0,0,0,0
Hingoli,2021,Industrial Court,0,0,0,0,0,0,0,0
Hingoli,2021,Labor Court,0,0,0,0,0,0,0,0
Hingoli,2021,Public Court,0,784,0,0,344,440,0,0
