Year,District,Select Offense Under,Cases
2018,Chhatrapati Sambhaji Nagar,Prohibition Act (State),1889
2018,Chhatrapati Sambhaji Nagar,Indian Railways Act,0
2018,Chhatrapati Sambhaji Nagar,Essential Commodities Act,13
2018,Chhatrapati Sambhaji Nagar,"The Antiques and Art Treasures Act, 1972",0
2018,Chhatrapati Sambhaji Nagar,"The Copy Right Act, 1957",1
2018,Chhatrapati Sambhaji Nagar,"The Information Technology Act, 2000",1
2018,Chhatrapati Sambhaji Nagar,"The Electricity Act, 2003",35
2018,Chhatrapati Sambhaji Nagar,Wildlife Protection Act,0
2018,Chhatrapati Sambhaji Nagar,Environmental (Protection) Act,0
2018,Chhatrapati Sambhaji Nagar,The Air & The Water Prevention & Control of Pollution Act,0
2018,Chhatrapati Sambhaji Nagar,Railway Property (Unlawful Possession) Act,0
2018,Chhatrapati Sambhaji Nagar,"The Prevention of Damage to Public Property Act, 1984",2
2018,Chhatrapati Sambhaji Nagar,"The Transplantation of Human Organs Act, 1994",0
2018,Chhatrapati Sambhaji Nagar,"The Trade Marks Act, 1999",0
2018,Chhatrapati Sambhaji Nagar,"The Citizenship Act, 1955",0
2018,Chhatrapati Sambhaji Nagar,"The Representation of the People Act, 1951",1
2018,Chhatrapati Sambhaji Nagar,Crime Against Women and Related Acts,1
2018,Chhatrapati Sambhaji Nagar,Children Related Acts,51
2018,Chhatrapati Sambhaji Nagar,Scheduled Castes and Scheduled Tribes Related Acts,0
2018,Chhatrapati Sambhaji Nagar,Information Technology/ Intellectual Property Related Acts,2
2018,Chhatrapati Sambhaji Nagar,"The Negotiable Instruments Act, 1881",0
2018,Chhatrapati Sambhaji Nagar,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2018,Chhatrapati Sambhaji Nagar,"Prevention of Corruption Act, 1988",17
2018,Chhatrapati Sambhaji Nagar,Finance & Economic Acts,17
2018,Chhatrapati Sambhaji Nagar,Environment & Pollution Related Acts,3
2018,Chhatrapati Sambhaji Nagar,Railway Related Acts,0
2018,Chhatrapati Sambhaji Nagar,Telegraph/ Cinematograph Acts,0
2018,Chhatrapati Sambhaji Nagar,"Food, Drugs and Essential Commodities Acts",13
2018,Chhatrapati Sambhaji Nagar,"The Mental Health Act, 1987",0
2018,Beed,"The Arms Act, 1959",33
2018,Beed,"The Narcotic Drugs & Psychotropic Substances Act, 1985",4
2018,Beed,The Gambling Act,1277
2018,Beed,"The Excise Act, 1944",0
2018,Beed,Prohibition Act (State),2325
2018,Beed,Indian Railways Act,0
2018,Beed,Essential Commodities Act,13
2018,Beed,"The Antiques and Art Treasures Act, 1972",0
2018,Beed,"The Copy Right Act, 1957",2
2018,Beed,"The Information Technology Act, 2000",2
2018,Beed,"The Electricity Act, 2003",149
2018,Beed,Wildlife Protection Act,0
2018,Beed,Environmental (Protection) Act,0
2018,Beed,The Air & The Water Prevention & Control of Pollution Act,0
2018,Beed,Railway Property (Unlawful Possession) Act,0
2018,Beed,"The Prevention of Damage to Public Property Act, 1984",2
2018,Beed,"The Transplantation of Human Organs Act, 1994",0
2018,Beed,"The Trade Marks Act, 1999",0
2018,Beed,"The Citizenship Act, 1955",0
2018,Beed,"The Representation of the People Act, 1951",0
2018,Beed,Crime Against Women and Related Acts,4
2018,Beed,Children Related Acts,100
