Year,District,Select Offense Under,Cases
2019,Chandrapur,"The Trade Marks Act, 1999",0
2019,Chandrapur,"The Citizenship Act, 1955",0
2019,Chandrapur,"The Representation of the People Act, 1951",2
2019,Chandrapur,Crime Against Women and Related Acts,5
2019,Chandrapur,Children Related Acts,130
2019,Chandrapur,Scheduled Castes and Scheduled Tribes Related Acts,5
2019,Chandrapur,Information Technology/ Intellectual Property Related Acts,19
2019,Chandrapur,"The Negotiable Instruments Act, 1881",0
2019,Chandrapur,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Chandrapur,"Prevention of Corruption Act, 1988",10
2019,Chandrapur,Finance & Economic Acts,10
2019,Chandrapur,Environment & Pollution Related Acts,27
2019,Chandrapur,Railway Related Acts,0
2019,Chandrapur,Telegraph/ Cinematograph Acts,0
2019,Chandrapur,"Food, Drugs and Essential Commodities Acts",12
2019,Chandrapur,"The Mental Health Act, 1987",0
2019,Dhule,"The Arms Act, 1959",22
2019,Dhule,"The Narcotic Drugs & Psychotropic Substances Act, 1985",11
2019,Dhule,The Gambling Act,816
2019,Dhule,"The Excise Act, 1944",0
2019,Dhule,Prohibition Act (State),1147
2019,Dhule,Indian Railways Act,0
2019,Dhule,Essential Commodities Act,4
2019,Dhule,"The Antiques and Art Treasures Act, 1972",0
2019,Dhule,"The Copy Right Act, 1957",4
2019,Dhule,"The Information Technology Act, 2000",0
2019,Dhule,"The Electricity Act, 2003",53
2019,Dhule,Wildlife Protection Act,0
2019,Dhule,Environmental (Protection) Act,0
2019,Dhule,The Air & The Water Prevention & Control of Pollution Act,0
2019,Dhule,Railway Property (Unlawful Possession) Act,0
2019,Dhule,"The Prevention of Damage to Public Property Act, 1984",31
2019,Dhule,"The Transplantation of Human Organs Act, 1994",0
2019,Dhule,"The Trade Marks Act, 1999",0
2019,Dhule,"The Citizenship Act, 1955",0
2019,Dhule,"The Representation of the People Act, 1951",0
2019,Dhule,Crime Against Women and Related Acts,0
2019,Dhule,Children Related Acts,52
2019,Dhule,Scheduled Castes and Scheduled Tribes Related Acts,0
2019,Dhule,Information Technology/ Intellectual Property Related Acts,4
2019,Dhule,"The Negotiable Instruments Act, 1881",0
2019,Dhule,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Dhule,"Prevention of Corruption Act, 1988",21
2019,Dhule,Finance & Economic Acts,21
2019,Dhule,Environment & Pollution Related Acts,0
2019,Dhule,Railway Related Acts,0
2019,Dhule,Telegraph/ Cinematograph Acts,0
2019,Dhule,"Food, Drugs and Essential Commodities Acts",4
2019,Dhule,"The Mental Health Act, 1987",0
2019,Gadchiroli,"The Arms Act, 1959",1
2019,Gadchiroli,"The Narcotic Drugs & Psychotropic Substances Act, 1985",0
2019,Gadchiroli,The Gambling Act,73
2019,Gadchiroli,"The Excise Act, 1944",0
2019,Gadchiroli,Prohibition Act (State),1690
2019,Gadchiroli,Indian Railways Act,0
2019,Gadchiroli,Essential Commodities Act,0
2019,Gadchiroli,"The Antiques and Art Treasures Act, 1972",0
2019,Gadchiroli,"The Copy Right Act, 1957",0
2019,Gadchiroli,"The Information Technology Act, 2000",3
2019,Gadchiroli,"The Electricity Act, 2003",17
2019,Gadchiroli,Wildlife Protection Act,0
2019,Gadchiroli,Environmental (Protection) Act,0
2019,Gadchiroli,The Air & The Water Prevention & Control of Pollution Act,0
2019,Gadchiroli,Railway Property (Unlawful Possession) Act,0
2019,Gadchiroli,"The Prevention of Damage to Public Property Act, 1984",5
2019,Gadchiroli,"The Transplantation of Human Organs Act, 1994",0
2019,Gadchiroli,"The Trade Marks Act, 1999",0
2019,Gadchiroli,"The Citizenship Act, 1955",0
2019,Gadchiroli,"The Representation of the People Act, 1951",2
2019,Gadchiroli,Crime Against Women and Related Acts,2
2019,Gadchiroli,Children Related Acts,60
2019,Gadchiroli,Scheduled Castes and Scheduled Tribes Related Acts,2
2019,Gadchiroli,Information Technology/ Intellectual Property Related Acts,3
2019,Gadchiroli,"The Negotiable Instruments Act, 1881",0
2019,Gadchiroli,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Gadchiroli,"Prevention of Corruption Act, 1988",14
2019,Gadchiroli,Finance & Economic Acts,14
2019,Gadchiroli,Environment & Pollution Related Acts,0
2019,Gadchiroli,Railway Related Acts,0
2019,Gadchiroli,Telegraph/ Cinematograph Acts,0
2019,Gadchiroli,"Food, Drugs and Essential Commodities Acts",23
2019,Gadchiroli,"The Mental Health Act, 1987",0
2019,Gondia,"The Arms Act, 1959",5
2019,Gondia,"The Narcotic Drugs & Psychotropic Substances Act, 1985",5
2019,Gondia,The Gambling Act,242
2019,Gondia,"The Excise Act, 1944",0
2019,Gondia,Prohibition Act (State),1848
2019,Gondia,Indian Railways Act,0
2019,Gondia,Essential Commodities Act,2
2019,Gondia,"The Antiques and Art Treasures Act, 1972",0
2019,Gondia,"The Copy Right Act, 1957",1
2019,Gondia,"The Information Technology Act, 2000",3
2019,Gondia,"The Electricity Act, 2003",78
2019,Gondia,Wildlife Protection Act,0
2019,Gondia,Environmental (Protection) Act,0
2019,Gondia,The Air & The Water Prevention & Control of Pollution Act,0
2019,Gondia,Railway Property (Unlawful Possession) Act,0
2019,Gondia,"The Prevention of Damage to Public Property Act, 1984",1
2019,Gondia,"The Transplantation of Human Organs Act, 1994",0
2019,Gondia,"The Trade Marks Act, 1999",0
2019,Gondia,"The Citizenship Act, 1955",0
2019,Gondia,"The Representation of the People Act, 1951",0
2019,Gondia,Crime Against Women and Related Acts,4
2019,Gondia,Children Related Acts,73
2019,Gondia,Scheduled Castes and Scheduled Tribes Related Acts,8
2019,Gondia,Information Technology/ Intellectual Property Related Acts,4
2019,Gondia,"The Negotiable Instruments Act, 1881",0
2019,Gondia,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Gondia,"Prevention of Corruption Act, 1988",23
2019,Gondia,Finance & Economic Acts,23
2019,Gondia,Environment & Pollution Related Acts,2
2019,Gondia,Railway Related Acts,0
2019,Gondia,Telegraph/ Cinematograph Acts,0
2019,Gondia,"Food, Drugs and Essential Commodities Acts",2
2019,Gondia,"The Mental Health Act, 1987",0
2019,Hingoli,"The Arms Act, 1959",7
2019,Hingoli,"The Narcotic Drugs & Psychotropic Substances Act, 1985",0
2019,Hingoli,The Gambling Act,321
2019,Hingoli,"The Excise Act, 1944",0
2019,Hingoli,Prohibition Act (State),1110
2019,Hingoli,Indian Railways Act,0
2019,Hingoli,Essential Commodities Act,6
2019,Hingoli,"The Antiques and Art Treasures Act, 1972",0
2019,Hingoli,"The Copy Right Act, 1957",0
2019,Hingoli,"The Information Technology Act, 2000",0
2019,Hingoli,"The Electricity Act, 2003",17
2019,Hingoli,Wildlife Protection Act,0
2019,Hingoli,Environmental (Protection) Act,0
2019,Hingoli,The Air & The Water Prevention & Control of Pollution Act,0
2019,Hingoli,Railway Property (Unlawful Possession) Act,0
2019,Hingoli,"The Prevention of Damage to Public Property Act, 1984",2
2019,Hingoli,"The Transplantation of Human Organs Act, 1994",0
2019,Hingoli,"The Trade Marks Act, 1999",0
2019,Hingoli,"The Citizenship Act, 1955",0
2019,Hingoli,"The Representation of the People Act, 1951",0
2019,Hingoli,Crime Against Women and Related Acts,1
2019,Hingoli,Children Related Acts,47
2019,Hingoli,Scheduled Castes and Scheduled Tribes Related Acts,0
2019,Hingoli,Information Technology/ Intellectual Property Related Acts,0
2019,Hingoli,"The Negotiable Instruments Act, 1881",0
2019,Hingoli,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Hingoli,"Prevention of Corruption Act, 1988",13
2019,Hingoli,Finance & Economic Acts,13
2019,Hingoli,Environment & Pollution Related Acts,2
2019,Hingoli,Railway Related Acts,0
2019,Hingoli,Telegraph/ Cinematograph Acts,0
2019,Hingoli,"Food, Drugs and Essential Commodities Acts",11
2019,Hingoli,"The Mental Health Act, 1987",0
2019,Jalgaon,"The Arms Act, 1959",99
2019,Jalgaon,"The Narcotic Drugs & Psychotropic Substances Act, 1985",8
2019,Jalgaon,The Gambling Act,1078
2019,Jalgaon,"The Excise Act, 1944",0
2019,Jalgaon,Prohibition Act (State),2851
2019,Jalgaon,Indian Railways Act,0
2019,Jalgaon,Essential Commodities Act,6
2019,Jalgaon,"The Antiques and Art Treasures Act, 1972",0
2019,Jalgaon,"The Copy Right Act, 1957",2
2019,Jalgaon,"The Information Technology Act, 2000",18
2019,Jalgaon,"The Electricity Act, 2003",615
2019,Jalgaon,Wildlife Protection Act,2
2019,Jalgaon,Environmental (Protection) Act,0
2019,Jalgaon,The Air & The Water Prevention & Control of Pollution Act,0
2019,Jalgaon,Railway Property (Unlawful Possession) Act,0
2019,Jalgaon,"The Prevention of Damage to Public Property Act, 1984",61
2019,Jalgaon,"The Transplantation of Human Organs Act, 1994",0
2019,Jalgaon,"The Trade Marks Act, 1999",0
2019,Jalgaon,"The Citizenship Act, 1955",0
2019,Jalgaon,"The Representation of the People Act, 1951",8
2019,Jalgaon,Crime Against Women and Related Acts,3
2019,Jalgaon,Children Related Acts,134
2019,Jalgaon,Scheduled Castes and Scheduled Tribes Related Acts,0
2019,Jalgaon,Information Technology/ Intellectual Property Related Acts,20
2019,Jalgaon,"The Negotiable Instruments Act, 1881",0
2019,Jalgaon,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Jalgaon,"Prevention of Corruption Act, 1988",33
2019,Jalgaon,Finance & Economic Acts,33
2019,Jalgaon,Environment & Pollution Related Acts,4
2019,Jalgaon,Railway Related Acts,0
2019,Jalgaon,Telegraph/ Cinematograph Acts,0
2019,Jalgaon,"Food, Drugs and Essential Commodities Acts",6
2019,Jalgaon,"The Mental Health Act, 1987",0
2019,Jalna,"The Arms Act, 1959",20
2019,Jalna,"The Narcotic Drugs & Psychotropic Substances Act, 1985",10
2019,Jalna,The Gambling Act,269
2019,Jalna,"The Excise Act, 1944",0
2019,Jalna,Prohibition Act (State),919
2019,Jalna,Indian Railways Act,0
2019,Jalna,Essential Commodities Act,0
2019,Jalna,"The Antiques and Art Treasures Act, 1972",0
2019,Jalna,"The Copy Right Act, 1957",3
2019,Jalna,"The Information Technology Act, 2000",4
2019,Jalna,"The Electricity Act, 2003",0
2019,Jalna,Wildlife Protection Act,0
2019,Jalna,Environmental (Protection) Act,0
2019,Jalna,The Air & The Water Prevention & Control of Pollution Act,0
2019,Jalna,Railway Property (Unlawful Possession) Act,0
2019,Jalna,"The Prevention of Damage to Public Property Act, 1984",0
2019,Jalna,"The Transplantation of Human Organs Act, 1994",0
2019,Jalna,"The Trade Marks Act, 1999",0
2019,Jalna,"The Citizenship Act, 1955",0
2019,Jalna,"The Representation of the People Act, 1951",0
2019,Jalna,Crime Against Women and Related Acts,0
2019,Jalna,Children Related Acts,22
2019,Jalna,Scheduled Castes and Scheduled Tribes Related Acts,0
2019,Jalna,Information Technology/ Intellectual Property Related Acts,7
2019,Jalna,"The Negotiable Instruments Act, 1881",0
2019,Jalna,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Jalna,"Prevention of Corruption Act, 1988",30
2019,Jalna,Finance & Economic Acts,30
2019,Jalna,Environment & Pollution Related Acts,0
2019,Jalna,Railway Related Acts,0
2019,Jalna,Telegraph/ Cinematograph Acts,0
2019,Jalna,"Food, Drugs and Essential Commodities Acts",0
2019,Jalna,"The Mental Health Act, 1987",0
2019,Kolhapur,"The Arms Act, 1959",38
2019,Kolhapur,"The Narcotic Drugs & Psychotropic Substances Act, 1985",34
2019,Kolhapur,The Gambling Act,549
2019,Kolhapur,"The Excise Act, 1944",0
2019,Kolhapur,Prohibition Act (State),1447
2019,Kolhapur,Indian Railways Act,0
2019,Kolhapur,Essential Commodities Act,14
2019,Kolhapur,"The Antiques and Art Treasures Act, 1972",0
2019,Kolhapur,"The Copy Right Act, 1957",9
2019,Kolhapur,"The Information Technology Act, 2000",6
2019,Kolhapur,"The Electricity Act, 2003",12
2019,Kolhapur,Wildlife Protection Act,4
2019,Kolhapur,Environmental (Protection) Act,0
2019,Kolhapur,The Air & The Water Prevention & Control of Pollution Act,0
2019,Kolhapur,Railway Property (Unlawful Possession) Act,0
2019,Kolhapur,"The Prevention of Damage to Public Property Act, 1984",6
2019,Kolhapur,"The Transplantation of Human Organs Act, 1994",0
2019,Kolhapur,"The Trade Marks Act, 1999",2
2019,Kolhapur,"The Citizenship Act, 1955",0
2019,Kolhapur,"The Representation of the People Act, 1951",3
2019,Kolhapur,Crime Against Women and Related Acts,1
2019,Kolhapur,Children Related Acts,138
2019,Kolhapur,Scheduled Castes and Scheduled Tribes Related Acts,0
2019,Kolhapur,Information Technology/ Intellectual Property Related Acts,17
2019,Kolhapur,"The Negotiable Instruments Act, 1881",0
2019,Kolhapur,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Kolhapur,"Prevention of Corruption Act, 1988",31
2019,Kolhapur,Finance & Economic Acts,31
2019,Kolhapur,Environment & Pollution Related Acts,28
2019,Kolhapur,Railway Related Acts,0
2019,Kolhapur,Telegraph/ Cinematograph Acts,0
2019,Kolhapur,"Food, Drugs and Essential Commodities Acts",41
2019,Kolhapur,"The Mental Health Act, 1987",0
2019,Latur,"The Arms Act, 1959",350
2019,Latur,"The Narcotic Drugs & Psychotropic Substances Act, 1985",12420
2019,Latur,The Gambling Act,1069
2019,Latur,"The Excise Act, 1944",0
2019,Latur,Prohibition Act (State),3012
2019,Latur,Indian Railways Act,0
2019,Latur,Essential Commodities Act,20
2019,Latur,"The Antiques and Art Treasures Act, 1972",0
2019,Latur,"The Copy Right Act, 1957",52
2019,Latur,"The Information Technology Act, 2000",49
2019,Latur,"The Electricity Act, 2003",410
2019,Latur,Wildlife Protection Act,6
2019,Latur,Environmental (Protection) Act,8
2019,Latur,The Air & The Water Prevention & Control of Pollution Act,0
2019,Latur,Railway Property (Unlawful Possession) Act,0
2019,Latur,"The Prevention of Damage to Public Property Act, 1984",27
2019,Latur,"The Transplantation of Human Organs Act, 1994",0
2019,Latur,"The Trade Marks Act, 1999",0
2019,Latur,"The Citizenship Act, 1955",0
2019,Latur,"The Representation of the People Act, 1951",3
2019,Latur,Crime Against Women and Related Acts,41
2019,Latur,Children Related Acts,1445
2019,Latur,Scheduled Castes and Scheduled Tribes Related Acts,24
2019,Latur,Information Technology/ Intellectual Property Related Acts,101
2019,Latur,"The Negotiable Instruments Act, 1881",0
2019,Latur,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Latur,"Prevention of Corruption Act, 1988",24
2019,Latur,Finance & Economic Acts,33
2019,Latur,Environment & Pollution Related Acts,105
2019,Latur,Railway Related Acts,0
2019,Latur,Telegraph/ Cinematograph Acts,5
2019,Latur,"Food, Drugs and Essential Commodities Acts",21
2019,Latur,"The Mental Health Act, 1987",0
2019,Mumbai,"The Arms Act, 1959",528
2019,Mumbai,"The Narcotic Drugs & Psychotropic Substances Act, 1985",710
2019,Mumbai,The Gambling Act,1698
2019,Mumbai,"The Excise Act, 1944",0
2019,Mumbai,Prohibition Act (State),4301
2019,Mumbai,Indian Railways Act,27
2019,Mumbai,Essential Commodities Act,10
2019,Mumbai,"The Antiques and Art Treasures Act, 1972",0
2019,Mumbai,"The Copy Right Act, 1957",8
2019,Mumbai,"The Information Technology Act, 2000",11
2019,Mumbai,"The Electricity Act, 2003",239
2019,Mumbai,Wildlife Protection Act,0
2019,Mumbai,Environmental (Protection) Act,5
2019,Mumbai,The Air & The Water Prevention & Control of Pollution Act,0
2019,Mumbai,Railway Property (Unlawful Possession) Act,0
2019,Mumbai,"The Prevention of Damage to Public Property Act, 1984",21
2019,Mumbai,"The Transplantation of Human Organs Act, 1994",0
2019,Mumbai,"The Trade Marks Act, 1999",0
2019,Mumbai,"The Citizenship Act, 1955",0
2019,Mumbai,"The Representation of the People Act, 1951",1
2019,Mumbai,Crime Against Women and Related Acts,28
2019,Mumbai,Children Related Acts,256
2019,Mumbai,Scheduled Castes and Scheduled Tribes Related Acts,3
2019,Mumbai,Information Technology/ Intellectual Property Related Acts,19
2019,Mumbai,"The Negotiable Instruments Act, 1881",0
2019,Mumbai,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Mumbai,"Prevention of Corruption Act, 1988",28
2019,Mumbai,Finance & Economic Acts,28
2019,Mumbai,Environment & Pollution Related Acts,33
2019,Mumbai,Railway Related Acts,27
2019,Mumbai,Telegraph/ Cinematograph Acts,0
2019,Mumbai,"Food, Drugs and Essential Commodities Acts",26
2019,Mumbai,"The Mental Health Act, 1987",0
2019,Nagpur,"The Arms Act, 1959",33
2019,Nagpur,"The Narcotic Drugs & Psychotropic Substances Act, 1985",6
2019,Nagpur,The Gambling Act,761
2019,Nagpur,"The Excise Act, 1944",0
2019,Nagpur,Prohibition Act (State),3277
2019,Nagpur,Indian Railways Act,0
2019,Nagpur,Essential Commodities Act,4
2019,Nagpur,"The Antiques and Art Treasures Act, 1972",0
2019,Nagpur,"The Copy Right Act, 1957",0
2019,Nagpur,"The Information Technology Act, 2000",13
2019,Nagpur,"The Electricity Act, 2003",134
2019,Nagpur,Wildlife Protection Act,0
2019,Nagpur,Environmental (Protection) Act,0
2019,Nagpur,The Air & The Water Prevention & Control of Pollution Act,0
2019,Nagpur,Railway Property (Unlawful Possession) Act,0
2019,Nagpur,"The Prevention of Damage to Public Property Act, 1984",9
2019,Nagpur,"The Transplantation of Human Organs Act, 1994",0
2019,Nagpur,"The Trade Marks Act, 1999",0
2019,Nagpur,"The Citizenship Act, 1955",0
2019,Nagpur,"The Representation of the People Act, 1951",0
2019,Nagpur,Crime Against Women and Related Acts,0
2019,Nagpur,Children Related Acts,101
2019,Nagpur,Scheduled Castes and Scheduled Tribes Related Acts,0
2019,Nagpur,Information Technology/ Intellectual Property Related Acts,13
2019,Nagpur,"The Negotiable Instruments Act, 1881",0
2019,Nagpur,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Nagpur,"Prevention of Corruption Act, 1988",0
2019,Nagpur,Finance & Economic Acts,0
2019,Nagpur,Environment & Pollution Related Acts,0
2019,Nagpur,Railway Related Acts,0
2019,Nagpur,Telegraph/ Cinematograph Acts,0
2019,Nagpur,"Food, Drugs and Essential Commodities Acts",5
2019,Nagpur,"The Mental Health Act, 1987",0
2019,Nanded,"The Arms Act, 1959",82
2019,Nanded,"The Narcotic Drugs & Psychotropic Substances Act, 1985",7
2019,Nanded,The Gambling Act,595
2019,Nanded,"The Excise Act, 1944",0
2019,Nanded,Prohibition Act (State),1562
2019,Nanded,Indian Railways Act,0
2019,Nanded,Essential Commodities Act,10
2019,Nanded,"The Antiques and Art Treasures Act, 1972",0
2019,Nanded,"The Copy Right Act, 1957",6
2019,Nanded,"The Information Technology Act, 2000",4
2019,Nanded,"The Electricity Act, 2003",94
2019,Nanded,Wildlife Protection Act,0
2019,Nanded,Environmental (Protection) Act,0
2019,Nanded,The Air & The Water Prevention & Control of Pollution Act,0
2019,Nanded,Railway Property (Unlawful Possession) Act,0
2019,Nanded,"The Prevention of Damage to Public Property Act, 1984",26
2019,Nanded,"The Transplantation of Human Organs Act, 1994",0
2019,Nanded,"The Trade Marks Act, 1999",0
2019,Nanded,"The Citizenship Act, 1955",0
2019,Nanded,"The Representation of the People Act, 1951",0
2019,Nanded,Crime Against Women and Related Acts,1
2019,Nanded,Children Related Acts,107
2019,Nanded,Scheduled Castes and Scheduled Tribes Related Acts,17
2019,Nanded,Information Technology/ Intellectual Property Related Acts,10
2019,Nanded,"The Negotiable Instruments Act, 1881",0
2019,Nanded,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Nanded,"Prevention of Corruption Act, 1988",29
2019,Nanded,Finance & Economic Acts,29
2019,Nanded,Environment & Pollution Related Acts,0
2019,Nanded,Railway Related Acts,0
2019,Nanded,Telegraph/ Cinematograph Acts,0
2019,Nanded,"Food, Drugs and Essential Commodities Acts",10
2019,Nanded,"The Mental Health Act, 1987",0
2019,Nandurbar,"The Arms Act, 1959",68
2019,Nandurbar,"The Narcotic Drugs & Psychotropic Substances Act, 1985",31
2019,Nandurbar,The Gambling Act,650
2019,Nandurbar,"The Excise Act, 1944",0
2019,Nandurbar,Prohibition Act (State),1636
2019,Nandurbar,Indian Railways Act,0
2019,Nandurbar,Essential Commodities Act,15
2019,Nandurbar,"The Antiques and Art Treasures Act, 1972",0
2019,Nandurbar,"The Copy Right Act, 1957",6
2019,Nandurbar,"The Information Technology Act, 2000",12
2019,Nandurbar,"The Electricity Act, 2003",43
2019,Nandurbar,Wildlife Protection Act,0
2019,Nandurbar,Environmental (Protection) Act,0
2019,Nandurbar,The Air & The Water Prevention & Control of Pollution Act,0
2019,Nandurbar,Railway Property (Unlawful Possession) Act,0
2019,Nandurbar,"The Prevention of Damage to Public Property Act, 1984",113
2019,Nandurbar,"The Transplantation of Human Organs Act, 1994",0
2019,Nandurbar,"The Trade Marks Act, 1999",0
2019,Nandurbar,"The Citizenship Act, 1955",0
2019,Nandurbar,"The Representation of the People Act, 1951",0
2019,Nandurbar,Crime Against Women and Related Acts,16
2019,Nandurbar,Children Related Acts,124
2019,Nandurbar,Scheduled Castes and Scheduled Tribes Related Acts,8
2019,Nandurbar,Information Technology/ Intellectual Property Related Acts,18
2019,Nandurbar,"The Negotiable Instruments Act, 1881",0
2019,Nandurbar,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Nandurbar,"Prevention of Corruption Act, 1988",21
2019,Nandurbar,Finance & Economic Acts,21
2019,Nandurbar,Environment & Pollution Related Acts,29
2019,Nandurbar,Railway Related Acts,0
2019,Nandurbar,Telegraph/ Cinematograph Acts,0
2019,Nandurbar,"Food, Drugs and Essential Commodities Acts",18
2019,Nandurbar,"The Mental Health Act, 1987",0
2019,Nasik,"The Arms Act, 1959",33
2019,Nasik,"The Narcotic Drugs & Psychotropic Substances Act, 1985",154
2019,Nasik,The Gambling Act,45
2019,Nasik,"The Excise Act, 1944",0
2019,Nasik,Prohibition Act (State),301
2019,Nasik,Indian Railways Act,0
2019,Nasik,Essential Commodities Act,1
2019,Nasik,"The Antiques and Art Treasures Act, 1972",0
2019,Nasik,"The Copy Right Act, 1957",8
2019,Nasik,"The Information Technology Act, 2000",9
2019,Nasik,"The Electricity Act, 2003",38
2019,Nasik,Wildlife Protection Act,0
2019,Nasik,Environmental (Protection) Act,0
2019,Nasik,The Air & The Water Prevention & Control of Pollution Act,0
2019,Nasik,Railway Property (Unlawful Possession) Act,0
2019,Nasik,"The Prevention of Damage to Public Property Act, 1984",2
2019,Nasik,"The Transplantation of Human Organs Act, 1994",0
2019,Nasik,"The Trade Marks Act, 1999",0
2019,Nasik,"The Citizenship Act, 1955",0
2019,Nasik,"The Representation of the People Act, 1951",0
2019,Nasik,Crime Against Women and Related Acts,14
2019,Nasik,Children Related Acts,193
2019,Nasik,Scheduled Castes and Scheduled Tribes Related Acts,5
2019,Nasik,Information Technology/ Intellectual Property Related Acts,17
2019,Nasik,"The Negotiable Instruments Act, 1881",0
2019,Nasik,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Nasik,"Prevention of Corruption Act, 1988",17
2019,Nasik,Finance & Economic Acts,18
2019,Nasik,Environment & Pollution Related Acts,23
2019,Nasik,Railway Related Acts,0
2019,Nasik,Telegraph/ Cinematograph Acts,0
2019,Nasik,"Food, Drugs and Essential Commodities Acts",1
2019,Nasik,"The Mental Health Act, 1987",0
2019,Dharashiv,"The Arms Act, 1959",11
2019,Dharashiv,"The Narcotic Drugs & Psychotropic Substances Act, 1985",6
2019,Dharashiv,The Gambling Act,477
2019,Dharashiv,"The Excise Act, 1944",0
2019,Dharashiv,Prohibition Act (State),865
2019,Dharashiv,Indian Railways Act,0
2019,Dharashiv,Essential Commodities Act,5
2019,Dharashiv,"The Antiques and Art Treasures Act, 1972",0
2019,Dharashiv,"The Copy Right Act, 1957",1
2019,Dharashiv,"The Information Technology Act, 2000",2
2019,Dharashiv,"The Electricity Act, 2003",17
2019,Dharashiv,Wildlife Protection Act,0
2019,Dharashiv,Environmental (Protection) Act,0
2019,Dharashiv,The Air & The Water Prevention & Control of Pollution Act,0
2019,Dharashiv,Railway Property (Unlawful Possession) Act,0
2019,Dharashiv,"The Prevention of Damage to Public Property Act, 1984",6
2019,Dharashiv,"The Transplantation of Human Organs Act, 1994",0
2019,Dharashiv,"The Trade Marks Act, 1999",0
2019,Dharashiv,"The Citizenship Act, 1955",0
2019,Dharashiv,"The Representation of the People Act, 1951",7
2019,Dharashiv,Crime Against Women and Related Acts,0
2019,Dharashiv,Children Related Acts,77
2019,Dharashiv,Scheduled Castes and Scheduled Tribes Related Acts,8
2019,Dharashiv,Information Technology/ Intellectual Property Related Acts,3
2019,Dharashiv,"The Negotiable Instruments Act, 1881",0
2019,Dharashiv,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Dharashiv,"Prevention of Corruption Act, 1988",26
2019,Dharashiv,Finance & Economic Acts,26
2019,Dharashiv,Environment & Pollution Related Acts,1
2019,Dharashiv,Railway Related Acts,0
2019,Dharashiv,Telegraph/ Cinematograph Acts,0
2019,Dharashiv,"Food, Drugs and Essential Commodities Acts",13
2019,Dharashiv,"The Mental Health Act, 1987",0
2019,Palghar,"The Arms Act, 1959",12
2019,Palghar,"The Narcotic Drugs & Psychotropic Substances Act, 1985",86
2019,Palghar,The Gambling Act,83
2019,Palghar,"The Excise Act, 1944",0
2019,Palghar,Prohibition Act (State),714
2019,Palghar,Indian Railways Act,0
2019,Palghar,Essential Commodities Act,5
2019,Palghar,"The Antiques and Art Treasures Act, 1972",1
2019,Palghar,"The Copy Right Act, 1957",3
2019,Palghar,"The Information Technology Act, 2000",48
2019,Palghar,"The Electricity Act, 2003",101
2019,Palghar,Wildlife Protection Act,3
2019,Palghar,Environmental (Protection) Act,10
2019,Palghar,The Air & The Water Prevention & Control of Pollution Act,0
2019,Palghar,Railway Property (Unlawful Possession) Act,0
2019,Palghar,"The Prevention of Damage to Public Property Act, 1984",11
2019,Palghar,"The Transplantation of Human Organs Act, 1994",0
2019,Palghar,"The Trade Marks Act, 1999",0
2019,Palghar,"The Citizenship Act, 1955",0
2019,Palghar,"The Representation of the People Act, 1951",8
2019,Palghar,Crime Against Women and Related Acts,5
2019,Palghar,Children Related Acts,238
2019,Palghar,Scheduled Castes and Scheduled Tribes Related Acts,2
2019,Palghar,Information Technology/ Intellectual Property Related Acts,51
2019,Palghar,"The Negotiable Instruments Act, 1881",0
2019,Palghar,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2019,Palghar,"Prevention of Corruption Act, 1988",19
2019,Palghar,Finance & Economic Acts,20
2019,Palghar,Environment & Pollution Related Acts,25
2019,Palghar,Railway Related Acts,0
2019,Palghar,Telegraph/ Cinematograph Acts,0
2019,Palghar,"Food, Drugs and Essential Commodities Acts",25
2019,Palghar,"The Mental Health Act, 1987",0
2019,Parbhani,"The Arms Act, 1959",130
2019,Parbhani,"The Narcotic Drugs & Psychotropic Substances Act, 1985",167
2019,Parbhani,The Gambling Act,1146
2019,Parbhani,"The Excise Act, 1944",0
2019,Parbhani,Prohibition Act (State),3389
2019,Parbhani,Indian Railways Act,0
2019,Parbhani,Essential Commodities Act,20
2019,Parbhani,"The Antiques and Art Treasures Act, 1972",0
2019,Parbhani,"The Copy Right Act, 1957",29
2019,Parbhani,"The Information Technology Act, 2000",66
2019,Parbhani,"The Electricity Act, 2003",82
2019,Parbhani,Wildlife Protection Act,22
2019,Parbhani,Environmental (Protection) Act,0
2019,Parbhani,The Air & The Water Prevention & Control of Pollution Act,0
2019,Parbhani,Railway Property (Unlawful Possession) Act,0
2019,Parbhani,"The Prevention of Damage to Public Property Act, 1984",36
2019,Parbhani,"The Transplantation of Human Organs Act, 1994",0
2019,Parbhani,"The Trade Marks Act, 1999",0
