District,Year,Taluka,Rape,Kidnapping and Abduction,Dowry Cases,Sexual Assault,Unethical Business,Other Crimes against Women,Murder (Womb),Murder (other),Child Rape,Kidnapping and Abduction (Children),Abandonment,Other Crimes against Children
Akola,2018,Barshitakali,10,16,0,11,2,163,0,0,7.0,21,0,0
Akola,2019,Telhara,2,3,0,15,0,7,0,0,2.0,4,0,3
Akola,2019,Akot,11,14,1,20,0,28,0,0,3.0,6,0,7
Akola,2019,Balapur,4,7,2,41,0,33,0,0,1.0,6,0,4
Akola,2019,Akola,14,24,2,15,1,82,0,0,7.0,23,0,16
Akola,2019,Murtijapur,6,3,2,9,0,28,0,0,2.0,0,0,2
Akola,2019,Patur,10,3,1,17,0,36,0,0,1.0,2,0,5
Akola,2019,Barshitakali,5,5,2,0,1,72,0,0,2.0,1,0,3
Akola,2020,Telhara,1,1,0,31,0,11,0,0,2.0,4,0,5
Akola,2020,Akot,4,2,3,11,0,20,0,0,3.0,1,0,8
Akola,2020,Balapur,4,0,0,34,0,27,0,0,5.0,8,0,4
Akola,2020,Akola,14,10,4,109,0,174,0,0,13.0,28,0,34
Akola,2020,Murtijapur,8,3,1,0,0,10,0,0,4.0,2,0,1
Akola,2020,Patur,5,0,1,48,0,61,0,0,3.0,4,0,6
Akola,2020,Barshitakali,0,0,2,12,0,55,0,0,2.0,5,0,2
Akola,2021,Telhara,15,1,0,14,0,16,0,1,6.0,9,0,1
Akola,2021,Akot,1,0,0,12,1,22,0,0,6.0,10,0,0
Akola,2021,Balapur,3,0,0,32,0,16,0,0,5.0,13,0,0
Akola,2021,Akola,29,3,0,77,3,245,0,3,24.0,76,0,5
Akola,2021,Murtijapur,1,0,0,9,0,4,0,0,2.0,8,0,0
Akola,2021,Patur,5,0,2,17,0,51,0,1,4.0,7,0,0
Akola,2021,Barshitakali,0,0,0,18,0,59,0,0,2.0,10,0,0
Amravati,2018,Dharani,12,10,0,30,0,3,0,0,4.0,11,2,6
Amravati,2018,Chikhraldara,3,7,0,7,0,2,0,0,3.0,7,0,3
Amravati,2018,Anjangaon Su,6,10,1,14,0,15,0,0,3.0,12,0,1
Amravati,2018,Achalpur,13,15,0,34,0,42,0,0,2.0,17,1,7
Amravati,2018,Chandurbazar,12,19,0,19,0,29,0,0,9.0,21,0,5
Amravati,2018,Morshi,7,16,0,18,1,30,0,0,3.0,17,0,4
Amravati,2018,Warud,11,19,0,12,0,20,0,0,5.0,21,0,4
Amravati,2018,Tivas,5,8,0,13,0,7,0,0,1.0,8,1,4
Amravati,2018,Amravati,80,107,1,9,0,508,0,12,29.0,103,0,87
Amravati,2018,Bhatkuli,3,3,0,1,0,12,0,0,1.0,3,0,3
Amravati,2018,Daryapur,6,6,0,14,0,6,1,2,1.0,8,0,5
Amravati,2018,Nandgaon Kh,9,10,0,30,0,16,0,0,5.0,11,0,8
Amravati,2018,Chandur Railway,8,7,0,9,0,3,0,0,5.0,10,0,2
Amravati,2018,Dhamangaon Re,5,8,0,20,0,8,0,0,2.0,7,0,4
Amravati,2019,Dharani,10,4,0,22,0,1,0,0,9.0,4,0,4
Amravati,2019,Chikhraldara,1,1,0,5,0,0,0,0,0.0,1,0,0
Amravati,2019,Anjangaon Su,4,2,0,7,0,9,0,1,3.0,2,0,0
Amravati,2019,Achalpur,4,4,0,19,0,13,0,0,4.0,6,0,6
Amravati,2019,Chandurbazar,5,7,0,21,0,6,0,1,3.0,7,0,8
Amravati,2019,Morshi,3,3,0,7,0,10,0,0,3.0,3,0,1
Amravati,2019,Warud,1,4,0,8,0,8,0,0,1.0,4,0,2
Amravati,2019,Tivas,1,0,0,2,0,1,0,0,0.0,0,0,1
Amravati,2019,Amravati,75,34,0,4,0,401,0,0,30.0,114,0,18
Amravati,2019,Bhatkuli,4,5,0,2,0,10,0,0,1.0,4,0,0
Amravati,2019,Daryapur,3,3,0,12,0,3,0,2,2.0,3,0,5
Amravati,2019,Nandgaon Kh,2,5,0,19,0,2,0,0,1.0,5,0,6
Amravati,2019,Chandur Railway,3,1,0,5,0,5,0,0,2.0,1,0,1
Amravati,2019,Dhamangaon Re,4,1,0,14,0,0,0,0,4.0,1,0,4
Amravati,2020,Dharani,26,9,0,45,0,3,0,1,19.0,41,0,10
Amravati,2020,Chikhraldara,7,8,0,9,0,3,0,1,2.0,9,0,0
