Year,District,Crime,Cases
2017,Gondia,Rape/Attempt to Rape,
2017,Hingoli,Rape/Attempt to Rape,
2017,Jalgaon,Rape/Attempt to Rape,
2017,Jalna,Rape/Attempt to Rape,
2017,Kolhapur,Rape/Attempt to Rape,
2017,Latur,Rape/Attempt to Rape,
2017,Mumbai City,Rape/Attempt to Rape,
2017,Nagpur,Rape/Attempt to Rape,
2017,Nanded,Rape/Attempt to Rape,
2017,Nandurbar,Rape/Attempt to Rape,
2017,Nasik,Rape/Attempt to Rape,
2017,Dharashiv,Rape/Attempt to Rape,
2017,Palghar,Rape/Attempt to Rape,
2017,Parbhani,Rape/Attempt to Rape,
2017,Pune,Rape/Attempt to Rape,
2017,Raigad,Rape/Attempt to Rape,
2017,Ratnagiri,Rape/Attempt to Rape,
2017,Sangli,Rape/Attempt to Rape,
2017,Satara,Rape/Attempt to Rape,
2017,Sindhudurg,Rape/Attempt to Rape,
2017,Solapur,Rape/Attempt to Rape,
2017,Thane,Rape/Attempt to Rape,
2017,Wardha,Rape/Attempt to Rape,
2017,Washim,Rape/Attempt to Rape,
2017,Yavatmal,Rape/Attempt to Rape,
2019,Ahilyanagar,Rape/Attempt to Rape,
2019,Akola,Rape/Attempt to Rape,
2019,Amravati,Rape/Attempt to Rape,
2019,Chhatrapati Sambhaji Nagar,Rape/Attempt to Rape,
2019,Beed,Rape/Attempt to Rape,
2019,Bhandara,Rape/Attempt to Rape,
2019,Buldhana,Rape/Attempt to Rape,
2019,Chandrapur,Rape/Attempt to Rape,
2019,Dhule,Rape/Attempt to Rape,
2019,Gadchiroli,Rape/Attempt to Rape,
2019,Gondia,Rape/Attempt to Rape,
2019,Hingoli,Rape/Attempt to Rape,
2019,Jalgaon,Rape/Attempt to Rape,
2019,Jalna,Rape/Attempt to Rape,
2019,Kolhapur,Rape/Attempt to Rape,
2019,Latur,Rape/Attempt to Rape,
2019,Mumbai City,Rape/Attempt to Rape,
2019,Nagpur,Rape/Attempt to Rape,
2019,Nanded,Rape/Attempt to Rape,
2019,Nandurbar,Rape/Attempt to Rape,
2019,Nasik,Rape/Attempt to Rape,
2019,Dharashiv,Rape/Attempt to Rape,
2019,Palghar,Rape/Attempt to Rape,
2019,Parbhani,Rape/Attempt to Rape,
2019,Pune,Rape/Attempt to Rape,
2019,Raigad,Rape/Attempt to Rape,
2019,Ratnagiri,Rape/Attempt to Rape,
2019,Sangli,Rape/Attempt to Rape,
2019,Satara,Rape/Attempt to Rape,
2019,Sindhudurg,Rape/Attempt to Rape,
2019,Solapur,Rape/Attempt to Rape,
2019,Thane,Rape/Attempt to Rape,
2019,Wardha,Rape/Attempt to Rape,
2019,Washim,Rape/Attempt to Rape,
2019,Yavatmal,Rape/Attempt to Rape,
2018,Ahilyanagar,Rape/Attempt to Rape,
2018,Akola,Rape/Attempt to Rape,
2018,Amravati,Rape/Attempt to Rape,
2018,Chhatrapati Sambhaji Nagar,Rape/Attempt to Rape,
2018,Beed,Rape/Attempt to Rape,
2018,Bhandara,Rape/Attempt to Rape,
2018,Buldhana,Rape/Attempt to Rape,
2018,Chandrapur,Rape/Attempt to Rape,
2018,Dhule,Rape/Attempt to Rape,
2018,Gadchiroli,Rape/Attempt to Rape,
2018,Gondia,Rape/Attempt to Rape,
2018,Hingoli,Rape/Attempt to Rape,
2018,Jalgaon,Rape/Attempt to Rape,
2018,Jalna,Rape/Attempt to Rape,
2018,Kolhapur,Rape/Attempt to Rape,
2018,Latur,Rape/Attempt to Rape,
2018,Mumbai City,Rape/Attempt to Rape,
