Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female
1991,Nanded,Born elsewhere in the district of enumeration,476465,116117,360348,377777,68723,309054,98688,47394,51294
1991,Nanded,Born in other districts of the state,161628,50432,111196,102352,24630,77722,59276,25802,33474
1991,Dharashiv,Born in the place of enumeration,873092,558109,314983,761072,491655,269417,112020,66454,45566
1991,Dharashiv,Born elsewhere in the district of enumeration,242031,57625,184406,201175,38679,162496,40856,18946,21910
1991,Dharashiv,Born in other districts of the state,144304,38392,105912,109700,24840,84860,34604,13552,21052
1991,Latur,Born in the place of enumeration,1187592,749885,437707,983348,633222,350126,204244,116663,87581
1991,Latur,Born elsewhere in the district of enumeration,334432,71002,263430,256041,33305,222736,78391,37697,40694
1991,Latur,Born in other districts of the state,116107,32696,83411,72015,13270,58745,44092,19426,24666
1991,Buldana,Born in the place of enumeration,1147713,737025,410688,929051,606829,322222,218662,130196,88466
1991,Buldana,Born elsewhere in the district of enumeration,507231,155538,351693,412968,112734,300234,94263,42804,51459
1991,Buldana,Born in other districts of the state,209325,63824,145501,143905,40104,103801,65420,23720,41700
1991,Akola,Born in the place of enumeration,1398138,879880,518258,1008540,653697,354843,389598,226183,163415
1991,Akola,Born elsewhere in the district of enumeration,510461,162888,347573,395156,111200,283956,115305,51688,63617
1991,Akola,Born in other districts of the state,277291,86560,190731,169064,44780,124284,108227,41780,66447
1991,Amravati,Born in the place of enumeration,1580622,933689,646933,1051181,639504,411677,529441,294185,235256
1991,Amravati,Born elsewhere in the district of enumeration,401354,127798,273556,301187,83960,217227,100167,43838,56329
1991,Amravati,Born in other districts of the state,168071,54067,114004,98620,27360,71260,69451,26707,42744
1991,Yavatmal,Born in the place of enumeration,1370716,811444,559272,1152361,687877,464484,218355,123567,94788
1991,Yavatmal,Born elsewhere in the district of enumeration,486541,177887,308654,412604,141990,270614,73937,35897,38040
1991,Yavatmal,Born in other districts of the state,194247,63731,130516,140028,42660,97368,54219,21071,33148
1991,Wardha,Born in the place of enumeration,635261,399333,235928,476699,304696,172003,158562,94637,63925
1991,Wardha,Born elsewhere in the district of enumeration,238268,84401,153867,184185,58860,125325,54083,25541,28542
1991,Wardha,Born in other districts of the state,171878,56026,115852,113195,34807,78388,58683,21219,37464
1991,Nagpur,Born in the place of enumeration,2665414,1470691,1194723,964092,562174,401918,1701322,908517,792805
1991,Nagpur,Born elsewhere in the district of enumeration,246662,71299,175363,174665,42629,132036,71997,28670,43327
1991,Nagpur,Born in other districts of the state,195877,81517,114360,67290,22190,45100,128587,59327,69260
1991,Bhandara,Born in the place of enumeration,1675268,946508,728760,1491413,843383,648030,183855,103125,80730
1991,Bhandara,Born elsewhere in the district of enumeration,323770,78548,245222,279291,59320,219971,44479,19228,25251
1991,Bhandara,Born in other districts of the state,59159,17630,41529,36448,9110,27338,22711,8520,14191
1991,Chandrapur,Born in the place of enumeration,1277853,746571,531282,869377,523387,345990,408476,223184,185292
1991,Chandrapur,Born elsewhere in the district of enumeration,319784,94617,225167,290694,81887,208807,29090,12730,16360
1991,Chandrapur,Born in other districts of the state,131522,47400,84122,93190,31200,61990,38332,16200,22132
1991,Gadchiroli,Born in the place of enumeration,609605,332897,276708,575794,313817,261977,33811,19080,14731
1991,Gadchiroli,Born elsewhere in the district of enumeration,90511,28680,61831,79728,23590,56138,10783,5090,5693
1991,Gadchiroli,Born in other districts of the state,57437,23377,34060,36603,13077,23526,20834,10300,10534
2001,Nandurbar,Born in the place of enumeration,867246,511750,355496,748287,442672,305615,118959,69078,49881
2001,Nandurbar,Born elsewhere in the district of enumeration,278327,89464,188863,250048,75928,174120,28279,13536,14743
2001,Nandurbar,Born in other districts of the state,111561,43660,67901,71459,27640,43819,40102,16020,24082
2001,Dhule,Born in the place of enumeration,945688,594565,351123,691341,446703,244638,254347,147862,106485
2001,Dhule,Born elsewhere in the district of enumeration,470035,175605,294430,395553,140174,255379,74482,35431,39051
2001,Dhule,Born in other districts of the state,245012,88393,156619,147466,48688,98778,97546,39705,57841
2001,Jalgaon,Born in the place of enumeration,2094297,1341085,753212,1499467,985865,513602,594830,355220,239610
2001,Jalgaon,Born elsewhere in the district of enumeration,1276070,451289,824781,945617,308575,637042,330453,142714,187739
2001,Jalgaon,Born in other districts of the state,226885,77127,149758,138252,43540,94712,88633,33587,55046
2001,Buldhana,Born in the place of enumeration,1381596,901498,480098,1106741,734327,372414,274855,167171,107684
2001,Buldhana,Born elsewhere in the district of enumeration,594279,169500,424779,481041,120867,360174,113238,48633,64605
2001,Buldhana,Born in other districts of the state,231580,65015,166565,156808,40355,116453,74772,24660,50112
2001,Akola,Born in the place of enumeration,1025536,638774,386762,622197,407891,214306,403339,230883,172456
2001,Akola,Born elsewhere in the district of enumeration,358973,120433,238540,256019,75229,180790,102954,45204,57750
2001,Akola,Born in other districts of the state,221796,70964,150832,117516,30824,86692,104280,40140,64140
2001,Washim,Born in the place of enumeration,674409,439631,234778,555966,368193,187773,118443,71438,47005
2001,Washim,Born elsewhere in the district of enumeration,193250,47841,145409,170944,38679,132265,22306,9162,13144
2001,Washim,Born in other districts of the state,147651,36443,111208,112572,25769,86803,35079,10674,24405
2001,Amravati,Born in the place of enumeration,1618669,1018040,600629,1060690,691298,369392,557979,326742,231237
2001,Amravati,Born elsewhere in the district of enumeration,652274,213999,438275,468933,136147,332786,183341,77852,105489
2001,Amravati,Born in other districts of the state,249965,78246,171719,125627,31939,93688,124338,46307,78031
2001,Wardha,Born in the place of enumeration,681163,440973,240190,509583,335481,174102,171580,105492,66088
2001,Wardha,Born elsewhere in the district of enumeration,313432,112168,201264,242538,80325,162213,70894,31843,39051
2001,Wardha,Born in other districts of the state,203270,66363,136907,133826,41466,92360,69444,24897,44547
2001,Nagpur,Born in the place of enumeration,2600747,1491105,1109642,855890,553969,301921,1744857,937136,807721
2001,Nagpur,Born elsewhere in the district of enumeration,575297,196021,379276,354049,96827,257222,221248,99194,122054
2001,Nagpur,Born in other districts of the state,448351,195597,252754,121362,41331,80031,326989,154266,172723
2001,Bhandara,Born in the place of enumeration,719158,465637,253521,621178,407729,213449,97980,57908,40072
2001,Bhandara,Born elsewhere in the district of enumeration,279160,64344,214816,241143,48394,192749,38017,15950,22067
2001,Bhandara,Born in other districts of the state,100567,28201,72366,71030,16822,54208,29537,11379,18158
2001,Gondia,Born in the place of enumeration,787981,503957,284024,698795,450940,247855,89186,53017,36169
2001,Gondia,Born elsewhere in the district of enumeration,272900,55886,217014,253911,48753,205158,18989,7133,11856
2001,Gondia,Born in other districts of the state,77977,22360,55617,59633,15616,44017,18344,6744,11600
2001,Gadchiroli,Born in the place of enumeration,615448,365750,249698,586095,348802,237293,29353,16948,12405
2001,Gadchiroli,Born elsewhere in the district of enumeration,210580,69269,141311,198267,63358,134909,12313,5911,6402
2001,Gadchiroli,Born in other districts of the state,98130,36265,61865,74945,25815,49130,23185,10450,12735
2001,Chandrapur,Born in the place of enumeration,1113756,694320,419436,799032,517006,282026,314724,177314,137410
2001,Chandrapur,Born elsewhere in the district of enumeration,606340,215583,390757,448108,139360,308748,158232,76223,82009
2001,Chandrapur,Born in other districts of the state,231850,91851,139999,114131,37277,76854,117719,54574,63145
2001,Yavatmal,Born in the place of enumeration,1486575,933558,553017,1243465,789478,453987,243110,144080,99030
2001,Yavatmal,Born elsewhere in the district of enumeration,677770,233854,443916,560454,179290,381164,117316,54564,62752
2001,Yavatmal,Born in other districts of the state,249217,77485,171732,168377,47451,120926,80840,30034,50806
2001,Nanded,Born in the place of enumeration,2007854,1247677,760177,1542974,988868,554106,464880,258809,206071
2001,Nanded,Born elsewhere in the district of enumeration,638804,167159,471645,505167,105271,399896,133637,61888,71749
2001,Nanded,Born in other districts of the state,167456,50381,117075,104497,24074,80423,62959,26307,36652
2001,Hingoli,Born in the place of enumeration,673290,438936,234354,573192,379899,193293,100098,59037,41061
2001,Hingoli,Born elsewhere in the district of enumeration,184543,38290,146253,163475,29019,134456,21068,9271,11797
2001,Hingoli,Born in other districts of the state,125919,26718,99201,95366,16430,78936,30553,10288,20265
2001,Parbhani,Born in the place of enumeration,1023425,650752,372673,719300,477309,241991,304125,173443,130682
2001,Parbhani,Born elsewhere in the district of enumeration,338140,82684,255456,233686,35248,198438,104454,47436,57018
2001,Parbhani,Born in other districts of the state,158752,43431,115321,88412,16710,71702,70340,26721,43619
2001,Jalna,Born in the place of enumeration,1088385,692717,395668,886280,579579,306701,202105,113138,88967
2001,Jalna,Born elsewhere in the district of enumeration,372513,91419,281094,309727,62612,247115,62786,28807,33979
2001,Jalna,Born in other districts of the state,145260,39829,105431,105900,23913,81987,39360,15916,23444
2001,Chhatrapati Sambhaji Nagar,Born in the place of enumeration,1777823,1100973,676850,1177065,773679,403386,600758,327294,273464
2001,Chhatrapati Sambhaji Nagar,Born elsewhere in the district of enumeration,607214,182435,424779,440737,98241,342496,166477,84194,82283
2001,Chhatrapati Sambhaji Nagar,Born in other districts of the state,460310,193997,266313,182258,57174,125084,278052,136823,141229
2001,Nashik,Born in the place of enumeration,2720336,1675289,1045047,1661618,1082933,578685,1058718,592356,466362
2001,Nashik,Born elsewhere in the district of enumeration,1527856,563713,964143,1171012,395684,775328,356844,168029,188815
2001,Nashik,Born in other districts of the state,579283,257160,322123,195061,76767,118294,384222,180393,203829
2001,Thane,Born in the place of enumeration,3525997,1960419,1565578,1516784,887051,629733,2009213,1073368,935845
2001,Thane,Born elsewhere in the district of enumeration,797201,275404,521797,488597,127868,360729,308604,147536,161068
2001,Thane,Born in other districts of the state,2016649,1033439,983210,103170,51804,51366,1913479,981635,931844
2001,Mumbai Suburban,Born in the place of enumeration,4767607,2488606,2279001,0,0,0,4767607,2488606,2279001
2001,Mumbai Suburban,Born elsewhere in the district of enumeration,0,0,0,0,0,0,0,0,0
2001,Mumbai Suburban,Born in other districts of the state,1407494,747983,659511,0,0,0,1407494,747983,659511
2001,Mumbai City,Born in the place of enumeration,2025409,1080213,945196,0,0,0,2025409,1080213,945196
2001,Mumbai City,Born elsewhere in the district of enumeration,0,0,0,0,0,0,0,0,0
2001,Mumbai City,Born in other districts of the state,531997,297412,234585,0,0,0,531997,297412,234585
2001,Raigad,Born in the place of enumeration,1284732,750452,534280,1071607,628893,442714,213125,121559,91566
2001,Raigad,Born elsewhere in the district of enumeration,530270,158763,371507,423276,110731,312545,106994,48032,58962
2001,Raigad,Born in other districts of the state,244142,115709,128433,116209,53559,62650,127933,62150,65783
2001,Pune,Born in the place of enumeration,3646169,2145142,1501027,1574266,1027148,547118,2071903,1117994,953909
2001,Pune,Born elsewhere in the district of enumeration,1565169,593468,971701,1009585,325312,684273,555584,268156,287428
2001,Pune,Born in other districts of the state,1430340,692936,737404,389128,167211,221917,1041212,525725,515487
2001,Ahilyanagar,Born in the place of enumeration,2283225,1450530,832695,1840830,1190555,650275,442395,259975,182420
2001,Ahilyanagar,Born elsewhere in the district of enumeration,1274148,442976,831172,1072518,350718,721800,201630,92258,109372
2001,Ahilyanagar,Born in other districts of the state,438276,164123,274153,308616,111684,196932,129660,52439,77221
2001,Beed,Born in the place of enumeration,1476185,954090,522095,1226990,810989,416001,249195,143101,106094
2001,Beed,Born elsewhere in the district of enumeration,494153,113140,381013,412837,75649,337188,81316,37491,43825
2001,Beed,Born in other districts of the state,182420,44921,137499,130817,26717,104100,51603,18204,33399
2001,Latur,Born in the place of enumeration,1408159,903874,504285,1107955,733678,374277,300204,170196,130008
2001,Latur,Born elsewhere in the district of enumeration,487935,116674,371261,364328,59005,305323,123607,57669,65938
2001,Latur,Born in other districts of the state,139069,42753,96316,89424,21771,67653,49645,20982,28663
2001,Dharashiv,Born in the place of enumeration,1007165,647532,359633,868634,565082,303552,138531,82450,56081
2001,Dharashiv,Born elsewhere in the district of enumeration,295164,75012,220152,246371,53063,193308,48793,21949,26844
2001,Dharashiv,Born in other districts of the state,163891,41460,122431,124473,27157,97316,39418,14303,25115
2001,Solapur,Born in the place of enumeration,2521728,1536241,985487,1625936,1047053,578883,895792,489188,406604
2001,Solapur,Born elsewhere in the district of enumeration,1035049,343709,691340,813394,249225,564169,221655,94484,127171
2001,Solapur,Born in other districts of the state,215225,81042,134183,154709,57478,97231,60516,23564,36952
2001,Satara,Born in the place of enumeration,1384088,923038,461050,1209274,816782,392492,174814,106256,68558
2001,Satara,Born elsewhere in the district of enumeration,1084700,338668,746032,947630,277020,670610,137070,61648,75422
2001,Satara,Born in other districts of the state,276802,110689,166113,208884,82049,126835,67918,28640,39278
2001,Ratnagiri,Born in the place of enumeration,995828,585608,410220,897064,530881,366183,98764,54727,44037
2001,Ratnagiri,Born elsewhere in the district of enumeration,518741,114275,404466,474173,95812,378361,44568,18463,26105
2001,Ratnagiri,Born in other districts of the state,118100,54039,64061,86740,39050,47690,31360,14989,16371
2001,Sindhudurg,Born in the place of enumeration,475837,297889,177948,432516,273217,159299,43321,24672,18649
2001,Sindhudurg,Born elsewhere in the district of enumeration,291643,74772,216871,271822,67382,204440,19821,7390,12431
2001,Sindhudurg,Born in other districts of the state,59209,25650,33559,48255,20406,27849,10954,5244,5710
2001,Kolhapur,Born in the place of enumeration,1867393,1220773,646620,1292335,889212,403123,575058,331561,243497
2001,Kolhapur,Born elsewhere in the district of enumeration,1110831,359843,750988,897094,265229,631865,213737,94614,119123
2001,Kolhapur,Born in other districts of the state,275458,113353,162105,143564,54791,88773,131894,58562,73332
2001,Sangli,Born in the place of enumeration,1412494,913518,498976,1075792,715321,360471,336702,198197,138505
2001,Sangli,Born elsewhere in the district of enumeration,805639,271001,534638,647073,202412,444661,158566,68589,89977
2001,Sangli,Born in other districts of the state,240918,84643,156275,157565,50289,107276,83353,34354,48999
2011,Nandurbar,Born in the place of enumeration,996617,588541,408076,875067,516619,358448,121550,71922,49628
