Year,District,Rural/Urban,Location,Tap,Handpump,Tubewell,Well,All Others
2001,Wardha,Rural,Near Premises,29315,24938,1663,35213,711
2001,Wardha,Rural,Away,6569,7561,763,15831,1001
2001,Wardha,Urban,Total,48534,3239,1195,11969,559
2001,Wardha,Urban,Within Premises,38803,506,931,7655,54
2001,Wardha,Urban,Near Premises,7356,1866,173,2788,368
2001,Wardha,Urban,Away,2375,867,91,1526,137
2001,Nagpur,Total,Total,559189,82510,6668,136044,6113
2001,Nagpur,Total,Within Premises,415246,10665,3116,53894,297
2001,Nagpur,Total,Near Premises,115944,55767,2118,55486,2993
2001,Nagpur,Total,Away,27999,16078,1434,26664,2823
2001,Nagpur,Rural,Total,163457,52271,2862,73565,2162
2001,Nagpur,Rural,Within Premises,91459,6329,766,16455,145
2001,Nagpur,Rural,Near Premises,60555,36529,1149,37724,1436
2001,Nagpur,Rural,Away,11443,9413,947,19386,581
2001,Nagpur,Urban,Total,395732,30239,3806,62479,3951
2001,Nagpur,Urban,Within Premises,323787,4336,2350,37439,152
2001,Nagpur,Urban,Near Premises,55389,19238,969,17762,1557
2001,Nagpur,Urban,Away,16556,6665,487,7278,2242
2001,Bhandara,Total,Total,85372,66546,4680,82171,1092
2001,Bhandara,Total,Within Premises,48331,6562,1093,24164,42
2001,Bhandara,Total,Near Premises,28570,45267,2295,39190,484
2001,Bhandara,Total,Away,8471,14717,1292,18817,566
2001,Bhandara,Rural,Total,57913,65032,4332,76499,888
2001,Bhandara,Rural,Within Premises,28394,6359,968,20313,31
2001,Bhandara,Rural,Near Premises,23585,44428,2242,37975,390
2001,Bhandara,Rural,Away,5934,14245,1122,18211,467
2001,Bhandara,Urban,Total,27459,1514,348,5672,204
2001,Bhandara,Urban,Within Premises,19937,203,125,3851,11
2001,Bhandara,Urban,Near Premises,4985,839,53,1215,94
2001,Bhandara,Urban,Away,2537,472,170,606,99
2001,Gondia,Total,Total,39091,89366,3786,116267,866
2001,Gondia,Total,Within Premises,24111,9507,758,42012,51
2001,Gondia,Total,Near Premises,11980,58802,2139,53309,415
2001,Gondia,Total,Away,3000,21057,889,20946,400
2001,Gondia,Rural,Total,20991,85697,3129,112002,748
2001,Gondia,Rural,Within Premises,9197,9179,628,39911,47
2001,Gondia,Rural,Near Premises,9512,56398,1771,51863,385
2001,Gondia,Rural,Away,2282,20120,730,20228,316
2001,Gondia,Urban,Total,18100,3669,657,4265,118
2001,Gondia,Urban,Within Premises,14914,328,130,2101,4
2001,Gondia,Urban,Near Premises,2468,2404,368,1446,30
2001,Gondia,Urban,Away,718,937,159,718,84
2001,Gadchiroli,Total,Total,35310,81479,3470,83301,2191
2001,Gadchiroli,Total,Within Premises,20431,7661,653,18377,16
2001,Gadchiroli,Total,Near Premises,11724,53239,1937,44426,945
2001,Gadchiroli,Total,Away,3155,20579,880,20498,1230
2001,Gadchiroli,Rural,Total,26983,78251,3307,80467,2186
2001,Gadchiroli,Rural,Within Premises,13645,7372,586,16820,15
2001,Gadchiroli,Rural,Near Premises,10561,51072,1873,43826,942
2001,Gadchiroli,Rural,Away,2777,19807,848,19821,1229
2001,Gadchiroli,Urban,Total,8327,3228,163,2834,5
2001,Gadchiroli,Urban,Within Premises,6786,289,67,1557,1
2001,Gadchiroli,Urban,Near Premises,1163,2167,64,600,3
2001,Gadchiroli,Urban,Away,378,772,32,677,1
2001,Chandrapur,Total,Total,163899,128741,10751,142130,6460
2001,Chandrapur,Total,Within Premises,107728,20806,5658,25883,416
2001,Chandrapur,Total,Near Premises,41335,76090,2966,70610,2462
2001,Chandrapur,Total,Away,14836,31845,2127,45637,3582
2001,Chandrapur,Rural,Total,65753,108465,5798,127515,3429
2001,Chandrapur,Rural,Within Premises,34485,12991,1586,18382,329
2001,Chandrapur,Rural,Near Premises,25007,67619,2462,66253,1324
2001,Chandrapur,Rural,Away,6261,27855,1750,42880,1776
2001,Chandrapur,Urban,Total,98146,20276,4953,14615,3031
2001,Chandrapur,Urban,Within Premises,73243,7815,4072,7501,87
2001,Chandrapur,Urban,Near Premises,16328,8471,504,4357,1138
2001,Chandrapur,Urban,Away,8575,3990,377,2757,1806
2001,Yavatmal,Total,Total,207227,102132,10436,177786,11125
2001,Yavatmal,Total,Within Premises,113217,14613,3876,24349,591
2001,Yavatmal,Total,Near Premises,77222,65163,4845,91542,5671
2001,Yavatmal,Total,Away,16788,22356,1715,61895,4863
2001,Yavatmal,Rural,Total,138641,94870,8852,169273,10350
2001,Yavatmal,Rural,Within Premises,64632,12998,2657,20780,379
2001,Yavatmal,Rural,Near Premises,61712,61180,4685,89007,5338
2001,Yavatmal,Rural,Away,12297,20692,1510,59486,4633
2001,Yavatmal,Urban,Total,68586,7262,1584,8513,775
2001,Yavatmal,Urban,Within Premises,48585,1615,1219,3569,212
2001,Yavatmal,Urban,Near Premises,15510,3983,160,2535,333
2001,Yavatmal,Urban,Away,4491,1664,205,2409,230
2001,Nanded,Total,Total,261067,117895,26005,100752,17820
2001,Nanded,Total,Within Premises,160022,23609,11989,12880,589
2001,Nanded,Total,Near Premises,78188,64401,8728,47625,5604
2001,Nanded,Total,Away,22857,29885,5288,40247,11627
2001,Nanded,Rural,Total,179584,98450,19390,99209,13912
2001,Nanded,Rural,Within Premises,101108,15696,6846,12496,471
2001,Nanded,Rural,Near Premises,62366,56867,7875,47333,4835
2001,Nanded,Rural,Away,16110,25887,4669,39380,8606
2001,Nanded,Urban,Total,81483,19445,6615,1543,3908
2001,Nanded,Urban,Within Premises,58914,7913,5143,384,118
2001,Nanded,Urban,Near Premises,15822,7534,853,292,769
2001,Nanded,Urban,Away,6747,3998,619,867,3021
2001,Hingoli,Total,Total,47293,80790,6897,42588,3467
2001,Hingoli,Total,Within Premises,31775,11817,3113,4834,98
2001,Hingoli,Total,Near Premises,12577,52622,2470,19881,1152
2001,Hingoli,Total,Away,2941,16351,1314,17873,2217
2001,Hingoli,Rural,Total,30257,75829,5597,41890,2773
2001,Hingoli,Rural,Within Premises,18741,10309,1952,4711,71
2001,Hingoli,Rural,Near Premises,9711,50186,2389,19632,778
2001,Hingoli,Rural,Away,1805,15334,1256,17547,1924
2001,Hingoli,Urban,Total,17036,4961,1300,698,694
2001,Hingoli,Urban,Within Premises,13034,1508,1161,123,27
2001,Hingoli,Urban,Near Premises,2866,2436,81,249,374
2001,Hingoli,Urban,Away,1136,1017,58,326,293
2001,Parbhani,Total,Total,110945,118720,9205,34876,9857
2001,Parbhani,Total,Within Premises,77130,28227,3025,4455,431
2001,Parbhani,Total,Near Premises,25787,68658,4185,17487,4256
2001,Parbhani,Total,Away,8028,21835,1995,12934,5170
2001,Parbhani,Rural,Total,60146,95924,6714,34064,6717
2001,Parbhani,Rural,Within Premises,39512,16160,1392,4246,143
2001,Parbhani,Rural,Near Premises,17069,61411,3870,17122,3155
2001,Parbhani,Rural,Away,3565,18353,1452,12696,3419
2001,Parbhani,Urban,Total,50799,22796,2491,812,3140
2001,Parbhani,Urban,Within Premises,37618,12067,1633,209,288
2001,Parbhani,Urban,Near Premises,8718,7247,315,365,1101
2001,Parbhani,Urban,Away,4463,3482,543,238,1751
2001,Jalna,Total,Total,133048,80134,11318,70150,7899
2001,Jalna,Total,Within Premises,82089,12353,5554,7811,554
2001,Jalna,Total,Near Premises,43783,50806,3751,31392,3089
2001,Jalna,Total,Away,7176,16975,2013,30947,4256
2001,Jalna,Rural,Total,101743,72180,5539,68585,5378
2001,Jalna,Rural,Within Premises,56585,10089,966,7501,345
2001,Jalna,Rural,Near Premises,39767,47366,3295,30664,2474
2001,Jalna,Rural,Away,5391,14725,1278,30420,2559
2001,Jalna,Urban,Total,31305,7954,5779,1565,2521
2001,Jalna,Urban,Within Premises,25504,2264,4588,310,209
2001,Jalna,Urban,Near Premises,4016,3440,456,728,615
2001,Jalna,Urban,Away,1785,2250,735,527,1697
2001,Chhatrapati Sambhaji Nagar,Total,Total,326990,80650,11988,95885,10642
2001,Chhatrapati Sambhaji Nagar,Total,Within Premises,240371,20689,5191,25214,965
2001,Chhatrapati Sambhaji Nagar,Total,Near Premises,72118,47356,4185,41715,3978
2001,Chhatrapati Sambhaji Nagar,Total,Away,14501,12605,2612,28956,5699
2001,Chhatrapati Sambhaji Nagar,Rural,Total,164787,64071,8536,92842,4587
2001,Chhatrapati Sambhaji Nagar,Rural,Within Premises,99094,12631,2543,24138,348
2001,Chhatrapati Sambhaji Nagar,Rural,Near Premises,55633,41390,3746,40847,1865
2001,Chhatrapati Sambhaji Nagar,Rural,Away,10060,10050,2247,27857,2374
2001,Chhatrapati Sambhaji Nagar,Urban,Total,162203,16579,3452,3043,6055
2001,Chhatrapati Sambhaji Nagar,Urban,Within Premises,141277,8058,2648,1076,617
2001,Chhatrapati Sambhaji Nagar,Urban,Near Premises,16485,5966,439,868,2113
2001,Chhatrapati Sambhaji Nagar,Urban,Away,4441,2555,365,1099,3325
2001,Nashik,Total,Total,519734,76964,19430,235581,25049
2001,Nashik,Total,Within Premises,387679,17711,7666,82090,2153
2001,Nashik,Total,Near Premises,111283,46718,7951,100584,11257
2001,Nashik,Total,Away,20772,12535,3813,52907,11639
2001,Nashik,Rural,Total,205387,66332,14179,226386,17431
2001,Nashik,Rural,Within Premises,138123,15124,5124,78479,663
2001,Nashik,Rural,Near Premises,59135,40561,6458,96804,8608
2001,Nashik,Rural,Away,8129,10647,2597,51103,8160
2001,Nashik,Urban,Total,314347,10632,5251,9195,7618
2001,Nashik,Urban,Within Premises,249556,2587,2542,3611,1490
2001,Nashik,Urban,Near Premises,52148,6157,1493,3780,2649
2001,Nashik,Urban,Away,12643,1888,1216,1804,3479
2001,Thane,Total,Total,1299785,122765,37366,207782,32321
2001,Thane,Total,Within Premises,1046028,32816,18121,40290,3077
2001,Thane,Total,Near Premises,214146,71478,13922,107431,13260
2001,Thane,Total,Away,39611,18471,5323,60061,15984
2001,Thane,Rural,Total,118321,81707,24335,186426,17307
2001,Thane,Rural,Within Premises,72267,21687,9899,33601,468
2001,Thane,Rural,Near Premises,39954,48642,10614,99687,9696
2001,Thane,Rural,Away,6100,11378,3822,53138,7143
2001,Thane,Urban,Total,1181464,41058,13031,21356,15014
2001,Thane,Urban,Within Premises,973761,11129,8222,6689,2609
2001,Thane,Urban,Near Premises,174192,22836,3308,7744,3564
2001,Thane,Urban,Away,33511,7093,1501,6923,8841
2001,Mumbai Suburban,Total,Total,1742964,15272,2892,5395,7809
2001,Mumbai Suburban,Total,Within Premises,1248091,3785,586,310,439
2001,Mumbai Suburban,Total,Near Premises,451842,9566,949,2568,2968
2001,Mumbai Suburban,Total,Away,43031,1921,1357,2517,4402
2001,Mumbai Suburban,Rural,Total,0,0,0,0,0
2001,Mumbai Suburban,Rural,Within Premises,0,0,0,0,0
2001,Mumbai Suburban,Rural,Near Premises,0,0,0,0,0
2001,Mumbai Suburban,Rural,Away,0,0,0,0,0
2001,Mumbai Suburban,Urban,Total,1742964,15272,2892,5395,7809
2001,Mumbai Suburban,Urban,Within Premises,1248091,3785,586,310,439
2001,Mumbai Suburban,Urban,Near Premises,451842,9566,949,2568,2968
2001,Mumbai Suburban,Urban,Away,43031,1921,1357,2517,4402
2001,Mumbai City,Total,Total,626569,13494,437,1382,6708
2001,Mumbai City,Total,Within Premises,489554,2732,89,39,495
2001,Mumbai City,Total,Near Premises,125834,10188,181,426,2724
2001,Mumbai City,Total,Away,11181,574,167,917,3489
2001,Mumbai City,Rural,Total,0,0,0,0,0
2001,Mumbai City,Rural,Within Premises,0,0,0,0,0
2001,Mumbai City,Rural,Near Premises,0,0,0,0,0
2001,Mumbai City,Rural,Away,0,0,0,0,0
2001,Mumbai City,Urban,Total,626569,13494,437,1382,6708
2001,Mumbai City,Urban,Within Premises,489554,2732,89,39,495
2001,Mumbai City,Urban,Near Premises,125834,10188,181,426,2724
2001,Mumbai City,Urban,Away,11181,574,167,917,3489
2001,Raigad,Total,Total,267408,37489,18858,130079,17794
2001,Raigad,Total,Within Premises,147863,6849,7990,13813,300
2001,Raigad,Total,Near Premises,95763,22596,7212,61761,6834
2001,Raigad,Total,Away,23782,8044,3656,54505,10660
2001,Raigad,Rural,Total,167038,33438,15803,125530,16936
2001,Raigad,Rural,Within Premises,70435,5741,5533,12222,231
2001,Raigad,Rural,Near Premises,77173,20197,6732,60445,6534
2001,Raigad,Rural,Away,19430,7500,3538,52863,10171
2001,Raigad,Urban,Total,100370,4051,3055,4549,858
2001,Raigad,Urban,Within Premises,77428,1108,2457,1591,69
2001,Raigad,Urban,Near Premises,18590,2399,480,1316,300
2001,Raigad,Urban,Away,4352,544,118,1642,489
2001,Pune,Total,Total,1082611,85733,44873,190427,35966
2001,Pune,Total,Within Premises,826294,25626,23975,54117,2953
2001,Pune,Total,Near Premises,226366,46320,14390,82556,16127
2001,Pune,Total,Away,29951,13787,6508,53754,16886
2001,Pune,Rural,Total,268889,68055,27993,180628,20995
2001,Pune,Rural,Within Premises,177283,19206,13734,51614,1445
2001,Pune,Rural,Near Premises,79754,38061,9905,78682,10641
2001,Pune,Rural,Away,11852,10788,4354,50332,8909
2001,Pune,Urban,Total,813722,17678,16880,9799,14971
2001,Pune,Urban,Within Premises,649011,6420,10241,2503,1508
2001,Pune,Urban,Near Premises,146612,8259,4485,3874,5486
2001,Pune,Urban,Away,18099,2999,2154,3422,7977
2001,Ahilyanagar,Total,Total,355433,70804,27644,264455,23729
2001,Ahilyanagar,Total,Within Premises,250829,17030,10928,85423,1504
2001,Ahilyanagar,Total,Near Premises,84762,40470,11601,112899,10187
2001,Ahilyanagar,Total,Away,19842,13304,5115,66133,12038
2001,Ahilyanagar,Rural,Total,230939,62573,24317,255972,20645
2001,Ahilyanagar,Rural,Within Premises,146379,14093,9096,81926,1219
2001,Ahilyanagar,Rural,Near Premises,70045,36592,10734,109260,8849
2001,Ahilyanagar,Rural,Away,14515,11888,4487,64786,10577
2001,Ahilyanagar,Urban,Total,124494,8231,3327,8483,3084
2001,Ahilyanagar,Urban,Within Premises,104450,2937,1832,3497,285
2001,Ahilyanagar,Urban,Near Premises,14717,3878,867,3639,1338
2001,Ahilyanagar,Urban,Away,5327,1416,628,1347,1461
2001,Beed,Total,Total,187945,136677,22059,77284,9143
2001,Beed,Total,Within Premises,127111,19138,5845,10080,333
2001,Beed,Total,Near Premises,51828,93206,12407,35283,3431
2001,Beed,Total,Away,9006,24333,3807,31921,5379
2001,Beed,Rural,Total,131111,131519,19419,75671,7525
2001,Beed,Rural,Within Premises,81628,17600,3937,9315,254
2001,Beed,Rural,Near Premises,42671,90814,11841,34884,2945
2001,Beed,Rural,Away,6812,23105,3641,31472,4326
2001,Beed,Urban,Total,56834,5158,2640,1613,1618
2001,Beed,Urban,Within Premises,45483,1538,1908,765,79
2001,Beed,Urban,Near Premises,9157,2392,566,399,486
2001,Beed,Urban,Away,2194,1228,166,449,1053
2001,Latur,Total,Total,201665,73663,45185,38755,14015
2001,Latur,Total,Within Premises,142843,10882,11998,4786,1311
2001,Latur,Total,Near Premises,47631,44029,19878,14963,4545
2001,Latur,Total,Away,11191,18752,13309,19006,8159
2001,Latur,Rural,Total,152239,65908,30619,36281,9068
2001,Latur,Rural,Within Premises,104293,8478,4488,4373,913
2001,Latur,Rural,Near Premises,39988,40838,15787,14412,3069
2001,Latur,Rural,Away,7958,16592,10344,17496,5086
2001,Latur,Urban,Total,49426,7755,14566,2474,4947
2001,Latur,Urban,Within Premises,38550,2404,7510,413,398
2001,Latur,Urban,Near Premises,7643,3191,4091,551,1476
2001,Latur,Urban,Away,3233,2160,2965,1510,3073
2001,Dharashiv,Total,Total,146735,80280,31901,26216,7977
2001,Dharashiv,Total,Within Premises,93772,10243,4474,2784,896
2001,Dharashiv,Total,Near Premises,43346,51871,18442,10293,3598
2001,Dharashiv,Total,Away,9617,18166,8985,13139,3483
2001,Dharashiv,Rural,Total,113519,78001,28576,25620,6367
2001,Dharashiv,Rural,Within Premises,67491,9852,3412,2685,756
2001,Dharashiv,Rural,Near Premises,38196,50417,16865,10131,2947
2001,Dharashiv,Rural,Away,7832,17732,8299,12804,2664
2001,Dharashiv,Urban,Total,33216,2279,3325,596,1610
2001,Dharashiv,Urban,Within Premises,26281,391,1062,99,140
2001,Dharashiv,Urban,Near Premises,5150,1454,1577,162,651
2001,Dharashiv,Urban,Away,1785,434,686,335,819
2001,Solapur,Total,Total,391235,136140,29893,135759,22048
2001,Solapur,Total,Within Premises,244746,28277,12596,39802,1937
2001,Solapur,Total,Near Premises,126047,83284,13087,64032,13308
2001,Solapur,Total,Away,20442,24579,4210,31925,6803
2001,Solapur,Rural,Total,201916,111857,25739,133215,18260
2001,Solapur,Rural,Within Premises,118150,24908,10509,39117,1389
2001,Solapur,Rural,Near Premises,73587,68656,11928,63158,11145
2001,Solapur,Rural,Away,10179,18293,3302,30940,5726
2001,Solapur,Urban,Total,189319,24283,4154,2544,3788
2001,Solapur,Urban,Within Premises,126596,3369,2087,685,548
2001,Solapur,Urban,Near Premises,52460,14628,1159,874,2163
2001,Solapur,Urban,Away,10263,6286,908,985,1077
2001,Satara,Total,Total,377882,54130,22434,71908,20104
2001,Satara,Total,Within Premises,271436,15140,11400,19402,1467
2001,Satara,Total,Near Premises,93965,30557,7886,32745,11252
2001,Satara,Total,Away,12481,8433,3148,19761,7385
2001,Satara,Rural,Total,312477,51727,20323,69063,18383
2001,Satara,Rural,Within Premises,215305,14525,9844,18352,1337
2001,Satara,Rural,Near Premises,86381,29157,7589,31571,10850
2001,Satara,Rural,Away,10791,8045,2890,19140,6196
2001,Satara,Urban,Total,65405,2403,2111,2845,1721
