Year,District,Rural/Urban,Population,Male,Female
2011,Akola,Urban,110484,55978,54506
2011,Amravati,Rural,345989,178116,167873
2011,Amravati,Urban,160318,81250,79068
2011,Chh. Sambhaji Nagar,Rural,247151,126963,120188
2011,Chh. Sambhaji Nagar,Urban,292709,150528,142181
2011,Beed,Rural,278806,142997,135809
2011,Beed,Urban,72385,36746,35639
2011,Bhandara,Rural,155163,77939,77224
2011,Bhandara,Urban,45209,22482,22727
2011,Buldhana,Rural,395137,202996,192141
2011,Buldhana,Urban,75758,38449,37309
2011,Chandrapur,Rural,187643,95203,92440
2011,Chandrapur,Urban,160722,81695,79027
2011,Dhule,Rural,82299,42087,40212
2011,Dhule,Urban,45272,22981,22291
2011,Gadchiroli,Rural,101879,51541,50338
2011,Gadchiroli,Urban,18866,9500,9366
2011,Gondia,Rural,135393,67401,67992
2011,Gondia,Urban,40568,20033,20535
2011,Hingoli,Rural,161751,82844,78907
2011,Hingoli,Urban,20814,10535,10279
2011,Jalgaon,Rural,267718,137458,130260
2011,Jalgaon,Urban,121555,61969,59586
2011,Jalna,Rural,225916,115520,110396
2011,Jalna,Urban,45921,23208,22713
2011,Kolhapur,Rural,355641,178623,177018
2011,Kolhapur,Urban,148820,74767,74053
2011,Latur,Rural,369609,190913,178696
2011,Latur,Urban,111304,57005,54299
2011,Mumbai,Urban,583302,300291,283011
2011,Nagpur,Rural,234062,119694,114368
2011,Nagpur,Urban,633651,319511,314140
2011,Nanded,Rural,473434,243159,230275
2011,Nanded,Urban,167049,85638,81411
2011,Nandurbar,Rural,30550,15453,15097
2011,Nandurbar,Urban,17435,8820,8615
2011,Nashik,Rural,231171,117824,113347
2011,Nashik,Urban,323516,164389,159127
2011,Dharashiv,Rural,221325,113813,107512
2011,Dharashiv,Urban,43859,22541,21318
2011,Palghar,Rural,19989,10228,9761
2011,Palghar,Urban,66989,34877,32112
2011,Parbhani,Rural,172674,88291,84383
2011,Parbhani,Urban,74634,37592,37042
2011,Pune,Rural,361029,185088,175941
2011,Pune,Urban,819674,417667,402007
2011,Raigad,Rural,64338,31985,32353
2011,Raigad,Urban,70614,35995,34619
2011,Ratnagiri,Rural,57524,27217,30307
2011,Ratnagiri,Urban,9424,4750,4674
2011,Sangli,Rural,252350,126946,125404
2011,Sangli,Urban,100743,50162,50581
2011,Satara,Rural,247575,123808,123767
2011,Satara,Urban,75661,37895,37766
2011,Sindhudurg,Rural,48709,23397,25312
2011,Sindhudurg,Urban,6877,3433,3444
2011,Solapur,Rural,443181,227928,215253
2011,Solapur,Urban,206564,104032,102532
2011,Thane,Rural,64993,33663,31330
2011,Thane,Urban,578118,299117,279001
2011,Wardha,Rural,114889,59201,55688
2011,Wardha,Urban,73941,37368,36573
2011,Washim,Rural,200187,103178,97009
2011,Washim,Urban,29275,14689,14586
2011,Yavatmal,Rural,249800,127461,122339
2011,Yavatmal,Urban,78718,39548,39170
