Year,District,Sex Ratio
1981,Nanded,960
1991,Nanded,945
2011,Nanded,937
2001,Nanded,942
1901,Nandurbar,980
1911,Nandurbar,978
1921,Nandurbar,976
1931,Nandurbar,969
1941,Nandurbar,969
1951,Nandurbar,973
1961,Nandurbar,975
1971,Nandurbar,968
1981,Nandurbar,982
1991,Nandurbar,975
2011,Nandurbar,972
2001,Nandurbar,977
1901,Nashik,974
1911,Nashik,984
1921,Nashik,960
1931,Nashik,963
1941,Nashik,953
1951,Nashik,956
1961,Nashik,946
1971,Nashik,940
1981,Nashik,937
1991,Nashik,940
2011,Nashik,931
2001,Nashik,927
1901,Dharashiv,980
1911,Dharashiv,964
1921,Dharashiv,939
1931,Dharashiv,942
1941,Dharashiv,942
1951,Dharashiv,948
1961,Dharashiv,948
1971,Dharashiv,947
1981,Dharashiv,958
1991,Dharashiv,937
2011,Dharashiv,920
2001,Dharashiv,932
1901,Parbhani,996
1911,Parbhani,993
1921,Parbhani,978
1931,Parbhani,963
1941,Parbhani,960
1951,Parbhani,974
1961,Parbhani,969
1971,Parbhani,954
1981,Parbhani,968
1991,Parbhani,954
2011,Parbhani,940
2001,Parbhani,958
1901,Pune,979
1911,Pune,977
1921,Pune,957
1931,Pune,952
1941,Pune,948
1951,Pune,939
1961,Pune,944
1971,Pune,933
1981,Pune,937
1991,Pune,933
2011,Pune,910
2001,Pune,919
1901,Raigad,1000
1911,Raigad,1023
1921,Raigad,1028
1931,Raigad,1009
1941,Raigad,1036
1951,Raigad,1040
1961,Raigad,1058
1971,Raigad,1056
1981,Raigad,1046
1991,Raigad,1010
2011,Raigad,955
2001,Raigad,976
1901,Ratnagiri,1119
1911,Ratnagiri,1164
1921,Ratnagiri,1187
1931,Ratnagiri,1129
1941,Ratnagiri,1158
1951,Ratnagiri,1239
1961,Ratnagiri,1264
1971,Ratnagiri,1263
1981,Ratnagiri,1258
1991,Ratnagiri,1205
2011,Ratnagiri,1123
2001,Ratnagiri,1136
1901,Sangli,984
1911,Sangli,952
1921,Sangli,942
1931,Sangli,950
1941,Sangli,954
1951,Sangli,968
1961,Sangli,957
1971,Sangli,949
1981,Sangli,967
1991,Sangli,958
2011,Sangli,964
2001,Sangli,957
1901,Satara,1031
1911,Satara,1025
1921,Satara,1030
1931,Satara,1006
1941,Satara,1035
1951,Satara,1051
1961,Satara,1047
1971,Satara,1037
1981,Satara,1061
1991,Satara,1029
2011,Satara,986
2001,Satara,995
1901,Sindhudurg,1111
1911,Sindhudurg,1154
1921,Sindhudurg,1174
1931,Sindhudurg,1119
1941,Sindhudurg,1148
1951,Sindhudurg,1200
1961,Sindhudurg,1194
1971,Sindhudurg,1213
1981,Sindhudurg,1205
1991,Sindhudurg,1137
2011,Sindhudurg,1037
2001,Sindhudurg,1079
1901,Solapur,985
1911,Solapur,967
1921,Solapur,943
1931,Solapur,934
1941,Solapur,942
1951,Solapur,945
1961,Solapur,936
1971,Solapur,933
1981,Solapur,942
1991,Solapur,934
2011,Solapur,932
2001,Solapur,935
1901,Thane,939
1911,Thane,947
1921,Thane,937
1931,Thane,935
1941,Thane,940
1951,Thane,920
1961,Thane,919
1971,Thane,894
1981,Thane,883
1991,Thane,879
2011,Thane,880
2001,Thane,858
1901,Wardha,987
1911,Wardha,983
1921,Wardha,973
1931,Wardha,975
1941,Wardha,978
1951,Wardha,983
1961,Wardha,964
1971,Wardha,949
1981,Wardha,948
1991,Wardha,939
2011,Wardha,946
2001,Wardha,935
1901,Washim,968
1911,Washim,968
1921,Washim,958
1931,Washim,952
1941,Washim,957
1951,Washim,971
1961,Washim,956
1971,Washim,957
1981,Washim,963
1991,Washim,946
2011,Washim,926
2001,Washim,939
1901,Yavatmal,988
1911,Yavatmal,980
1921,Yavatmal,968
1931,Yavatmal,966
1941,Yavatmal,978
1951,Yavatmal,989
1961,Yavatmal,972
1971,Yavatmal,961
1981,Yavatmal,958
1991,Yavatmal,951
2011,Yavatmal,947
2001,Yavatmal,942
