Year,District,Rural/Urban,Owned,Rented,Other
2001,Thane,Rural,379343,39920,8833
2001,Thane,Urban,865702,383302,22919
2011,Thane,Rural,458187,58997,9213
2011,Thane,Urban,1300132,573146,30941
2001,Wardha,Rural,170846,13211,9789
2001,Wardha,Urban,47546,15615,2335
2011,Wardha,Rural,190552,11153,8579
2011,Wardha,Urban,72618,17445,2333
2001,Washim,Rural,163008,4724,4932
2001,Washim,Urban,22396,5099,2475
2011,Washim,Rural,207448,5088,4954
2011,Washim,Urban,32899,5766,1737
2001,Yavatmal,Rural,388861,17689,15436
2001,Yavatmal,Urban,56924,19022,10774
2011,Yavatmal,Rural,479067,15937,18037
2011,Yavatmal,Urban,96199,23407,7738
