Year,District,Rural/Urban,Total,Male,Female
2001,Washim,Urban,178445,92328,86117
2001,Yavatmal,Rural,1991849,1024780,967069
2001,Yavatmal,Urban,453095,233915,219180
2011,Ahilyanagar,Rural,3630542,1872907,1757635
2011,Ahilyanagar,Urban,912617,469918,442699
2011,Akola,Rural,1097098,565414,531684
2011,Akola,Urban,719741,368401,351340
2011,Amravati,Rural,1848225,949152,899073
2011,Amravati,Urban,1037287,530135,507152
2011,Chh. Sambhaji Nagar,Rural,2087258,1084999,1002259
2011,Chh. Sambhaji Nagar,Urban,1620170,842644,777526
2011,Beed,Rural,2069123,1082147,986976
2011,Beed,Urban,514298,266128,248170
2011,Bhandara,Rural,966503,487484,479019
2011,Bhandara,Urban,233831,118036,115795
2011,Buldhana,Rural,2037398,1055242,982156
2011,Buldhana,Urban,548860,282318,266542
2011,Chandrapur,Rural,1428929,726106,702823
2011,Chandrapur,Urban,775378,397728,377650
2011,Dhule,Rural,1479826,758916,720910
2011,Dhule,Urban,571036,295115,275921
2011,Gadchiroli,Rural,954909,481290,473619
2011,Gadchiroli,Urban,118033,60038,57995
2011,Gondia,Rural,1096577,547934,548643
2011,Gondia,Urban,225930,113620,112310
2011,Hingoli,Rural,998612,514430,484182
2011,Hingoli,Urban,178733,91864,86869
2011,Jalgaon,Rural,2887206,1500514,1386692
2011,Jalgaon,Urban,1342711,696851,645860
2011,Jalna,Rural,1577099,814936,762163
2011,Jalna,Urban,377429,194194,183235
2011,Kolhapur,Rural,2645992,1348815,1297177
2011,Kolhapur,Urban,1230009,631843,598166
2011,Latur,Rural,1829216,949707,879509
2011,Latur,Urban,624980,323433,301547
2011,Mumbai,Urban,9356962,5031323,4325639
2011,Nagpur,Rural,1474811,758357,716454
2011,Nagpur,Urban,3178759,1626618,1552141
2011,Nanded,Rural,2447394,1258160,1189234
2011,Nanded,Urban,913898,471915,441983
2011,Nandurbar,Rural,1372821,687671,685150
2011,Nandurbar,Urban,275474,145499,129975
2011,Nashik,Rural,3509814,1804712,1705102
2011,Nashik,Urban,2597373,1352474,1244899
2011,Dharashiv,Rural,1376519,716237,660282
2011,Dharashiv,Urban,281057,145298,135759
2011,Palghar,Rural,1428678,715920,712758
2011,Palghar,Urban,1561438,829859,731579
2011,Parbhani,Rural,1266280,651886,614394
2011,Parbhani,Urban,569806,290984,278822
2011,Pune,Rural,3678226,1903440,1774786
2011,Pune,Urban,5751182,3020665,2730517
2011,Raigad,Rural,1664005,836996,827009
2011,Raigad,Urban,970195,507349,462846
2011,Ratnagiri,Rural,1351346,630213,721133
2011,Ratnagiri,Urban,263723,130908,132815
2011,Sangli,Rural,2102786,1071124,1031662
2011,Sangli,Urban,719357,364604,354753
2011,Satara,Rural,2433363,1219749,1213614
2011,Satara,Urban,570378,291093,279285
2011,Sindhudurg,Rural,742645,363268,379377
2011,Sindhudurg,Urban,107006,54064,52942
2011,Solapur,Rural,2918665,1518343,1400322
2011,Solapur,Urban,1399091,709509,689582
2011,Thane,Rural,1116792,584216,532576
2011,Thane,Urban,6953240,3735083,3218157
2011,Wardha,Rural,877474,451874,425600
2011,Wardha,Urban,423300,216511,206789
2011,Washim,Rural,985747,511727,474020
2011,Washim,Urban,211413,108575,102838
2011,Yavatmal,Rural,2174195,1115148,1059047
2011,Yavatmal,Urban,598153,304817,293336
