Year,District,Rural/Urban,Working Population,Male,Female,Main Worker Population,Male Main Workers,Female Main Workers,Marginal Worker Population,Male Marginal Workers,Female Marginal Workers,Unnamed: 12,Unnamed: 13,Unnamed: 14
2001,Akola,Rural,461202,279125,182077,409384,260229,149155,51818,18896,32922,,,
2001,Akola,Urban,187041,156666,30375,172880,148003,24877,14161,8663,5498,,,
2001,Washim,Rural,403335,224951,178384,347211,206946,140265,56124,18005,38119,,,
2001,Washim,Urban,51997,42791,9206,48440,41006,7434,3557,1785,1772,,,
2001,Amravati,Rural,816174,494297,321877,656297,434246,222051,159877,60051,99826,,,
2001,Amravati,Urban,279448,229722,49726,252066,213863,38203,27382,15859,11523,,,
2001,Wardha,Rural,449913,266513,183400,347037,228765,118272,102876,37748,65128,,,
2001,Wardha,Urban,100438,82098,18340,84293,72866,11427,16145,9232,6913,,,
2001,Nagpur,Rural,727301,426640,300661,560006,359641,200365,167295,66999,100296,,,
2001,Nagpur,Urban,811048,664986,146062,723073,609554,113519,87975,55432,32543,,,
2001,Bhandara,Rural,481615,262043,219572,319340,200597,118743,162275,61446,100829,,,
2001,Bhandara,Urban,55270,40993,14277,46124,36571,9553,9146,4422,4724,,,
2001,Gondia,Rural,533761,284451,249310,351412,219975,131437,182349,64476,117873,,,
2001,Gondia,Urban,45835,34570,11265,40478,31964,8514,5357,2606,2751,,,
2001,Gadchiroli,Rural,472779,255052,217727,319035,199650,119385,153744,55402,98342,,,
2001,Gadchiroli,Urban,24325,17338,6987,17924,14520,3404,6401,2818,3583,,,
2001,Chandrapur,Rural,729170,401487,327683,509702,322069,187633,219468,79418,140050,,,
2001,Chandrapur,Urban,201621,166104,35517,173327,149410,23917,28294,16694,11600,,,
2001,Yavatmal,Rural,978283,559693,418590,818712,503260,315452,159571,56433,103138,,,
2001,Yavatmal,Urban,140654,115230,25424,130741,109695,21046,9913,5535,4378,,,
2001,Nanded,Rural,1010495,565958,444537,795375,498309,297066,215120,67649,147471,,,
2001,Nanded,Urban,191542,155964,35578,169712,144385,25327,21830,11579,10251,,,
