Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female
1991,Bhandara,Within the state of enumeration,2058197,1042686,1015511,1807152,911813,895339,251045,130873,120172
1991,Bhandara,States in India beyond the state of enumeration,44339,15049,29290,21630,5720,15910,22709,9329,13380
1991,Chandrapur,Within the state of enumeration,1729159,888588,840571,1253261,636474,616787,475898,252114,223784
1991,Chandrapur,States in India beyond the state of enumeration,39915,19649,20266,21460,11510,9950,18455,8139,10316
1991,Gadchiroli,Within the state of enumeration,757553,384954,372599,692125,350484,341641,65428,34470,30958
1991,Gadchiroli,States in India beyond the state of enumeration,16267,6170,10097,13320,4810,8510,2947,1360,1587
2001,Nandurbar,Within the state of enumeration,1257134,644874,612260,1069794,546240,523554,187340,98634,88706
2001,Nandurbar,States in India beyond the state of enumeration,53781,18213,35568,39125,12193,26932,14656,6020,8636
2001,Dhule,Within the state of enumeration,1660735,858563,802172,1234360,635565,598795,426375,222998,203377
2001,Dhule,States in India beyond the state of enumeration,45916,19206,26710,27594,10737,16857,18322,8469,9853
2001,Jalgaon,Within the state of enumeration,3597252,1869501,1727751,2583336,1337980,1245356,1013916,531521,482395
2001,Jalgaon,States in India beyond the state of enumeration,82769,34682,48087,46386,18958,27428,36383,15724,20659
2001,Buldhana,Within the state of enumeration,2207455,1136013,1071442,1744590,895549,849041,462865,240464,222401
2001,Buldhana,States in India beyond the state of enumeration,24418,11087,13331,14438,6856,7582,9980,4231,5749
2001,Akola,Within the state of enumeration,1606305,830171,776134,995732,513944,481788,610573,316227,294346
2001,Akola,States in India beyond the state of enumeration,22409,10415,11994,6972,3504,3468,15437,6911,8526
2001,Washim,Within the state of enumeration,1015310,523915,491395,839482,432641,406841,175828,91274,84554
2001,Washim,States in India beyond the state of enumeration,4674,2057,2617,2264,1102,1162,2410,955,1455
2001,Amravati,Within the state of enumeration,2520908,1310285,1210623,1655250,859384,795866,865658,450901,414757
2001,Amravati,States in India beyond the state of enumeration,83407,33984,49423,52273,20966,31307,31134,13018,18116
2001,Wardha,Within the state of enumeration,1197865,619504,578361,885947,457272,428675,311918,162232,149686
2001,Wardha,States in India beyond the state of enumeration,38072,19083,18989,25618,13264,12354,12454,5819,6635
2001,Nagpur,Within the state of enumeration,3624395,1882723,1741672,1331301,692127,639174,2293094,1190596,1102498
2001,Nagpur,States in India beyond the state of enumeration,434453,217888,216565,122352,59217,63135,312101,158671,153430
2001,Bhandara,Within the state of enumeration,1098885,558182,540703,933351,472945,460406,165534,85237,80297
2001,Bhandara,States in India beyond the state of enumeration,36810,15024,21786,26920,10741,16179,9890,4283,5607
2001,Gondia,Within the state of enumeration,1138858,582203,556655,1012339,515309,497030,126519,66894,59625
2001,Gondia,States in India beyond the state of enumeration,58402,14902,43500,42425,9441,32984,15977,5461,10516
2001,Gadchiroli,Within the state of enumeration,924158,471284,452874,859307,437975,421332,64851,33309,31542
2001,Gadchiroli,States in India beyond the state of enumeration,33258,13169,20089,31011,12105,18906,2247,1064,1183
2001,Chandrapur,Within the state of enumeration,1951946,1001754,950192,1361271,693643,667628,590675,308111,282564
2001,Chandrapur,States in India beyond the state of enumeration,115433,59201,56232,44403,22594,21809,71030,36607,34423
2001,Yavatmal,Within the state of enumeration,2413562,1244897,1168665,1972296,1016219,956077,441266,228678,212588
2001,Yavatmal,States in India beyond the state of enumeration,44055,20424,23631,28654,13237,15417,15401,7187,8214
2001,Nanded,Within the state of enumeration,2814114,1465217,1348897,2152638,1118213,1034425,661476,347004,314472
2001,Nanded,States in India beyond the state of enumeration,61870,15970,45900,34508,5223,29285,27362,10747,16615
2001,Hingoli,Within the state of enumeration,983752,503944,479808,832033,425348,406685,151719,78596,73123
2001,Hingoli,States in India beyond the state of enumeration,3365,1400,1965,1080,480,600,2285,920,1365
2001,Parbhani,Within the state of enumeration,1520317,776867,743450,1041398,529267,512131,478919,247600,231319
2001,Parbhani,States in India beyond the state of enumeration,7283,3259,4024,1116,455,661,6167,2804,3363
2001,Jalna,Within the state of enumeration,1606158,823965,782193,1301907,666104,635803,304251,157861,146390
2001,Jalna,States in India beyond the state of enumeration,6658,2833,3825,3154,1300,1854,3504,1533,1971
2001,Chhatrapati Sambhaji Nagar,Within the state of enumeration,2845347,1477405,1367942,1800060,929094,870966,1045287,548311,496976
2001,Chhatrapati Sambhaji Nagar,States in India beyond the state of enumeration,50476,27261,23215,9585,5586,3999,40891,21675,19216
2001,Nashik,Within the state of enumeration,4827475,2496162,2331313,3027691,1555384,1472307,1799784,940778,859006
2001,Nashik,States in India beyond the state of enumeration,161677,91980,69697,28120,15525,12595,133557,76455,57102
2001,Thane,Within the state of enumeration,6339847,3269262,3070585,2108551,1066723,1041828,4231296,2202539,2028757
2001,Thane,States in India beyond the state of enumeration,1745551,1082485,663066,118778,79927,38851,1626773,1002558,624215
2001,Mumbai Suburban,Within the state of enumeration,6175101,3236589,2938512,0,0,0,6175101,3236589,2938512
2001,Mumbai Suburban,States in India beyond the state of enumeration,2409402,1473720,935682,0,0,0,2409402,1473720,935682
2001,Mumbai City,Within the state of enumeration,2557406,1377625,1179781,0,0,0,2557406,1377625,1179781
2001,Mumbai City,States in India beyond the state of enumeration,762326,490830,271496,0,0,0,762326,490830,271496
2001,Raigad,Within the state of enumeration,2059144,1024924,1034220,1611092,793183,817909,448052,231741,216311
2001,Raigad,States in India beyond the state of enumeration,145690,90572,55118,60536,39733,20803,85154,50839,34315
2001,Pune,Within the state of enumeration,6641678,3431546,3210132,2972979,1519671,1453308,3668699,1911875,1756824
2001,Pune,States in India beyond the state of enumeration,572032,326855,245177,57465,36871,20594,514567,289984,224583
2001,Ahilyanagar,Within the state of enumeration,3995649,2057629,1938020,3221964,1652957,1569007,773685,404672,369013
2001,Ahilyanagar,States in India beyond the state of enumeration,43198,24406,18792,14549,8571,5978,28649,15835,12814
2001,Beed,Within the state of enumeration,2152758,1112151,1040607,1770644,913355,857289,382114,198796,183318
2001,Beed,States in India beyond the state of enumeration,8328,4105,4223,3459,1675,1784,4869,2430,2439
2001,Latur,Within the state of enumeration,2035163,1063301,971862,1561707,814454,747253,473456,248847,224609
2001,Latur,States in India beyond the state of enumeration,45019,11883,33136,28297,4945,23352,16722,6938,9784
2001,Dharashiv,Within the state of enumeration,1466220,764004,702216,1239478,645302,594176,226742,118702,108040
2001,Dharashiv,States in India beyond the state of enumeration,20306,5331,14975,13822,2956,10866,6484,2375,4109
2001,Solapur,Within the state of enumeration,3772002,1960992,1811010,2594039,1353756,1240283,1177963,607236,570727
2001,Solapur,States in India beyond the state of enumeration,77192,28460,48732,30142,9591,20551,47050,18869,28181
2001,Satara,Within the state of enumeration,2745590,1372395,1373195,2365788,1175851,1189937,379802,196544,183258
2001,Satara,States in India beyond the state of enumeration,62685,35466,27219,44725,25731,18994,17960,9735,8225
2001,Ratnagiri,Within the state of enumeration,1632669,753922,878747,1457977,665743,792234,174692,88179,86513
2001,Ratnagiri,States in India beyond the state of enumeration,62685,39467,23218,45431,28920,16511,17254,10547,6707
2001,Sindhudurg,Within the state of enumeration,826689,398311,428378,752593,361005,391588,74096,37306,36790
2001,Sindhudurg,States in India beyond the state of enumeration,41785,19368,22417,33651,15109,18542,8134,4259,3875
2001,Kolhapur,Within the state of enumeration,3253682,1693969,1559713,2332993,1209232,1123761,920689,484737,435952
2001,Kolhapur,States in India beyond the state of enumeration,267041,112364,154677,138880,50601,88279,128161,61763,66398
2001,Sangli,Within the state of enumeration,2459051,1269162,1189889,1880430,968022,912408,578621,301140,277481
2001,Sangli,States in India beyond the state of enumeration,123881,50585,73296,69675,25996,43679,54206,24589,29617
2011,Nandurbar,Within the state of enumeration,1567585,804178,763407,1322434,674363,648071,245151,129815,115336
2011,Nandurbar,States in India beyond the state of enumeration,77036,27167,49869,47705,11996,35709,29331,15171,14160
2011,Dhule,Within the state of enumeration,1978768,1026484,952284,1434101,742503,691598,544667,283981,260686
2011,Dhule,States in India beyond the state of enumeration,70855,26952,43903,45170,16137,29033,25685,10815,14870
2011,Jalgaon,Within the state of enumeration,4059491,2127365,1932126,2792357,1462929,1329428,1267134,664436,602698
2011,Jalgaon,States in India beyond the state of enumeration,166079,67832,98247,93069,36748,56321,73010,31084,41926
2011,Buldana,Within the state of enumeration,2557013,1325287,1231726,2021104,1048214,972890,535909,277073,258836
2011,Buldana,States in India beyond the state of enumeration,28333,11891,16442,15781,6823,8958,12552,5068,7484
2011,Akola,Within the state of enumeration,1784540,920572,863968,1087051,560971,526080,697489,359601,337888
2011,Akola,States in India beyond the state of enumeration,28175,11214,16961,6716,2780,3936,21459,8434,13025
2011,Washim,Within the state of enumeration,1190426,617310,573116,982217,510010,472207,208209,107300,100909
2011,Washim,States in India beyond the state of enumeration,5283,2155,3128,2345,1022,1323,2938,1133,1805
2011,Amravati,Within the state of enumeration,2800409,1449129,1351280,1798294,932563,865731,1002115,516566,485549
2011,Amravati,States in India beyond the state of enumeration,85436,30448,54988,52092,17757,34335,33344,12691,20653
2011,Wardha,Within the state of enumeration,1265606,651525,614081,862990,444635,418355,402616,206890,195726
2011,Wardha,States in India beyond the state of enumeration,32787,15538,17249,13164,6465,6699,19623,9073,10550
2011,Nagpur,Within the state of enumeration,4150706,2139993,2010713,1367147,708207,658940,2783559,1431786,1351773
2011,Nagpur,States in India beyond the state of enumeration,495660,241289,254371,106959,49773,57186,388701,191516,197185
2011,Bhandara,Within the state of enumeration,1167086,593591,573495,946746,481227,465519,220340,112364,107976
2011,Bhandara,States in India beyond the state of enumeration,31503,10993,20510,18566,5597,12969,12937,5396,7541
2011,Gondia,Within the state of enumeration,1246616,641513,605103,1048888,537939,510949,197728,103574,94154
2011,Gondia,States in India beyond the state of enumeration,71242,17693,53549,44031,8135,35896,27211,9558,17653
2011,Gadchiroli,Within the state of enumeration,1029851,525506,504345,916532,467181,449351,113319,58325,54994
2011,Gadchiroli,States in India beyond the state of enumeration,30840,9502,21338,26429,7935,18494,4411,1567,2844
2011,Chandrapur,Within the state of enumeration,2093803,1071583,1022220,1397559,712030,685529,696244,359553,336691
2011,Chandrapur,States in India beyond the state of enumeration,107063,50478,56585,30737,13793,16944,76326,36685,39641
2011,Yavatmal,Within the state of enumeration,2729001,1402820,1326181,2148475,1105555,1042920,580526,297265,283261
2011,Yavatmal,States in India beyond the state of enumeration,42024,16513,25511,24937,9232,15705,17087,7281,9806
2011,Nanded,Within the state of enumeration,3277374,1711592,1565782,2402350,1253091,1149259,875024,458501,416523
