Year,District,Rural/Urban,Age Group,Population,Male,Female
1991,Amravati,Urban,5-9,87098.0,45468.0,41630.0
1991,Amravati,Urban,10-14,80298.0,41564.0,38734.0
1991,Amravati,Urban,15-19,80770.0,40860.0,39910.0
1991,Amravati,Urban,20-24,73570.0,39613.0,33957.0
1991,Amravati,Urban,25-29,57584.0,28905.0,28679.0
1991,Amravati,Urban,30-34,48834.0,25174.0,23660.0
1991,Amravati,Urban,35-39,44357.0,22767.0,21590.0
1991,Amravati,Urban,40-44,36711.0,20004.0,16707.0
1991,Amravati,Urban,45-49,31519.0,16684.0,14835.0
1991,Amravati,Urban,50-54,26950.0,14240.0,12710.0
1991,Amravati,Urban,55-59,18833.0,9903.0,8930.0
1991,Amravati,Urban,60-64,19727.0,10430.0,9297.0
1991,Amravati,Urban,65-69,12020.0,6370.0,5650.0
1991,Amravati,Urban,70-74,9228.0,4668.0,4560.0
1991,Amravati,Urban,75-79,3760.0,1990.0,1770.0
1991,Amravati,Urban,80+,5260.0,2580.0,2680.0
1991,Beed,Rural,0-4,217790.0,111850.0,105940.0
1991,Beed,Rural,5-9,163709.0,87460.0,76249.0
1991,Beed,Rural,10-14,209755.0,106931.0,102824.0
1991,Beed,Rural,15-19,110727.0,64253.0,46474.0
1991,Beed,Rural,20-24,108746.0,53281.0,55465.0
1991,Beed,Rural,25-29,107790.0,51520.0,56270.0
1991,Beed,Rural,30-34,98170.0,49150.0,49020.0
1991,Beed,Rural,35-39,90337.0,46257.0,44080.0
1991,Beed,Rural,40-44,78453.0,39090.0,39363.0
1991,Beed,Rural,45-49,69370.0,35090.0,34280.0
1991,Beed,Rural,50-54,62130.0,32000.0,30130.0
1991,Beed,Rural,55-59,45512.0,22952.0,22560.0
1991,Beed,Rural,60-64,48020.0,23770.0,24250.0
1991,Beed,Rural,65-69,28760.0,14470.0,14290.0
1991,Beed,Rural,70-74,23975.0,11605.0,12370.0
1991,Beed,Rural,75-79,9170.0,4300.0,4870.0
1991,Beed,Rural,80+,14290.0,6890.0,7400.0
1991,Beed,Urban,0-4,46250.0,23940.0,22310.0
1991,Beed,Urban,5-9,37818.0,20098.0,17720.0
1991,Beed,Urban,10-14,45662.0,23617.0,22045.0
1991,Beed,Urban,15-19,32435.0,18427.0,14008.0
1991,Beed,Urban,20-24,29484.0,15953.0,13531.0
1991,Beed,Urban,25-29,26358.0,12283.0,14075.0
1991,Beed,Urban,30-34,22663.0,11484.0,11179.0
1991,Beed,Urban,35-39,20095.0,11187.0,8908.0
1991,Beed,Urban,40-44,15591.0,9010.0,6581.0
1991,Beed,Urban,45-49,12524.0,6657.0,5867.0
1991,Beed,Urban,50-54,10225.0,5245.0,4980.0
1991,Beed,Urban,55-59,6733.0,3430.0,3303.0
1991,Beed,Urban,60-64,7640.0,3730.0,3910.0
1991,Beed,Urban,65-69,3990.0,1990.0,2000.0
1991,Beed,Urban,70-74,3250.0,1530.0,1720.0
1991,Beed,Urban,75-79,1050.0,640.0,410.0
1991,Beed,Urban,80+,2000.0,920.0,1080.0
1991,Bhandara,Rural,0-4,212460.0,107710.0,104750.0
1991,Bhandara,Rural,5-9,211580.0,106550.0,105030.0
1991,Bhandara,Rural,10-14,206843.0,104601.0,102242.0
1991,Bhandara,Rural,15-19,176614.0,90360.0,86254.0
1991,Bhandara,Rural,20-24,155771.0,78131.0,77640.0
1991,Bhandara,Rural,25-29,144444.0,70361.0,74083.0
1991,Bhandara,Rural,30-34,129495.0,63850.0,65645.0
1991,Bhandara,Rural,35-39,117958.0,60138.0,57820.0
1991,Bhandara,Rural,40-44,99773.0,49884.0,49889.0
1991,Bhandara,Rural,45-49,90442.0,45102.0,45340.0
1991,Bhandara,Rural,50-54,79429.0,41620.0,37809.0
1991,Bhandara,Rural,55-59,58770.0,29520.0,29250.0
1991,Bhandara,Rural,60-64,57476.0,28306.0,29170.0
1991,Bhandara,Rural,65-69,34470.0,16590.0,17880.0
1991,Bhandara,Rural,70-74,25440.0,11570.0,13870.0
1991,Bhandara,Rural,75-79,9770.0,4200.0,5570.0
1991,Bhandara,Rural,80+,12200.0,5550.0,6650.0
1991,Bhandara,Urban,0-4,27810.0,14050.0,13760.0
1991,Bhandara,Urban,5-9,33049.0,17079.0,15970.0
1991,Bhandara,Urban,10-14,29814.0,15917.0,13897.0
1991,Bhandara,Urban,15-19,32117.0,15837.0,16280.0
1991,Bhandara,Urban,20-24,29034.0,15114.0,13920.0
1991,Bhandara,Urban,25-29,21397.0,10810.0,10587.0
1991,Bhandara,Urban,30-34,19719.0,10347.0,9372.0
1991,Bhandara,Urban,35-39,17840.0,8810.0,9030.0
1991,Bhandara,Urban,40-44,15694.0,8306.0,7388.0
1991,Bhandara,Urban,45-49,12584.0,6514.0,6070.0
1991,Bhandara,Urban,50-54,10723.0,5764.0,4959.0
1991,Bhandara,Urban,55-59,7342.0,4232.0,3110.0
1991,Bhandara,Urban,60-64,7270.0,3530.0,3740.0
1991,Bhandara,Urban,65-69,4209.0,1750.0,2459.0
1991,Bhandara,Urban,70-74,3282.0,1332.0,1950.0
1991,Bhandara,Urban,75-79,1280.0,710.0,570.0
1991,Bhandara,Urban,80+,1590.0,660.0,930.0
1991,Buldhana,Rural,0-4,202220.0,103420.0,98800.0
1991,Buldhana,Rural,5-9,177520.0,93040.0,84480.0
1991,Buldhana,Rural,10-14,202900.0,103054.0,99846.0
1991,Buldhana,Rural,15-19,124385.0,70066.0,54319.0
1991,Buldhana,Rural,20-24,118047.0,58147.0,59900.0
1991,Buldhana,Rural,25-29,114000.0,55770.0,58230.0
1991,Buldhana,Rural,30-34,99455.0,47550.0,51905.0
1991,Buldhana,Rural,35-39,90070.0,46860.0,43210.0
1991,Buldhana,Rural,40-44,72874.0,36514.0,36360.0
1991,Buldhana,Rural,45-49,66977.0,34260.0,32717.0
1991,Buldhana,Rural,50-54,59567.0,30290.0,29277.0
1991,Buldhana,Rural,55-59,48173.0,25210.0,22963.0
1991,Buldhana,Rural,60-64,45204.0,22944.0,22260.0
1991,Buldhana,Rural,65-69,29800.0,15080.0,14720.0
1991,Buldhana,Rural,70-74,20910.0,10440.0,10470.0
1991,Buldhana,Rural,75-79,8450.0,4110.0,4340.0
1991,Buldhana,Rural,80+,11312.0,5412.0,5900.0
1991,Buldhana,Urban,0-4,48320.0,24750.0,23570.0
1991,Buldhana,Urban,5-9,47362.0,24812.0,22550.0
1991,Buldhana,Urban,10-14,48760.0,24877.0,23883.0
1991,Buldhana,Urban,15-19,40420.0,22620.0,17800.0
1991,Buldhana,Urban,20-24,35302.0,18504.0,16798.0
1991,Buldhana,Urban,25-29,30042.0,14208.0,15834.0
1991,Buldhana,Urban,30-34,26054.0,13248.0,12806.0
1991,Buldhana,Urban,35-39,24551.0,12755.0,11796.0
1991,Buldhana,Urban,40-44,19714.0,10670.0,9044.0
