Year,District,Rural/Urban,Population,Male,Female
2011,Akola,Urban,14619,7562,7057
2011,Amravati,Rural,366394,186329,180065
2011,Amravati,Urban,35498,18369,17129
2011,Chh. Sambhaji Nagar,Rural,118149,60578,57571
2011,Chh. Sambhaji Nagar,Urban,25296,13339,11957
2011,Beed,Rural,26661,13650,13011
2011,Beed,Urban,6041,3147,2894
2011,Bhandara,Rural,78943,39532,39411
2011,Bhandara,Urban,9943,4983,4960
2011,Buldhana,Rural,116176,59525,56651
2011,Buldhana,Urban,8661,4628,4033
2011,Chandrapur,Rural,323796,163363,160433
2011,Chandrapur,Urban,65645,33390,32255
2011,Dhule,Rural,607824,306730,301094
2011,Dhule,Urban,39491,20304,19187
2011,Gadchiroli,Rural,398266,198753,199513
2011,Gadchiroli,Urban,17040,8624,8416
2011,Gondia,Rural,201913,99729,102184
2011,Gondia,Urban,12340,6215,6125
2011,Hingoli,Rural,106739,54901,51838
2011,Hingoli,Urban,5215,2773,2442
2011,Jalgaon,Rural,537071,275373,261698
2011,Jalgaon,Urban,67296,34777,32519
2011,Jalna,Rural,35817,18511,17306
2011,Jalna,Urban,6387,3445,2942
2011,Kolhapur,Rural,22318,11408,10910
2011,Kolhapur,Urban,7888,4070,3818
2011,Latur,Rural,48147,24970,23177
2011,Latur,Urban,9341,4902,4439
2011,Mumbai,Urban,104560,55033,49527
2011,Nagpur,Rural,200154,102275,97879
2011,Nagpur,Urban,237417,121291,116126
2011,Nanded,Rural,241712,123467,118245
2011,Nanded,Urban,39983,20425,19558
2011,Nandurbar,Rural,1094302,544172,550130
2011,Nandurbar,Urban,47631,23854,23777
2011,Nashik,Rural,1399280,707246,692034
2011,Nashik,Urban,165089,85301,79788
2011,Dharashiv,Rural,30007,15426,14581
2011,Dharashiv,Urban,6032,3143,2889
2011,Palghar,Rural,1011746,499324,512422
2011,Palghar,Urban,106262,52894,53368
2011,Parbhani,Rural,32150,16332,15818
2011,Parbhani,Urban,8364,4238,4126
2011,Pune,Rural,255389,129711,125678
2011,Pune,Urban,93487,49421,44066
2011,Raigad,Rural,270768,135959,134809
2011,Raigad,Urban,34357,17698,16659
2011,Ratnagiri,Rural,18788,9577,9211
2011,Ratnagiri,Urban,1586,825,761
2011,Sangli,Rural,12820,6592,6228
2011,Sangli,Urban,5513,2814,2699
2011,Satara,Rural,22463,11500,10963
2011,Satara,Urban,7172,3710,3462
2011,Sindhudurg,Rural,6019,3061,2958
2011,Sindhudurg,Urban,957,514,443
2011,Solapur,Rural,49731,25648,24083
2011,Solapur,Urban,27861,14137,13724
2011,Thane,Rural,253416,127964,125452
2011,Thane,Urban,171027,89010,82017
2011,Wardha,Rural,125090,64327,60763
2011,Wardha,Urban,24417,12371,12046
2011,Washim,Rural,77404,39801,37603
2011,Washim,Urban,3067,1602,1465
2011,Yavatmal,Rural,473752,240656,233096
2011,Yavatmal,Urban,40305,20240,20065
