Year,District,Rural/Urban,Gender,Buddhist,Christian,Hindu,Jain,Muslim,Sikh,Other,Not Stated,Unnamed: 12,Unnamed: 13
2011,Kolhapur,Rural,Female,10789,3879,1166158,49099,64958,317,167,1810,,
2011,Kolhapur,Urban,Female,3835,3985,485690,25759,76653,425,440,1379,,
2011,Latur,Rural,Female,19615,577,761486,1229,95469,198,56,879,,
2011,Latur,Urban,Female,12657,535,202579,1845,82993,246,84,608,,
2011,Mumbai,Rural,Female,0,0,0,0,0,0,0,0,,
2011,Mumbai,Urban,Female,67963,43628,848042,83050,331525,6308,16031,4256,,
2011,Mumbai Suburban,Rural,Female,0,0,0,0,0,0,0,0,,
2011,Mumbai Suburban,Urban,Female,233699,165183,2897896,171597,814956,22654,9185,10469,,
2011,Nagpur,Rural,Female,87422,1727,604723,666,14596,989,4402,1929,,
2011,Nagpur,Urban,Female,242936,15936,1092234,11377,176086,8812,1571,3189,,
2011,Nanded,Rural,Female,112099,889,979541,621,91022,948,443,3671,,
2011,Nanded,Urban,Female,60133,1000,233717,1821,139015,5464,176,657,,
2011,Nandurbar,Rural,Female,1533,3419,666742,472,8387,138,1442,3017,,
2011,Nandurbar,Urban,Female,936,886,90417,2550,34594,201,19,372,,
2011,Nashik,Rural,Female,11008,1314,1656673,3400,29593,400,176,2538,,
2011,Nashik,Urban,Female,35380,10734,867638,15264,309557,3603,657,2066,,
2011,Dharashiv,Rural,Female,8489,278,593196,1227,54142,94,42,2814,,
2011,Dharashiv,Urban,Female,5094,199,95770,951,33139,59,61,486,,
2011,Parbhani,Rural,Female,60563,421,509113,648,42634,241,18,756,,
2011,Parbhani,Urban,Female,31947,608,134635,2369,107809,440,109,905,,
2011,Pune,Rural,Female,44911,4473,1660600,5717,53092,973,420,4600,,
2011,Pune,Urban,Female,122745,63270,2196679,56509,267855,11143,4337,7979,,
2011,Raigad,Rural,Female,34519,1967,730616,1050,56580,373,151,1753,,
2011,Raigad,Urban,Female,26815,6605,363890,4924,55370,3122,407,1713,,
2011,Ratnagiri,Rural,Female,54841,535,602444,783,61791,53,14,672,,
2011,Ratnagiri,Urban,Female,5284,447,88513,845,37542,48,18,118,,
2011,Sangli,Rural,Female,13678,800,933251,27905,54187,223,90,1528,,
2011,Sangli,Urban,Female,5610,3889,264671,14264,64727,389,261,942,,
2011,Satara,Rural,Female,56188,968,1114849,1511,38338,384,83,1293,,
2011,Satara,Urban,Female,15388,1336,222495,4723,34239,170,229,705,,
2011,Sindhudurg,Rural,Female,11840,5937,351709,398,8885,75,14,519,,
2011,Sindhudurg,Urban,Female,1237,2138,45050,102,4244,18,3,150,,
2011,Solapur,Rural,Female,7323,789,1299807,4385,86263,255,109,1391,,
2011,Solapur,Urban,Female,10206,4154,533342,9114,131035,372,177,1182,,
2011,Thane,Rural,Female,27938,8533,1178415,1723,23386,565,413,4361,,
2011,Thane,Urban,Female,193534,132692,2912111,82426,593171,18136,4243,13423,,
2011,Wardha,Rural,Female,54402,565,357151,473,10785,690,920,614,,
2011,Wardha,Urban,Female,31160,856,156319,2298,15493,330,200,133,,
2011,Washim,Rural,Female,77551,434,359388,1514,33232,83,173,1645,,
2011,Washim,Urban,Female,9436,393,53706,2582,36399,160,32,130,,
2011,Yavatmal,Rural,Female,93655,1184,901477,1763,54293,434,1701,4540,,
2011,Yavatmal,Urban,Female,28677,1148,195831,3772,62935,298,156,519,,
